YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,50.61,7032586.0,50.61,49.92,51.61,50.82,
2017-01-04,51.08,4989987.0,51.08,50.32,51.095,50.7,
2017-01-05,50.93,4727057.0,50.93,50.72,51.68,51.21,
2017-01-06,50.74,3472502.0,50.74,50.29,51.08,51.02,
2017-01-09,49.66,5765597.0,49.66,49.63,50.53,50.27,
2017-01-10,49.66,5447921.0,49.66,49.37,50.04,49.88,
2017-01-11,51.22,8689372.0,51.22,49.46,51.49,49.96,
2017-01-12,50.15,6963344.0,50.15,50.09,51.53,51.5,
2017-01-13,50.59,4413304.0,50.59,49.84,50.87,49.9,
2017-01-17,50.15,4995058.0,50.15,50.0,50.71,50.56,
2017-01-18,50.27,4969975.0,50.27,49.79,50.585,49.8,
2017-01-19,49.86,4915320.0,49.86,49.78,50.45,50.2,
2017-01-20,50.73,5888520.0,50.73,50.32,51.09,50.39,
2017-01-23,49.94,5969486.0,49.94,49.58,50.57,50.26,
2017-01-24,50.27,5919240.0,50.27,50.01,51.395,50.14,
2017-01-25,50.69,5991240.0,50.69,50.32,51.2271,50.41,
2017-01-26,50.63,4164084.0,50.63,50.34,51.02,50.63,
2017-01-27,49.43,5408068.0,49.43,49.2,50.4599,50.33,
2017-01-30,47.48,10483193.0,47.48,47.19,49.18,49.01,
2017-01-31,48.76,7464489.0,48.76,47.37,48.79,47.81,
2017-02-01,48.5,10040876.0,48.5,47.44,49.15,49.0,
2017-02-02,48.69,8625117.0,48.69,47.283,49.34,48.75,
2017-02-03,50.43,8414350.0,50.43,48.815,50.49,48.85,
2017-02-06,50.09,8127533.0,50.09,49.35,50.98,50.5,
2017-02-07,49.42,7591584.0,49.42,49.08,50.23,49.55,
2017-02-08,49.6,8588624.0,49.6,48.51,50.16,49.05,
2017-02-09,49.81,6356981.0,49.81,49.48,50.33,50.04,
2017-02-10,50.14,5996045.0,50.14,49.815,50.54,50.03,
2017-02-13,49.7,6164249.0,49.7,49.22,50.04,50.04,
2017-02-14,50.14,6063387.0,50.14,49.33,50.18,50.0,
2017-02-15,49.36,7461768.0,49.36,49.31,50.29,49.83,
2017-02-16,48.34,9689101.0,48.34,48.27,49.65,49.59,
2017-02-17,47.51,10694026.0,47.51,47.1,48.24,48.22,
2017-02-21,48.13,9577221.0,48.13,47.82,48.52,48.13,
2017-02-22,47.1,8007744.0,47.1,47.03,47.94,47.8,
2017-02-23,47.3,7846378.0,47.3,47.03,47.86,47.79,
2017-02-24,47.04,6749541.0,47.04,46.71,47.49,47.01,
2017-02-27,47.36,6208296.0,47.36,46.965,47.64,47.23,
2017-02-28,47.57,6710562.0,47.57,47.0,47.67,47.17,
2017-03-01,49.05,9194533.0,49.05,47.86,49.23,48.0,
2017-03-02,48.21,5955304.0,48.21,47.91,48.82,48.62,
2017-03-03,47.82,5316706.0,47.82,47.64,48.44,48.19,
2017-03-06,48.32,6078519.0,48.32,47.34,48.4652,47.78,
2017-03-07,47.72,5652837.0,47.72,47.595,48.51,48.45,
2017-03-08,45.91,9435487.0,45.91,45.805,47.66,47.41,
2017-03-09,46.48,7235876.0,46.48,45.48,46.63,45.61,
2017-03-10,45.67,8455360.0,45.67,45.48,46.88,46.88,
2017-03-13,45.84,6333786.0,45.84,45.54,46.165,45.68,
2017-03-14,44.94,10538326.0,44.94,44.19,45.2,45.15,
2017-03-15,45.84,7573389.0,45.84,44.85,46.12,45.47,
2017-03-16,45.84,6393734.0,45.84,45.51,46.13,45.95,
2017-03-17,45.69,8359693.0,45.69,45.64,46.36,45.97,
2017-03-20,45.86,5754178.0,45.86,45.05,45.98,45.4,
2017-03-21,45.18,6504187.0,45.18,44.88,46.17,46.04,
2017-03-22,44.65,7852167.0,44.65,44.63,45.32,45.03,
2017-03-23,44.48,9149363.0,44.48,44.35,45.0,44.65,
2017-03-24,44.1,8797147.0,44.1,43.97,44.88,44.64,
2017-03-27,44.29,6231896.0,44.29,43.26,44.44,43.49,
2017-03-28,45.38,7034758.0,45.38,44.2,45.49,44.41,
2017-03-29,45.95,6040817.0,45.95,45.005,46.06,45.33,
2017-03-30,50.0,40059849.0,50.0,48.61,50.41,49.33,
2017-03-31,49.87,13410488.0,49.87,49.021,50.05,49.64,
2017-04-03,49.45,7711956.0,49.45,48.8,49.93,49.9,
2017-04-04,49.73,6175883.0,49.73,49.045,49.79,49.43,
2017-04-05,49.11,7490852.0,49.11,48.95,50.405,50.01,
2017-04-06,49.81,6823848.0,49.81,49.16,49.97,49.39,
2017-04-07,49.54,5857440.0,49.54,49.38,49.995,49.85,
2017-04-10,50.15,6737361.0,50.15,49.7296,50.47,49.79,
2017-04-11,50.15,7395200.0,50.15,49.57,50.24,50.15,
2017-04-12,49.44,7622973.0,49.44,49.295,50.62,50.14,
2017-04-13,48.62,8807145.0,48.62,48.535,49.785,49.6,
2017-04-17,48.95,5286622.0,48.95,48.46,49.02,48.59,
2017-04-18,48.69,6046632.0,48.69,48.43,49.265,48.61,
2017-04-19,48.0,6165247.0,48.0,47.82,49.07,48.76,
2017-04-20,47.95,6278788.0,47.95,47.89,48.68,48.02,
2017-04-21,47.74,6056267.0,47.74,47.3,48.13,47.86,
2017-04-24,47.91,5750672.0,47.91,47.71,48.19,48.0,
2017-04-25,48.79,7023235.0,48.79,47.8,48.895,47.97,
2017-04-26,48.34,6536870.0,48.34,48.24,49.53,48.27,
2017-04-27,47.86,7302663.0,47.86,46.8599,48.14,47.83,
2017-04-28,47.91,6428976.0,47.91,47.74,48.32,48.15,
2017-05-01,47.48,5795444.0,47.48,47.46,48.03,47.9,
2017-05-02,46.7,10390497.0,46.7,46.27,47.62,47.56,
2017-05-03,47.08,5757217.0,47.08,46.25,47.44,46.25,
2017-05-04,45.92,9999260.0,45.92,45.69,46.85,46.78,
2017-05-05,46.77,7894377.0,46.77,45.89,46.85,45.95,
2017-05-08,47.13,5861196.0,47.13,46.52,47.23,46.8,
2017-05-09,46.27,6157396.0,46.27,46.06,47.21,47.18,
2017-05-10,47.61,7950279.0,47.61,46.53,47.8601,46.71,
2017-05-11,47.42,8569905.0,47.42,47.01,47.81,47.01,
2017-05-12,46.97,9151938.0,46.97,46.585,47.67,47.4,
2017-05-15,47.44,7675589.0,47.44,47.26,48.33,48.09,
2017-05-16,47.13,5288175.0,47.13,46.675,47.72,47.67,
2017-05-17,46.41,7512809.0,46.41,46.33,47.4,47.01,
2017-05-18,46.42,6543458.0,46.42,45.82,46.96,46.0,
2017-05-19,47.48,7206164.0,47.48,46.62,47.6857,46.89,
2017-05-22,46.93,7967925.0,46.93,46.87,47.9,47.83,
2017-05-23,46.76,7436714.0,46.76,46.67,47.325,46.86,
2017-05-24,46.67,7848103.0,46.67,46.14,46.75,46.64,
2017-05-25,45.05,12772241.0,45.05,44.68,46.97,46.47,
2017-05-26,45.35,10758924.0,45.35,44.68,45.4,45.33,
2017-05-30,44.79,9280928.0,44.79,44.53,45.09,44.93,
2017-05-31,44.69,8770777.0,44.69,44.09,44.86,44.32,
2017-06-01,44.86,7946842.0,44.86,44.39,45.32,44.8,
2017-06-02,44.26,8000880.0,44.26,44.02,44.62,44.58,
2017-06-05,44.02,5731336.0,44.02,44.0,44.53,44.06,
2017-06-06,44.48,8584006.0,44.48,43.8,44.51,43.95,
