YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,60.64,1185432.0,60.64,60.28,60.95,60.6,
2017-01-04,61.06,1257452.0,61.06,60.67,61.45,60.8,
2017-01-05,60.93,1488464.0,60.93,60.57,61.19,61.02,
2017-01-06,60.7,888468.0,60.7,60.57,61.085,60.81,
2017-01-09,59.75,1253379.0,59.75,59.54,60.34,60.3,
2017-01-10,60.01,1561521.0,60.01,59.73,60.165,60.05,
2017-01-11,60.15,2323322.0,60.15,59.43,60.49,59.87,
2017-01-12,61.57,2478300.0,61.57,60.26,62.16,60.35,
2017-01-13,61.72,1197133.0,61.72,61.052,61.81,61.42,
2017-01-17,62.09,1899333.0,62.09,61.69,62.42,62.06,
2017-01-18,62.29,1098944.0,62.29,61.9,62.39,62.05,
2017-01-19,62.24,964698.0,62.24,61.89,62.305,62.11,
2017-01-20,62.84,1212496.0,62.84,62.33,63.26,62.49,
2017-01-23,63.12,1452249.0,63.12,62.62,63.28,62.81,
2017-01-24,63.3,1330982.0,63.3,62.8,63.46,63.07,
2017-01-25,63.1,1126167.0,63.1,62.72,63.5,63.29,
2017-01-26,62.62,1283103.0,62.62,62.3,63.16,63.03,
2017-01-27,62.58,1082483.0,62.58,62.34,62.98,62.9,
2017-01-30,62.38,1547253.0,62.38,62.205,63.0,62.61,
2017-01-31,62.23,2401077.0,62.23,61.91,62.9,62.44,
2017-02-01,62.49,1768419.0,62.49,62.105,62.78,62.11,
2017-02-02,63.16,1028111.0,63.16,62.71,63.54,62.79,
2017-02-03,63.28,1390011.0,63.28,63.09,64.04,63.49,
2017-02-06,62.6,1382871.0,62.6,62.33,63.49,63.29,
2017-02-07,63.23,1150766.0,63.23,62.72,63.47,62.89,
2017-02-08,63.4,1209629.0,63.4,63.08,63.764,63.17,
2017-02-09,63.84,1429878.0,63.84,63.6,64.23,63.61,
2017-02-10,63.27,1283138.0,63.27,63.115,63.79,63.7,
2017-02-13,63.43,1337261.0,63.43,63.02,63.53,63.24,
2017-02-14,63.03,1364419.0,63.03,62.9184,63.44,63.25,
2017-02-15,63.45,1888573.0,63.45,62.61,63.615,63.04,
2017-02-16,62.55,3361300.0,62.55,61.86,63.87,63.22,
2017-02-17,58.48,6122699.0,58.48,57.55,60.49,59.0,
2017-02-21,58.95,4824665.0,58.95,58.12,59.05,58.48,
2017-02-22,59.17,2504688.0,59.17,58.64,59.61,58.75,
2017-02-23,59.06,1660246.0,59.06,58.95,59.57,59.35,
2017-02-24,59.11,1571781.0,59.11,59.0,59.69,59.24,
2017-02-27,58.97,1095982.0,58.97,58.82,59.25,59.1,
2017-02-28,59.35,2239331.0,59.35,58.88,59.48,58.98,
2017-03-01,59.49,1484961.0,59.49,59.16,59.89,59.53,
2017-03-02,59.83,1869609.0,59.83,59.32,59.905,59.41,
2017-03-03,59.54,1472145.0,59.54,59.41,59.94,59.94,
2017-03-06,59.29,1206222.0,59.29,59.03,59.58,59.24,
2017-03-07,59.09,1430155.0,59.09,59.06,59.56,59.25,
2017-03-08,58.66,2061808.0,58.66,58.0125,58.9,58.85,
2017-03-09,59.03,969604.0,59.03,58.6,59.16,58.65,
2017-03-10,59.19,1228879.0,59.19,58.98,59.44,59.36,
2017-03-13,59.05,2644381.0,59.05,58.61,59.25,59.16,
2017-03-14,58.95,1132964.0,58.95,58.78,59.21,59.07,
2017-03-15,59.36,1284190.0,59.36,58.95,59.605,59.04,
2017-03-16,58.83,1475367.0,58.83,58.57,59.2688,59.2,
2017-03-17,59.2,1714671.0,59.2,58.835,59.33,59.08,
2017-03-20,59.0,1246063.0,59.0,59.0,59.34,59.22,
2017-03-21,57.09,3438890.0,57.09,57.04,58.74,58.03,
2017-03-22,56.91,1701881.0,56.91,56.54,57.59,57.23,
2017-03-23,57.6,1797698.0,57.6,57.25,57.995,57.41,
2017-03-24,57.44,1420257.0,57.44,57.295,57.725,57.58,
2017-03-27,57.49,999016.0,57.49,57.325,57.87,57.45,
2017-03-28,57.62,1001663.0,57.62,57.24,57.83,57.36,
2017-03-29,57.57,1006118.0,57.57,57.25,57.77,57.61,
2017-03-30,57.11,785440.0,57.11,57.05,57.625,57.56,
2017-03-31,57.24,1911250.0,57.24,56.97,57.89,57.15,
2017-04-03,56.89,2104693.0,56.89,56.7,57.55,57.27,
2017-04-04,56.78,1299500.0,56.78,56.42,56.97,56.72,
2017-04-05,56.77,1724723.0,56.77,56.59,57.37,56.77,
2017-04-06,56.59,1088159.0,56.59,56.3758,56.75,56.65,
2017-04-07,56.41,2004349.0,56.41,56.4,56.939,56.76,
2017-04-10,56.5,1535840.0,56.5,56.05,56.71,56.11,
2017-04-11,56.64,1276226.0,56.64,56.21,56.64,56.42,
2017-04-12,57.03,2011000.0,57.03,56.36,57.15,56.56,
