YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,70.54,8112161.0,70.54,69.0,70.86,69.29,
2017-01-04,72.8,9289476.0,72.8,70.76,73.065,71.08,
2017-01-05,72.79,4695604.0,72.79,72.53,73.66,72.81,
2017-01-06,73.8,4466130.0,73.8,72.55,74.13,72.89,
2017-01-09,73.96,3933113.0,73.96,73.51,74.445,74.05,
2017-01-10,73.98,3994812.0,73.98,73.44,74.3,74.12,
2017-01-11,75.77,7591333.0,75.77,74.06,76.08,74.27,
2017-01-12,75.21,4681665.0,75.21,74.0,75.75,75.17,
2017-01-13,75.64,3689998.0,75.64,74.7,75.78,74.84,
2017-01-17,75.02,3152473.0,75.02,74.37,75.3,75.3,
2017-01-18,75.78,3969485.0,75.78,75.08,76.22,75.59,
2017-01-19,75.57,3274267.0,75.57,75.34,76.17,75.72,
2017-01-20,76.03,4593553.0,76.03,75.4325,76.12,75.76,
2017-01-23,76.16,3770858.0,76.16,75.7,76.955,75.7,
2017-01-24,77.11,3730275.0,77.11,75.95,77.46,76.32,
2017-01-25,78.47,5690443.0,78.47,77.25,78.59,77.53,
2017-01-26,77.95,4121202.0,77.95,77.28,79.085,79.0,
2017-01-27,78.21,2219381.0,78.21,77.921,78.57,78.19,
2017-01-30,78.71,4964049.0,78.71,77.1,78.78,77.8,
2017-01-31,79.1,7835236.0,79.1,78.17,80.0,78.45,
2017-02-01,78.58,6199661.0,78.58,77.45,79.3,78.91,
2017-02-02,80.13,7676117.0,80.13,77.89,80.26,78.33,
2017-02-03,80.21,4975379.0,80.21,79.81,80.71,80.39,
2017-02-06,79.75,2664167.0,79.75,79.35,80.12,80.02,
2017-02-07,80.21,3628231.0,80.21,79.54,80.53,80.28,
2017-02-08,80.7,2568049.0,80.7,79.63,80.83,80.0,
2017-02-09,81.03,5148175.0,81.03,80.49,81.98,80.5,
2017-02-10,80.64,3061931.0,80.64,80.54,82.0,81.41,
2017-02-13,80.91,4327751.0,80.91,80.461,81.3,81.18,
2017-02-14,80.92,4809545.0,80.92,80.56,81.3,80.95,
2017-02-15,81.67,5271923.0,81.67,80.89,82.83,81.23,
2017-02-16,80.82,5234718.0,80.82,80.5,81.715,81.52,
2017-02-17,81.47,3674149.0,81.47,80.25,81.47,80.57,
