YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,35.89,6535008.0,35.89,35.59,36.64,36.15,45773.0
2017-01-04,36.63,7255928.0,36.63,35.95,36.71,36.05,49373.0
2017-01-05,36.99,11583171.0,36.99,36.4,37.38,36.41,65595.0
2017-01-06,37.52,12350244.0,37.52,35.96,37.725,36.71,69961.0
2017-01-09,36.99,7406908.0,36.99,36.98,37.65,37.57,48684.0
2017-01-10,37.42,8163501.0,37.42,36.78,37.57,36.89,47589.0
2017-01-11,38.04,9882619.0,38.04,37.32,38.11,37.32,57675.0
2017-01-12,38.38,8134467.0,38.38,37.8,38.39,38.06,52383.0
2017-01-13,38.8,13828079.0,38.8,38.1,38.82,38.21,74223.0
2017-01-17,38.09,18270995.0,38.09,37.865,38.8,38.75,86196.0
2017-01-18,36.88,20660656.0,36.88,36.21,37.4,36.54,112137.0
2017-01-19,45.51,98506114.0,45.51,42.66,45.61,43.23,436196.0
2017-01-20,44.33,45342351.0,44.33,42.875,44.7,44.5,238057.0
2017-01-23,45.99,23485053.0,45.99,44.5597,46.07,44.66,116386.0
2017-01-24,46.69,16824563.0,46.69,45.86,47.28,45.89,89144.0
2017-01-25,47.79,18040044.0,47.79,46.9,47.84,47.24,97485.0
2017-01-26,48.6,18203432.0,48.6,47.56,49.13,47.79,104471.0
2017-01-27,48.06,12813125.0,48.06,47.67,48.93,48.83,71368.0
2017-01-30,47.49,15181303.0,47.49,46.725,48.09,47.8,86058.0
2017-01-31,46.39,17976347.0,46.39,46.06,47.49,46.97,90247.0
2017-02-01,47.09,11808919.0,47.09,46.41,47.19,46.55,76500.0
2017-02-02,46.31,10379999.0,46.31,46.1,46.92,46.69,67349.0
2017-02-03,46.79,8474918.0,46.79,46.16,46.96,46.24,49888.0
2017-02-06,47.26,8877459.0,47.26,46.5392,47.26,46.55,44203.0
2017-02-07,47.68,14773744.0,47.68,47.27,48.29,47.27,75763.0
2017-02-08,47.96,8601313.0,47.96,46.96,48.06,47.58,53686.0
2017-02-09,47.75,6108289.0,47.75,47.53,48.15,48.1,45743.0
2017-02-10,47.77,15588119.0,47.77,47.41,48.93,48.5,96248.0
2017-02-13,47.91,6695755.0,47.91,47.7534,48.45,48.11,49322.0
2017-02-14,48.0,6407423.0,48.0,47.62,48.21,47.63,44683.0
2017-02-15,47.34,12546927.0,47.34,46.76,47.845,46.99,69263.0
2017-02-16,47.69,19837954.0,47.69,46.22,47.71,47.52,97493.0
2017-02-17,48.54,11766424.0,48.54,47.49,48.63,47.53,64263.0
2017-02-21,48.91,8221536.0,48.91,48.43,49.0,48.53,47358.0
2017-02-22,48.39,8314723.0,48.39,48.03,48.79,48.79,48737.0
2017-02-23,47.91,8500728.0,47.91,47.55,48.7008,48.58,52865.0
2017-02-24,48.48,8378555.0,48.48,47.57,48.49,47.62,48127.0
2017-02-27,48.71,8619027.0,48.71,47.99,48.8053,48.28,44292.0
2017-02-28,48.56,8033008.0,48.56,48.37,49.6,49.43,46973.0
2017-03-01,49.21,9461500.0,49.21,49.16,49.79,49.2,57003.0
2017-03-02,48.56,8222346.0,48.56,48.47,49.26,49.21,48571.0
2017-03-03,49.48,11631146.0,49.48,48.23,49.63,48.52,62016.0
2017-03-06,49.79,11810556.0,49.79,48.96,49.94,49.12,69495.0
2017-03-07,48.44,17913905.0,48.44,48.375,50.31,49.7,89080.0
2017-03-08,47.65,11796486.0,47.65,47.52,48.67,48.31,68526.0
2017-03-09,47.58,10637109.0,47.58,47.48,48.21,47.68,68504.0
2017-03-10,47.8,7224894.0,47.8,47.54,48.11,48.05,47099.0
2017-03-13,48.08,17191335.0,48.08,47.87,48.405,47.9,43307.0
2017-03-14,47.83,4845350.0,47.83,47.4,48.19,48.02,37025.0
2017-03-15,47.95,8727542.0,47.95,47.62,48.18,48.11,52761.0
2017-03-16,47.6,7606398.0,47.6,47.48,48.08,47.9,47489.0
2017-03-17,46.88,15533315.0,46.88,46.88,47.83,47.82,51516.0
2017-03-20,46.88,6905277.0,46.88,46.51,47.195,46.96,40856.0
2017-03-21,45.62,17325592.0,45.62,45.41,47.04,47.04,97876.0
2017-03-22,46.45,8985012.0,46.45,45.43,46.71,45.64,59207.0
2017-03-23,46.11,5970392.0,46.11,46.0,46.66,46.4,38907.0
2017-03-24,46.32,5742567.0,46.32,46.035,46.8,46.25,41735.0
2017-03-27,46.21,5431920.0,46.21,45.525,46.505,45.88,36166.0
2017-03-28,47.34,8647254.0,47.34,46.21,47.56,46.21,48046.0
2017-03-29,47.28,3488979.0,47.28,46.86,47.29,47.18,27877.0
2017-03-30,47.34,4761055.0,47.34,47.21,47.69,47.24,28335.0
2017-03-31,46.55,6293739.0,46.55,46.53,47.48,47.1,36081.0
2017-04-03,46.6,6484599.0,46.6,46.37,47.04,46.66,35632.0
2017-04-04,47.29,3155914.0,47.29,46.5,47.31,46.6,25592.0
2017-04-05,47.14,5104811.0,47.14,46.91,48.17,47.51,40436.0
2017-04-06,47.71,4381297.0,47.71,47.2071,47.92,47.29,32014.0
2017-04-07,47.43,5623965.0,47.43,47.195,47.9393,47.56,27770.0
2017-04-10,47.68,5679891.0,47.68,47.46,47.925,47.6,38833.0
2017-04-11,47.21,6174348.0,47.21,46.49,47.58,47.46,49672.0
2017-04-12,46.4,5615057.0,46.4,46.305,47.52,47.52,40762.0
2017-04-13,46.42,4677147.0,46.42,46.04,46.99,46.37,38040.0
2017-04-17,47.23,3899674.0,47.23,46.39,47.26,46.66,31587.0
2017-04-18,46.63,5290518.0,46.63,46.525,47.34,46.94,40655.0
2017-04-19,46.93,6857090.0,46.93,46.68,47.32,46.98,50823.0
2017-04-20,49.56,25360716.0,49.56,49.3631,51.28,50.2,130502.0
2017-04-21,50.77,16235464.0,50.77,49.5,50.8,49.83,79656.0
2017-04-24,50.13,11196959.0,50.13,50.07,51.66,51.48,62643.0
2017-04-25,50.94,11098865.0,50.94,50.1,51.1,50.19,70860.0
2017-04-26,50.79,8186508.0,50.79,50.63,51.565,51.06,57219.0
2017-04-27,51.25,7861784.0,51.25,50.69,51.625,50.79,41754.0
2017-04-28,50.84,6610365.0,50.84,50.75,51.57,51.5,39548.0
2017-05-01,51.52,7773656.0,51.52,50.86,51.57,50.87,41743.0
2017-05-02,51.49,6668109.0,51.49,51.1,51.77,51.77,46320.0
2017-05-03,51.52,4606268.0,51.52,51.2,51.64,51.53,31575.0
2017-05-04,51.72,5960897.0,51.72,51.39,51.85,51.59,40129.0
2017-05-05,52.5,6749517.0,52.5,51.66,52.5,51.78,48313.0
2017-05-08,51.81,6674064.0,51.81,51.76,52.65,52.5,34848.0
2017-05-09,51.81,4351571.0,51.81,51.66,52.21,51.69,30174.0
2017-05-10,51.72,4499693.0,51.72,51.52,51.925,51.84,32549.0
2017-05-11,52.14,8876017.0,52.14,51.35,52.32,51.5,53808.0
2017-05-12,52.14,3837416.0,52.14,51.78,52.45,52.07,28444.0
2017-05-15,51.34,8694232.0,51.34,51.295,52.27,52.11,50862.0
2017-05-16,51.12,9481696.0,51.12,50.94,51.62,51.55,57950.0
2017-05-17,49.47,10342481.0,49.47,49.16,50.58,50.52,69524.0
2017-05-18,50.23,10579296.0,50.23,48.7702,50.6,49.0,62922.0
2017-05-19,50.38,6714129.0,50.38,50.13,50.96,50.16,37670.0
2017-05-22,51.46,7261360.0,51.46,50.48,51.52,50.63,45378.0
2017-05-23,51.8,8949713.0,51.8,51.08,52.14,51.42,45977.0
2017-05-24,52.33,6620611.0,52.33,51.85,52.5,51.85,39538.0
2017-05-25,53.79,7101734.0,53.79,51.7,54.045,51.7,46408.0
2017-05-26,53.96,10793499.0,53.96,53.47,54.23,53.63,53744.0
2017-05-30,54.22,7624135.0,54.22,53.81,54.415,53.98,38191.0
2017-05-31,54.17,10188514.0,54.17,53.75,54.43,54.34,46382.0
2017-06-01,54.59,7915663.0,54.59,53.92,54.7252,54.21,41659.0
2017-06-02,54.54,5367094.0,54.54,54.36,55.06,54.79,34532.0
2017-06-05,54.03,7890705.0,54.03,53.745,55.0,54.59,42518.0
2017-06-06,53.95,6060287.0,53.95,53.92,54.43,54.1,38017.0
2017-06-07,53.77,7877651.0,53.77,53.3,53.97,53.86,48601.0
2017-06-08,53.76,5310934.0,53.76,53.51,53.97,53.88,36636.0
