YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,116.32,859079.0,116.32,115.91,117.06,116.37,9396.0
2017-01-04,117.31,623437.0,117.31,116.09,117.71,116.24,7487.0
2017-01-05,116.28,598668.0,116.28,116.03,117.71,116.89,6843.0
2017-01-06,116.7,429729.0,116.7,115.78,116.96,116.51,5626.0
2017-01-09,115.48,524713.0,115.48,115.04,116.47,116.47,6657.0
2017-01-10,114.78,895008.0,114.78,114.74,115.42,115.22,8931.0
2017-01-11,115.32,466048.0,115.32,114.65,115.56,114.8,5666.0
2017-01-12,114.4,586191.0,114.4,113.21,115.24,115.09,7460.0
2017-01-13,114.56,448983.0,114.56,113.79,114.88,114.28,5604.0
2017-01-17,113.67,305606.0,113.67,113.311,114.27,113.81,4461.0
2017-01-18,113.97,424677.0,113.97,113.23,114.13,113.98,5413.0
2017-01-19,113.74,382433.0,113.74,113.23,114.275,113.96,4621.0
2017-01-20,113.88,371920.0,113.88,113.31,114.38,114.26,4368.0
2017-01-23,113.84,267494.0,113.84,112.96,114.06,113.77,4031.0
2017-01-24,115.51,609270.0,115.51,113.75,115.56,113.75,6832.0
2017-01-25,116.75,1081475.0,116.75,115.385,116.99,115.75,7698.0
2017-01-26,117.39,435501.0,117.39,116.65,117.95,116.88,5778.0
2017-01-27,117.29,478162.0,117.29,116.74,117.6,117.33,5480.0
2017-01-30,116.2,388371.0,116.2,115.3,117.12,117.12,4956.0
2017-01-31,116.11,647259.0,116.11,115.16,116.53,116.14,5793.0
2017-02-01,114.85,774562.0,114.85,114.53,117.32,115.8,9796.0
2017-02-02,115.22,591012.0,115.22,114.25,115.471,114.49,5640.0
2017-02-03,116.11,384602.0,116.11,114.33,116.68,115.68,4873.0
2017-02-06,114.96,490557.0,114.96,114.71,115.85,115.77,6017.0
2017-02-07,114.79,562828.0,114.79,114.37,115.34,115.32,6630.0
2017-02-08,114.35,427150.0,114.35,113.79,114.94,114.53,5416.0
2017-02-09,115.36,474225.0,115.36,114.4,115.48,114.55,5702.0
2017-02-10,116.72,722930.0,116.72,115.17,117.0,115.49,6336.0
2017-02-13,116.99,448570.0,116.99,116.63,117.65,117.24,5812.0
2017-02-14,117.02,362307.0,117.02,116.1,117.02,116.56,4939.0
2017-02-15,118.41,507677.0,118.41,116.465,118.6,116.74,6374.0
2017-02-16,119.51,464133.0,119.51,118.04,119.51,118.43,6273.0
2017-02-17,118.61,1435535.0,118.61,118.09,119.38,118.97,5551.0
2017-02-21,118.44,451355.0,118.44,118.03,119.21,118.66,5359.0
2017-02-22,118.8,491566.0,118.8,117.64,118.84,118.12,5977.0
2017-02-23,118.43,395234.0,118.43,117.59,119.02,119.02,4622.0
2017-02-24,119.07,394581.0,119.07,117.2623,119.07,118.07,4345.0
2017-02-27,119.11,248953.0,119.11,118.55,119.25,118.89,3432.0
2017-02-28,118.01,413478.0,118.01,117.85,118.99,118.99,4836.0
2017-03-01,119.63,585913.0,119.63,118.52,119.99,118.69,7193.0
2017-03-02,118.54,418173.0,118.54,118.33,119.31,119.3,6148.0
2017-03-03,118.41,421959.0,118.41,117.865,118.835,118.65,3933.0
2017-03-06,118.61,287025.0,118.61,117.45,118.71,118.07,3855.0
2017-03-07,118.27,418007.0,118.27,117.79,118.99,118.21,4679.0
2017-03-08,118.36,326109.0,118.36,117.97,118.76,118.12,4524.0
2017-03-09,117.87,332944.0,117.87,117.21,118.76,118.59,4814.0
2017-03-10,119.03,449896.0,119.03,118.25,119.27,118.64,5085.0
2017-03-13,119.13,336694.0,119.13,118.77,119.38,118.88,4155.0
2017-03-14,118.45,323433.0,118.45,117.85,119.28,118.99,4438.0
2017-03-15,119.46,415405.0,119.46,118.46,119.57,118.85,5458.0
2017-03-16,119.24,301092.0,119.24,118.93,120.0,119.66,4530.0
2017-03-17,124.87,2220852.0,124.87,120.83,125.93,122.31,17253.0
2017-03-20,124.31,1030545.0,124.31,123.7,125.44,124.81,10532.0
2017-03-21,123.78,998217.0,123.78,123.62,125.69,125.01,11269.0
2017-03-22,124.37,853498.0,124.37,123.7097,125.2,124.09,9684.0
2017-03-23,125.95,1414359.0,125.95,122.74,128.85,124.33,14828.0
2017-03-24,125.13,709505.0,125.13,124.84,126.42,126.41,8534.0
2017-03-27,125.12,612100.0,125.12,123.45,125.76,124.92,7722.0
2017-03-28,126.2,502427.0,126.2,124.2,126.45,124.93,5720.0
2017-03-29,126.44,687288.0,126.44,125.6,126.57,125.6,7142.0
2017-03-30,126.98,451822.0,126.98,126.18,127.45,126.19,4734.0
2017-03-31,126.54,642811.0,126.54,126.25,127.065,126.88,6753.0
2017-04-03,124.75,689140.0,124.75,124.72,126.97,126.86,7983.0
2017-04-04,124.84,439341.0,124.84,123.9239,125.0857,124.52,5220.0
2017-04-05,123.77,451396.0,123.77,123.64,125.71,124.96,5491.0
2017-04-06,123.21,517062.0,123.21,122.84,123.83,123.66,6939.0
2017-04-07,122.56,706128.0,122.56,122.4,123.48,123.07,7208.0
2017-04-10,122.66,604159.0,122.66,121.96,123.79,122.37,7169.0
2017-04-11,122.96,481183.0,122.96,121.67,122.96,122.04,6114.0
2017-04-12,122.38,314104.0,122.38,121.72,123.74,123.29,4412.0
2017-04-13,121.68,304014.0,121.68,121.48,122.84,122.52,4384.0
2017-04-17,122.98,309721.0,122.98,121.97,122.99,122.14,4063.0
2017-04-18,122.37,345780.0,122.37,121.7,123.05,122.69,4597.0
2017-04-19,122.65,331896.0,122.65,122.145,123.21,122.37,4059.0
2017-04-20,123.1,378127.0,123.1,122.64,123.56,123.37,5074.0
2017-04-21,123.14,617797.0,123.14,122.94,123.88,123.2,5556.0
2017-04-24,125.45,550689.0,125.45,124.035,125.51,124.21,6131.0
2017-04-25,125.11,503241.0,125.11,124.83,126.27,125.69,6452.0
2017-04-26,124.23,525223.0,124.23,124.22,125.38,125.17,6242.0
2017-04-27,123.94,433937.0,123.94,123.66,125.04,124.16,5431.0
2017-04-28,122.47,659336.0,122.47,122.41,124.02,124.02,6221.0
