YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,56.52,3149600.0,56.52,56.01,56.78,56.65,26117.0
2017-01-04,57.32,3572394.0,57.32,56.2,57.4,56.48,27139.0
2017-01-05,57.09,5166417.0,57.09,56.98,57.46,57.35,27602.0
2017-01-06,57.87,6091157.0,57.87,56.38,58.0,57.14,36570.0
2017-01-09,56.58,7006285.0,56.58,56.45,57.75,57.6,35870.0
2017-01-10,56.66,4710677.0,56.66,55.935,56.93,56.43,34575.0
2017-01-11,57.01,6377133.0,57.01,56.27,57.09,56.46,26379.0
2017-01-12,56.99,3599464.0,56.99,56.155,57.17,57.17,24792.0
2017-01-13,56.52,6223342.0,56.52,56.27,57.12,56.84,25560.0
2017-01-17,56.58,3470151.0,56.58,56.32,56.88,56.5,26943.0
2017-01-18,57.36,3970503.0,57.36,56.6,57.635,56.63,29887.0
2017-01-19,56.65,3147465.0,56.65,56.49,57.43,57.25,26821.0
2017-01-20,56.85,4485278.0,56.85,56.46,57.115,56.87,28846.0
2017-01-23,56.17,4443992.0,56.17,55.67,56.95,56.88,31018.0
2017-01-24,56.61,3613844.0,56.61,55.75,56.725,56.25,24455.0
2017-01-25,57.55,5277630.0,57.55,56.58,57.57,56.82,30151.0
2017-01-26,56.27,3406222.0,56.27,56.255,57.68,57.47,23289.0
2017-01-27,56.13,3010853.0,56.13,56.05,56.63,56.3,20229.0
2017-01-30,53.66,9262168.0,53.66,53.53,55.25,55.23,60130.0
2017-01-31,52.59,10176861.0,52.59,51.52,53.14,52.03,56835.0
2017-02-01,52.45,7478443.0,52.45,51.95,52.91,52.68,49846.0
2017-02-02,51.68,7972346.0,51.68,51.58,52.82,52.7,54498.0
2017-02-03,52.5,6176824.0,52.5,51.66,52.54,52.07,43042.0
2017-02-06,52.76,7776859.0,52.76,52.44,53.48,53.48,44389.0
2017-02-07,53.79,7606698.0,53.79,52.635,54.17,52.71,48125.0
2017-02-08,56.45,20858317.0,56.45,54.76,57.49,57.0,95284.0
2017-02-09,58.0,13235505.0,58.0,56.29,58.41,57.0,71541.0
2017-02-10,57.4,6935534.0,57.4,57.37,58.34,58.0,42919.0
2017-02-13,57.64,6744771.0,57.64,57.53,58.0,57.75,37534.0
2017-02-14,57.36,10115420.0,57.36,57.18,57.69,57.29,37478.0
2017-02-15,58.13,5636202.0,58.13,57.07,58.4,57.07,35552.0
2017-02-16,58.1,4158165.0,58.1,57.75,58.48,58.25,29545.0
2017-02-17,57.96,3777629.0,57.96,57.62,58.44,58.01,24362.0
2017-02-21,58.62,4275120.0,58.62,57.6601,58.69,57.92,25892.0
2017-02-22,58.75,3238914.0,58.75,57.916,58.8,58.23,22382.0
2017-02-23,59.15,4356991.0,59.15,58.62,59.305,58.8,27676.0
2017-02-24,59.5,3169397.0,59.5,58.75,59.5,58.96,24325.0
2017-02-27,59.58,4908486.0,59.58,59.11,59.67,59.49,32382.0
2017-02-28,59.27,5516257.0,59.27,59.12,59.58,59.3,37271.0
2017-03-01,60.25,5163273.0,60.25,59.49,60.39,59.71,34879.0
2017-03-02,60.17,2850845.0,60.17,59.67,60.33,59.96,23343.0
2017-03-03,59.88,5101464.0,59.88,59.69,60.255,59.95,24008.0
2017-03-06,58.83,5801207.0,58.83,58.49,59.55,59.45,32802.0
2017-03-07,57.84,5336508.0,57.84,57.77,59.295,58.82,37537.0
2017-03-08,57.49,5617903.0,57.49,57.15,57.99,57.77,41536.0
2017-03-09,57.67,4193560.0,57.67,57.0,57.75,57.6,28759.0
2017-03-10,58.74,5171881.0,58.74,58.11,59.28,58.25,35714.0
2017-03-13,59.25,3775030.0,59.25,58.49,59.34,58.59,26269.0
2017-03-14,59.16,3696925.0,59.16,58.92,59.78,59.77,30672.0
2017-03-15,59.26,3217104.0,59.26,58.76,59.45,59.19,22959.0
2017-03-16,59.41,3559970.0,59.41,59.26,60.0,59.75,26630.0
2017-03-17,58.56,6738370.0,58.56,58.19,59.89,59.84,41209.0
2017-03-20,58.98,4487733.0,58.98,58.44,59.405,58.56,25923.0
2017-03-21,58.53,3243219.0,58.53,58.4,59.4,59.11,30113.0
2017-03-22,59.46,4385662.0,59.46,58.52,59.505,58.54,28281.0
2017-03-23,58.76,4737701.0,58.76,58.37,59.34,59.25,33469.0
2017-03-24,58.62,2988236.0,58.62,58.54,59.29,59.01,24658.0
2017-03-27,58.71,3187782.0,58.71,58.0601,58.855,58.13,23040.0
2017-03-28,59.04,3814462.0,59.04,58.31,59.34,58.49,24923.0
2017-03-29,59.08,3267800.0,59.08,58.42,59.2,58.89,22300.0
2017-03-30,59.24,1771215.0,59.24,58.905,59.32,59.2,15544.0
2017-03-31,59.52,3463580.0,59.52,59.02,59.82,59.09,27749.0
2017-04-03,58.25,5459727.0,58.25,58.17,59.95,59.55,38044.0
2017-04-04,58.21,3772944.0,58.21,57.61,58.44,57.99,24605.0
2017-04-05,58.06,4115186.0,58.06,57.925,59.095,58.22,30492.0
2017-04-06,58.14,3085473.0,58.14,57.72,58.42,58.06,23494.0
2017-04-07,58.43,3234869.0,58.43,58.025,58.67,58.41,25161.0
2017-04-10,58.97,4501007.0,58.97,58.2,59.1,58.29,35740.0
2017-04-11,58.88,3612932.0,58.88,58.405,59.195,58.73,29053.0
2017-04-12,58.66,2590719.0,58.66,58.48,59.01,58.94,22029.0
2017-04-13,58.35,3872285.0,58.35,58.293,59.06,58.77,26377.0
2017-04-17,58.7,2931828.0,58.7,58.51,58.82,58.63,20535.0
2017-04-18,57.87,5333546.0,57.87,57.65,58.41,58.35,36539.0
2017-04-19,57.97,4071255.0,57.97,57.86,58.325,57.97,31664.0
2017-04-20,57.78,5152199.0,57.78,57.5,58.235,58.01,38798.0
2017-04-21,57.85,4882033.0,57.85,57.64,57.98,57.98,34032.0
2017-04-24,58.89,4201668.0,58.89,58.45,59.19,58.64,31361.0
2017-04-25,59.09,3112331.0,59.09,58.76,59.37,58.93,25612.0
2017-04-26,59.42,3920733.0,59.42,58.97,59.65,59.05,31451.0
2017-04-27,59.7,3230201.0,59.7,59.31,59.725,59.45,24895.0
2017-04-28,60.23,4694358.0,60.23,59.44,60.4,59.74,29749.0
2017-05-01,60.35,5007155.0,60.35,60.16,60.75,60.4,33659.0
2017-05-02,60.49,3963254.0,60.49,60.2,60.81,60.33,30645.0
