YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,76.25,3017521.0,76.25,75.9627,76.69,76.57,
2017-01-04,76.18,3426199.0,76.18,75.9163,76.69,76.39,
2017-01-05,76.28,2688036.0,76.28,75.12,76.34,75.79,
2017-01-06,76.9,1847970.0,76.9,75.8901,77.045,76.04,
2017-01-09,75.72,1948159.0,75.72,75.68,76.98,76.93,
2017-01-10,75.43,1534164.0,75.43,75.12,75.68,75.59,
2017-01-11,75.63,1902366.0,75.63,75.24,75.91,75.44,
2017-01-12,75.28,2468805.0,75.28,75.04,75.84,75.65,
2017-01-13,75.21,1992744.0,75.21,74.7,75.43,75.07,
2017-01-17,76.2,2111510.0,76.2,75.33,76.3573,75.57,
2017-01-18,76.17,1913870.0,76.17,75.94,76.64,75.99,
2017-01-19,75.62,1397366.0,75.62,75.36,76.16,75.78,
2017-01-20,75.79,1739289.0,75.79,75.29,76.04,75.73,
2017-01-23,75.58,1530681.0,75.58,75.45,76.1,75.91,
2017-01-24,75.47,1898206.0,75.47,75.315,75.77,75.53,
2017-01-25,75.81,2161131.0,75.81,75.21,75.93,75.46,
2017-01-26,75.69,1537726.0,75.69,75.5,76.24,75.72,
2017-01-27,75.52,1393807.0,75.52,75.22,75.84,75.69,
2017-01-30,75.26,2287021.0,75.26,75.005,75.79,75.78,
2017-01-31,76.28,3056221.0,76.28,75.28,76.31,75.31,
2017-02-01,71.85,7279632.0,71.85,71.82,75.44,74.36,
2017-02-02,71.68,4336571.0,71.68,70.87,72.15,71.87,
2017-02-03,71.7,3695367.0,71.7,71.25,71.99,71.72,
2017-02-06,72.21,3223784.0,72.21,71.51,72.42,72.05,
2017-02-07,72.35,2436244.0,72.35,71.71,72.45,72.26,
2017-02-08,73.34,2711568.0,73.34,72.49,73.5226,72.56,
2017-02-09,72.15,3752894.0,72.15,71.59,73.48,73.26,
2017-02-10,73.37,3563804.0,73.37,71.825,73.45,72.15,
2017-02-13,73.73,2829005.0,73.73,73.182,73.88,73.41,
2017-02-14,73.12,2824257.0,73.12,72.83,73.68,73.59,
2017-02-15,72.38,3184377.0,72.38,71.96,72.8,72.55,
2017-02-16,73.28,3026285.0,73.28,72.4,73.38,72.53,
2017-02-17,73.77,3426440.0,73.77,72.84,73.84,73.265,
2017-02-21,74.76,3541201.0,74.76,73.42,75.09,73.65,
2017-02-22,75.35,3105743.0,75.35,74.3,75.44,74.75,
2017-02-23,76.16,2513319.0,76.16,75.355,76.29,75.62,
2017-02-24,77.0,2384826.0,77.0,76.44,77.19,76.45,
2017-02-27,76.87,3344738.0,76.87,76.54,77.05,76.89,
2017-02-28,77.64,2920354.0,77.64,76.67,78.035,76.67,
2017-03-01,76.25,2663158.0,76.25,75.58,76.65,75.88,
2017-03-02,77.22,2604406.0,77.22,75.91,77.805,75.99,
2017-03-03,76.56,2956027.0,76.56,75.98,77.21,77.19,
2017-03-06,76.24,1948118.0,76.24,76.02,76.541,76.3,
2017-03-07,76.12,2479730.0,76.12,75.96,76.38,75.98,
2017-03-08,75.13,1878504.0,75.13,74.59,75.65,75.52,
2017-03-09,74.9,1381837.0,74.9,74.85,75.6989,75.21,
2017-03-10,75.67,1623676.0,75.67,75.11,75.75,75.25,
2017-03-13,76.09,2728587.0,76.09,75.46,76.19,75.62,
2017-03-14,76.33,2088974.0,76.33,75.82,76.715,75.93,
2017-03-15,77.85,2779689.0,77.85,76.44,78.21,76.6,
2017-03-16,76.8,2652318.0,76.8,76.48,78.04,78.04,
2017-03-17,77.12,3797826.0,77.12,76.62,77.48,77.09,
2017-03-20,76.83,2149325.0,76.83,76.51,77.76,77.57,
2017-03-21,78.21,3246719.0,78.21,76.83,78.6125,76.83,
2017-03-22,78.65,3122745.0,78.65,78.37,79.36,78.53,
2017-03-23,78.26,2618107.0,78.26,78.0,78.9,78.54,
2017-03-24,78.26,2367274.0,78.26,78.06,78.62,78.29,
2017-03-27,77.92,2548696.0,77.92,77.555,78.73,78.63,
2017-03-28,78.06,2869038.0,78.06,77.6,78.18,77.98,
2017-03-29,77.67,1791508.0,77.67,77.44,77.93,77.84,
2017-03-30,77.41,1520551.0,77.41,76.99,77.485,77.48,
2017-03-31,77.57,2050534.0,77.57,77.4,77.97,77.53,
2017-04-03,77.74,1991472.0,77.74,76.25,77.77,77.14,
2017-04-04,77.62,1985714.0,77.62,77.3,78.01,77.77,
2017-04-05,77.96,1839956.0,77.96,77.38,78.08,77.73,
2017-04-06,78.21,2781742.0,78.21,77.75,78.3646,78.0,
2017-04-07,77.59,2160496.0,77.59,77.54,78.461,78.36,
2017-04-10,77.91,1809531.0,77.91,77.16,77.98,77.64,
2017-04-11,77.48,1814223.0,77.48,77.32,77.92,77.63,
2017-04-12,77.93,2246694.0,77.93,77.01,77.98,77.38,
2017-04-13,77.53,2637247.0,77.53,77.19,78.0,78.0,
2017-04-17,77.94,2751544.0,77.94,77.56,78.05,77.66,
2017-04-18,77.99,2540680.0,77.99,77.625,78.23,77.9,
2017-04-19,77.34,1883916.0,77.34,77.031,77.96,77.84,
2017-04-20,77.36,2603619.0,77.36,76.64,77.41,77.24,
2017-04-21,77.54,3471946.0,77.54,77.425,78.12,77.47,
2017-04-24,78.07,2543271.0,78.07,77.06,78.225,77.64,
2017-04-25,77.7,1787686.0,77.7,77.35,77.9001,77.67,
2017-04-26,77.49,1505814.0,77.49,77.45,78.01,77.62,
2017-04-27,77.69,1593258.0,77.69,77.425,77.935,77.51,
