YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,104.05,3379330.0,104.05,103.45,104.77,103.68,
2017-01-04,105.82,4439027.0,105.82,104.1,106.5,104.34,
2017-01-05,105.35,2328328.0,105.35,105.04,106.25,105.64,
2017-01-06,106.49,2633695.0,106.49,105.41,106.75,105.8,
2017-01-09,105.19,2195058.0,105.19,104.85,106.31,105.94,
2017-01-10,104.89,1745437.0,104.89,104.63,105.35,105.0,
2017-01-11,105.71,1235310.0,105.71,104.97,105.83,105.1,
2017-01-12,105.17,2165962.0,105.17,103.99,105.43,105.16,
2017-01-13,105.79,1360588.0,105.79,104.96,106.0,105.56,
2017-01-17,104.34,2439353.0,104.34,104.1,105.71,105.71,
2017-01-18,105.24,1941283.0,105.24,104.45,105.65,104.96,
2017-01-19,105.02,1526117.0,105.02,104.92,105.7,105.43,
2017-01-20,106.74,2843948.0,106.74,105.04,107.03,105.47,
2017-01-23,107.12,2073146.0,107.12,106.45,107.3,106.79,
2017-01-24,107.67,2277777.0,107.67,106.37,108.0,106.37,
2017-01-25,108.06,2181239.0,108.06,107.58,108.47,107.82,
2017-01-26,107.63,1560426.0,107.63,106.93,108.08,107.95,
2017-01-27,107.99,1220679.0,107.99,107.1,107.99,107.8,
2017-01-30,107.06,2420696.0,107.06,106.45,107.73,107.73,
2017-01-31,107.05,1645836.0,107.05,105.64,107.15,106.31,
2017-02-01,107.15,1375056.0,107.15,106.65,107.855,107.3,
2017-02-02,107.43,1168062.0,107.43,106.62,107.58,107.15,
2017-02-03,107.99,1895127.0,107.99,107.28,108.075,107.51,
2017-02-06,108.06,2022266.0,108.06,107.45,108.15,107.76,
2017-02-07,108.76,1755861.0,108.76,108.07,108.9,108.49,
2017-02-08,108.41,1605864.0,108.41,107.75,108.55,108.28,
2017-02-09,109.12,2715526.0,109.12,108.0925,109.19,108.41,
2017-02-10,110.24,2757834.0,110.24,109.1525,110.39,109.25,
2017-02-13,110.75,2704154.0,110.75,109.52,112.1799,109.97,
2017-02-14,110.05,3521051.0,110.05,109.06,110.42,109.88,
2017-02-15,109.12,5231910.0,109.12,108.31,109.67,109.08,
2017-02-16,109.17,4757882.0,109.17,107.96,109.4,109.15,
2017-02-17,110.27,6717785.0,110.27,107.78,112.16,111.77,
2017-02-21,109.61,3355005.0,109.61,108.55,110.27,110.24,
2017-02-22,109.65,4206266.0,109.65,108.7,109.92,108.8,
2017-02-23,107.73,4170699.0,107.73,106.72,109.7,109.55,
2017-02-24,108.62,2166411.0,108.62,107.08,108.67,107.27,
2017-02-27,109.51,1835218.0,109.51,108.56,109.74,108.65,
2017-02-28,109.49,2812507.0,109.49,108.91,110.62,108.91,
2017-03-01,111.22,2859796.0,111.22,110.71,111.78,110.72,
2017-03-02,109.54,2349226.0,109.54,109.38,111.23,110.77,
2017-03-03,110.83,1886960.0,110.83,108.86,111.01,109.42,
2017-03-06,110.84,1689521.0,110.84,109.71,111.06,109.91,
2017-03-07,110.24,1640003.0,110.24,110.02,110.95,110.83,
2017-03-08,110.47,1892681.0,110.47,110.15,111.31,110.44,
2017-03-09,109.58,2125623.0,109.58,108.81,110.9,110.54,
2017-03-10,109.92,1876871.0,109.92,108.88,110.0,109.83,
2017-03-13,109.88,1450694.0,109.88,109.35,110.67,110.17,
2017-03-14,109.21,1504073.0,109.21,108.64,109.59,109.3,
2017-03-15,110.79,2579993.0,110.79,109.17,111.32,109.59,
2017-03-16,110.73,1378887.0,110.73,110.42,111.27,111.2,
2017-03-17,110.45,4122211.0,110.45,110.23,111.11,110.74,
2017-03-20,110.88,1360231.0,110.88,109.9,111.19,110.46,
2017-03-21,109.61,2261840.0,109.61,109.14,111.485,111.26,
2017-03-22,109.77,1650598.0,109.77,109.1,110.24,109.7,
2017-03-23,109.53,1046453.0,109.53,109.2639,110.71,109.86,
2017-03-24,108.98,1844661.0,108.98,108.3401,110.24,109.53,
2017-03-27,107.16,3473250.0,107.16,106.93,107.99,107.61,
2017-03-28,108.33,1864891.0,108.33,107.31,108.535,107.31,
2017-03-29,108.18,1614993.0,108.18,107.36,108.331,107.65,
2017-03-30,109.17,1091475.0,109.17,108.25,109.43,108.33,
2017-03-31,108.86,2257904.0,108.86,108.38,109.87,108.8,
2017-04-03,108.78,1642311.0,108.78,107.97,109.26,108.97,
2017-04-04,109.5,1266755.0,109.5,108.5,109.63,108.93,
2017-04-05,109.25,1322828.0,109.25,108.93,111.04,110.0,
2017-04-06,110.44,1616506.0,110.44,109.2,110.89,109.62,
2017-04-07,109.32,1334656.0,109.32,109.29,110.84,110.38,
2017-04-10,109.63,1040235.0,109.63,109.18,110.21,109.45,
2017-04-11,111.16,2846708.0,111.16,109.37,111.38,110.02,
2017-04-12,109.35,2088243.0,109.35,109.28,111.199,110.99,
2017-04-13,108.0,2341231.0,108.0,107.96,109.57,109.1,
2017-04-17,108.8,1981443.0,108.8,107.75,108.99,108.39,
2017-04-18,108.47,1690470.0,108.47,107.83,108.88,108.02,
2017-04-19,108.22,1458192.0,108.22,107.89,108.99,108.8,
2017-04-20,108.8,2014014.0,108.8,107.26,109.15,108.0,
2017-04-21,107.54,2025129.0,107.54,107.04,109.47,109.04,
2017-04-24,110.25,2711428.0,110.25,108.94,110.59,109.01,
2017-04-25,113.15,3326137.0,113.15,111.57,114.13,111.68,
2017-04-26,112.55,2208070.0,112.55,112.5,113.78,113.09,
2017-04-27,111.18,2635255.0,111.18,110.54,112.68,112.5,
2017-04-28,111.61,2297713.0,111.61,109.84,111.855,111.0,
2017-05-01,111.97,1808433.0,111.97,111.93,112.79,112.25,
2017-05-02,110.93,2653322.0,110.93,110.42,112.943,112.28,
2017-05-03,110.79,2013417.0,110.79,109.79,111.0,110.34,
2017-05-04,112.03,3691016.0,112.03,110.42,112.09,111.02,
2017-05-05,113.11,1505807.0,113.11,111.38,113.14,111.6,
2017-05-08,112.64,1460398.0,112.64,112.22,113.13,112.94,
2017-05-09,113.58,2059747.0,113.58,112.84,114.04,112.96,
2017-05-10,113.55,2164879.0,113.55,113.33,114.17,113.5,
2017-05-11,113.47,1627000.0,113.47,112.29,114.13,113.45,
2017-05-12,113.11,1421436.0,113.11,112.37,113.18,113.04,
2017-05-15,113.8,2527912.0,113.8,113.27,113.97,113.62,
2017-05-16,114.8,3202713.0,114.8,113.8254,114.96,114.1,
2017-05-17,113.23,2769947.0,113.23,113.05,114.46,113.8,
2017-05-18,112.67,3278675.0,112.67,111.12,113.52,112.19,
2017-05-19,120.9,11097657.0,120.9,119.0,122.24,120.37,
2017-05-22,121.71,4423486.0,121.71,120.1193,122.5,122.08,
2017-05-23,122.13,3719482.0,122.13,121.03,122.65,121.86,
2017-05-24,122.78,1990995.0,122.78,121.79,122.82,121.96,
2017-05-25,122.43,2792232.0,122.43,122.06,123.43,123.0,
2017-05-26,122.79,2132381.0,122.79,122.3589,123.59,122.8,
2017-05-30,122.26,3261639.0,122.26,121.85,122.645,122.0,
2017-05-31,122.46,2341910.0,122.46,122.11,123.21,123.05,
2017-06-01,124.7,4197964.0,124.7,124.12,125.98,125.25,
2017-06-02,124.91,2429048.0,124.91,124.44,126.0,125.89,
2017-06-05,125.33,2098404.0,125.33,124.63,126.435,124.63,
2017-06-06,125.05,2051273.0,125.05,124.64,125.75,124.8,
2017-06-07,125.29,2144807.0,125.29,124.79,125.669,125.05,
2017-06-08,126.0,2267000.0,126.0,125.16,126.29,125.5,
2017-06-09,125.95,2395422.0,125.95,125.32,127.04,126.27,
2017-06-12,126.0,1997577.0,126.0,124.39,126.4,125.89,
2017-06-13,126.42,1171671.0,126.42,126.0,126.65,126.0,
2017-06-14,126.43,1836723.0,126.43,125.94,126.55,126.42,
2017-06-15,126.37,3859925.0,126.37,125.4052,126.55,125.7,
2017-06-16,127.9,4207141.0,127.9,126.5268,128.21,126.58,
2017-06-19,126.99,2089823.0,126.99,126.5,128.37,128.37,
2017-06-20,126.04,2204298.0,126.04,126.04,127.08,126.63,
2017-06-21,124.78,1850730.0,124.78,124.13,126.4,126.3,
2017-06-22,123.86,1979902.0,123.86,123.51,125.27,124.98,
2017-06-23,123.6,7209789.0,123.6,123.35,124.47,123.81,
2017-06-26,123.35,1714428.0,123.35,122.24,124.52,124.17,
2017-06-27,122.0,1466351.0,122.0,121.94,124.265,123.94,
2017-06-28,123.47,2375125.0,123.47,121.51,123.67,122.26,
2017-06-29,121.91,1817760.0,121.91,120.92,123.4148,123.38,
2017-06-30,123.59,2305572.0,123.59,122.26,124.34,122.59,
2017-07-03,124.95,1681918.0,124.95,123.79,125.5,124.19,
2017-07-05,125.6,2293031.0,125.6,124.11,125.87,124.75,
2017-07-06,125.09,1851906.0,125.09,124.69,125.47,125.29,
2017-07-07,126.64,1584569.0,126.64,125.05,126.82,125.13,
2017-07-10,128.14,3103879.0,128.14,126.67,128.5,126.71,
2017-07-11,128.06,1834768.0,128.06,127.32,128.8,128.01,
2017-07-12,123.48,4848240.0,123.48,123.46,129.0,128.8,
2017-07-13,124.42,2894814.0,124.42,123.25,125.05,123.59,
2017-07-14,125.47,1776971.0,125.47,124.27,125.78,124.52,
2017-07-17,125.88,1573384.0,125.88,125.01,126.02,125.46,
2017-07-18,126.09,1869390.0,126.09,125.34,126.44,125.89,
2017-07-19,126.31,1474278.0,126.31,125.85,126.74,126.35,
2017-07-20,125.6,2074141.0,125.6,125.35,126.72,126.25,
2017-07-21,125.75,1455787.0,125.75,124.61,126.1,124.74,
2017-07-24,126.55,1291182.0,126.55,125.7,126.65,125.92,
2017-07-25,127.9,2127964.0,127.9,126.81,128.75,127.93,
2017-07-26,127.82,1959293.0,127.82,127.0,128.18,128.05,
2017-07-27,128.44,1472945.0,128.44,127.32,128.53,128.14,
2017-07-28,128.91,1261212.0,128.91,128.06,129.02,128.44,
2017-07-31,128.28,1281264.0,128.28,128.15,129.54,128.92,
2017-08-01,129.02,1592215.0,129.02,128.18,129.46,128.51,
2017-08-02,128.98,1512955.0,128.98,128.3,129.41,129.05,
2017-08-03,129.51,1657569.0,129.51,128.84,129.66,128.94,
2017-08-04,129.75,1214842.0,129.75,129.105,129.95,129.61,
2017-08-07,129.96,1535249.0,129.96,129.66,130.5,130.18,
2017-08-08,132.02,3955080.0,132.02,129.75,132.22,129.75,
2017-08-09,132.41,1394165.0,132.41,131.18,132.5,131.3,
2017-08-10,127.78,2991505.0,127.78,127.74,132.26,132.26,
2017-08-11,126.7,2305693.0,126.7,126.49,128.51,127.93,
2017-08-14,128.57,2146499.0,128.57,127.88,129.1689,128.11,
2017-08-15,127.18,2158282.0,127.18,126.13,128.08,126.79,
2017-08-16,126.63,1919387.0,126.63,126.48,127.98,127.81,
2017-08-17,123.98,4123346.0,123.98,123.6,127.04,126.49,
2017-08-18,117.31,11364628.0,117.31,112.87,118.41,115.43,
2017-08-21,116.52,4809147.0,116.52,116.03,118.39,117.47,
2017-08-22,117.48,3052646.0,117.48,116.39,117.52,116.97,
2017-08-23,116.45,2778190.0,116.45,115.95,117.13,117.05,
2017-08-24,115.44,2738712.0,115.44,115.24,116.64,116.64,
2017-08-25,115.84,1861059.0,115.84,115.06,116.26,116.08,
2017-08-28,115.96,1471488.0,115.96,115.11,116.53,116.44,
2017-08-29,115.89,2578263.0,115.89,114.53,115.94,115.0,
2017-08-30,115.49,1809757.0,115.49,114.96,115.64,115.42,
2017-08-31,115.93,2067730.0,115.93,115.03,116.44,115.95,
2017-09-01,116.14,1815454.0,116.14,115.41,116.66,115.98,
2017-09-05,115.53,3236047.0,115.53,115.3,117.15,116.02,
2017-09-06,116.22,3147915.0,116.22,115.13,116.79,115.85,
2017-09-07,116.33,2881397.0,116.33,114.76,116.76,116.19,
2017-09-08,117.3,3000624.0,117.3,115.9,117.92,116.16,
2017-09-11,117.93,2759642.0,117.93,116.97,118.59,118.47,
2017-09-12,117.26,3726260.0,117.26,116.75,119.25,118.51,
2017-09-13,117.37,2562119.0,117.37,116.72,117.955,117.16,
2017-09-14,118.37,1802755.0,118.37,117.15,118.73,117.37,
2017-09-15,119.01,6627120.0,119.01,118.37,119.45,119.06,
2017-09-18,119.89,2009696.0,119.89,118.88,120.055,119.0,
2017-09-19,123.08,3947014.0,123.08,119.9,123.367,120.0,
2017-09-20,123.95,2173347.0,123.95,122.91,124.11,123.1,
