YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,72.73,2292419.0,72.73,71.91,73.35,72.9,
2017-01-04,73.94,2360471.0,73.94,72.89,74.33,73.09,
2017-01-05,72.9,2328202.0,72.9,72.26,73.79,73.79,
2017-01-06,72.06,3137831.0,72.06,71.83,73.02,72.76,
2017-01-09,71.62,3588521.0,71.62,70.71,72.05,71.63,
2017-01-10,72.11,3277813.0,72.11,71.19,72.91,71.8,
2017-01-11,71.65,3264473.0,71.65,71.33,72.46,72.18,
2017-01-12,71.31,3042311.0,71.31,70.22,71.5,71.05,
2017-01-13,71.66,1648515.0,71.66,71.39,72.84,71.4,
2017-01-17,69.9,2715104.0,69.9,69.51,71.49,71.29,
2017-01-18,70.36,2473163.0,70.36,69.28,70.5,70.11,
2017-01-19,70.0,1609068.0,70.0,69.73,70.53,70.52,
2017-01-20,70.2,3200275.0,70.2,69.75,70.81,70.3,
2017-01-23,69.28,2577955.0,69.28,69.03,70.45,69.98,
2017-01-24,69.88,3511059.0,69.88,68.83,70.205,69.68,
2017-01-25,69.21,5475564.0,69.21,68.5,71.1699,70.83,
2017-01-26,69.35,3250285.0,69.35,68.59,69.42,69.1,
2017-01-27,69.06,1769831.0,69.06,68.96,69.56,69.5,
2017-01-30,69.63,2166644.0,69.63,68.27,69.66,68.86,
2017-01-31,69.28,2689320.0,69.28,68.73,69.78,69.05,
2017-02-01,68.77,2763253.0,68.77,68.68,70.2,69.7,
2017-02-02,68.06,2952119.0,68.06,67.8185,68.94,68.34,
2017-02-03,69.36,2016466.0,69.36,68.515,69.68,68.93,
2017-02-06,69.29,2048862.0,69.29,68.805,69.41,69.05,
2017-02-07,68.51,2300367.0,68.51,68.34,69.58,69.24,
2017-02-08,68.16,2200116.0,68.16,67.73,68.42,68.2,
2017-02-09,68.95,1441164.0,68.95,68.15,69.15,68.4,
2017-02-10,68.82,1348386.0,68.82,68.73,69.25,69.21,
2017-02-13,69.58,1396246.0,69.58,69.05,69.91,69.17,
2017-02-14,70.85,2338066.0,70.85,69.17,70.94,69.25,
2017-02-15,70.92,1869438.0,70.92,70.645,71.4,71.14,
2017-02-16,70.84,1642067.0,70.84,70.2,70.99,70.75,
2017-02-17,71.3,2082230.0,71.3,69.93,71.33,70.45,
2017-02-21,71.29,2201218.0,71.29,70.98,72.31,71.4,
2017-02-22,71.17,1721365.0,71.17,70.6,71.37,71.02,
2017-02-23,71.46,1726928.0,71.46,70.85,71.54,71.3,
2017-02-24,71.22,2133993.0,71.22,70.56,71.41,70.84,
2017-02-27,71.63,2064678.0,71.63,71.065,71.7,71.3,
2017-02-28,71.14,3419334.0,71.14,70.73,71.65,71.27,
2017-03-01,72.4,2819173.0,72.4,72.23,72.91,72.23,
2017-03-02,71.06,1850167.0,71.06,71.0,72.46,72.46,
2017-03-03,71.4,2456334.0,71.4,70.64,71.46,71.05,
2017-03-06,70.82,1547509.0,70.82,70.34,71.03,71.03,
2017-03-07,70.98,1865810.0,70.98,70.53,71.49,70.81,
2017-03-08,71.36,1610965.0,71.36,71.29,71.8,71.59,
2017-03-09,71.29,1459869.0,71.29,71.05,71.84,71.62,
2017-03-10,71.52,1631714.0,71.52,71.01,71.86,71.66,
2017-03-13,71.32,1363300.0,71.32,71.06,71.7,71.46,
2017-03-14,71.8,1559517.0,71.8,70.83,71.88,71.0,
2017-03-15,70.63,2903935.0,70.63,70.23,71.89,71.86,
2017-03-16,71.0,1936850.0,71.0,70.76,71.35,70.9,
2017-03-17,70.31,3422021.0,70.31,69.88,71.38,71.13,
2017-03-20,69.88,1922829.0,69.88,69.85,70.685,70.28,
2017-03-21,67.6,2857090.0,67.6,67.48,70.31,70.14,
2017-03-22,67.66,1827010.0,67.66,66.65,68.13,67.3,
2017-03-23,67.42,1918089.0,67.42,67.16,68.25,67.61,
2017-03-24,67.21,1611107.0,67.21,66.8,67.81,67.81,
2017-03-27,66.79,1934705.0,66.79,65.54,66.99,66.05,
2017-03-28,67.89,1782449.0,67.89,66.42,68.37,66.42,
2017-03-29,67.66,1195902.0,67.66,67.39,67.95,67.81,
2017-03-30,68.66,1583997.0,68.66,67.47,68.91,67.66,
2017-03-31,68.39,1971701.0,68.39,68.15,68.82,68.54,
2017-04-03,67.95,1716898.0,67.95,67.03,68.54,68.47,
2017-04-04,67.05,2322650.0,67.05,66.78,67.83,67.67,
2017-04-05,66.12,2797512.0,66.12,66.02,67.985,67.78,
2017-04-06,66.53,3195558.0,66.53,65.26,66.89,66.08,
2017-04-07,65.98,2975443.0,65.98,65.68,66.55,65.99,
2017-04-10,65.43,2392061.0,65.43,65.345,66.22,65.89,
2017-04-11,66.03,2473323.0,66.03,64.81,66.03,65.16,
2017-04-12,65.47,2197369.0,65.47,65.35,66.15,65.64,
2017-04-13,64.77,1857144.0,64.77,64.75,65.74,65.14,
2017-04-17,65.68,2027596.0,65.68,64.6,65.76,64.88,
2017-04-18,65.04,2541414.0,65.04,64.62,65.62,65.32,
2017-04-19,64.97,1976548.0,64.97,64.86,65.57,65.38,
2017-04-20,66.69,3874807.0,66.69,65.45,66.95,65.45,
2017-04-21,66.23,2851914.0,66.23,66.1,67.15,66.97,
2017-04-24,66.91,3247236.0,66.91,66.85,67.8,67.75,
2017-04-25,67.28,3228452.0,67.28,66.95,67.7299,67.68,
2017-04-26,65.23,5679925.0,65.23,63.44,66.45,66.25,
2017-04-27,64.32,3434128.0,64.32,64.18,65.39,65.36,
2017-04-28,62.59,5569749.0,62.59,62.27,63.94,63.57,
2017-05-01,61.97,4014561.0,61.97,61.8,62.63,62.35,
2017-05-02,61.93,4291631.0,61.93,61.12,62.17,62.06,
2017-05-03,61.14,5158144.0,61.14,60.95,62.06,61.8,
2017-05-04,60.55,4625399.0,60.55,60.53,61.68,61.6,
2017-05-05,60.3,6355518.0,60.3,60.08,61.1,60.77,
2017-05-08,60.43,5191791.0,60.43,60.1,60.67,60.56,
2017-05-09,60.7,4000317.0,60.7,60.12,60.905,60.3,
2017-05-10,60.31,3604118.0,60.31,60.1,60.78,60.66,
2017-05-11,60.24,3802992.0,60.24,59.73,60.8,60.19,
2017-05-12,60.27,4464287.0,60.27,59.2973,60.32,60.0,
2017-05-15,60.81,5120323.0,60.81,60.04,60.99,60.37,
2017-05-16,60.17,3384750.0,60.17,60.005,61.12,60.98,
2017-05-17,58.84,3769306.0,58.84,58.78,59.96,59.11,
2017-05-18,59.28,4558320.0,59.28,58.74,59.57,58.83,
2017-05-19,60.11,4516067.0,60.11,59.19,60.85,59.39,
2017-05-22,59.71,3534747.0,59.71,59.59,60.41,60.29,
2017-05-23,59.74,2487248.0,59.74,59.32,59.95,59.62,
2017-05-24,59.2,2639828.0,59.2,59.15,59.91,59.74,
2017-05-25,59.04,5743777.0,59.04,58.87,59.62,59.43,
2017-05-26,59.8,2660004.0,59.8,58.86,59.935,58.98,
2017-05-30,58.86,2890323.0,58.86,58.84,59.72,59.65,
2017-05-31,58.7,3250760.0,58.7,57.82,59.27,59.07,
2017-06-01,59.07,2375980.0,59.07,58.58,59.43,58.88,
2017-06-02,58.91,2830550.0,58.91,58.75,59.49,58.75,
