YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,92.45,1011157.0,92.45,92.03,93.35,92.76,
2017-01-04,93.07,921635.0,93.07,92.51,93.37,92.91,
2017-01-05,92.69,1088985.0,92.69,91.87,93.03,92.7,
2017-01-06,92.02,784775.0,92.02,91.99,92.71,92.12,
2017-01-09,92.43,954827.0,92.43,91.58,92.68,92.06,
2017-01-10,93.0,1038595.0,93.0,91.79,93.06,92.26,
2017-01-11,93.27,720506.0,93.27,92.44,93.84,93.08,
2017-01-12,93.12,686142.0,93.12,92.35,93.18,92.94,
2017-01-13,92.7,663245.0,92.7,92.43,93.68,93.29,
2017-01-17,92.26,768273.0,92.26,91.69,92.66,92.59,
2017-01-18,92.96,804058.0,92.96,92.15,93.37,92.71,
2017-01-19,91.53,1257924.0,91.53,91.46,93.03,92.71,
2017-01-20,91.0,1167722.0,91.0,90.47,91.785,91.66,
2017-01-23,91.07,1207771.0,91.07,90.5,91.21,91.05,
2017-01-24,91.34,929135.0,91.34,90.91,91.45,91.42,
2017-01-25,91.88,1008023.0,91.88,91.38,92.4372,91.45,
2017-01-26,92.89,1672378.0,92.89,90.555,95.14,91.61,
2017-01-27,92.72,1374688.0,92.72,92.15,93.58,93.52,
2017-01-30,90.54,1093807.0,90.54,90.13,92.57,92.57,
2017-01-31,91.92,1384275.0,91.92,90.24,91.95,90.68,
2017-02-01,92.55,1266726.0,92.55,91.96,92.6,92.13,
2017-02-02,92.48,1050358.0,92.48,91.93,92.99,92.3,
2017-02-03,93.31,746131.0,93.31,92.39,93.43,92.95,
2017-02-06,92.78,743704.0,92.78,92.36,93.29,93.29,
2017-02-07,92.62,817514.0,92.62,92.09,92.96,92.61,
2017-02-08,93.05,623835.0,93.05,92.32,93.26,92.59,
2017-02-09,93.77,760070.0,93.77,92.73,94.03,93.07,
2017-02-10,93.56,878015.0,93.56,93.45,94.22,93.84,
2017-02-13,93.96,650609.0,93.96,93.61,94.09,93.61,
2017-02-14,94.61,766077.0,94.61,93.76,94.6699,93.76,
2017-02-15,95.39,1077407.0,95.39,94.26,95.51,94.26,
2017-02-16,95.3,761688.0,95.3,94.9,96.45,95.58,
2017-02-17,95.64,978685.0,95.64,94.56,95.66,94.8,
2017-02-21,95.87,638271.0,95.87,95.36,96.23,95.48,
2017-02-22,95.6,781738.0,95.6,95.34,95.96,95.54,
2017-02-23,95.61,705238.0,95.61,95.27,96.08,95.7,
2017-02-24,97.31,807147.0,97.31,95.49,97.345,95.72,
2017-02-27,97.47,516491.0,97.47,97.15,97.61,97.39,
2017-02-28,97.44,694944.0,97.44,97.125,97.83,97.2,
2017-03-01,98.4,836951.0,98.4,97.48,98.75,97.77,
2017-03-02,98.27,608841.0,98.27,97.8455,98.605,98.25,
2017-03-03,98.52,510090.0,98.52,98.0,98.65,98.29,
2017-03-06,98.37,688615.0,98.37,97.78,98.6,98.06,
2017-03-07,98.17,689678.0,98.17,97.55,98.59,97.95,
2017-03-08,97.92,601208.0,97.92,97.82,98.57,97.95,
2017-03-09,98.2,507815.0,98.2,97.6,98.6,98.01,
2017-03-10,98.78,549082.0,98.78,98.02,98.96,98.13,
2017-03-13,98.79,612159.0,98.79,98.13,98.97,98.94,
2017-03-14,98.66,829142.0,98.66,98.1901,99.455,99.0,
2017-03-15,99.74,909718.0,99.74,98.54,99.835,98.87,
2017-03-16,98.72,1083780.0,98.72,98.4,100.0,99.82,
2017-03-17,99.06,1547776.0,99.06,98.76,99.34,98.83,
