YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,74.19,2003594.0,74.19,73.21,74.42,74.34,
2017-01-04,76.04,3021740.0,76.04,74.56,76.29,74.64,
2017-01-05,74.52,2829592.0,74.52,73.77,75.18,74.91,
2017-01-06,73.35,2523119.0,73.35,73.29,74.42,74.42,
2017-01-09,73.73,2469693.0,73.73,72.82,73.99,73.17,
2017-01-10,74.25,2022402.0,74.25,73.4601,74.84,73.74,
2017-01-11,73.42,3764160.0,73.42,73.3,74.67,74.48,
2017-01-12,73.59,2078122.0,73.59,73.27,74.07,73.35,
2017-01-13,73.09,2046185.0,73.09,72.33,73.61,72.96,
2017-01-17,74.33,2652846.0,74.33,73.07,75.62,73.35,
2017-01-18,72.44,2457467.0,72.44,72.17,74.14,73.85,
2017-01-19,71.01,2699845.0,71.01,70.94,72.43,72.24,
2017-01-20,71.0,3997157.0,71.0,69.87,71.46,71.07,
2017-01-23,70.46,2127635.0,70.46,70.03,71.0,70.87,
2017-01-24,71.75,3279601.0,71.75,70.55,71.85,70.73,
2017-01-25,71.96,3043863.0,71.96,71.44,72.5,71.96,
2017-01-26,71.69,2236341.0,71.69,71.44,72.09,71.65,
2017-01-27,70.31,2228447.0,70.31,70.11,72.2,72.1,
2017-01-30,72.0,2314451.0,72.0,70.02,72.185,70.22,
2017-01-31,73.82,4072327.0,73.82,71.17,73.93,71.28,
2017-02-01,73.39,2608162.0,73.39,73.03,74.08,73.64,
2017-02-02,73.5,1679431.0,73.5,73.22,74.18,73.59,
2017-02-03,73.14,2435637.0,73.14,72.845,74.16,73.49,
2017-02-06,72.26,2105108.0,72.26,72.2,73.04,72.56,
2017-02-07,72.8,2055320.0,72.8,72.17,73.19,72.67,
2017-02-08,75.07,2760911.0,75.07,72.7,75.13,73.09,
2017-02-09,77.71,4862566.0,77.71,75.29,78.39,75.32,
2017-02-10,76.79,2599862.0,76.79,76.24,78.02,77.76,
2017-02-13,76.02,1825944.0,76.02,75.94,77.41,77.4,
2017-02-14,77.14,4457717.0,77.14,75.82,77.58,76.02,
2017-02-15,77.38,1654287.0,77.38,76.6201,77.45,77.01,
2017-02-16,76.02,1696649.0,76.02,75.46,77.7,77.62,
2017-02-17,77.67,2518789.0,77.67,75.91,77.69,76.04,
2017-02-21,77.86,2215506.0,77.86,77.28,79.35,78.33,
2017-02-22,77.38,1318625.0,77.38,76.82,78.18,78.1,
2017-02-23,75.92,1975796.0,75.92,75.73,77.73,77.73,
2017-02-24,77.35,3866027.0,77.35,75.73,78.47,76.32,
2017-02-27,76.79,2580117.0,76.79,75.45,77.33,77.31,
2017-02-28,73.02,6952105.0,73.02,72.3,75.42,75.15,
2017-03-01,73.35,5035868.0,73.35,72.55,75.39,74.75,
2017-03-02,74.07,2428625.0,74.07,73.322,74.84,73.37,
2017-03-03,73.12,3040775.0,73.12,72.74,73.9599,73.48,
2017-03-06,72.42,1889332.0,72.42,72.32,73.29,72.84,
2017-03-07,71.36,2480222.0,71.36,71.3,72.885,72.22,
2017-03-08,72.53,2305972.0,72.53,71.44,72.61,71.56,
2017-03-09,73.63,3029921.0,73.63,72.425,73.79,72.6,
2017-03-10,72.89,2537999.0,72.89,72.8,73.83,73.39,
2017-03-13,72.59,3598533.0,72.59,71.521,72.82,72.45,
2017-03-14,72.82,4304229.0,72.82,72.0,73.1,72.64,
2017-03-15,72.81,4136446.0,72.81,71.75,73.09,72.58,
2017-03-16,73.2,9769932.0,73.2,71.6,75.33,71.9,
2017-03-17,72.33,4356463.0,72.33,71.88,73.8699,73.31,
2017-03-20,71.6,2831921.0,71.6,71.39,72.6,72.6,
2017-03-21,70.01,4198866.0,70.01,69.69,71.9514,71.87,
2017-03-22,70.68,2132891.0,70.68,69.73,70.81,70.21,
2017-03-23,68.9,5173098.0,68.9,68.77,70.09,69.89,
2017-03-24,69.48,3588539.0,69.48,68.7272,69.909,69.0,
2017-03-27,68.97,2451470.0,68.97,68.78,69.99,69.14,
2017-03-28,68.55,2354522.0,68.55,68.23,68.85,68.77,
2017-03-29,70.69,3124814.0,70.69,68.62,70.78,68.62,
2017-03-30,70.86,1424534.0,70.86,70.46,70.97,70.49,
2017-03-31,69.73,2122007.0,69.73,69.71,70.93,70.69,
2017-04-03,68.82,2650273.0,68.82,68.5,70.07,69.84,
2017-04-04,68.35,3074661.0,68.35,67.935,68.885,68.73,
2017-04-05,68.5,3269613.0,68.5,68.15,69.6632,68.5,
2017-04-06,69.55,2525519.0,69.55,68.58,70.52,68.9,
2017-04-07,69.33,3150674.0,69.33,69.13,70.17,69.35,
2017-04-10,69.56,2813495.0,69.56,69.08,70.07,69.32,
2017-04-11,69.15,2194848.0,69.15,68.65,69.78,69.52,
2017-04-12,68.96,2157357.0,68.96,68.61,69.11,68.64,
2017-04-13,68.74,1528649.0,68.74,68.7,69.1,69.08,
2017-04-17,69.12,2140244.0,69.12,68.19,69.2286,68.91,
2017-04-18,69.07,1637187.0,69.07,68.88,69.39,69.03,
2017-04-19,69.31,1728186.0,69.31,69.16,70.02,69.44,
2017-04-20,70.67,2781716.0,70.67,69.5844,71.28,69.89,
2017-04-21,70.72,2440115.0,70.72,70.37,70.93,70.53,
2017-04-24,71.42,1926129.0,71.42,70.99,71.65,71.5,
2017-04-25,71.55,2492160.0,71.55,71.0,71.85,71.5,
2017-04-26,72.6,2476031.0,72.6,71.77,72.77,71.84,
2017-04-27,73.22,3153907.0,73.22,72.45,73.44,72.79,
2017-04-28,72.71,2331070.0,72.71,72.37,73.38,73.38,
2017-05-01,72.05,2645700.0,72.05,72.045,73.2,73.0,
2017-05-02,73.77,2797740.0,73.77,71.985,73.79,72.06,
2017-05-03,73.99,2248375.0,73.99,73.37,74.23,73.8,
2017-05-04,73.37,1830087.0,73.37,73.12,74.67,74.14,
2017-05-05,73.62,2066412.0,73.62,73.23,73.96,73.63,
2017-05-08,73.69,1352116.0,73.69,73.26,73.88,73.67,
2017-05-09,73.69,2232185.0,73.69,73.1501,73.9,73.28,
2017-05-10,73.91,2211504.0,73.91,73.3,74.29,73.58,
2017-05-11,72.06,2804281.0,72.06,71.71,73.9,73.25,
2017-05-12,71.58,1904589.0,71.58,70.82,72.0,71.59,
2017-05-15,71.72,1902537.0,71.72,71.51,72.55,71.7,
2017-05-16,70.94,2267975.0,70.94,70.51,71.72,71.72,
2017-05-17,70.67,2681240.0,70.67,70.63,71.5,70.82,
2017-05-18,71.13,2472020.0,71.13,70.48,71.49,70.79,
2017-05-19,71.95,2970989.0,71.95,70.32,72.08,71.38,
2017-05-22,72.45,1410588.0,72.45,71.5,72.685,71.88,
2017-05-23,70.71,4092435.0,70.71,70.511,72.48,72.48,
2017-05-24,70.21,3853528.0,70.21,69.14,70.68,70.66,
2017-05-25,72.47,4528981.0,72.47,69.53,73.48,70.01,
2017-05-26,72.32,1617843.0,72.32,71.68,72.86,72.66,
2017-05-30,73.02,2348446.0,73.02,71.89,73.26,72.11,
2017-05-31,73.39,4117851.0,73.39,71.77,73.48,73.16,
2017-06-01,78.19,7589563.0,78.19,75.51,78.2,75.82,
2017-06-02,78.91,3897846.0,78.91,77.84,79.28,78.61,
2017-06-05,78.31,2651983.0,78.31,77.585,79.0,78.6,
2017-06-06,75.34,5015848.0,75.34,75.05,77.23,77.11,
2017-06-07,74.07,4425516.0,74.07,73.93,75.76,75.67,
2017-06-08,73.69,2608180.0,73.69,73.6,75.21,74.54,
2017-06-09,75.22,3214528.0,75.22,73.17,75.36,73.95,
2017-06-12,75.11,2667395.0,75.11,74.6,76.55,75.17,
2017-06-13,75.71,1396072.0,75.71,74.63,75.99,75.2,
2017-06-14,75.66,1318419.0,75.66,74.73,75.95,75.77,
2017-06-15,72.32,4307396.0,72.32,71.55,74.92,74.83,
2017-06-16,70.12,11914546.0,70.12,65.97,71.37,68.12,
2017-06-19,71.7,6080265.0,71.7,69.91,72.24,70.83,
2017-06-20,71.4,3961982.0,71.4,71.31,72.73,71.87,
2017-06-21,71.73,3029999.0,71.73,71.23,72.38,71.38,
2017-06-22,71.08,2529915.0,71.08,70.695,71.7,71.5,
2017-06-23,69.75,7813427.0,69.75,69.51,71.12,70.93,
2017-06-26,70.41,3159466.0,70.41,69.51,70.96,70.06,
2017-06-27,70.79,2724298.0,70.79,70.2,71.92,70.25,
2017-06-28,71.48,2543579.0,71.48,70.75,72.06,71.27,
2017-06-29,70.84,2957089.0,70.84,70.625,71.81,71.48,
2017-06-30,72.09,2808808.0,72.09,71.05,72.49,71.3,
2017-07-03,71.93,1222341.0,71.93,71.67,73.0,72.53,
2017-07-05,71.24,2707898.0,71.24,70.83,72.285,72.01,
2017-07-06,70.03,1811045.0,70.03,69.86,71.22,71.08,
2017-07-07,70.23,1562953.0,70.23,69.75,70.549,70.14,
2017-07-10,69.49,3478408.0,69.49,68.69,70.15,70.02,
2017-07-11,69.04,7778346.0,69.04,68.89,69.95,69.5,
2017-07-12,69.69,3121622.0,69.69,69.11,69.95,69.41,
2017-07-13,70.58,3073488.0,70.58,70.41,71.28,70.55,
2017-07-14,71.14,3156418.0,71.14,70.57,71.38,70.6,
2017-07-17,71.87,2210906.0,71.87,71.01,72.47,71.14,
2017-07-18,70.8,1921379.0,70.8,70.45,71.69,71.64,
2017-07-19,71.39,1588149.0,71.39,70.84,71.55,71.01,
2017-07-20,71.35,2166759.0,71.35,71.03,71.68,71.59,
2017-07-21,72.2,3191825.0,72.2,71.05,72.39,71.25,
2017-07-24,71.98,2108622.0,71.98,71.55,72.3,71.98,
2017-07-25,73.57,1804616.0,73.57,71.86,73.98,72.24,
2017-07-26,74.6,2163399.0,74.6,72.92,74.67,73.45,
2017-07-27,75.12,2295764.0,75.12,74.09,75.2799,74.6,
2017-07-28,74.75,2045529.0,74.75,74.07,75.27,74.78,
2017-07-31,75.16,1583011.0,75.16,74.34,75.53,75.13,
2017-08-01,75.52,3175447.0,75.52,75.22,76.5,75.58,
2017-08-02,74.71,3023325.0,74.71,74.61,75.99,75.31,
2017-08-03,74.49,1699783.0,74.49,74.43,75.37,74.84,
2017-08-04,74.86,1378804.0,74.86,74.1,74.935,74.75,
2017-08-07,76.41,2055143.0,76.41,74.64,76.54,74.89,
2017-08-08,76.69,2454093.0,76.69,76.43,77.31,76.51,
2017-08-09,77.15,2527389.0,77.15,75.55,77.29,76.21,
2017-08-10,75.58,2307973.0,75.58,75.54,76.91,76.32,
2017-08-11,75.49,1747851.0,75.49,75.0,76.14,75.39,
2017-08-14,76.57,3117515.0,76.57,75.86,76.99,76.23,
2017-08-15,73.64,4004585.0,73.64,73.54,76.57,76.57,
2017-08-16,74.5,2799455.0,74.5,73.75,74.83,74.21,
2017-08-17,74.27,3931108.0,74.27,73.37,74.72,74.23,
2017-08-18,73.82,2282805.0,73.82,73.47,74.435,73.92,
2017-08-21,74.71,1898279.0,74.71,73.83,75.19,74.15,
2017-08-22,76.46,2729806.0,76.46,75.13,76.48,75.15,
2017-08-23,76.33,2031660.0,76.33,75.44,76.41,76.0,
2017-08-24,75.69,4917510.0,75.69,75.12,79.7,79.26,
2017-08-25,77.67,2479018.0,77.67,75.36,77.84,76.39,
2017-08-28,77.37,2803672.0,77.37,77.32,78.62,77.74,
2017-08-29,76.89,2378540.0,76.89,76.28,77.25,76.68,
2017-08-30,76.73,4236879.0,76.73,75.91,76.98,76.71,
2017-08-31,72.56,12436464.0,72.56,70.3,73.69,72.5,
2017-09-01,72.54,3696498.0,72.54,71.8,73.45,72.78,
2017-09-05,74.36,3493276.0,74.36,72.24,74.65,72.24,
2017-09-06,75.29,2536930.0,75.29,74.45,75.59,74.7,
2017-09-07,76.39,3447754.0,76.39,75.13,76.41,75.52,
2017-09-08,75.56,5110301.0,75.56,74.32,76.85,76.29,
2017-09-11,75.97,4155723.0,75.97,75.5,76.3599,75.79,
2017-09-12,76.96,2840899.0,76.96,75.85,77.855,76.09,
2017-09-13,77.84,3632338.0,77.84,76.82,78.66,76.97,
2017-09-14,77.23,2359143.0,77.23,76.82,77.655,77.44,
2017-09-15,77.6,4146445.0,77.6,76.58,77.795,76.91,
2017-09-18,77.28,3515731.0,77.28,77.25,78.83,77.71,
2017-09-19,76.99,2099533.0,76.99,76.29,77.35,77.35,
2017-09-20,77.55,1766522.0,77.55,76.13,77.7,77.16,
2017-09-21,76.77,1710135.0,76.77,76.615,77.67,77.59,
2017-09-22,77.66,3513435.0,77.66,76.57,77.765,76.77,
2017-09-25,79.34,2967262.0,79.34,77.13,79.37,77.18,
2017-09-26,79.33,2511560.0,79.33,78.8,79.685,79.08,
2017-09-27,79.93,2539504.0,79.93,78.8605,80.06,79.27,
2017-09-28,80.02,2307001.0,80.02,79.05,80.16,79.78,
2017-09-29,81.05,2485476.0,81.05,80.03,81.3,80.17,
2017-10-02,81.9,1920478.0,81.9,80.68,81.92,80.99,
2017-10-03,81.4,2056352.0,81.4,81.02,82.1,81.9,
2017-10-04,81.29,1563617.0,81.29,81.14,82.38,81.54,
2017-10-05,81.48,1478710.0,81.48,81.29,81.99,81.29,
2017-10-06,80.33,1968313.0,80.33,80.07,81.16,80.89,
2017-10-09,79.18,2392001.0,79.18,78.83,80.66,80.55,
2017-10-10,80.94,1906969.0,80.94,79.8,81.225,80.05,
2017-10-11,82.54,2988836.0,82.54,80.91,82.77,80.94,
2017-10-12,82.18,1888439.0,82.18,81.63,82.65,82.21,
2017-10-13,82.57,2016082.0,82.57,81.91,83.18,82.33,
2017-10-16,82.12,1489734.0,82.12,81.81,82.5,82.36,
2017-10-17,82.1,1367058.0,82.1,81.74,82.5001,82.15,
2017-10-18,82.8,3513499.0,82.8,82.125,83.22,82.17,
2017-10-19,82.91,1656178.0,82.91,82.6862,83.28,82.77,
2017-10-20,83.61,2171221.0,83.61,83.09,83.79,83.29,
2017-10-23,83.92,2232747.0,83.92,83.77,84.86,83.92,
2017-10-24,84.1,1656468.0,84.1,83.0595,84.26,84.01,
2017-10-25,83.97,1330994.0,83.97,83.39,84.2,84.01,
2017-10-26,84.37,1719331.0,84.37,83.88,85.07,84.14,
2017-10-27,83.26,1825888.0,83.26,82.51,84.0,84.0,
2017-10-30,81.23,2352099.0,81.23,81.1,83.0,82.93,
2017-10-31,80.84,2260570.0,80.84,80.49,82.11,81.22,
