YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,27.56,3225385.0,27.56,27.21,27.8,27.71,
2017-01-04,28.23,7423323.0,28.23,27.63,28.47,27.75,
2017-01-05,28.35,3815940.0,28.35,28.08,28.38,28.09,
2017-01-06,27.85,5339700.0,27.85,27.8,28.43,28.21,
2017-01-09,27.96,4461020.0,27.96,27.61,28.145,27.8,
2017-01-10,28.15,3319904.0,28.15,27.875,28.38,28.14,
2017-01-11,28.61,5440210.0,28.61,27.97,28.72,28.1,
2017-01-12,28.69,4171784.0,28.69,27.98,28.75,28.51,
2017-01-13,28.5,2360878.0,28.5,28.42,28.8,28.61,
2017-01-17,28.57,3700544.0,28.57,28.25,28.76,28.4,
2017-01-18,28.5,2951695.0,28.5,28.37,28.68,28.56,
2017-01-19,28.01,4121772.0,28.01,27.97,28.82,28.53,
2017-01-20,28.31,4869433.0,28.31,28.03,28.38,28.08,
2017-01-23,28.74,6132674.0,28.74,28.33,28.86,28.4,
2017-01-24,30.64,11197406.0,30.64,29.51,30.83,29.86,
2017-01-25,31.37,7794544.0,31.37,30.7,31.66,30.91,
2017-01-26,31.35,7853058.0,31.35,31.17,31.9,31.47,
2017-01-27,30.94,4262606.0,30.94,30.83,31.48,31.44,
2017-01-30,30.71,4935876.0,30.71,30.23,30.86,30.86,
2017-01-31,29.91,7352020.0,29.91,29.78,30.63,30.61,
2017-02-01,29.68,6006651.0,29.68,29.5018,30.11,30.0,
2017-02-02,29.88,5309857.0,29.88,29.62,30.14,29.82,
2017-02-03,29.89,3184406.0,29.89,29.78,30.22,30.1,
2017-02-06,29.49,4324313.0,29.49,29.465,29.99,29.86,
2017-02-07,29.42,4036978.0,29.42,29.29,29.69,29.63,
2017-02-08,29.89,3697567.0,29.89,29.3716,29.93,29.46,
2017-02-09,30.12,3483012.0,30.12,29.54,30.19,29.87,
2017-02-10,30.82,4099575.0,30.82,30.15,30.96,30.2,
2017-02-13,30.42,3376294.0,30.42,30.37,31.05,31.0,
2017-02-14,30.11,4911527.0,30.11,29.95,30.45,30.2,
2017-02-15,30.76,4986699.0,30.76,29.99,30.92,30.11,
2017-02-16,30.43,2858949.0,30.43,30.365,30.9,30.76,
2017-02-17,30.49,2349455.0,30.49,30.1,30.51,30.34,
2017-02-21,30.9,3336698.0,30.9,30.51,30.98,30.6,
2017-02-22,31.0,4162114.0,31.0,30.809,31.45,31.39,
2017-02-23,30.98,3756560.0,30.98,30.71,31.21,31.1,
2017-02-24,31.39,5569554.0,31.39,30.61,31.4,30.86,
2017-02-27,32.03,5416350.0,32.03,31.27,32.05,31.39,
2017-02-28,32.0,4647997.0,32.0,31.74,32.17,31.94,
2017-03-01,32.6,4863911.0,32.6,32.21,32.89,32.23,
2017-03-02,32.51,4019360.0,32.51,32.32,32.815,32.6,
2017-03-03,32.55,4309144.0,32.55,31.91,32.6,32.39,
2017-03-06,32.41,3170752.0,32.41,32.18,32.51,32.31,
2017-03-07,32.85,5767228.0,32.85,32.31,33.07,32.48,
2017-03-08,33.3,3881187.0,33.3,32.78,33.43,32.88,
2017-03-09,33.05,4185177.0,33.05,32.69,33.63,33.29,
2017-03-10,33.57,5293832.0,33.57,33.31,33.885,33.38,
2017-03-13,33.18,4662501.0,33.18,33.135,33.69,33.6,
2017-03-14,32.9,2580087.0,32.9,32.5317,33.16,33.07,
2017-03-15,33.27,3115640.0,33.27,32.69,33.47,33.18,
2017-03-16,33.85,5062295.0,33.85,33.24,34.055,33.36,
2017-03-17,33.66,4392975.0,33.66,33.53,33.93,33.82,
2017-03-20,33.54,2334360.0,33.54,33.39,33.68,33.62,
2017-03-21,33.16,4443937.0,33.16,32.815,33.65,33.65,
2017-03-22,32.98,3942463.0,32.98,32.625,33.2,33.2,
2017-03-23,33.25,3534700.0,33.25,32.91,33.495,33.04,
2017-03-24,33.22,3298743.0,33.22,33.115,33.56,33.42,
2017-03-27,33.05,3643009.0,33.05,32.67,33.22,32.77,
2017-03-28,33.27,3393378.0,33.27,32.94,33.42,32.94,
2017-03-29,33.37,3229160.0,33.37,33.01,33.48,33.19,
2017-03-30,33.43,2392015.0,33.43,33.1,33.585,33.37,
2017-03-31,33.31,2294689.0,33.31,33.24,33.49,33.4,
2017-04-03,33.37,4067968.0,33.37,33.1801,33.55,33.39,
2017-04-04,33.29,2532275.0,33.29,33.13,33.385,33.24,
2017-04-05,33.23,4097280.0,33.23,33.2,33.89,33.45,
2017-04-06,33.29,2568276.0,33.29,33.07,33.46,33.2,
2017-04-07,33.12,2001084.0,33.12,33.055,33.35,33.25,
2017-04-10,33.19,2193100.0,33.19,33.04,33.61,33.12,
2017-04-11,33.74,3367221.0,33.74,33.08,33.75,33.21,
2017-04-12,33.44,2165541.0,33.44,33.31,33.72,33.7,
2017-04-13,33.69,3440571.0,33.69,33.4,33.875,33.45,
2017-04-17,34.16,4346263.0,34.16,33.77,34.23,33.81,
2017-04-18,34.28,4048905.0,34.28,33.8,34.42,33.99,
2017-04-19,33.95,5039081.0,33.95,33.85,34.54,34.39,
2017-04-20,33.1,9944641.0,33.1,32.68,34.34,33.76,
2017-04-21,32.87,6532035.0,32.87,32.62,33.27,33.05,
2017-04-24,33.05,5242004.0,33.05,32.53,33.31,33.27,
2017-04-25,32.65,7898010.0,32.65,31.98,32.88,32.85,
2017-04-26,32.99,5159516.0,32.99,32.4,33.19,32.64,
2017-04-27,33.25,3391227.0,33.25,32.8,33.35,33.04,
2017-04-28,32.89,3273398.0,32.89,32.47,33.25,33.18,
2017-05-01,32.75,3109680.0,32.75,32.645,33.18,33.01,
2017-05-02,32.28,4297688.0,32.28,32.235,32.815,32.76,
2017-05-03,32.38,5229527.0,32.38,32.19,32.63,32.19,
2017-05-04,32.51,2441917.0,32.51,32.36,32.65,32.36,
2017-05-05,32.6,2960725.0,32.6,32.33,32.68,32.64,
2017-05-08,32.66,2013183.0,32.66,32.46,32.825,32.5,
2017-05-09,33.21,3123035.0,33.21,32.64,33.29,32.73,
2017-05-10,33.16,2368722.0,33.16,33.015,33.4,33.14,
2017-05-11,33.25,2536433.0,33.25,32.84,33.335,33.09,
2017-05-12,33.07,1469761.0,33.07,32.97,33.26,33.24,
2017-05-15,33.45,5886878.0,33.45,33.06,33.59,33.15,
2017-05-16,33.56,2283755.0,33.56,33.19,33.62,33.61,
2017-05-17,32.86,2958695.0,32.86,32.85,33.52,33.2,
2017-05-18,33.25,1988369.0,33.25,32.56,33.35,32.86,
2017-05-19,33.79,2382265.0,33.79,33.25,33.94,33.35,
2017-05-22,33.91,3273195.0,33.91,33.7,34.08,33.89,
2017-05-23,33.37,3317824.0,33.37,33.2731,34.39,34.1,
2017-05-24,33.6,2866218.0,33.6,32.99,33.61,33.27,
2017-05-25,33.22,2570534.0,33.22,33.02,33.76,33.72,
2017-05-26,33.11,2343908.0,33.11,33.02,33.28,33.17,
2017-05-30,32.93,2026815.0,32.93,32.645,33.14,33.06,
2017-05-31,32.69,3070415.0,32.69,32.47,33.13,33.1,
2017-06-01,33.1,3141637.0,33.1,32.535,33.11,32.76,
2017-06-02,33.79,3017973.0,33.79,33.0896,33.895,33.1,
2017-06-05,33.29,3326742.0,33.29,33.16,33.88,33.75,
2017-06-06,33.21,3138451.0,33.21,32.89,33.34,33.1,
2017-06-07,33.7,8315242.0,33.7,33.19,33.895,33.21,
2017-06-08,33.54,4588194.0,33.54,33.41,33.955,33.67,
2017-06-09,33.62,3401851.0,33.62,33.25,33.82,33.62,
2017-06-12,33.39,3632756.0,33.39,33.33,33.95,33.58,
2017-06-13,33.98,3603502.0,33.98,33.31,34.19,33.45,
2017-06-14,34.37,6313998.0,34.37,33.84,34.9399,34.1,
2017-06-15,33.82,5598421.0,33.82,33.7401,34.39,34.12,
2017-06-16,33.65,3901979.0,33.65,33.27,33.74,33.71,
2017-06-19,33.85,2906870.0,33.85,33.62,34.05,33.74,
2017-06-20,34.17,4682416.0,34.17,34.07,34.84,34.62,
2017-06-21,33.97,3145012.0,33.97,33.51,34.3,33.77,
2017-06-22,33.47,2033350.0,33.47,33.46,33.82,33.77,
2017-06-23,33.88,3641149.0,33.88,33.52,34.14,33.78,
2017-06-26,33.95,1409910.0,33.95,33.7453,34.02,33.93,
2017-06-27,33.77,2530079.0,33.77,33.65,34.24,33.95,
2017-06-28,34.27,3428531.0,34.27,33.75,34.535,34.02,
2017-06-29,33.79,2930496.0,33.79,33.58,34.21,34.21,
2017-06-30,34.57,3967135.0,34.57,33.98,34.88,33.98,
2017-07-03,34.36,1268496.0,34.36,34.34,34.9,34.9,
2017-07-05,34.63,2742762.0,34.63,34.06,34.67,34.43,
2017-07-06,34.49,6048863.0,34.49,34.31,34.62,34.54,
2017-07-07,35.79,7295746.0,35.79,34.62,36.045,34.62,
2017-07-10,37.17,15457259.0,37.17,35.76,37.43,35.89,
2017-07-11,36.98,7934909.0,36.98,36.35,37.07,36.9,
2017-07-12,36.58,4591036.0,36.58,36.2,37.44,37.26,
2017-07-13,36.5,3771222.0,36.5,36.4,36.98,36.68,
2017-07-14,36.7,2421985.0,36.7,36.55,37.05,36.58,
2017-07-17,36.68,1886891.0,36.68,36.59,37.07,36.76,
2017-07-18,36.41,4025956.0,36.41,35.91,36.745,36.58,
2017-07-19,36.64,2618865.0,36.64,36.345,36.85,36.49,
2017-07-20,36.33,3110252.0,36.33,36.02,36.67,36.63,
2017-07-21,36.61,2650083.0,36.61,36.3,37.059,36.3,
2017-07-24,36.56,2114517.0,36.56,36.2401,36.64,36.53,
2017-07-25,37.0,4532725.0,37.0,36.52,37.1899,36.65,
2017-07-26,36.29,4902564.0,36.29,35.55,36.77,36.77,
2017-07-27,36.07,4719679.0,36.07,35.96,36.43,36.37,
2017-07-28,35.85,3593795.0,35.85,35.465,36.28,36.07,
2017-07-31,35.69,3896308.0,35.69,35.45,36.16,35.93,
2017-08-01,36.08,3588334.0,36.08,35.535,36.26,35.76,
2017-08-02,36.45,4164973.0,36.45,35.88,36.5775,36.2,
2017-08-03,36.33,5040543.0,36.33,35.82,36.41,36.35,
2017-08-04,36.59,2346601.0,36.59,36.38,36.76,36.44,
2017-08-07,36.41,2810273.0,36.41,36.27,36.64,36.55,
2017-08-08,36.25,3885007.0,36.25,36.13,36.55,36.4,
2017-08-09,36.37,3948384.0,36.37,36.0,36.55,36.22,
2017-08-10,35.89,2472436.0,35.89,35.87,36.3,36.19,
2017-08-11,36.09,1877758.0,36.09,35.67,36.195,35.83,
2017-08-14,36.62,2064872.0,36.62,36.13,36.795,36.3,
2017-08-15,36.78,2678586.0,36.78,36.35,36.99,36.65,
2017-08-16,36.83,1603068.0,36.83,36.55,36.98,36.88,
2017-08-17,36.05,2243404.0,36.05,36.035,36.89,36.74,
2017-08-18,35.69,2609100.0,35.69,35.63,36.0,35.85,
2017-08-21,35.78,1921665.0,35.78,35.5,35.97,35.66,
2017-08-22,35.57,2681338.0,35.57,35.3,35.82,35.73,
2017-08-23,35.44,3306479.0,35.44,35.18,35.74,35.45,
2017-08-24,35.38,3198511.0,35.38,35.34,35.69,35.57,
2017-08-25,35.78,2993899.0,35.78,35.4,35.95,35.6,
2017-08-28,35.31,3213248.0,35.31,35.18,35.95,35.81,
2017-08-29,35.28,3194157.0,35.28,34.95,35.5,35.01,
2017-08-30,35.44,2878337.0,35.44,35.04,35.66,35.27,
2017-08-31,36.15,3532665.0,36.15,35.48,36.23,35.57,
2017-09-01,36.24,1596810.0,36.24,36.09,36.465,36.26,
2017-09-05,35.71,2550666.0,35.71,35.29,36.27,36.18,
2017-09-06,36.1,4399185.0,36.1,35.43,36.12,35.78,
2017-09-07,35.97,3547090.0,35.97,35.82,36.225,36.225,
2017-09-08,36.25,3741385.0,36.25,35.75,36.48,35.92,
2017-09-11,36.93,4833130.0,36.93,36.2,37.09,36.42,
2017-09-12,37.74,4650042.0,37.74,36.9,37.78,37.0,
2017-09-13,37.16,7766252.0,37.16,36.39,37.68,37.65,
