YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,78.78,2841775.0,78.78,78.22,78.95,78.44,
2017-01-04,79.28,3195411.0,79.28,78.65,79.78,78.73,
2017-01-05,80.01,3389066.0,80.01,79.14,80.05,79.29,
2017-01-06,80.43,2103601.0,80.43,79.73,80.715,79.99,
2017-01-09,80.59,2317422.0,80.59,80.2501,80.69,80.4,
2017-01-10,81.1,3497753.0,81.1,80.36,81.32,80.47,
2017-01-11,81.35,2780043.0,81.35,80.64,81.77,81.01,
2017-01-12,81.29,3596972.0,81.29,80.71,81.45,81.05,
2017-01-13,81.36,2466024.0,81.36,81.08,81.59,81.28,
2017-01-17,80.91,3215663.0,80.91,80.26,81.08,81.0,
2017-01-18,81.19,2117993.0,81.19,81.0,81.6,81.5,
2017-01-19,80.6,2930833.0,80.6,80.23,81.3,81.09,
2017-01-20,80.53,2211444.0,80.53,80.12,80.91,80.84,
2017-01-23,80.0,2455269.0,80.0,79.86,80.5,80.32,
2017-01-24,80.03,3009201.0,80.03,78.97,80.445,80.01,
2017-01-25,81.03,2236215.0,81.03,80.17,81.06,80.25,
2017-01-26,80.79,1910307.0,80.79,80.55,81.02,80.86,
2017-01-27,80.96,2277269.0,80.96,80.495,81.02,80.96,
2017-01-30,80.36,2314067.0,80.36,79.73,81.34,81.31,
2017-01-31,83.92,6236935.0,83.92,81.86,84.11,82.39,
2017-02-01,83.54,4643245.0,83.54,82.85,84.74,84.55,
2017-02-02,83.7,2380694.0,83.7,82.61,83.87,83.12,
2017-02-03,83.69,1713853.0,83.69,83.325,83.96,83.84,
2017-02-06,82.99,2064660.0,82.99,82.56,83.37,83.25,
2017-02-07,83.08,1739594.0,83.08,82.76,83.3,83.0,
2017-02-08,82.98,1699638.0,82.98,82.57,83.11,82.68,
2017-02-09,83.76,2097355.0,83.76,82.91,84.0,83.01,
2017-02-10,83.98,1338031.0,83.98,83.55,84.07,83.77,
2017-02-13,84.19,1468059.0,84.19,83.81,84.28,84.02,
2017-02-14,84.1,1326936.0,84.1,83.55,84.29,83.71,
2017-02-15,84.61,2080955.0,84.61,83.64,84.69,83.75,
2017-02-16,84.25,2485588.0,84.25,83.64,84.64,84.58,
2017-02-17,84.05,2342419.0,84.05,83.68,84.255,84.07,
2017-02-21,84.75,2307584.0,84.75,84.32,85.07,84.53,
2017-02-22,84.8,2066548.0,84.8,84.5,84.92,84.64,
2017-02-23,85.13,1787790.0,85.13,84.63,85.19,85.0,
2017-02-24,86.08,1973365.0,86.08,85.01,86.08,85.32,
2017-02-27,86.13,1740832.0,86.13,85.77,86.33,85.92,
2017-02-28,85.55,2278488.0,85.55,85.43,86.06,85.87,
2017-03-01,87.26,2560828.0,87.26,86.26,87.59,86.55,
2017-03-02,86.62,1529068.0,86.62,86.45,87.0,86.98,
2017-03-03,86.83,2193382.0,86.83,86.21,86.96,86.67,
2017-03-06,86.09,2217865.0,86.09,85.635,86.485,86.19,
2017-03-07,86.07,1588574.0,86.07,85.75,86.33,85.98,
2017-03-08,86.62,1871880.0,86.62,85.89,86.8,86.03,
2017-03-09,87.31,2310193.0,87.31,86.52,87.44,86.52,
2017-03-10,87.76,2240952.0,87.76,87.335,88.01,87.54,
2017-03-13,87.5,1632540.0,87.5,86.95,87.69,87.59,
2017-03-14,86.86,1669827.0,86.86,86.44,87.28,87.28,
2017-03-15,87.47,1781892.0,87.47,87.0,87.8,87.06,
2017-03-16,86.4,2648226.0,86.4,85.99,87.47,87.3,
2017-03-17,86.67,3107209.0,86.67,86.39,86.87,86.52,
2017-03-20,86.47,1536652.0,86.47,86.34,86.89,86.79,
2017-03-21,86.28,1825805.0,86.28,85.91,87.07,86.8,
2017-03-22,86.32,1754540.0,86.32,85.82,86.56,86.41,
2017-03-23,86.3,2195025.0,86.3,85.99,86.66,86.32,
2017-03-24,86.01,3112519.0,86.01,85.61,86.88,86.34,
2017-03-27,86.04,2097345.0,86.04,85.4,86.235,85.58,
2017-03-28,85.89,3073049.0,85.89,85.3,86.055,85.77,
2017-03-29,85.62,1641036.0,85.62,85.25,85.835,85.54,
2017-03-30,85.72,2253199.0,85.72,85.41,86.02,85.67,
2017-03-31,85.53,2174356.0,85.53,85.21,85.82,85.21,
2017-04-03,85.48,2563353.0,85.48,85.08,85.945,85.66,
2017-04-04,85.27,2563142.0,85.27,84.885,85.63,85.63,
2017-04-05,85.77,2522133.0,85.77,85.39,86.59,85.58,
2017-04-06,86.13,1997822.0,86.13,84.98,86.2799,85.6,
2017-04-07,86.07,1341513.0,86.07,85.8,86.345,86.03,
2017-04-10,86.11,1635635.0,86.11,85.89,86.36,86.18,
2017-04-11,86.21,1277730.0,86.21,85.67,86.22,85.88,
2017-04-12,85.75,1609731.0,85.75,85.58,86.41,86.41,
2017-04-13,85.78,1975146.0,85.78,85.44,86.265,85.51,
2017-04-17,86.7,1661306.0,86.7,85.81,86.72,85.93,
2017-04-18,86.54,1875724.0,86.54,86.19,86.64,86.39,
2017-04-19,86.44,2583421.0,86.44,86.135,86.99,86.88,
2017-04-20,82.89,8816984.0,82.89,82.85,85.7668,85.5,
2017-04-21,81.7,7637358.0,81.7,81.575,83.15,82.89,
2017-04-24,82.46,5328644.0,82.46,82.12,83.2,82.65,
2017-04-25,83.3,6760446.0,83.3,82.65,83.54,82.8,
2017-04-26,82.98,4874439.0,82.98,82.82,84.0,83.66,
2017-04-27,82.91,2769594.0,82.91,82.78,83.3,83.17,
2017-04-28,83.33,4264409.0,83.33,82.87,83.495,82.92,
2017-05-01,83.13,4232737.0,83.13,83.12,83.9,83.57,
2017-05-02,83.0,3742083.0,83.0,82.94,83.68,83.4,
2017-05-03,82.81,2217979.0,82.81,82.44,83.25,83.03,
2017-05-04,84.08,2997440.0,84.08,82.78,84.14,82.78,
2017-05-05,83.86,1632307.0,83.86,83.71,84.39,84.38,
2017-05-08,83.39,3284716.0,83.39,83.39,83.9,83.89,
2017-05-09,83.17,2448674.0,83.17,83.02,83.62,83.29,
2017-05-10,83.21,1748962.0,83.21,82.78,83.46,83.1,
2017-05-11,82.78,1974731.0,82.78,82.47,83.21,83.01,
2017-05-12,82.84,2134388.0,82.84,82.56,83.09,82.62,
2017-05-15,83.28,2755073.0,83.28,82.93,83.56,83.03,
2017-05-16,83.01,2005457.0,83.01,82.49,83.5,83.23,
2017-05-17,81.9,2156221.0,81.9,81.85,82.665,82.5,
2017-05-18,81.78,2689438.0,81.78,81.36,82.24,81.75,
2017-05-19,82.14,3108303.0,82.14,81.71,82.58,82.04,
2017-05-22,82.91,3444839.0,82.91,82.05,83.1,82.14,
2017-05-23,83.95,2838911.0,83.95,83.17,84.7,83.3,
2017-05-24,83.96,2209885.0,83.96,83.81,84.4,84.4,
2017-05-25,84.51,1955294.0,84.51,83.66,84.62,83.95,
2017-05-26,84.4,1084109.0,84.4,84.045,84.52,84.31,
2017-05-30,84.81,2426407.0,84.81,83.91,84.95,84.19,
2017-05-31,84.94,3838948.0,84.94,84.91,85.48,85.0,
2017-06-01,86.1,3334098.0,86.1,85.02,86.48,85.27,
2017-06-02,86.84,2480187.0,86.84,86.08,87.0,86.12,
2017-06-05,86.53,1670996.0,86.53,86.51,86.88,86.8,
2017-06-06,85.73,2571475.0,85.73,85.7,86.39,86.27,
2017-06-07,85.43,2687713.0,85.43,85.31,85.86,85.31,
2017-06-08,84.56,2574256.0,84.56,84.201,85.5,85.31,
2017-06-09,84.49,2527353.0,84.49,84.03,84.86,84.73,
2017-06-12,84.07,2959143.0,84.07,83.82,84.925,84.56,
2017-06-13,84.17,3252649.0,84.17,83.98,84.45,84.17,
2017-06-14,84.46,2332861.0,84.46,84.12,84.77,84.36,
2017-06-15,84.38,2484244.0,84.38,83.65,84.39,84.09,
2017-06-16,84.48,4916863.0,84.48,84.255,85.02,84.61,
2017-06-19,85.27,2321434.0,85.27,84.53,85.55,84.8,
2017-06-20,85.68,2976426.0,85.68,85.14,86.12,85.29,
2017-06-21,86.48,3242019.0,86.48,85.7,86.615,85.92,
2017-06-22,85.96,2609394.0,85.96,85.94,86.74,86.43,
2017-06-23,85.66,4874774.0,85.66,85.07,86.0197,85.97,
2017-06-26,85.47,1782231.0,85.47,85.435,85.935,85.7,
2017-06-27,84.62,1656845.0,84.62,84.62,85.495,85.33,
2017-06-28,84.72,2313257.0,84.72,84.595,85.15,85.04,
2017-06-29,84.03,2404290.0,84.03,83.92,84.87,84.7,
2017-06-30,84.39,2758857.0,84.39,84.08,84.68,84.28,
2017-07-03,84.26,1051920.0,84.26,84.26,85.0,84.78,
2017-07-05,84.09,2561602.0,84.09,83.87,84.37,84.23,
2017-07-06,82.93,2875305.0,82.93,82.68,83.72,83.7,
2017-07-07,83.07,2877291.0,83.07,82.94,83.25,83.2,
2017-07-10,82.56,2974573.0,82.56,82.49,83.24,83.11,
2017-07-11,83.1,2592979.0,83.1,82.405,83.36,82.65,
2017-07-12,83.49,2914062.0,83.49,83.26,83.87,83.67,
2017-07-13,84.26,4126026.0,84.26,83.16,84.53,83.26,
2017-07-14,85.0,3060275.0,85.0,83.91,85.29,84.32,
2017-07-17,85.47,3511104.0,85.47,84.92,85.95,85.14,
2017-07-18,85.48,2862519.0,85.48,84.93,85.64,85.36,
2017-07-19,85.79,2905318.0,85.79,85.29,85.89,85.52,
2017-07-20,83.2,9551332.0,83.2,81.5,84.2,82.06,
2017-07-21,83.05,3606106.0,83.05,82.52,83.4,83.02,
2017-07-24,83.03,3089970.0,83.03,82.97,84.05,82.97,
2017-07-25,81.99,4903517.0,81.99,81.89,83.49,83.28,
2017-07-26,82.01,2812389.0,82.01,81.63,82.32,82.1,
2017-07-27,81.16,4977282.0,81.16,80.85,82.43,82.42,
2017-07-28,81.43,3018302.0,81.43,80.675,81.58,81.19,
2017-07-31,81.49,2168216.0,81.49,81.4,81.98,81.64,
2017-08-01,80.82,2524967.0,80.82,80.78,81.6359,81.54,
2017-08-02,81.28,4393258.0,81.28,80.59,81.595,80.8,
2017-08-03,81.28,2506615.0,81.28,80.98,81.57,81.34,
2017-08-04,81.01,2425291.0,81.01,80.915,81.53,81.53,
2017-08-07,81.43,1898426.0,81.43,80.76,81.485,80.99,
2017-08-08,80.27,2997069.0,80.27,80.14,81.7,81.32,
2017-08-09,80.23,2666513.0,80.23,80.02,80.68,80.29,
2017-08-10,79.29,3681397.0,79.29,78.97,80.15,80.05,
2017-08-11,79.82,2433944.0,79.82,79.1,80.17,79.25,
2017-08-14,80.6,2351393.0,80.6,79.84,80.715,80.05,
2017-08-15,80.56,1798771.0,80.56,80.33,80.88,80.62,
2017-08-16,81.56,3159127.0,81.56,80.82,81.85,80.89,
2017-08-17,80.91,2290773.0,80.91,80.91,81.79,81.54,
2017-08-18,80.87,2861306.0,80.87,80.445,81.32,80.74,
2017-08-21,81.08,2361857.0,81.08,80.8,81.51,80.89,
2017-08-22,82.52,2279837.0,82.52,81.15,82.57,81.15,
2017-08-23,81.82,1969228.0,81.82,81.53,82.37,82.24,
2017-08-24,81.81,2043669.0,81.81,81.22,81.87,81.78,
2017-08-25,82.16,2342931.0,82.16,81.92,82.36,82.11,
2017-08-28,82.37,1710600.0,82.37,82.14,82.59,82.42,
2017-08-29,81.99,1989942.0,81.99,81.72,82.205,81.8,
2017-08-30,82.14,1940347.0,82.14,81.719,82.27,81.83,
2017-08-31,83.42,2797533.0,83.42,82.26,83.59,82.43,
2017-09-01,83.23,1608020.0,83.23,82.675,83.54,83.37,
2017-09-05,83.06,2096900.0,83.06,82.81,83.43,83.19,
2017-09-06,84.02,3393326.0,84.02,83.03,84.18,83.21,
2017-09-07,85.1,3263944.0,85.1,83.99,85.26,84.28,
2017-09-08,86.76,5474756.0,86.76,85.07,87.4,85.2,
2017-09-11,87.07,2630561.0,87.07,86.74,87.28,86.76,
2017-09-12,87.27,2158100.0,87.27,86.79,87.3268,87.07,
2017-09-13,87.24,2465965.0,87.24,86.96,87.58,87.29,
2017-09-14,88.45,3270416.0,88.45,86.98,88.48,87.1,
2017-09-15,88.21,3582287.0,88.21,87.64,88.48,88.03,
2017-09-18,88.11,1671125.0,88.11,88.02,88.59,88.39,
2017-09-19,86.87,3143822.0,86.87,86.81,88.62,88.15,
2017-09-20,86.46,3532402.0,86.46,86.12,87.13,87.03,
2017-09-21,86.42,1892767.0,86.42,86.37,86.93,86.59,
2017-09-22,86.78,1906334.0,86.78,86.11,86.89,86.47,
2017-09-25,86.0,2202686.0,86.0,85.5,87.07,86.85,
2017-09-26,85.46,2388193.0,85.46,85.15,86.05,85.86,
2017-09-27,85.46,2546562.0,85.46,84.96,86.15,85.79,
2017-09-28,85.04,2769566.0,85.04,84.63,85.53,85.28,
2017-09-29,85.78,2324440.0,85.78,85.0,85.9,85.08,
2017-10-02,86.52,1910585.0,86.52,85.86,86.83,86.0,
2017-10-03,86.52,1234976.0,86.52,86.1,86.89,86.8,
2017-10-04,86.88,1586792.0,86.88,86.25,87.05,86.25,
2017-10-05,86.97,1554990.0,86.97,86.52,87.11,86.96,
2017-10-06,87.63,2074587.0,87.63,86.8764,87.7,86.99,
2017-10-09,87.03,2247147.0,87.03,86.7,87.7,87.64,
2017-10-10,87.17,1875024.0,87.17,86.84,87.42,86.84,
2017-10-11,86.96,1372549.0,86.96,86.93,87.49,87.2,
2017-10-12,87.03,2042682.0,87.03,86.771,87.45,86.99,
2017-10-13,86.84,2042690.0,86.84,86.62,87.105,86.83,
2017-10-16,86.13,2877910.0,86.13,85.96,87.23,86.97,
2017-10-17,85.26,4838035.0,85.26,83.81,85.95,85.45,
2017-10-18,86.05,3369310.0,86.05,85.1,86.18,85.39,
2017-10-19,90.1,8927307.0,90.1,89.0,91.6399,89.83,
2017-10-20,90.79,4113494.0,90.79,90.05,91.33,90.05,
2017-10-23,90.47,2906675.0,90.47,90.41,91.72,91.23,
2017-10-24,90.95,3515673.0,90.95,90.21,91.23,90.83,
2017-10-25,90.65,2797356.0,90.65,90.13,90.97,90.86,
2017-10-26,91.46,2691883.0,91.46,90.34,91.63,90.7,
2017-10-27,92.25,2875447.0,92.25,91.41,92.26,91.42,
2017-10-30,91.81,2321042.0,91.81,91.5,92.2,91.97,
2017-10-31,92.27,2857796.0,92.27,91.67,92.47,91.73,
2017-11-01,92.91,2878852.0,92.91,92.09,93.13,92.37,
