YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,106.08,8884273.0,106.08,105.205,106.9,105.3,
2017-01-04,107.44,8321991.0,107.44,106.25,107.5,106.64,
2017-01-05,107.38,6302974.0,107.38,106.79,107.6171,107.17,
2017-01-06,108.98,9551309.0,108.98,107.75,109.35,108.015,
2017-01-09,108.36,6195195.0,108.36,108.11,108.83,108.58,
2017-01-10,108.38,7901886.0,108.38,107.35,108.82,107.9,
2017-01-11,109.44,7616804.0,109.44,108.38,109.4901,108.54,
2017-01-12,107.53,8218893.0,107.53,107.43,109.0,108.12,
2017-01-13,108.06,6488966.0,108.06,106.9,108.35,107.16,
2017-01-17,107.97,7586483.0,107.97,107.65,108.93,107.91,
2017-01-18,108.16,7162904.0,108.16,106.81,108.4,106.93,
2017-01-19,107.28,5350191.0,107.28,107.08,108.01,107.92,
2017-01-20,107.66,5648970.0,107.66,107.18,107.82,107.35,
2017-01-23,107.12,5716598.0,107.12,106.57,107.68,107.34,
2017-01-24,107.9,5456146.0,107.9,107.08,108.06,107.2,
2017-01-25,108.04,6180212.0,108.04,108.0,108.42,108.23,
2017-01-26,108.06,6088083.0,108.06,107.98,108.62,108.21,
2017-01-27,109.3,5578292.0,109.3,108.15,109.4,108.49,
2017-01-30,110.94,13793564.0,110.94,108.96,111.05,109.86,
2017-01-31,110.65,8485838.0,110.65,109.98,110.8,110.59,
2017-02-01,111.3,10501334.0,111.3,110.675,111.99,110.71,
2017-02-02,110.61,6515922.0,110.61,110.55,111.54,111.21,
2017-02-03,110.3,7923398.0,110.3,110.21,111.15,110.9,
2017-02-06,109.57,6896292.0,109.57,109.3,110.15,109.92,
2017-02-07,109.0,10184848.0,109.0,108.7739,109.73,109.65,
2017-02-08,109.0,13615543.0,109.0,108.98,111.42,109.56,
2017-02-09,109.49,6369737.0,109.49,109.0,109.85,109.07,
2017-02-10,109.26,7671800.0,109.26,108.5814,109.8,109.35,
2017-02-13,109.65,5654040.0,109.65,108.9,109.9,108.95,
2017-02-14,110.33,4768695.0,110.33,109.53,110.33,109.8,
2017-02-15,110.18,7087135.0,110.18,109.801,110.68,109.91,
2017-02-16,110.71,7179625.0,110.71,110.09,110.87,110.34,
2017-02-17,110.06,6349161.0,110.06,109.52,110.5,110.24,
2017-02-21,110.01,5432730.0,110.01,109.8,110.21,109.94,
2017-02-22,110.12,5478398.0,110.12,109.53,110.28,109.69,
2017-02-23,109.73,5470661.0,109.73,109.59,110.49,110.3,
2017-02-24,110.32,4786814.0,110.32,109.1,110.32,109.62,
2017-02-27,110.23,3547735.0,110.23,109.83,110.47,109.93,
2017-02-28,110.09,4766038.0,110.09,109.83,110.4,110.0,
2017-03-01,111.04,7418101.0,111.04,110.66,111.8,110.66,
2017-03-02,110.59,4715626.0,110.59,110.45,111.205,111.0,
2017-03-03,111.24,5843886.0,111.24,110.04,111.5,110.34,
2017-03-06,110.67,4983166.0,110.67,110.09,110.98,110.772,
2017-03-07,110.86,5114421.0,110.86,110.16,110.93,110.7,
2017-03-08,110.84,4929881.0,110.84,110.655,111.32,110.87,
2017-03-09,111.03,4005660.0,111.03,110.69,111.32,110.9,
2017-03-10,110.92,4027448.0,110.92,110.69,111.5,111.4,
2017-03-13,111.52,5213562.0,111.52,110.82,111.68,110.92,
2017-03-14,112.31,7273535.0,112.31,111.72,112.89,111.73,
2017-03-15,111.87,5319516.0,111.87,111.15,112.45,112.43,
2017-03-16,111.71,4409419.0,111.71,111.4,112.32,112.18,
2017-03-17,111.76,9061194.0,111.76,111.175,112.09,111.87,
2017-03-20,112.71,8156325.0,112.71,112.05,113.16,112.07,
2017-03-21,111.75,7109766.0,111.75,111.54,113.1,112.97,
2017-03-22,112.08,5044710.0,112.08,111.35,112.18,111.85,
2017-03-23,112.24,8307922.0,112.24,111.66,112.98,111.71,
2017-03-24,112.14,4707297.0,112.14,111.68,112.58,112.4,
2017-03-27,112.38,4469820.0,112.38,111.45,112.55,111.81,
2017-03-28,113.05,6280929.0,113.05,112.02,113.24,112.6,
2017-03-29,112.53,3781206.0,112.53,112.31,112.94,112.66,
2017-03-30,113.18,4192753.0,113.18,112.2768,113.295,112.53,
2017-03-31,113.39,4617427.0,113.39,112.95,113.71,113.0,
2017-04-03,113.2,4643439.0,113.2,112.43,113.65,113.18,
2017-04-04,113.04,3386142.0,113.04,112.83,113.55,113.15,
2017-04-05,113.0,4795081.0,113.0,112.79,113.84,113.58,
2017-04-06,113.05,4744006.0,113.05,112.39,113.4201,112.85,
2017-04-07,112.58,4300740.0,112.58,112.53,113.28,112.82,
2017-04-10,112.43,4053564.0,112.43,112.04,112.89,112.8,
2017-04-11,113.07,5230837.0,113.07,112.5901,113.83,113.68,
2017-04-12,113.04,4086275.0,113.04,112.76,113.276,113.03,
2017-04-13,113.2,6530791.0,113.2,112.99,114.2501,113.04,
2017-04-17,113.78,5120176.0,113.78,113.22,113.94,113.33,
2017-04-18,114.19,6191132.0,114.19,113.0,114.75,113.48,
2017-04-19,113.73,5303424.0,113.73,113.54,115.0,114.56,
2017-04-20,114.79,5279267.0,114.79,113.87,115.05,114.17,
2017-04-21,114.44,6654516.0,114.44,114.27,115.12,114.38,
2017-04-24,113.7,7294620.0,113.7,113.66,115.38,115.26,
2017-04-25,115.18,6918330.0,115.18,113.68,115.52,113.73,
2017-04-26,115.58,4809837.0,115.58,114.86,115.96,115.4,
2017-04-27,115.84,3910767.0,115.84,115.39,116.1,115.8,
2017-04-28,115.6,3987631.0,115.6,115.24,115.9,115.87,
2017-05-01,114.73,4963309.0,114.73,114.72,115.61,115.59,
2017-05-02,114.37,6604605.0,114.37,113.68,114.99,114.87,
2017-05-03,111.62,11521209.0,111.62,111.18,114.09,114.03,
2017-05-04,111.17,10691197.0,111.17,109.06,111.3,110.58,
2017-05-05,111.99,5871354.0,111.99,110.92,112.15,111.49,
2017-05-08,111.42,5980139.0,111.42,111.0,112.39,112.39,
2017-05-09,112.07,9337351.0,112.07,110.35,112.1457,111.55,
2017-05-10,109.66,17061077.0,109.66,108.13,109.66,109.0,
2017-05-11,109.58,8021280.0,109.58,108.5,110.005,109.74,
2017-05-12,109.69,5067654.0,109.69,109.27,109.89,109.8,
2017-05-15,109.13,6241310.0,109.13,109.12,110.08,109.73,
2017-05-16,107.98,10047055.0,107.98,107.82,109.23,109.12,
2017-05-17,106.31,12763221.0,106.31,105.23,106.63,106.0,
2017-05-18,106.68,6532185.0,106.68,105.98,107.31,105.98,
2017-05-19,107.52,6336651.0,107.52,106.7,107.86,106.76,
2017-05-22,107.63,5487199.0,107.63,107.41,108.2,107.65,
2017-05-23,107.02,7542646.0,107.02,106.9142,107.8,107.68,
2017-05-24,107.71,4405225.0,107.71,106.93,107.825,107.15,
2017-05-25,107.27,8030392.0,107.27,106.775,108.13,108.13,
2017-05-26,108.41,6236779.0,108.41,107.48,108.49,107.71,
2017-05-30,108.34,4813386.0,108.34,107.9507,108.6,108.49,
2017-05-31,107.94,9963649.0,107.94,107.64,108.65,108.4,
2017-06-01,108.21,5907363.0,108.21,107.17,108.21,107.73,
2017-06-02,107.18,10876862.0,107.18,106.95,108.64,108.46,
2017-06-05,106.52,6372827.0,106.52,106.11,107.22,107.04,
2017-06-06,105.5,9589493.0,105.5,104.61,106.19,106.17,
2017-06-07,105.92,5777681.0,105.92,105.54,106.25,105.79,
2017-06-08,104.32,11002357.0,104.32,104.16,105.56,105.47,
2017-06-09,105.62,9392516.0,105.62,104.08,105.92,104.28,
2017-06-12,107.04,8049453.0,107.04,105.89,107.2,105.89,
2017-06-13,106.56,4918936.0,106.56,106.16,107.26,107.14,
2017-06-14,106.14,4781080.0,106.14,105.76,107.01,106.95,
2017-06-15,105.98,5309916.0,105.98,105.23,106.16,105.94,
2017-06-16,105.51,8683368.0,105.51,104.765,106.35,106.28,
2017-06-19,105.37,5956249.0,105.37,105.185,106.0,105.6,
2017-06-20,103.94,7895674.0,103.94,103.81,105.3,105.07,
2017-06-21,104.8,7765661.0,104.8,103.54,105.08,104.39,
2017-06-22,104.22,6155991.0,104.22,104.09,104.77,104.71,
2017-06-23,104.36,18147866.0,104.36,103.17,104.58,103.83,
2017-06-26,105.57,5866969.0,105.57,104.56,105.85,104.6,
2017-06-27,105.41,5694473.0,105.41,105.14,106.145,105.33,
2017-06-28,106.86,7874406.0,106.86,104.52,107.54,106.02,
2017-06-29,105.71,7268675.0,105.71,105.33,107.41,106.8,
2017-06-30,106.25,5113841.0,106.25,105.5,106.56,106.25,
2017-07-03,107.46,5399537.0,107.46,106.76,108.62,106.76,
2017-07-05,105.63,8049724.0,105.63,105.29,107.85,107.83,
2017-07-06,103.35,8690802.0,103.35,102.94,104.69,104.61,
2017-07-07,103.32,6030928.0,103.32,102.72,103.73,103.51,
2017-07-10,103.59,4421270.0,103.59,102.87,103.91,103.3,
2017-07-11,103.84,4557336.0,103.84,103.188,104.19,103.6,
2017-07-12,104.38,5203285.0,104.38,103.645,104.65,104.34,
2017-07-13,104.29,5339465.0,104.29,104.04,105.34,104.45,
2017-07-14,105.09,4370311.0,105.09,104.41,105.25,104.43,
2017-07-17,104.79,3973789.0,104.79,104.71,105.42,105.17,
2017-07-18,105.75,5740471.0,105.75,104.31,105.8,104.6,
2017-07-19,106.82,5789363.0,106.82,106.05,106.87,106.13,
2017-07-20,107.36,6185510.0,107.36,106.7499,107.71,106.99,
2017-07-21,107.09,4328517.0,107.09,106.805,107.33,107.1,
2017-07-24,107.0,4615539.0,107.0,106.9,107.535,107.31,
2017-07-25,106.42,5394699.0,106.42,106.2,107.74,107.6,
2017-07-26,106.94,4149006.0,106.94,106.31,107.03,106.55,
2017-07-27,110.0,10468680.0,110.0,107.44,110.0,107.69,
2017-07-28,109.96,4864456.0,109.96,109.665,110.19,109.98,
2017-07-31,109.93,6815349.0,109.93,109.34,110.14,110.02,
2017-08-01,110.61,5987217.0,110.61,109.95,110.83,109.98,
2017-08-02,108.67,8812748.0,108.67,107.52,109.88,109.88,
2017-08-03,109.12,6895774.0,109.12,108.045,109.17,108.52,
2017-08-04,107.69,8503837.0,107.69,107.32,108.5,108.23,
2017-08-07,106.35,8093098.0,106.35,106.11,107.65,107.59,
2017-08-08,106.98,9787086.0,106.98,106.175,107.14,106.55,
2017-08-09,102.83,27877607.0,102.83,100.5,103.0,100.71,
2017-08-10,101.35,12259908.0,101.35,101.22,102.82,102.5,
2017-08-11,101.99,9410408.0,101.99,101.03,102.51,101.25,
2017-08-14,101.4,9707297.0,101.4,101.26,102.81,102.8,
2017-08-15,101.51,8868514.0,101.51,101.36,102.1,101.63,
2017-08-16,102.2,6698783.0,102.2,101.72,102.65,101.84,
2017-08-17,101.38,6612443.0,101.38,101.34,102.585,102.24,
2017-08-18,100.7,6893916.0,100.7,100.66,101.7425,101.32,
2017-08-21,101.17,6492673.0,101.17,100.53,101.42,100.64,
2017-08-22,102.77,6888650.0,102.77,101.17,102.91,101.41,
2017-08-23,101.5,5954375.0,101.5,101.48,102.98,102.48,
2017-08-24,101.52,6976592.0,101.52,101.43,102.03,101.82,
2017-08-25,102.41,6186933.0,102.41,101.56,102.685,101.69,
2017-08-28,102.56,5630425.0,102.56,102.08,102.85,102.49,
2017-08-29,102.57,6011650.0,102.57,101.82,102.99,102.0,
2017-08-30,102.87,6573211.0,102.87,102.48,103.45,102.48,
2017-08-31,101.2,9823832.0,101.2,101.0,103.19,103.0,
2017-09-01,101.5,7827433.0,101.5,101.36,101.92,101.65,
2017-09-05,101.6,9592925.0,101.6,100.9,102.55,102.0,
2017-09-06,101.5,7530956.0,101.5,100.89,102.035,101.76,
2017-09-07,97.06,26419407.0,97.06,96.2,101.86,101.55,
2017-09-08,97.07,13147662.0,97.07,96.26,97.49,96.49,
2017-09-11,97.09,9610290.0,97.09,96.96,98.02,97.9,
2017-09-12,97.89,9151729.0,97.89,97.125,98.36,97.59,
2017-09-13,98.82,7615303.0,98.82,98.02,98.9491,98.24,
2017-09-14,97.9,9710030.0,97.9,97.5375,98.84,98.79,
2017-09-15,98.52,23870293.0,98.52,98.0,98.9299,98.05,
2017-09-18,98.1,7013634.0,98.1,97.72,98.72,98.39,
2017-09-19,98.43,6970280.0,98.43,98.08,98.67,98.23,
2017-09-20,99.21,6459058.0,99.21,98.62,99.28,98.76,
2017-09-21,98.89,4958036.0,98.89,98.75,99.39,99.19,
2017-09-22,98.6,6359080.0,98.6,98.53,98.99,98.55,
2017-09-25,99.57,7492545.0,99.57,98.42,99.645,98.6,
2017-09-26,98.63,6220508.0,98.63,98.61,99.74,99.64,
2017-09-27,99.24,7596559.0,99.24,98.02,99.525,98.97,
2017-09-28,98.05,7149615.0,98.05,98.0,99.05,98.77,
2017-09-29,98.57,8185858.0,98.57,97.66,98.59,97.89,
2017-10-02,99.86,6923319.0,99.86,99.11,100.44,99.31,
2017-10-03,100.79,5447727.0,100.79,99.91,100.85,100.05,
2017-10-04,100.55,5126136.0,100.55,100.2,100.93,100.74,
2017-10-05,100.11,4736650.0,100.11,100.02,100.87,100.64,
2017-10-06,100.07,4360212.0,100.07,99.34,100.27,99.95,
2017-10-09,99.57,5429606.0,99.57,99.45,100.98,100.81,
2017-10-10,99.58,7704374.0,99.58,98.6639,100.07,99.99,
2017-10-11,98.55,7984043.0,98.55,98.045,99.58,99.58,
2017-10-12,96.93,11018249.0,96.93,96.81,97.8158,97.56,
2017-10-13,97.38,6857969.0,97.38,96.8,97.68,96.8,
2017-10-16,98.13,4911623.0,98.13,97.54,98.27,97.64,
2017-10-17,98.36,5942501.0,98.36,97.86,98.47,98.4,
2017-10-18,98.25,5404326.0,98.25,97.55,98.49,98.36,
2017-10-19,99.01,5634272.0,99.01,98.1148,99.3,98.19,
2017-10-20,99.4,5938716.0,99.4,98.94,99.66,99.45,
2017-10-23,98.7,5888226.0,98.7,98.63,99.18,99.12,
2017-10-24,98.29,4966173.0,98.29,98.06,98.86,98.52,
2017-10-25,97.8,5144415.0,97.8,97.45,98.22,98.05,
2017-10-26,98.56,6167514.0,98.56,97.25,99.48,97.58,
