YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,18.74,920573.0,18.74,18.6137,18.92,18.83,
2017-01-04,19.07,1008415.0,19.07,18.7,19.13,18.78,
2017-01-05,19.11,765468.0,19.11,18.88,19.17,19.01,
2017-01-06,18.92,1350462.0,18.92,18.88,19.135,19.02,
2017-01-09,18.72,1391905.0,18.72,18.71,19.05,19.05,
2017-01-10,18.58,988516.0,18.58,18.56,18.76,18.72,
2017-01-11,18.51,1050587.0,18.51,18.47,18.6795,18.61,
2017-01-12,18.78,908910.0,18.78,18.46,18.78,18.65,
2017-01-13,18.77,578678.0,18.77,18.67,18.9142,18.75,
2017-01-17,19.04,1009508.0,19.04,18.81,19.0995,18.91,
2017-01-18,19.02,991246.0,19.02,18.94,19.16,19.0,
2017-01-19,18.72,1037595.0,18.72,18.64,18.88,18.88,
2017-01-20,18.77,783119.0,18.77,18.6743,18.97,18.68,
2017-01-23,19.02,954648.0,19.02,18.77,19.04,18.98,
2017-01-24,19.01,714990.0,19.01,18.88,19.12,19.0,
2017-01-25,18.85,983228.0,18.85,18.83,19.095,18.96,
2017-01-26,18.7,612664.0,18.7,18.675,18.94,18.85,
2017-01-27,18.61,666867.0,18.61,18.46,18.82,18.82,
2017-01-30,18.48,691926.0,18.48,18.39,18.6137,18.56,
2017-01-31,18.55,902749.0,18.55,18.5,18.76,18.53,
2017-02-01,18.21,739982.0,18.21,18.19,18.7,18.48,
2017-02-02,18.65,951445.0,18.65,18.25,18.71,18.35,
2017-02-03,18.76,556393.0,18.76,18.63,18.93,18.83,
2017-02-06,18.69,523121.0,18.69,18.64,18.855,18.81,
2017-02-07,18.67,767864.0,18.67,18.64,18.805,18.71,
2017-02-08,18.77,566858.0,18.77,18.67,18.87,18.82,
2017-02-09,18.8,489999.0,18.8,18.6,18.9,18.69,
2017-02-10,19.05,451792.0,19.05,18.65,19.07,18.71,
2017-02-13,19.08,580160.0,19.08,18.92,19.14,19.06,
2017-02-14,18.87,574420.0,18.87,18.783,19.06,19.04,
2017-02-15,18.91,703747.0,18.91,18.63,18.93,18.7,
2017-02-16,19.33,794402.0,19.33,18.9,19.39,18.9,
2017-02-17,19.4,1003331.0,19.4,19.0799,19.55,19.55,
2017-02-21,19.59,793064.0,19.59,19.28,19.61,19.38,
2017-02-22,19.68,654835.0,19.68,19.55,19.75,19.63,
2017-02-23,19.91,974173.0,19.91,19.49,19.935,19.83,
2017-02-24,20.09,1452179.0,20.09,19.34,20.12,19.81,
2017-02-27,20.09,1045551.0,20.09,19.86,20.19,20.09,
2017-02-28,19.92,793562.0,19.92,19.91,20.16,20.06,
2017-03-01,19.79,1223440.0,19.79,19.6422,20.08,19.75,
2017-03-02,19.79,636269.0,19.79,19.695,19.955,19.77,
2017-03-03,19.8,584847.0,19.8,19.53,19.8,19.79,
2017-03-06,19.64,774088.0,19.64,19.51,19.77,19.7,
2017-03-07,19.62,704493.0,19.62,19.49,19.7,19.56,
2017-03-08,19.08,682295.0,19.08,19.07,19.51,19.51,
2017-03-09,18.78,729561.0,18.78,18.7,19.18,19.02,
2017-03-10,18.9,857999.0,18.9,18.72,19.17,18.99,
2017-03-13,18.9,926662.0,18.9,18.85,19.08,18.9,
2017-03-14,18.41,10334992.0,18.41,18.18,18.47,18.22,
2017-03-15,18.78,2859071.0,18.78,18.36,18.85,18.38,
2017-03-16,18.81,2452343.0,18.81,18.7,18.995,18.73,
2017-03-17,19.02,1544477.0,19.02,18.75,19.04,18.86,
2017-03-20,18.89,1820683.0,18.89,18.81,19.09,18.99,
2017-03-21,18.85,2377487.0,18.85,18.69,19.04,18.99,
2017-03-22,19.07,1999815.0,19.07,18.73,19.08,18.96,
2017-03-23,19.29,1447794.0,19.29,18.94,19.51,19.07,
2017-03-24,19.46,1572852.0,19.46,19.28,19.55,19.39,
2017-03-27,19.56,1682891.0,19.56,19.435,19.7199,19.46,
2017-03-28,19.75,1866133.0,19.75,19.385,19.75,19.58,
2017-03-29,19.76,1084993.0,19.76,19.62,19.82,19.73,
2017-03-30,19.77,1397895.0,19.77,19.54,19.79,19.71,
2017-03-31,19.87,3254272.0,19.87,19.76,19.985,19.84,
2017-04-03,19.82,1946847.0,19.82,19.735,19.97,19.87,
2017-04-04,19.6,1363523.0,19.6,19.53,19.86,19.77,
2017-04-05,19.54,2052593.0,19.54,19.48,19.72,19.56,
2017-04-06,19.65,2848788.0,19.65,19.46,19.76,19.53,
2017-04-07,19.96,1690515.0,19.96,19.69,19.975,19.75,
2017-04-10,20.03,1209468.0,20.03,19.91,20.09,20.0,
2017-04-11,20.19,1004443.0,20.19,20.02,20.22,20.11,
2017-04-12,20.09,1651036.0,20.09,19.99,20.23,20.2,
2017-04-13,19.98,1677776.0,19.98,19.89,20.23,20.16,
2017-04-17,20.23,1420781.0,20.23,20.0,20.26,20.01,
2017-04-18,20.36,964162.0,20.36,20.2,20.39,20.21,
2017-04-19,20.33,1130253.0,20.33,20.29,20.46,20.35,
2017-04-20,20.32,995469.0,20.32,20.22,20.4,20.34,
2017-04-21,20.31,1050004.0,20.31,20.26,20.39,20.35,
2017-04-24,19.98,1354541.0,19.98,19.75,20.41,20.38,
2017-04-25,20.11,1332909.0,20.11,19.95,20.19,19.99,
2017-04-26,19.9,1135190.0,19.9,19.87,20.08,20.03,
2017-04-27,19.87,673420.0,19.87,19.83,20.03,19.9,
2017-04-28,19.64,874773.0,19.64,19.5461,19.84,19.82,
2017-05-01,19.63,1202671.0,19.63,19.5,19.76,19.63,
2017-05-02,19.25,1609429.0,19.25,19.185,19.64,19.61,
2017-05-03,19.03,1591385.0,19.03,18.83,19.63,19.6,
2017-05-04,19.01,1763632.0,19.01,18.75,19.07,18.87,
2017-05-05,19.27,1038865.0,19.27,19.01,19.28,19.05,
2017-05-08,19.21,1332494.0,19.21,19.05,19.35,19.22,
2017-05-09,19.07,1070512.0,19.07,18.9785,19.28,19.19,
2017-05-10,19.34,1364356.0,19.34,19.055,19.4,19.08,
2017-05-11,19.56,1470315.0,19.56,19.13,19.64,19.28,
2017-05-12,19.79,2946506.0,19.79,19.55,19.92,19.6,
2017-05-15,20.02,1548798.0,20.02,19.8,20.275,19.8,
2017-05-16,19.88,868885.0,19.88,19.81,20.06,20.02,
2017-05-17,19.95,2212858.0,19.95,19.895,20.14,19.95,
2017-05-18,20.17,2628046.0,20.17,19.79,20.23,20.0,
2017-05-19,20.39,1533931.0,20.39,20.05,20.45,20.16,
2017-05-22,20.52,1332366.0,20.52,20.35,20.59,20.39,
2017-05-23,20.55,1376494.0,20.55,20.54,20.76,20.63,
2017-05-24,20.57,1043176.0,20.57,20.51,20.775,20.57,
2017-05-25,20.48,1465849.0,20.48,20.42,20.77,20.62,
2017-05-26,20.25,580737.0,20.25,20.14,20.55,20.54,
2017-05-30,20.21,716099.0,20.21,20.1,20.41,20.21,
2017-05-31,20.34,1593417.0,20.34,20.23,20.4,20.25,
2017-06-01,20.63,1479318.0,20.63,20.24,20.72,20.33,
2017-06-02,20.98,1142753.0,20.98,20.75,21.075,20.82,
2017-06-05,20.94,1273396.0,20.94,20.79,21.01,20.88,
2017-06-06,20.74,1567366.0,20.74,20.71,20.97,20.97,
2017-06-07,20.72,623583.0,20.72,20.69,20.87,20.76,
2017-06-08,20.6,816777.0,20.6,20.41,20.75,20.75,
2017-06-09,20.73,1762172.0,20.73,20.46,20.81,20.57,
2017-06-12,21.09,1353802.0,21.09,20.71,21.12,20.73,
2017-06-13,21.0,1051631.0,21.0,20.88,21.09,21.06,
2017-06-14,20.99,1338077.0,20.99,20.885,21.345,21.15,
2017-06-15,21.05,1272505.0,21.05,20.82,21.13,20.85,
2017-06-16,21.22,1810522.0,21.22,20.97,21.23,20.98,
2017-06-19,21.25,1081432.0,21.25,21.11,21.3,21.14,
2017-06-20,21.29,1084792.0,21.29,21.13,21.39,21.28,
2017-06-21,21.38,1147321.0,21.38,21.23,21.42,21.29,
2017-06-22,21.51,1975105.0,21.51,21.33,21.72,21.37,
2017-06-23,21.64,1695748.0,21.64,21.5,21.79,21.54,
2017-06-26,21.8,1237897.0,21.8,21.54,21.81,21.75,
2017-06-27,21.52,1407351.0,21.52,21.48,21.85,21.73,
2017-06-28,21.6,2580079.0,21.6,21.41,21.72,21.55,
2017-06-29,19.79,13220990.0,19.79,19.73,20.46,20.41,
2017-06-30,20.14,4908697.0,20.14,19.92,20.31,19.94,
2017-07-03,20.3,3021549.0,20.3,20.18,20.41,20.2,
2017-07-05,20.16,5195466.0,20.16,20.02,20.33,20.3,
2017-07-06,19.33,3046428.0,19.33,19.27,20.14,20.12,
2017-07-07,19.02,4622411.0,19.02,18.78,19.22,19.06,
2017-07-10,18.42,3783776.0,18.42,18.41,19.06,19.04,
2017-07-11,18.3,3280948.0,18.3,18.11,18.42,18.41,
2017-07-12,18.53,3454425.0,18.53,18.39,18.66,18.47,
2017-07-13,18.52,2870695.0,18.52,18.47,18.76,18.73,
2017-07-14,18.61,2059253.0,18.61,18.55,18.73,18.64,
2017-07-17,18.64,1931298.0,18.64,18.48,18.68,18.48,
2017-07-18,18.42,2669020.0,18.42,18.41,18.64,18.63,
2017-07-19,18.72,1569474.0,18.72,18.42,18.79,18.45,
2017-07-20,18.66,2036999.0,18.66,18.65,18.855,18.76,
2017-07-21,18.67,1489629.0,18.67,18.46,18.84,18.84,
2017-07-24,18.57,1953218.0,18.57,18.47,18.72,18.72,
2017-07-25,18.54,2420613.0,18.54,18.36,18.58,18.5,
2017-07-26,18.5,1363626.0,18.5,18.34,18.62,18.49,
2017-07-27,18.49,1250881.0,18.49,18.32,18.61,18.44,
2017-07-28,18.46,1641760.0,18.46,18.34,18.54,18.54,
2017-07-31,18.62,1723461.0,18.62,18.37,18.67,18.48,
2017-08-01,18.44,1903557.0,18.44,18.325,18.71,18.65,
2017-08-02,18.23,1837318.0,18.23,18.06,18.455,18.38,
2017-08-03,18.42,1717185.0,18.42,18.0,18.49,18.06,
2017-08-04,18.29,792645.0,18.29,18.185,18.46,18.35,
2017-08-07,18.27,1630287.0,18.27,18.18,18.32,18.31,
2017-08-08,18.03,1631673.0,18.03,18.02,18.275,18.24,
2017-08-09,18.07,2001590.0,18.07,17.82,18.09,18.0,
2017-08-10,17.94,1553231.0,17.94,17.835,18.075,18.07,
2017-08-11,17.92,1042882.0,17.92,17.74,18.01,17.77,
2017-08-14,18.24,1081068.0,18.24,17.96,18.275,18.0,
2017-08-15,18.09,1163179.0,18.09,17.96,18.21,18.21,
2017-08-16,18.11,2263536.0,18.11,17.84,18.23,18.0,
2017-08-17,18.18,1396592.0,18.18,17.98,18.25,18.02,
2017-08-18,17.94,1259784.0,17.94,17.81,18.14,18.05,
2017-08-21,18.15,1362989.0,18.15,17.98,18.17,18.06,
2017-08-22,18.18,1129023.0,18.18,18.04,18.28,18.19,
2017-08-23,18.23,585372.0,18.23,18.09,18.34,18.18,
2017-08-24,18.39,1108431.0,18.39,18.23,18.51,18.23,
2017-08-25,18.41,731217.0,18.41,18.33,18.52,18.46,
2017-08-28,18.33,812779.0,18.33,18.23,18.45,18.39,
2017-08-29,18.25,923236.0,18.25,18.21,18.46,18.38,
2017-08-30,18.4,2011316.0,18.4,18.09,18.42,18.23,
2017-08-31,18.73,1264472.0,18.73,18.41,18.78,18.5,
2017-09-01,18.67,711568.0,18.67,18.63,18.79,18.73,
2017-09-05,18.78,935842.0,18.78,18.62,18.8,18.71,
2017-09-06,18.77,1186407.0,18.77,18.74,18.89,18.8,
2017-09-07,18.86,606305.0,18.86,18.75,18.91,18.83,
2017-09-08,18.86,718812.0,18.86,18.8,18.97,18.84,
2017-09-11,18.93,893740.0,18.93,18.8,19.065,18.8,
2017-09-12,18.57,985837.0,18.57,18.535,18.9631,18.87,
2017-09-13,18.48,928656.0,18.48,18.44,18.6,18.57,
2017-09-14,18.57,1435911.0,18.57,18.3366,18.58,18.5,
2017-09-15,18.74,1795725.0,18.74,18.425,18.79,18.64,
2017-09-18,18.69,1050744.0,18.69,18.635,18.765,18.72,
2017-09-19,18.5,849708.0,18.5,18.41,18.75,18.72,
2017-09-20,18.29,1214734.0,18.29,18.24,18.6,18.53,
2017-09-21,18.24,981185.0,18.24,18.2,18.37,18.3,
2017-09-22,18.06,1331754.0,18.06,18.02,18.47,18.47,
2017-09-25,18.02,1263672.0,18.02,17.97,18.1,18.03,
2017-09-26,17.87,1240301.0,17.87,17.85,18.0,17.98,
2017-09-27,17.49,2695845.0,17.49,17.38,17.84,17.78,
2017-09-28,17.79,1382666.0,17.79,17.45,17.795,17.48,
2017-09-29,17.73,1681419.0,17.73,17.7,17.905,17.72,
2017-10-02,17.56,1467002.0,17.56,17.45,17.62,17.57,
2017-10-03,17.61,1160707.0,17.61,17.5,17.695,17.55,
2017-10-04,17.6,1134839.0,17.6,17.525,17.72,17.66,
2017-10-05,17.61,2445801.0,17.61,17.6,17.77,17.65,
2017-10-06,17.67,1208063.0,17.67,17.34,17.74,17.53,
2017-10-09,17.67,900349.0,17.67,17.66,17.81,17.67,
2017-10-10,17.65,824636.0,17.65,17.54,17.73,17.67,
2017-10-11,17.63,912364.0,17.63,17.61,17.76,17.68,
2017-10-12,18.05,1538892.0,18.05,17.66,18.08,17.87,
2017-10-13,18.08,1427964.0,18.08,17.915,18.18,18.12,
2017-10-16,18.02,722458.0,18.02,17.884,18.09,18.09,
2017-10-17,18.06,636002.0,18.06,17.95,18.1,17.97,
2017-10-18,17.97,871607.0,17.97,17.91,18.12,18.02,
2017-10-19,17.82,709607.0,17.82,17.81,18.06,18.06,
2017-10-20,17.93,685441.0,17.93,17.7334,17.95,17.87,
2017-10-23,17.82,576833.0,17.82,17.79,17.99,17.94,
2017-10-24,17.49,965761.0,17.49,17.49,17.84,17.82,
2017-10-25,17.42,1113089.0,17.42,17.27,17.555,17.34,
2017-10-26,17.3,1210807.0,17.3,17.29,17.55,17.49,
2017-10-27,17.51,1326273.0,17.51,17.3,17.57,17.33,
2017-10-30,17.49,889520.0,17.49,17.43,17.5753,17.45,
2017-10-31,17.38,1309745.0,17.38,17.265,17.5,17.5,
2017-11-01,17.38,1138729.0,17.38,17.27,17.44,17.35,
