YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,76.42,1323108.0,76.42,75.42,77.53,76.31,
2017-01-04,76.78,941779.0,76.78,76.07,76.85,76.61,
2017-01-05,76.53,933060.0,76.53,75.6101,77.29,76.5,
2017-01-06,77.72,2522910.0,77.72,77.24,78.96,77.33,
2017-01-09,76.72,1026894.0,76.72,76.44,77.9,77.63,
2017-01-10,77.02,1463356.0,77.02,76.48,77.74,77.13,
2017-01-11,79.16,1454483.0,79.16,76.925,79.23,77.09,
2017-01-12,78.37,924418.0,78.37,77.22,79.18,79.07,
2017-01-13,79.65,1749113.0,79.65,78.91,81.5,79.8,
2017-01-17,78.18,1309349.0,78.18,77.97,79.46,79.46,
2017-01-18,78.4,967190.0,78.4,78.05,78.92,78.05,
2017-01-19,78.25,1179707.0,78.25,77.69,79.22,78.74,
2017-01-20,79.02,980120.0,79.02,78.3872,79.27,78.61,
2017-01-23,78.47,860289.0,78.47,77.71,79.14,78.68,
2017-01-24,80.51,1123765.0,80.51,78.47,80.74,78.66,
2017-01-25,81.46,1794053.0,81.46,80.11,81.68,80.98,
2017-01-26,80.33,2122096.0,80.33,78.68,82.32,80.46,
2017-01-27,79.79,1290613.0,79.79,79.36,80.66,80.66,
2017-01-30,78.43,1187568.0,78.43,77.44,79.61,79.61,
2017-01-31,77.75,2885028.0,77.75,76.9,78.35,78.25,
2017-02-01,78.22,1238110.0,78.22,77.31,78.84,78.31,
2017-02-02,77.8,867933.0,77.8,77.32,78.19,77.9,
2017-02-03,78.84,811232.0,78.84,77.97,79.13,78.02,
2017-02-06,78.01,628437.0,78.01,77.69,78.73,78.49,
2017-02-07,77.65,1066811.0,77.65,77.25,78.83,78.3,
2017-02-08,77.76,1109147.0,77.76,76.72,77.89,77.44,
2017-02-09,78.85,960718.0,78.85,77.61,78.95,78.07,
2017-02-10,79.28,649271.0,79.28,78.86,79.53,79.05,
2017-02-13,79.6,775164.0,79.6,79.49,80.45,79.57,
2017-02-14,79.75,701153.0,79.75,78.8,79.75,78.8,
2017-02-15,80.15,665723.0,80.15,79.32,80.1958,79.51,
2017-02-16,79.98,798210.0,79.98,79.26,80.29,80.29,
2017-02-17,79.94,1000737.0,79.94,78.94,79.94,79.53,
2017-02-21,80.88,994861.0,80.88,79.79,81.17,79.91,
2017-02-22,80.92,1912588.0,80.92,79.84,81.86,79.84,
2017-02-23,80.29,1459753.0,80.29,79.93,81.69,81.41,
2017-02-24,80.06,793817.0,80.06,78.0901,80.06,79.06,
2017-02-27,80.27,936969.0,80.27,79.58,80.56,79.87,
2017-02-28,80.1,1168743.0,80.1,79.72,80.81,79.98,
2017-03-01,81.82,1104836.0,81.82,81.25,82.56,81.25,
2017-03-02,80.52,619575.0,80.52,80.44,81.68,81.5,
2017-03-03,80.39,583484.0,80.39,79.91,81.03,80.52,
2017-03-06,80.44,841818.0,80.44,79.11,80.58,79.14,
2017-03-07,79.39,882218.0,79.39,79.33,80.53,80.53,
2017-03-08,77.25,2442889.0,77.25,77.2,80.02,79.39,
2017-03-09,76.34,2520934.0,76.34,75.51,77.32,77.05,
2017-03-10,76.81,1879151.0,76.81,75.86,77.44,77.16,
2017-03-13,77.63,1116853.0,77.63,76.64,77.67,76.64,
2017-03-14,77.06,968570.0,77.06,75.97,77.14,76.61,
2017-03-15,79.33,1459293.0,79.33,77.35,79.535,77.63,
2017-03-16,79.34,1418423.0,79.34,78.5331,79.79,79.43,
2017-03-17,79.7,1625692.0,79.7,79.2,79.95,79.73,
2017-03-20,79.82,1032059.0,79.82,78.85,80.28,79.44,
2017-03-21,78.29,1285933.0,78.29,78.21,80.61,80.4,
2017-03-22,77.97,1151745.0,77.97,77.5,78.5,77.92,
2017-03-23,78.18,639647.0,78.18,77.65,79.08,78.03,
2017-03-24,78.14,1100242.0,78.14,77.63,79.44,78.63,
2017-03-27,77.91,670757.0,77.91,76.23,78.14,77.12,
2017-03-28,79.33,787153.0,79.33,77.51,79.65,77.79,
2017-03-29,79.96,1000746.0,79.96,79.125,80.3,79.35,
2017-03-30,80.07,569232.0,80.07,79.72,80.55,79.89,
2017-03-31,80.35,967731.0,80.35,79.65,80.83,79.65,
2017-04-03,81.36,1657676.0,81.36,80.35,82.21,81.13,
2017-04-04,81.22,804655.0,81.22,80.7401,81.51,81.36,
2017-04-05,80.19,1447002.0,80.19,79.98,81.97,81.77,
2017-04-06,80.67,948617.0,80.67,79.815,81.34,80.19,
2017-04-07,80.13,882678.0,80.13,80.0,80.89,80.57,
2017-04-10,80.81,1156423.0,80.81,80.18,81.41,80.35,
2017-04-11,81.11,919703.0,81.11,80.15,81.3,80.69,
2017-04-12,79.33,847786.0,79.33,79.215,81.02,80.91,
2017-04-13,78.52,763008.0,78.52,78.41,79.78,79.23,
2017-04-17,79.86,1359482.0,79.86,78.59,79.98,79.03,
2017-04-18,80.1,1144204.0,80.1,79.13,80.41,79.36,
2017-04-19,79.26,1892296.0,79.26,79.12,81.05,80.44,
2017-04-20,79.71,2841912.0,79.71,79.33,82.5,82.5,
2017-04-21,79.32,2120926.0,79.32,78.05,80.11,79.95,
2017-04-24,80.66,2071785.0,80.66,79.96,81.2,80.58,
2017-04-25,81.27,1507693.0,81.27,80.55,81.87,81.12,
2017-04-26,81.01,1639503.0,81.01,80.67,81.66,80.97,
2017-04-27,79.64,1808050.0,79.64,79.34,80.9,80.9,
2017-04-28,78.88,1741406.0,78.88,78.83,79.73,79.73,
