YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,158.36,797593.0,158.36,156.26,159.41,159.22,
2017-01-04,162.99,679367.0,162.99,158.05,163.33,158.41,
2017-01-05,162.77,482054.0,162.77,161.6,164.0,162.95,
2017-01-06,163.49,548495.0,163.49,162.18,164.4,163.12,
2017-01-09,164.51,478624.0,164.51,163.09,165.33,163.33,
2017-01-10,166.36,834299.0,166.36,164.53,172.0,164.98,
2017-01-11,168.96,705212.0,168.96,166.41,169.29,166.91,
2017-01-12,168.36,601076.0,168.36,167.03,170.055,168.23,
2017-01-13,167.16,475747.0,167.16,166.35,168.81,168.22,
2017-01-17,164.93,483870.0,164.93,164.32,167.36,166.65,
2017-01-18,165.57,527763.0,165.57,164.49,165.82,164.97,
2017-01-19,166.04,340848.0,166.04,165.19,166.35,166.0,
2017-01-20,167.87,436873.0,167.87,167.11,168.72,167.92,
2017-01-23,167.04,584030.0,167.04,165.67,168.41,167.68,
2017-01-24,169.51,601603.0,169.51,167.16,169.75,167.16,
2017-01-25,170.57,296036.0,170.57,169.56,170.85,170.0,
2017-01-26,170.94,322058.0,170.94,169.23,171.32,169.76,
2017-01-27,172.02,462266.0,172.02,170.07,172.39,170.55,
2017-01-30,173.93,655437.0,173.93,170.99,174.02,171.13,
2017-01-31,174.54,822034.0,174.54,172.51,175.09,173.7,
2017-02-01,170.89,662223.0,170.89,170.0604,175.84,174.81,
2017-02-02,174.91,1155312.0,174.91,170.66,175.04,171.67,
2017-02-03,175.89,750089.0,175.89,174.32,177.3,175.23,
2017-02-06,177.94,844506.0,177.94,175.04,178.08,175.23,
2017-02-07,182.96,1561739.0,182.96,178.59,184.1,178.82,
2017-02-08,185.18,837934.0,185.18,182.45,185.5998,183.11,
2017-02-09,185.9,704453.0,185.9,185.32,187.6,185.81,
2017-02-10,186.37,647252.0,186.37,184.59,187.94,185.16,
2017-02-13,183.8,781175.0,183.8,183.76,187.45,187.0,
2017-02-14,184.91,526174.0,184.91,182.88,185.28,183.27,
