YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,77.73,2905885.0,77.73,77.02,78.02,77.65,
2017-01-04,77.65,2531056.0,77.65,77.63,78.3499,77.65,
2017-01-05,77.75,3284643.0,77.75,77.044,77.96,77.9,
2017-01-06,77.49,3132399.0,77.49,77.26,77.87,77.5,
2017-01-09,76.64,4585676.0,76.64,76.4,77.73,77.61,
2017-01-10,76.5,2839994.0,76.5,76.14,76.83,76.49,
2017-01-11,77.1,2726221.0,77.1,76.25,77.2,76.28,
2017-01-12,77.54,2476286.0,77.54,76.7689,77.61,76.97,
2017-01-13,77.21,1954531.0,77.21,76.77,77.48,77.34,
2017-01-17,77.46,3754997.0,77.46,77.26,77.83,77.47,
2017-01-18,77.5,2235709.0,77.5,77.285,77.91,77.38,
2017-01-19,77.12,2575474.0,77.12,76.88,77.57,77.27,
2017-01-20,77.33,2662840.0,77.33,76.95,77.58,77.32,
2017-01-23,77.03,2166778.0,77.03,76.89,77.68,77.43,
2017-01-24,77.18,2751383.0,77.18,76.86,77.33,77.2,
2017-01-25,77.08,2346970.0,77.08,76.56,77.12,76.93,
2017-01-26,77.12,3085410.0,77.12,76.645,77.23,76.99,
2017-01-27,76.94,2562052.0,76.94,76.73,77.63,77.32,
2017-01-30,77.12,2379117.0,77.12,76.7,77.52,76.98,
2017-01-31,78.54,3753652.0,78.54,77.12,78.56,77.12,
2017-02-01,77.36,3455080.0,77.36,77.08,78.26,78.14,
2017-02-02,77.79,2997371.0,77.79,77.16,77.94,77.57,
2017-02-03,77.65,2478070.0,77.65,77.48,78.04,77.89,
2017-02-06,77.57,2017146.0,77.57,77.45,78.037,77.89,
2017-02-07,77.75,1629926.0,77.75,77.41,77.8599,77.65,
2017-02-08,78.64,2973576.0,78.64,77.74,78.71,77.82,
2017-02-09,77.75,3351432.0,77.75,77.57,78.8355,78.53,
2017-02-10,78.1,2549973.0,78.1,77.59,78.16,77.59,
2017-02-13,78.69,2925882.0,78.69,77.9,78.69,78.26,
2017-02-14,78.04,3715806.0,78.04,77.59,78.6799,78.56,
2017-02-15,76.78,3802909.0,76.78,76.28,77.17,76.79,
2017-02-16,78.9,6795552.0,78.9,76.77,79.21,77.17,
2017-02-17,78.36,4104558.0,78.36,77.98,78.99,78.7,
2017-02-21,79.09,2734984.0,79.09,77.93,79.22,78.3,
2017-02-22,79.87,2895026.0,79.87,78.96,79.99,79.21,
2017-02-23,80.91,2801227.0,80.91,79.9,81.07,79.98,
2017-02-24,81.96,3846758.0,81.96,81.17,82.21,81.2,
2017-02-27,81.86,2505846.0,81.86,81.5,82.2,81.93,
2017-02-28,82.55,3529876.0,82.55,81.59,82.82,81.59,
2017-03-01,81.93,4832281.0,81.93,81.2,82.5152,81.6,
2017-03-02,82.36,4176131.0,82.36,81.39,82.7845,81.6,
2017-03-03,81.91,2856184.0,81.91,81.28,82.16,82.14,
2017-03-06,81.87,2785102.0,81.87,81.53,82.08,81.96,
2017-03-07,81.69,3732571.0,81.69,81.46,82.07,81.59,
2017-03-08,80.32,3342612.0,80.32,80.25,81.12,81.11,
2017-03-09,80.05,3074490.0,80.05,80.02,80.79,80.52,
2017-03-10,80.64,3334445.0,80.64,80.17,80.95,80.41,
2017-03-13,80.87,3423476.0,80.87,80.455,80.975,80.8,
2017-03-14,80.87,2151186.0,80.87,80.61,81.11,80.85,
2017-03-15,82.0,3727684.0,82.0,80.84,82.36,81.08,
2017-03-16,81.62,4352257.0,81.62,81.24,82.33,82.2,
2017-03-17,81.84,7276875.0,81.84,81.519,82.25,81.85,
2017-03-20,81.18,3270978.0,81.18,80.855,82.1,81.93,
2017-03-21,82.68,5092488.0,82.68,81.12,83.01,81.147,
2017-03-22,82.76,2881795.0,82.76,82.58,83.59,82.99,
2017-03-23,82.68,2409985.0,82.68,82.35,83.29,82.49,
2017-03-24,82.99,2078812.0,82.99,82.45,83.27,82.61,
2017-03-27,82.79,2125771.0,82.79,82.41,83.58,83.32,
2017-03-28,82.93,2458530.0,82.93,82.35,82.98,82.54,
2017-03-29,82.42,2087586.0,82.42,82.19,82.74,82.74,
2017-03-30,82.04,2467343.0,82.04,81.66,82.12,82.11,
2017-03-31,82.01,2251821.0,82.01,81.73,82.4731,81.91,
2017-04-03,82.25,2756209.0,82.25,81.27,82.29,81.9,
2017-04-04,82.37,1761394.0,82.37,81.98,82.69,82.24,
2017-04-05,82.87,2063954.0,82.87,82.11,82.97,82.27,
2017-04-06,82.59,2499238.0,82.59,82.37,82.87,82.66,
2017-04-07,82.26,2453141.0,82.26,82.21,82.99,82.8,
2017-04-10,82.4,2563932.0,82.4,81.85,82.44,82.3,
2017-04-11,82.19,1876596.0,82.19,81.78,82.4,82.32,
2017-04-12,82.78,2230805.0,82.78,81.76,82.84,81.96,
2017-04-13,82.59,2425152.0,82.59,82.13,82.9,82.76,
2017-04-17,82.93,2046645.0,82.93,82.5401,83.0107,82.7,
2017-04-18,82.86,2257382.0,82.86,82.65,83.26,82.9,
2017-04-19,82.35,2132635.0,82.35,82.0228,82.91,82.84,
2017-04-20,82.03,2330809.0,82.03,81.42,82.16,82.16,
2017-04-21,82.21,2471128.0,82.21,82.03,82.7,82.1,
2017-04-24,82.58,2641318.0,82.58,81.64,82.69,82.41,
2017-04-25,82.69,2954379.0,82.69,82.115,82.72,82.41,
2017-04-26,82.6,2291774.0,82.6,82.44,83.285,82.57,
2017-04-27,82.9,1736736.0,82.9,82.6,83.35,82.68,
2017-04-28,82.5,2166592.0,82.5,82.255,82.9,82.71,
2017-05-01,82.07,2069884.0,82.07,81.85,82.6248,82.51,
2017-05-02,82.39,2576111.0,82.39,81.9046,82.58,82.23,
2017-05-03,82.04,2128876.0,82.04,81.91,82.5503,82.28,
2017-05-04,82.59,2110419.0,82.59,81.87,82.66,81.93,
2017-05-05,82.98,2144467.0,82.98,82.69,83.15,82.69,
2017-05-08,82.92,2179707.0,82.92,82.37,83.155,83.02,
2017-05-09,82.11,2477977.0,82.11,82.08,82.97,82.53,
2017-05-10,82.48,2142991.0,82.48,82.01,82.695,82.27,
2017-05-11,83.0,2372914.0,83.0,82.06,83.02,82.15,
2017-05-12,83.48,2013524.0,83.48,83.02,83.6701,83.1,
2017-05-15,83.58,2043048.0,83.58,83.26,83.785,83.55,
2017-05-16,83.12,2614679.0,83.12,83.09,83.8,83.58,
2017-05-17,82.78,4344700.0,82.78,82.3,83.235,82.3,
2017-05-18,83.25,3772291.0,83.25,82.49,83.66,83.1,
2017-05-19,83.37,3104653.0,83.37,82.72,83.43,83.36,
2017-05-22,84.1,2213195.0,84.1,83.19,84.34,83.27,
2017-05-23,84.3,1749293.0,84.3,84.02,84.78,84.13,
2017-05-24,84.69,2971948.0,84.69,84.39,84.88,84.47,
2017-05-25,85.14,2802506.0,85.14,84.61,85.25,84.81,
2017-05-26,85.07,2023992.0,85.07,84.9515,85.3499,85.19,
2017-05-30,85.41,2501605.0,85.41,84.8832,85.54,85.2,
2017-05-31,85.68,3250810.0,85.68,85.4,86.01,85.52,
2017-06-01,86.4,3158924.0,86.4,85.2398,86.4,85.48,
2017-06-02,86.28,2114546.0,86.28,85.92,86.8,86.79,
2017-06-05,85.83,2284907.0,85.83,85.69,86.3,86.25,
2017-06-06,85.81,2066779.0,85.81,85.66,86.16,86.09,
2017-06-07,86.09,3025144.0,86.09,85.58,86.24,85.81,
2017-06-08,85.38,2571059.0,85.38,84.75,86.02,85.98,
2017-06-09,85.72,2264839.0,85.72,84.917,85.75,85.1,
2017-06-12,85.62,3292875.0,85.62,85.08,86.19,85.73,
2017-06-13,85.95,2421358.0,85.95,85.42,86.045,85.53,
2017-06-14,86.32,2432857.0,86.32,86.09,86.84,86.44,
2017-06-15,86.95,2468139.0,86.95,86.08,86.96,86.21,
2017-06-16,87.14,4996929.0,87.14,86.91,87.49,87.12,
2017-06-19,86.89,2394499.0,86.89,86.52,87.31,87.31,
2017-06-20,86.91,2420427.0,86.91,86.67,87.05,86.84,
2017-06-21,86.57,1735199.0,86.57,86.12,87.14,86.93,
2017-06-22,86.28,2106922.0,86.28,86.22,86.7343,86.4,
2017-06-23,85.96,1543029.0,85.96,85.86,86.595,86.22,
2017-06-26,86.7,2834523.0,86.7,85.99,87.05,86.33,
2017-06-27,85.7,2404538.0,85.7,85.45,86.54,86.36,
2017-06-28,84.97,3180745.0,84.97,84.86,86.08,86.03,
2017-06-29,84.03,3859290.0,84.03,83.77,84.73,84.73,
2017-06-30,83.59,3607625.0,83.59,83.59,84.42,84.15,
2017-07-03,83.31,1705902.0,83.31,83.16,83.835,83.78,
2017-07-05,83.29,3529956.0,83.29,82.72,83.49,83.32,
2017-07-06,83.21,2801781.0,83.21,82.765,83.3,83.1,
2017-07-07,83.42,2531389.0,83.42,83.085,83.745,83.22,
2017-07-10,83.19,1833910.0,83.19,83.16,83.815,83.58,
2017-07-11,83.18,2558039.0,83.18,82.8,83.44,83.37,
2017-07-12,83.98,2946639.0,83.98,83.71,84.27,83.83,
2017-07-13,83.37,2175390.0,83.37,83.35,83.98,83.82,
2017-07-14,83.84,1377285.0,83.84,83.68,84.13,83.85,
2017-07-17,84.03,1594112.0,84.03,83.6,84.1,83.84,
2017-07-18,84.19,1653505.0,84.19,83.93,84.28,84.07,
2017-07-19,84.35,1790077.0,84.35,83.96,84.43,84.27,
2017-07-20,84.93,1971679.0,84.93,84.24,84.95,84.6,
2017-07-21,85.2,2494385.0,85.2,84.38,85.23,84.89,
2017-07-24,84.55,2541732.0,84.55,84.325,85.28,85.24,
2017-07-25,83.81,1926924.0,83.81,83.685,84.66,84.57,
2017-07-26,84.45,1702755.0,84.45,83.6,84.46,83.68,
2017-07-27,85.05,2179750.0,85.05,84.045,85.05,84.2,
2017-07-28,84.91,2089799.0,84.91,84.58,85.225,85.01,
2017-07-31,85.12,2441984.0,85.12,84.66,85.33,84.9,
2017-08-01,85.17,2825051.0,85.17,85.0534,85.52,85.15,
2017-08-02,85.74,2131600.0,85.74,84.65,85.74,85.01,
2017-08-03,86.51,2915600.0,86.51,85.51,86.52,86.0,
2017-08-04,86.48,2599641.0,86.48,85.97,86.58,86.17,
2017-08-07,86.26,2026377.0,86.26,86.0,86.55,86.46,
2017-08-08,86.6,2045763.0,86.6,86.01,86.61,86.1,
2017-08-09,86.2,2115384.0,86.2,86.01,86.9,86.76,
2017-08-10,86.39,2140907.0,86.39,85.7617,86.5999,86.2,
2017-08-11,85.7,2516839.0,85.7,85.16,86.47,86.47,
2017-08-14,86.12,2473805.0,86.12,85.64,86.27,85.82,
2017-08-15,86.89,1876288.0,86.89,85.89,86.97,85.91,
2017-08-16,86.31,1804213.0,86.31,85.71,86.37,85.97,
2017-08-17,85.87,2055010.0,85.87,85.8,86.45,86.31,
2017-08-18,86.38,2853827.0,86.38,85.61,86.83,85.75,
2017-08-21,86.58,2090794.0,86.58,86.16,86.68,86.5,
2017-08-22,86.55,1719810.0,86.55,86.11,86.71,86.58,
2017-08-23,86.88,1931889.0,86.88,86.14,86.985,86.57,
2017-08-24,86.77,1984917.0,86.77,86.57,87.12,86.74,
2017-08-25,87.23,1708883.0,87.23,86.97,87.5466,87.39,
2017-08-28,87.42,1185375.0,87.42,86.97,87.5,87.37,
2017-08-29,87.5,1828384.0,87.5,87.33,87.95,87.55,
2017-08-30,87.28,1425728.0,87.28,87.07,87.58,87.32,
2017-08-31,87.3,2188330.0,87.3,87.22,87.53,87.38,
2017-09-01,87.09,1364063.0,87.09,86.73,87.55,87.48,
2017-09-05,87.41,1995115.0,87.41,86.79,87.53,87.2,
2017-09-06,86.99,1978908.0,86.99,86.805,87.62,87.52,
2017-09-07,87.34,1943802.0,87.34,86.87,87.56,87.09,
2017-09-08,87.78,1938288.0,87.78,87.21,88.03,87.37,
2017-09-11,88.34,1674681.0,88.34,87.47,88.4,87.64,
2017-09-12,87.28,2900220.0,87.28,86.715,88.34,88.3,
2017-09-13,86.77,2544780.0,86.77,86.66,87.24,87.22,
2017-09-14,87.5,2755926.0,87.5,86.5327,87.58,86.74,
2017-09-15,87.3,6419300.0,87.3,86.819,87.78,87.5,
2017-09-18,86.06,2868185.0,86.06,85.53,87.3109,87.3,
2017-09-19,85.98,1954331.0,85.98,85.88,86.27,86.06,
2017-09-20,85.2,2982650.0,85.2,84.86,86.25,86.21,
2017-09-21,85.16,2456066.0,85.16,85.0,85.655,85.22,
2017-09-22,84.25,1799186.0,84.25,84.215,85.4,85.36,
2017-09-25,85.14,2117308.0,85.14,84.24,85.14,84.25,
2017-09-26,84.82,1570637.0,84.82,84.69,85.1592,85.04,
2017-09-27,83.94,2318947.0,83.94,83.52,84.6,84.4,
2017-09-28,84.26,2365763.0,84.26,83.3976,84.5,83.65,
2017-09-29,83.92,2384511.0,83.92,83.6,84.22,84.13,
2017-10-02,84.36,2601145.0,84.36,83.78,84.62,84.07,
2017-10-03,83.85,1926595.0,83.85,83.52,84.23,84.2,
2017-10-04,84.47,3088761.0,84.47,83.6527,84.48,83.9,
