YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,47.08,5828555.0,47.08,45.62,47.555,46.82,
2017-01-04,47.5,3706228.0,47.5,46.49,47.525,46.94,
2017-01-05,49.01,7512979.0,49.01,47.67,49.45,47.73,
2017-01-06,48.67,3193903.0,48.67,48.43,49.25,49.03,
2017-01-09,46.58,5736103.0,46.58,46.51,48.18,48.07,
2017-01-10,46.7,4642677.0,46.7,46.45,47.23,46.97,
2017-01-11,47.4,3997619.0,47.4,46.25,47.46,46.46,
2017-01-12,46.46,4433621.0,46.46,46.04,47.795,47.68,
2017-01-13,46.41,3081844.0,46.41,45.93,46.7417,46.1,
2017-01-17,46.48,3376768.0,46.48,46.35,47.175,46.57,
2017-01-18,46.36,3653543.0,46.36,45.533,46.42,45.99,
2017-01-19,46.09,2602720.0,46.09,45.86,46.66,46.49,
2017-01-20,46.26,3571340.0,46.26,46.01,46.95,46.79,
2017-01-23,45.63,4985253.0,45.63,45.1245,46.1,45.79,
2017-01-24,46.59,3185571.0,46.59,45.89,46.89,46.08,
2017-01-25,46.46,4992554.0,46.46,46.14,47.03,46.63,
2017-01-26,47.15,3017961.0,47.15,46.67,47.82,46.81,
2017-01-27,46.64,2726426.0,46.64,46.26,46.89,46.78,
2017-01-30,45.07,4125969.0,45.07,44.42,46.51,46.51,
2017-01-31,45.54,3493620.0,45.54,44.58,45.56,45.19,
2017-02-01,45.54,3566555.0,45.54,44.835,46.19,45.98,
2017-02-02,45.65,3269899.0,45.65,44.85,45.975,45.54,
2017-02-03,46.79,3824691.0,46.79,45.54,47.17,45.58,
2017-02-06,45.27,3629407.0,45.27,45.19,46.88,46.67,
2017-02-07,44.14,3854630.0,44.14,43.87,45.345,44.88,
2017-02-08,44.06,4356073.0,44.06,43.12,44.73,43.59,
2017-02-09,44.75,2914951.0,44.75,44.28,44.93,44.64,
2017-02-10,45.41,3445005.0,45.41,45.0,45.94,45.02,
2017-02-13,45.26,3261704.0,45.26,44.7,45.66,45.07,
2017-02-14,45.94,3360550.0,45.94,44.67,45.99,45.68,
2017-02-15,44.23,9506757.0,44.23,43.82,47.25,46.3,
2017-02-16,44.11,6199396.0,44.11,44.03,45.23,44.44,
2017-02-17,44.17,3362893.0,44.17,43.61,44.27,43.88,
2017-02-21,45.06,4971900.0,45.06,44.36,45.62,44.56,
