YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,79.17,2187463.0,79.17,78.27,79.62,79.52,19768.0
2017-01-04,80.63,1852328.0,80.63,79.12,81.11,79.39,19274.0
2017-01-05,78.96,3294988.0,78.96,78.73,80.46,79.98,28321.0
2017-01-06,79.01,2017719.0,79.01,78.37,79.52,79.11,19782.0
2017-01-09,78.64,2332321.0,78.64,78.05,79.4302,79.19,21274.0
2017-01-10,78.85,2329293.0,78.85,77.94,79.23,78.49,20324.0
2017-01-11,79.02,2619652.0,79.02,78.17,79.42,78.8,22439.0
2017-01-12,79.6,2035720.0,79.6,78.25,79.76,78.85,18617.0
2017-01-13,80.35,2818382.0,80.35,79.13,81.26,79.14,22548.0
2017-01-17,80.23,2074084.0,80.23,79.47,80.59,80.0,16272.0
2017-01-18,80.53,1926801.0,80.53,79.82,80.82,80.51,15478.0
2017-01-19,80.38,1746183.0,80.38,80.05,81.34,80.4,13921.0
2017-01-20,80.12,2642945.0,80.12,78.89,80.515,80.49,20310.0
2017-01-23,79.88,2672218.0,79.88,79.26,80.17,80.05,22111.0
2017-01-24,80.51,2004411.0,80.51,79.41,80.8,79.88,16044.0
2017-01-25,81.48,2883627.0,81.48,80.52,81.59,80.85,19478.0
2017-01-26,81.7,1855130.0,81.7,81.1,81.87,81.56,16069.0
2017-01-27,83.16,2607202.0,83.16,81.86,83.25,82.0,20971.0
2017-01-30,83.84,4067328.0,83.84,82.75,84.0275,82.96,32920.0
2017-01-31,83.43,6583360.0,83.43,82.89,84.09,83.82,46747.0
2017-02-01,83.0,7608012.0,83.0,81.45,84.25,83.43,61211.0
2017-02-02,82.51,4079976.0,82.51,81.38,82.9814,82.68,34264.0
2017-02-03,81.28,4300790.0,81.28,80.97,82.665,82.51,35777.0
2017-02-06,81.52,2351072.0,81.52,80.4,81.78,80.83,22209.0
2017-02-07,82.21,2944017.0,82.21,81.55,82.4,81.81,24046.0
2017-02-08,81.48,2738904.0,81.48,81.27,82.905,81.94,21193.0
2017-02-09,83.26,3193067.0,83.26,81.49,83.4,81.6,26468.0
2017-02-10,86.17,6561736.0,86.17,84.1301,86.66,84.74,49864.0
2017-02-13,86.32,4435770.0,86.32,85.7,87.49,86.31,36321.0
2017-02-14,86.06,3046929.0,86.06,85.22,86.45,85.8,24868.0
2017-02-15,87.95,3250753.0,87.95,85.7,88.04,85.92,25866.0
2017-02-16,87.85,2739096.0,87.85,87.2,88.28,87.69,22173.0
2017-02-17,87.3,1773693.0,87.3,86.95,87.86,87.76,15023.0
2017-02-21,87.54,1871787.0,87.54,87.1,88.02,87.35,13666.0
2017-02-22,87.38,1751399.0,87.38,86.96,87.62,87.38,16492.0
2017-02-23,86.65,3113293.0,86.65,85.76,87.56,87.56,26360.0
