YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,118.04,1080581.0,118.04,117.29,118.41,118.12,
2017-01-04,118.79,720000.0,118.79,118.008,119.12,118.25,
2017-01-05,118.61,731556.0,118.61,117.7,118.76,118.42,
2017-01-06,118.92,864621.0,118.92,118.31,119.57,118.7,
2017-01-09,118.84,914265.0,118.84,118.38,119.39,118.87,
2017-01-10,117.86,785249.0,117.86,117.78,119.02,118.5,
2017-01-11,118.32,772047.0,118.32,117.33,118.4753,117.5,
2017-01-12,118.64,897689.0,118.64,117.53,118.71,117.77,
2017-01-13,118.57,596227.0,118.57,118.36,119.22,118.75,
2017-01-17,118.68,755245.0,118.68,117.69,119.04,118.24,
2017-01-18,119.07,1032134.0,119.07,117.99,119.19,118.81,
2017-01-19,118.85,711427.0,118.85,118.46,119.49,118.88,
2017-01-20,118.4,1355835.0,118.4,117.55,119.56,119.15,
2017-01-23,119.35,927884.0,119.35,118.1,119.42,118.32,
2017-01-24,121.65,1255940.0,121.65,119.401,122.0,119.85,
2017-01-25,122.49,1127542.0,122.49,121.57,122.54,121.71,
2017-01-26,120.95,910166.0,120.95,120.57,122.64,122.64,
2017-01-27,121.29,671799.0,121.29,120.43,121.51,120.78,
2017-01-30,121.49,975843.0,121.49,120.07,121.54,121.22,
2017-01-31,120.13,1094118.0,120.13,119.77,121.75,121.19,
2017-02-01,120.78,795627.0,120.78,119.51,120.89,119.74,
2017-02-02,120.21,756248.0,120.21,120.16,121.24,120.89,
2017-02-03,120.75,937914.0,120.75,120.01,120.94,120.36,
2017-02-06,119.7,813093.0,119.7,119.09,120.48,120.4,
2017-02-07,120.25,708817.0,120.25,119.42,120.73,119.99,
2017-02-08,120.34,604609.0,120.34,119.61,120.51,120.11,
2017-02-09,120.61,573626.0,120.61,120.11,120.84,120.18,
2017-02-10,121.2,642734.0,121.2,120.46,121.4,120.75,
2017-02-13,121.76,732763.0,121.76,120.79,122.32,121.22,
2017-02-14,122.84,861663.0,122.84,121.56,122.95,121.84,
2017-02-15,123.4,1045664.0,123.4,122.0481,123.91,122.35,
2017-02-16,123.28,829738.0,123.28,122.26,123.5,123.27,
2017-02-17,123.95,1249148.0,123.95,122.545,124.09,123.32,
2017-02-21,124.03,2200025.0,124.03,121.82,124.3,122.8,
2017-02-22,123.1,1290652.0,123.1,121.5,124.27,121.77,
2017-02-23,122.76,1005198.0,122.76,122.52,123.62,123.5,
2017-02-24,125.5,1757957.0,125.5,122.3,125.5,122.3,
2017-02-27,123.84,1056814.0,123.84,123.81,125.98,125.5,
2017-02-28,123.97,1328690.0,123.97,123.55,124.82,123.85,
2017-03-01,125.87,1052106.0,125.87,124.74,126.1707,125.0,
2017-03-02,125.09,764402.0,125.09,125.01,125.83,125.59,
2017-03-03,125.25,909341.0,125.25,124.68,125.63,124.93,
2017-03-06,125.06,729691.0,125.06,124.74,125.48,124.77,
2017-03-07,124.72,842882.0,124.72,124.44,125.45,125.17,
2017-03-08,124.5,1081808.0,124.5,124.3,125.655,124.64,
2017-03-09,123.69,1338874.0,123.69,123.3374,124.55,124.22,
2017-03-10,124.25,1125271.0,124.25,123.8799,124.91,124.39,
2017-03-13,124.77,925641.0,124.77,123.96,124.78,124.0,
2017-03-14,123.68,931053.0,123.68,123.48,124.69,124.06,
2017-03-15,125.37,929636.0,125.37,123.65,125.67,124.31,
2017-03-16,125.19,928330.0,125.19,124.49,125.62,125.37,
2017-03-17,125.41,1732777.0,125.41,125.02,125.82,125.34,
2017-03-20,125.13,766344.0,125.13,124.82,125.77,125.11,
2017-03-21,124.2,913467.0,124.2,123.955,125.54,125.02,
2017-03-22,124.24,732367.0,124.24,123.91,124.86,124.29,
2017-03-23,124.18,996715.0,124.18,123.65,124.97,124.14,
2017-03-24,123.83,1007543.0,123.83,123.51,124.6,124.17,
2017-03-27,124.11,791442.0,124.11,122.58,124.18,122.58,
2017-03-28,124.87,1083045.0,124.87,123.65,125.11,124.01,
2017-03-29,124.78,671066.0,124.78,124.38,125.1,124.59,
2017-03-30,125.34,575853.0,125.34,124.76,125.42,124.83,
2017-03-31,125.34,1167677.0,125.34,124.66,125.98,124.66,
2017-04-03,125.88,1514593.0,125.88,124.98,127.06,126.0,
2017-04-04,125.06,1140081.0,125.06,124.42,126.04,125.85,
2017-04-05,124.83,1102370.0,124.83,124.48,125.83,125.4,
2017-04-06,125.21,795634.0,125.21,124.78,125.78,124.88,
2017-04-07,125.25,841083.0,125.25,124.7,125.59,124.85,
2017-04-10,125.87,750585.0,125.87,125.1,126.35,125.29,
2017-04-11,125.66,617609.0,125.66,125.1,126.14,125.6,
2017-04-12,124.96,855631.0,124.96,124.68,125.82,125.14,
2017-04-13,124.47,598036.0,124.47,124.46,125.44,124.75,
2017-04-17,125.42,472505.0,125.42,124.73,125.42,124.97,
2017-04-18,125.31,672808.0,125.31,124.57,125.39,124.57,
2017-04-19,125.71,885804.0,125.71,125.53,126.2,125.68,
2017-04-20,126.35,675970.0,126.35,125.64,126.59,125.93,
2017-04-21,126.2,656574.0,126.2,126.02,126.75,126.42,
2017-04-24,127.3,1243357.0,127.3,126.79,127.63,127.26,
