YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,77.33,2075916.0,77.33,76.925,77.97,77.26,
2017-01-04,78.7,1550507.0,78.7,77.5,78.99,77.53,
2017-01-05,78.6,1587515.0,78.6,77.56,78.69,78.19,
2017-01-06,79.16,1634591.0,79.16,78.3,79.5,78.64,
2017-01-09,78.24,1397164.0,78.24,78.11,79.0,78.8,
2017-01-10,77.35,2472403.0,77.35,77.23,78.4,78.4,
2017-01-11,78.33,2787818.0,78.33,76.34,78.36,76.63,
2017-01-12,79.14,3338627.0,79.14,78.1,79.85,78.74,
2017-01-13,78.79,1933194.0,78.79,78.62,79.57,78.98,
2017-01-17,79.85,2253262.0,79.85,79.25,80.34,79.35,
2017-01-18,79.27,1615853.0,79.27,79.22,80.43,79.99,
2017-01-19,78.89,1720304.0,78.89,78.36,79.32,79.23,
2017-01-20,79.63,1853198.0,79.63,78.71,79.79,78.99,
2017-01-23,79.65,1188589.0,79.65,79.12,79.81,79.53,
2017-01-24,80.79,1283389.0,80.79,79.7,80.84,79.78,
2017-01-25,82.01,1996454.0,82.01,80.9,82.055,81.05,
2017-01-26,81.96,2746622.0,81.96,81.64,83.33,82.21,
2017-01-27,80.96,1189056.0,80.96,80.69,81.78,81.58,
2017-01-30,80.87,1672533.0,80.87,80.11,81.11,81.11,
2017-01-31,81.21,1891004.0,81.21,80.31,81.25,80.92,
2017-02-01,79.92,4869491.0,79.92,79.35,81.29,80.9,
2017-02-02,82.0,5021826.0,82.0,80.86,83.3099,82.91,
2017-02-03,83.02,3395538.0,83.02,81.94,83.5,82.06,
2017-02-06,82.82,2114510.0,82.82,82.56,83.2,82.99,
2017-02-07,83.4,2402494.0,83.4,82.315,83.75,83.18,
2017-02-08,82.49,2263838.0,82.49,82.2,83.48,83.11,
2017-02-09,82.66,1535160.0,82.66,82.29,82.9,82.37,
2017-02-10,82.59,1684795.0,82.59,82.145,82.74,82.56,
2017-02-13,82.59,1048869.0,82.59,82.43,82.97,82.81,
2017-02-14,83.25,1666637.0,83.25,82.2,83.56,82.35,
2017-02-15,83.54,2035833.0,83.54,82.65,83.94,83.33,
2017-02-16,83.27,1530065.0,83.27,82.52,83.7,83.36,
2017-02-17,85.0,6467665.0,85.0,83.59,85.72,83.68,
2017-02-21,84.64,2411083.0,84.64,84.48,85.71,85.2,
2017-02-22,84.2,1600093.0,84.2,84.03,84.99,84.53,
2017-02-23,84.02,1501677.0,84.02,83.86,84.83,84.6,
2017-02-24,83.75,1225194.0,83.75,82.935,83.85,83.72,
2017-02-27,82.97,1264618.0,82.97,82.5,83.72,83.42,
2017-02-28,82.85,1556155.0,82.85,82.74,83.4,83.0,
2017-03-01,84.05,1622933.0,84.05,82.81,84.23,83.18,
2017-03-02,82.92,3459458.0,82.92,82.8,85.04,85.0,
2017-03-03,82.95,1372517.0,82.95,81.69,83.05,82.79,
2017-03-06,82.71,1184086.0,82.71,82.43,83.14,82.53,
2017-03-07,82.77,1274061.0,82.77,82.35,82.94,82.48,
2017-03-08,82.93,1126678.0,82.93,82.71,83.25,82.84,
2017-03-09,82.88,958619.0,82.88,82.66,83.34,83.3,
2017-03-10,85.78,3603655.0,85.78,84.15,86.42,84.21,
2017-03-13,85.37,1523552.0,85.37,85.17,85.87,85.44,
