YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,56.95,3383005.0,56.95,56.17,57.2,56.25,
2017-01-04,56.61,4155422.0,56.61,56.34,57.44,57.05,
2017-01-05,56.14,2657112.0,56.14,55.4002,56.91,56.52,
2017-01-06,56.4,1786481.0,56.4,56.0,56.6268,56.19,
2017-01-09,56.19,2130881.0,56.19,56.165,56.81,56.8,
2017-01-10,56.69,2535001.0,56.69,56.39,57.12,56.48,
2017-01-11,57.57,2685833.0,57.57,56.5201,57.58,56.7,
2017-01-12,57.47,2551152.0,57.47,56.77,57.5,57.39,
2017-01-13,57.12,2964516.0,57.12,56.93,57.7,57.55,
2017-01-17,56.31,3152560.0,56.31,56.0,57.075,56.8,
2017-01-18,57.22,2575446.0,57.22,56.26,57.35,56.43,
2017-01-19,58.43,5955059.0,58.43,58.28,59.32,58.5,
2017-01-20,58.83,4193906.0,58.83,58.39,58.9,58.5,
2017-01-23,58.29,3174517.0,58.29,57.995,58.9261,58.69,
2017-01-24,59.11,3202092.0,59.11,58.3,59.44,58.51,
2017-01-25,60.26,4133113.0,60.26,59.42,60.375,59.59,
2017-01-26,60.08,3469556.0,60.08,59.81,60.93,60.19,
2017-01-27,60.14,3260633.0,60.14,60.01,60.56,60.56,
2017-01-30,59.14,5213912.0,59.14,58.73,60.11,60.1,
2017-01-31,58.66,5894458.0,58.66,58.235,59.1,59.08,
2017-02-01,58.78,2954532.0,58.78,58.37,59.1,58.5,
2017-02-02,58.88,6198965.0,58.88,58.42,59.12,58.61,
2017-02-03,59.54,3523090.0,59.54,58.84,59.56,59.12,
2017-02-06,59.86,6248054.0,59.86,59.28,59.955,59.3,
2017-02-07,62.54,10588333.0,62.54,61.02,63.5,61.3,
2017-02-08,62.41,5735491.0,62.41,61.67,62.51,62.0,
2017-02-09,62.71,3457275.0,62.71,62.46,63.48,62.59,
2017-02-10,63.26,4619032.0,63.26,62.69,63.4,62.69,
2017-02-13,64.15,4056958.0,64.15,63.45,64.2745,63.46,
2017-02-14,64.14,3949199.0,64.14,63.55,64.365,63.69,
2017-02-15,63.73,5215621.0,63.73,63.13,63.87,63.61,
2017-02-16,62.9,6228880.0,62.9,62.3834,63.59,63.58,
2017-02-17,61.89,5091075.0,61.89,61.7,62.55,62.52,
2017-02-21,62.17,4569114.0,62.17,61.7,62.21,62.05,
2017-02-22,61.82,3411219.0,61.82,61.72,62.17,61.75,
2017-02-23,60.61,4824736.0,60.61,60.39,61.97,61.77,
2017-02-24,60.48,7139458.0,60.48,59.79,60.51,60.22,
2017-02-27,60.43,3501228.0,60.43,60.12,60.76,60.5,
2017-02-28,60.1,4204867.0,60.1,59.88,60.51,60.26,
2017-03-01,60.88,6216434.0,60.88,60.65,61.39,60.75,
2017-03-02,60.31,3559793.0,60.31,60.09,61.08,60.88,
2017-03-03,60.37,2335536.0,60.37,60.08,60.92,60.92,
2017-03-06,60.33,3278744.0,60.33,59.8,60.51,60.2,
2017-03-07,60.22,3749898.0,60.22,60.0547,60.56,60.24,
2017-03-08,59.79,2809600.0,59.79,59.69,60.49,60.46,
2017-03-09,59.28,3580059.0,59.28,58.86,59.97,59.8,
2017-03-10,59.52,3478330.0,59.52,59.28,59.927,59.59,
2017-03-13,60.13,4333420.0,60.13,59.42,60.14,59.6,
2017-03-14,58.97,3162592.0,58.97,58.41,59.55,59.55,
2017-03-15,60.27,4197864.0,60.27,59.21,60.55,59.21,
2017-03-16,60.23,3108399.0,60.23,60.16,60.59,60.33,
2017-03-17,60.6,4896113.0,60.6,59.905,60.78,60.44,
2017-03-20,60.1,2270091.0,60.1,59.95,60.595,60.56,
2017-03-21,58.96,4011683.0,58.96,58.85,60.51,60.14,
2017-03-22,59.12,3264312.0,59.12,58.6,59.18,58.97,
2017-03-23,58.99,2569889.0,58.99,58.82,59.43,59.12,
2017-03-24,58.57,3160240.0,58.57,58.38,59.36,58.98,
2017-03-27,58.43,2587727.0,58.43,57.45,58.56,58.03,
2017-03-28,59.44,2799042.0,59.44,58.238,59.6758,58.42,
2017-03-29,59.55,2447395.0,59.55,59.07,59.74,59.17,
2017-03-30,59.61,2393074.0,59.61,59.35,59.83,59.45,
