YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,1.05,423782.0,1.05,1.01,1.05,1.02,889.0
2017-01-04,1.15,829021.0,1.15,1.05,1.15,1.09,2202.0
2017-01-05,1.12,284429.0,1.12,1.11,1.19,1.19,829.0
2017-01-06,1.11,253729.0,1.11,1.08,1.14,1.12,422.0
2017-01-09,1.11,173600.0,1.11,1.08,1.11,1.1,512.0
2017-01-10,1.13,340000.0,1.13,1.09,1.13,1.09,717.0
2017-01-11,1.44,3339174.0,1.44,1.28,1.45,1.35,6290.0
2017-01-12,1.36,992563.0,1.36,1.3,1.44,1.44,2350.0
2017-01-13,1.54,2549813.0,1.54,1.332,1.69,1.36,5090.0
2017-01-17,1.65,2867584.0,1.65,1.5,1.85,1.56,6156.0
2017-01-18,1.89,2729580.0,1.89,1.66,1.99,1.68,6723.0
2017-01-19,1.78,1923946.0,1.78,1.6,1.99,1.93,4055.0
2017-01-20,1.85,652443.0,1.85,1.7,1.9,1.76,1436.0
2017-01-23,1.7,905714.0,1.7,1.68,1.9,1.88,2732.0
2017-01-24,1.66,770814.0,1.66,1.59,1.7,1.69,2436.0
2017-01-25,1.71,800376.0,1.71,1.66,1.76,1.66,1441.0
2017-01-26,1.64,541952.0,1.64,1.61,1.71,1.68,1125.0
2017-01-27,1.6,607233.0,1.6,1.56,1.675,1.6,1856.0
2017-01-30,1.49,713963.0,1.49,1.45,1.6,1.57,1708.0
2017-01-31,1.49,1305965.0,1.49,1.45,1.54,1.45,1994.0
2017-02-01,1.51,361685.0,1.51,1.46,1.542,1.5,931.0
2017-02-02,1.47,269006.0,1.47,1.45,1.53,1.5,658.0
2017-02-03,1.43,676368.0,1.43,1.43,1.4695,1.44,1934.0
2017-02-06,1.42,389764.0,1.42,1.38,1.43,1.39,912.0
2017-02-07,1.45,476556.0,1.45,1.4,1.47,1.4,1783.0
2017-02-08,1.54,1146630.0,1.54,1.4101,1.59,1.42,4257.0
2017-02-09,1.56,1047467.0,1.56,1.55,1.65,1.56,3497.0
2017-02-10,1.56,1182275.0,1.56,1.55,1.63,1.58,2413.0
2017-02-13,1.51,749749.0,1.51,1.47,1.59,1.56,2130.0
2017-02-14,1.5,676102.0,1.5,1.47,1.53,1.52,1425.0
2017-02-15,1.6,1032674.0,1.6,1.52,1.61,1.52,2607.0
2017-02-16,1.61,893455.0,1.61,1.54,1.63,1.61,2305.0
2017-02-17,1.64,1129113.0,1.64,1.59,1.67,1.65,2751.0
2017-02-21,1.69,1539981.0,1.69,1.65,1.73,1.69,3656.0
2017-02-22,1.61,866186.0,1.61,1.61,1.72,1.7,2213.0
2017-02-23,1.69,424525.0,1.69,1.61,1.69,1.61,1125.0
2017-02-24,1.86,1284889.0,1.86,1.65,1.89,1.69,2883.0
2017-02-27,1.9,1453280.0,1.9,1.83,2.03,1.9,3091.0
2017-02-28,1.79,1213885.0,1.79,1.73,1.91,1.85,2767.0
2017-03-01,1.61,3939563.0,1.61,1.5,1.68,1.55,4931.0
2017-03-02,1.53,874356.0,1.53,1.49,1.61,1.59,2300.0
2017-03-03,1.47,763222.0,1.47,1.45,1.56,1.55,1654.0
2017-03-06,1.355,1179668.0,1.355,1.33,1.48,1.45,2014.0
2017-03-07,1.28,751023.0,1.28,1.27,1.35,1.33,1329.0
2017-03-08,1.22,782215.0,1.22,1.21,1.33,1.26,1628.0
2017-03-09,1.14,1286759.0,1.14,1.135,1.26,1.23,2221.0
2017-03-10,1.33,1397499.0,1.33,1.14,1.345,1.14,3329.0
2017-03-13,1.23,583856.0,1.23,1.215,1.35,1.34,2042.0
2017-03-14,1.28,531814.0,1.28,1.2,1.3367,1.22,1532.0
2017-03-15,1.37,581363.0,1.37,1.25,1.37,1.27,1282.0
2017-03-16,1.37,402852.0,1.37,1.34,1.4,1.38,979.0
2017-03-17,1.4,469470.0,1.4,1.35,1.4,1.38,949.0
2017-03-20,1.34,499874.0,1.34,1.32,1.39,1.39,1173.0
2017-03-21,1.25,630807.0,1.25,1.25,1.36,1.36,1874.0
2017-03-22,1.24,1057249.0,1.24,1.2,1.265,1.25,2822.0
2017-03-23,1.24,462766.0,1.24,1.22,1.2699,1.24,1389.0
2017-03-24,1.24,331183.0,1.24,1.22,1.27,1.23,1161.0
2017-03-27,1.24,400270.0,1.24,1.24,1.28,1.25,1493.0
2017-03-28,1.25,318011.0,1.25,1.21,1.26,1.25,1154.0
2017-03-29,1.3,343237.0,1.3,1.25,1.3,1.25,1088.0
2017-03-30,1.35,380309.0,1.35,1.29,1.37,1.29,1106.0
2017-03-31,1.37,474648.0,1.37,1.3201,1.39,1.36,1137.0
