YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,64.07,3012971.0,64.07,62.6,65.76,64.41,
2017-01-04,65.19,1388889.0,65.19,63.66,65.57,64.3,
2017-01-05,65.86,2827020.0,65.86,64.53,66.408,65.43,
2017-01-06,65.33,1075117.0,65.33,65.1,66.29,65.77,
2017-01-09,63.17,1339255.0,63.17,63.15,64.74,64.2,
2017-01-10,63.34,2381333.0,63.34,62.64,64.01,63.61,
2017-01-11,62.69,2465107.0,62.69,62.18,63.45,63.18,
2017-01-12,62.94,1490021.0,62.94,62.71,63.5,63.22,
2017-01-13,62.15,1291186.0,62.15,62.08,63.11,62.97,
2017-01-17,62.11,2869880.0,62.11,61.68,62.59,62.09,
2017-01-18,62.53,2035114.0,62.53,61.535,62.6225,61.68,
2017-01-19,62.49,1199621.0,62.49,62.14,62.9,62.63,
2017-01-20,62.86,2152373.0,62.86,61.84,63.295,63.1,
2017-01-23,62.42,1691930.0,62.42,61.99,63.2,62.48,
2017-01-24,64.03,1718251.0,64.03,62.75,64.34,62.84,
2017-01-25,64.12,962761.0,64.12,63.93,64.635,64.21,
2017-01-26,65.27,2160273.0,65.27,64.38,65.55,64.58,
2017-01-27,64.17,1617661.0,64.17,64.07,65.48,64.75,
2017-01-30,61.91,1864358.0,61.91,61.51,63.89,63.55,
2017-01-31,60.63,3073950.0,60.63,60.2,62.26,61.66,
2017-02-01,60.78,4016086.0,60.78,60.51,61.52,61.52,
2017-02-02,63.87,4876949.0,63.87,60.95,64.35,62.46,
2017-02-03,65.07,3412242.0,65.07,63.18,65.2601,63.18,
2017-02-06,64.02,1971842.0,64.02,63.73,66.1499,64.98,
2017-02-07,62.29,2085069.0,62.29,62.15,64.15,64.14,
2017-02-08,61.67,1694811.0,61.67,60.96,62.18,61.75,
2017-02-09,63.75,2574515.0,63.75,61.55,64.16,62.7,
2017-02-10,64.35,2141132.0,64.35,63.35,65.36,63.82,
2017-02-13,62.53,1614851.0,62.53,62.51,64.05,63.95,
2017-02-14,63.21,1038891.0,63.21,62.08,63.26,62.38,
2017-02-15,64.03,1348467.0,64.03,63.06,64.29,63.15,
2017-02-16,62.25,1665461.0,62.25,62.175,64.07,63.9,
2017-02-17,62.07,1060461.0,62.07,61.58,63.22,61.91,
2017-02-21,62.41,2045296.0,62.41,60.64,62.77,61.78,
2017-02-22,60.55,2239364.0,60.55,60.45,62.6,61.89,
2017-02-23,60.79,1521942.0,60.79,60.27,61.76,61.53,
2017-02-24,59.94,1524801.0,59.94,59.7,61.46,60.78,
2017-02-27,60.59,1630753.0,60.59,59.56,60.86,59.8,
2017-02-28,59.89,1291272.0,59.89,59.5574,60.48,60.46,
2017-03-01,61.03,1473424.0,61.03,60.22,61.44,60.73,
2017-03-02,60.74,1600822.0,60.74,60.41,61.48,60.65,
2017-03-03,59.29,1671667.0,59.29,59.14,61.15,60.63,
2017-03-06,60.09,2904766.0,60.09,59.39,60.82,60.13,
2017-03-07,58.79,1748303.0,58.79,58.65,60.6,60.16,
2017-03-08,57.97,1951590.0,57.97,57.85,59.8,58.94,
2017-03-09,57.51,3439099.0,57.51,56.46,58.46,58.11,
2017-03-10,57.08,3366340.0,57.08,56.75,58.26,58.06,
2017-03-13,57.81,2590441.0,57.81,57.395,58.96,57.63,
2017-03-14,57.34,2055251.0,57.34,56.79,57.77,57.08,
2017-03-15,58.2,1919724.0,58.2,57.27,58.97,58.14,
2017-03-16,57.55,1808036.0,57.55,57.47,58.29,58.22,
2017-03-17,57.82,2779999.0,57.82,57.23,58.13,57.91,
2017-03-20,58.07,1769862.0,58.07,56.96,58.23,57.51,
2017-03-21,57.76,2843340.0,57.76,56.89,58.94,58.25,
2017-03-22,56.76,1960718.0,56.76,56.38,57.59,57.53,
2017-03-23,57.04,1764561.0,57.04,56.33,57.71,56.81,
2017-03-24,57.3,2524379.0,57.3,56.7,57.86,57.06,
2017-03-27,58.74,2398411.0,58.74,56.455,59.005,56.59,
2017-03-28,59.66,1896247.0,59.66,58.23,60.02,58.68,
2017-03-29,61.16,1942342.0,61.16,59.38,61.36,59.84,
2017-03-30,60.68,2642100.0,60.68,60.5,61.719,61.28,
2017-03-31,61.1,2181751.0,61.1,60.5,61.7,60.56,
2017-04-03,60.9,2376329.0,60.9,59.56,61.335,61.13,
2017-04-04,62.41,2002377.0,62.41,60.7201,62.52,61.03,
2017-04-05,62.22,2236047.0,62.22,62.1,63.28,63.04,
2017-04-06,63.49,2139322.0,63.49,62.4,63.63,62.62,
2017-04-07,63.0,1398924.0,63.0,62.8,63.61,63.5,
2017-04-10,63.46,1193235.0,63.46,62.67,63.66,62.67,
2017-04-11,63.6,1520644.0,63.6,62.71,63.975,63.15,
2017-04-12,63.36,1578974.0,63.36,62.92,64.14,63.35,
2017-04-13,62.62,1806538.0,62.62,62.47,63.7,63.64,
2017-04-17,62.62,1509321.0,62.62,62.21,62.99,62.44,
2017-04-18,62.58,1190600.0,62.58,61.75,62.95,62.05,
2017-04-19,62.25,1833247.0,62.25,62.14,63.48,62.94,
2017-04-20,63.27,1477710.0,63.27,62.21,64.01,62.5,
2017-04-21,62.85,1505185.0,62.85,62.15,63.48,63.08,
2017-04-24,62.68,1970553.0,62.68,62.42,63.5,63.1,
2017-04-25,63.44,1656094.0,63.44,62.16,63.56,62.63,
2017-04-26,63.89,3202733.0,63.89,62.9,64.45,62.9,
2017-04-27,59.37,5985273.0,59.37,59.13,62.13,62.13,
2017-04-28,58.14,3171778.0,58.14,57.84,60.23,60.06,
2017-05-01,58.11,2065392.0,58.11,57.5,58.64,57.94,
2017-05-02,59.06,2191335.0,59.06,58.3,60.23,58.41,
2017-05-03,58.19,1695512.0,58.19,58.03,59.25,58.71,
2017-05-04,56.25,3158630.0,56.25,55.36,57.76,57.76,
2017-05-05,58.22,2621616.0,58.22,56.32,58.27,56.66,
2017-05-08,57.13,2524970.0,57.13,56.86,58.1,57.86,
2017-05-09,56.37,2231075.0,56.37,56.26,57.53,57.42,
2017-05-10,57.08,2447151.0,57.08,56.41,57.45,56.81,
2017-05-11,56.74,1740115.0,56.74,56.36,57.44,57.39,
2017-05-12,56.82,1294860.0,56.82,56.41,57.17,56.73,
2017-05-15,56.69,1694846.0,56.69,56.42,57.95,57.7,
2017-05-16,56.16,1421977.0,56.16,55.95,56.9,56.9,
2017-05-17,55.65,1305335.0,55.65,55.45,56.51,55.83,
2017-05-18,55.47,1594124.0,55.47,55.09,56.19,55.37,
2017-05-19,56.42,1487014.0,56.42,55.18,56.72,55.66,
2017-05-22,56.51,1259670.0,56.51,56.4,56.98,56.74,
2017-05-23,57.21,1841698.0,57.21,56.19,57.34,56.34,
2017-05-24,56.59,1403940.0,56.59,56.21,57.29,57.14,
2017-05-25,56.31,3435258.0,56.31,55.55,57.34,56.26,
2017-05-26,56.69,1509125.0,56.69,55.87,57.0,56.3,
2017-05-30,56.0,2446596.0,56.0,55.74,56.55,56.23,
2017-05-31,55.27,2615850.0,55.27,54.73,55.73,55.29,
2017-06-01,56.17,2375369.0,56.17,55.13,56.305,55.48,
2017-06-02,54.79,3872528.0,54.79,54.12,55.94,55.67,
2017-06-05,53.77,1635679.0,53.77,53.72,54.74,54.37,
2017-06-06,53.97,3077714.0,53.97,52.67,54.28,53.68,
2017-06-07,53.55,3948256.0,53.55,52.91,54.05,53.94,
2017-06-08,54.89,2823379.0,54.89,53.15,55.13,53.58,
2017-06-09,56.49,4323731.0,56.49,55.09,56.78,55.16,
2017-06-12,56.8,1656586.0,56.8,56.05,57.56,57.32,
2017-06-13,57.91,2960627.0,57.91,56.49,57.92,56.92,
2017-06-14,57.52,2194229.0,57.52,56.705,57.91,57.61,
2017-06-15,57.7,2009483.0,57.7,57.11,58.04,57.13,
2017-06-16,58.77,3467539.0,58.77,57.805,59.1,57.97,
2017-06-19,53.51,22189563.0,53.51,52.89,56.15,55.51,
2017-06-20,52.42,10596280.0,52.42,51.53,53.5625,53.56,
2017-06-21,50.83,10582478.0,50.83,49.63,52.43,52.43,
2017-06-22,52.03,10100829.0,52.03,50.26,52.56,51.16,
2017-06-23,56.19,7680587.0,56.19,52.3,56.26,52.6,
2017-06-26,58.35,5608600.0,58.35,55.81,58.64,56.66,
2017-06-27,58.27,6763596.0,58.27,57.43,58.8061,58.46,
2017-06-28,58.75,3992848.0,58.75,58.37,59.65,58.65,
2017-06-29,59.01,4875684.0,59.01,58.36,59.55,59.08,
2017-06-30,58.59,3887325.0,58.59,58.46,59.6525,59.31,
2017-07-03,59.75,6730337.0,59.75,58.64,60.79,60.23,
2017-07-05,59.79,6736003.0,59.79,58.17,60.19,59.05,
2017-07-06,59.0,5480347.0,59.0,58.82,60.58,60.06,
2017-07-07,58.74,5494472.0,58.74,57.491,58.95,58.69,
2017-07-10,59.9,4065189.0,59.9,58.49,60.07,58.88,
2017-07-11,61.04,3994876.0,61.04,59.65,61.26,60.05,
2017-07-12,61.23,4958435.0,61.23,60.55,61.71,61.5,
2017-07-13,61.7,2867599.0,61.7,60.82,61.79,61.01,
2017-07-14,61.88,1931712.0,61.88,61.46,62.51,62.21,
2017-07-17,62.17,2222295.0,62.17,61.76,62.97,61.94,
2017-07-18,61.15,2153248.0,61.15,60.43,62.75,62.53,
2017-07-19,62.52,3870685.0,62.52,60.98,62.575,61.37,
2017-07-20,61.96,4244660.0,61.96,61.82,63.32,62.83,
2017-07-21,62.94,4642549.0,62.94,61.85,63.8,61.99,
2017-07-24,63.08,2866224.0,63.08,62.35,63.5,62.99,
2017-07-25,64.06,3294830.0,64.06,63.69,64.89,64.03,
2017-07-26,63.97,2705350.0,63.97,63.22,64.57,64.2,
2017-07-27,67.02,6355146.0,67.02,62.82,67.55,63.89,
2017-07-28,66.1,4482366.0,66.1,65.97,67.84,67.11,
2017-07-31,63.7,4461241.0,63.7,63.4,66.16,65.8,
