YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,55.08,1123173.0,55.08,54.77,55.4299,55.25,
2017-01-04,55.27,1264613.0,55.27,54.9482,55.62,55.17,
2017-01-05,55.28,1590713.0,55.28,54.8,55.49,55.49,
2017-01-06,55.26,1224268.0,55.26,54.77,55.475,54.84,
2017-01-09,54.57,1303493.0,54.57,54.55,55.51,55.31,
2017-01-10,54.28,1609446.0,54.28,54.08,54.5157,54.49,
2017-01-11,55.06,1369592.0,55.06,54.36,55.11,54.4,
2017-01-12,55.31,1353903.0,55.31,54.835,55.41,54.91,
2017-01-13,55.15,1053547.0,55.15,54.76,55.42,55.17,
2017-01-17,55.72,1303612.0,55.72,55.29,55.78,55.46,
2017-01-18,55.52,1288955.0,55.52,55.42,55.9,55.69,
2017-01-19,55.07,1232678.0,55.07,54.98,55.67,55.25,
2017-01-20,55.0,1373740.0,55.0,54.72,55.45,55.15,
2017-01-23,54.74,1913861.0,54.74,54.71,55.37,55.17,
2017-01-24,54.55,1220219.0,54.55,54.41,54.92,54.7,
2017-01-25,54.3,1134898.0,54.3,54.115,54.77,54.37,
2017-01-26,54.53,1541900.0,54.53,54.12,54.69,54.3,
2017-01-27,54.25,1319127.0,54.25,54.1,54.74,54.71,
2017-01-30,54.43,1240505.0,54.43,54.115,54.62,54.4,
2017-01-31,55.32,1572023.0,55.32,54.42,55.39,54.42,
2017-02-01,54.7,1298557.0,54.7,54.5,55.24,54.91,
2017-02-02,55.35,1099930.0,55.35,54.55,55.41,54.77,
2017-02-03,55.72,1933822.0,55.72,55.33,56.14,55.61,
2017-02-06,55.68,900023.0,55.68,55.53,56.0,55.91,
2017-02-07,55.78,784408.0,55.78,55.53,55.9,55.66,
2017-02-08,56.49,1341627.0,56.49,55.66,56.71,55.66,
2017-02-09,56.05,1087677.0,56.05,56.0,56.62,56.35,
2017-02-10,56.42,700572.0,56.42,55.89,56.45,55.89,
2017-02-13,56.49,1003939.0,56.49,56.03,56.56,56.34,
2017-02-14,55.95,1048944.0,55.95,55.655,56.44,56.34,
2017-02-15,55.76,995591.0,55.76,55.2,55.78,55.6,
2017-02-16,56.29,1009410.0,56.29,55.65,56.3,55.74,
2017-02-17,56.15,1529703.0,56.15,55.87,56.46,56.3,
2017-02-21,56.84,1333298.0,56.84,55.85,56.92,56.02,
2017-02-22,57.6,1856964.0,57.6,56.09,57.67,56.26,
2017-02-23,58.12,1902063.0,58.12,57.8,58.76,57.86,
2017-02-24,59.03,2113240.0,59.03,58.17,59.11,58.2,
2017-02-27,58.72,1334060.0,58.72,58.67,59.1,58.98,
2017-02-28,58.66,1927619.0,58.66,58.1689,58.75,58.35,
2017-03-01,58.19,1787799.0,58.19,57.6,58.6,57.98,
2017-03-02,58.59,1258864.0,58.59,57.9,58.9599,58.0,
2017-03-03,58.28,1674099.0,58.28,57.9,58.6,58.48,
2017-03-06,58.35,1539574.0,58.35,57.96,58.475,58.26,
2017-03-07,58.56,1652819.0,58.56,58.19,58.77,58.19,
2017-03-08,57.52,1324516.0,57.52,57.42,58.2,57.93,
2017-03-09,57.38,1025181.0,57.38,57.28,58.0,57.68,
2017-03-10,57.71,1221174.0,57.71,57.425,58.12,57.76,
2017-03-13,58.04,2299298.0,58.04,57.63,58.17,57.68,
2017-03-14,58.33,1630834.0,58.33,57.72,58.3375,58.0,
2017-03-15,59.13,2074102.0,59.13,58.34,59.445,58.39,
2017-03-16,58.54,1047648.0,58.54,58.4,58.95,58.85,
2017-03-17,58.93,3335934.0,58.93,58.69,59.41,58.78,
2017-03-20,58.48,1318390.0,58.48,58.35,59.3,58.98,
2017-03-21,59.44,1782332.0,59.44,58.34,59.715,58.41,
2017-03-22,59.71,1514245.0,59.71,59.515,60.21,59.76,
2017-03-23,59.67,1245475.0,59.67,59.53,60.28,59.6,
2017-03-24,60.01,1310636.0,60.01,59.51,60.155,59.58,
2017-03-27,59.55,1370456.0,59.55,59.29,60.36,60.26,
2017-03-28,59.49,1749675.0,59.49,59.24,59.73,59.51,
2017-03-29,59.07,1453839.0,59.07,58.88,59.43,59.43,
2017-03-30,58.62,1186110.0,58.62,58.37,58.94,58.83,
2017-03-31,58.78,1670736.0,58.78,58.56,59.09,58.56,
2017-04-03,58.89,1205263.0,58.89,58.27,58.92,58.76,
2017-04-04,58.86,2147752.0,58.86,58.56,59.035,58.83,
2017-04-05,59.41,1729246.0,59.41,58.63,59.475,58.74,
2017-04-06,59.54,1714032.0,59.54,58.87,59.57,59.22,
2017-04-07,59.4,1645239.0,59.4,59.34,59.84,59.67,
2017-04-10,59.28,1036410.0,59.28,58.92,59.39,59.31,
2017-04-11,59.21,1214913.0,59.21,58.85,59.36,59.16,
2017-04-12,59.88,1280363.0,59.88,58.99,59.91,59.08,
2017-04-13,59.62,1057962.0,59.62,59.3,59.92,59.71,
2017-04-17,60.29,1513553.0,60.29,59.73,60.34,59.78,
2017-04-18,60.14,1385727.0,60.14,59.89,60.5,60.2,
