YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,68.53,2231867.0,68.53,67.22,68.58,67.59,
2017-01-04,68.17,1635025.0,68.17,67.85,68.82,68.6,
2017-01-05,67.35,2394192.0,67.35,66.6,68.45,68.06,
2017-01-06,68.01,2590041.0,68.01,67.5,68.46,67.61,
2017-01-09,66.88,2704975.0,66.88,66.86,68.51,68.48,
2017-01-10,67.21,2214514.0,67.21,66.77,67.54,67.21,
2017-01-11,68.46,2126430.0,68.46,66.77,68.49,66.95,
2017-01-12,68.2,1357187.0,68.2,67.15,68.4,68.39,
2017-01-13,68.66,1264710.0,68.66,68.35,68.94,68.36,
2017-01-17,67.56,1697656.0,67.56,67.28,68.36,68.34,
2017-01-18,67.8,1651334.0,67.8,67.4,68.0,67.69,
2017-01-19,67.73,1431074.0,67.73,67.28,68.49,68.13,
2017-01-20,67.93,1559863.0,67.93,67.57,68.5,68.02,
2017-01-23,67.74,1195877.0,67.74,66.98,68.16,67.92,
2017-01-24,69.17,2044395.0,69.17,67.75,69.32,68.05,
2017-01-25,71.18,3278098.0,71.18,69.64,71.275,69.64,
2017-01-26,71.31,2249868.0,71.31,70.33,71.68,70.82,
2017-01-27,70.95,1899836.0,70.95,70.81,71.39,71.13,
2017-01-30,70.41,2034894.0,70.41,69.68,71.02,71.02,
2017-01-31,70.78,3016733.0,70.78,69.47,70.91,70.09,
2017-02-01,71.31,3919539.0,71.31,70.28,71.71,70.97,
2017-02-02,70.02,4690674.0,70.02,69.41,72.0,70.69,
2017-02-03,70.22,2946175.0,70.22,69.61,70.73,70.33,
2017-02-06,69.98,2548192.0,69.98,69.46,70.31,70.11,
2017-02-07,70.24,2221414.0,70.24,70.125,71.1,70.33,
2017-02-08,69.97,2304671.0,69.97,69.45,70.24,70.02,
2017-02-09,70.79,2204443.0,70.79,70.03,71.27,70.04,
2017-02-10,71.0,1946099.0,71.0,70.8,71.17,71.03,
2017-02-13,72.2,2537139.0,72.2,71.31,72.26,71.31,
2017-02-14,72.01,2083863.0,72.01,71.58,72.19,72.0,
