YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,56.2,532637.0,56.2,56.18,56.6,56.49,
2017-01-04,55.47,1546879.0,55.47,55.37,56.44,56.42,
2017-01-05,55.01,955325.0,55.01,54.89,55.51,55.35,
2017-01-06,54.68,1423188.0,54.68,54.54,54.92,54.92,
2017-01-09,54.34,916896.0,54.34,54.34,54.7,54.7,
2017-01-10,54.58,1010809.0,54.58,54.25,54.67,54.34,
2017-01-11,55.09,850967.0,55.09,54.56,55.49,54.56,
2017-01-12,54.95,374857.0,54.95,54.57,55.07,54.98,
2017-01-13,55.01,320947.0,55.01,54.84,55.27,54.95,
2017-01-17,55.22,709154.0,55.22,54.94,55.39,55.04,
2017-01-18,55.59,657194.0,55.59,55.04,55.6099,55.18,
2017-01-19,55.54,558598.0,55.54,55.42,56.0,56.0,
2017-01-20,55.51,624582.0,55.51,55.5086,55.76,55.59,
2017-01-23,55.3,345065.0,55.3,55.21,55.48,55.46,
2017-01-24,55.15,801684.0,55.15,55.14,55.555,55.26,
2017-01-25,54.64,533435.0,54.64,54.47,55.25,55.1,
2017-01-26,54.85,1060000.0,54.85,54.5,55.2256,54.5,
2017-01-27,54.77,394152.0,54.77,54.31,55.11,54.95,
2017-01-30,54.59,370569.0,54.59,54.48,54.82,54.65,
2017-01-31,54.69,663032.0,54.69,54.42,54.74,54.44,
2017-02-01,54.71,404717.0,54.71,54.52,54.99,54.59,
2017-02-02,54.6,674426.0,54.6,54.36,54.88,54.87,
2017-02-03,54.68,537552.0,54.68,54.41,54.785,54.68,
2017-02-06,54.4,324145.0,54.4,54.3,54.8,54.62,
2017-02-07,53.86,468852.0,53.86,53.82,54.46,54.39,
2017-02-08,53.87,512134.0,53.87,53.58,53.98,53.85,
2017-02-09,53.61,515396.0,53.61,53.25,53.72,53.72,
2017-02-10,53.58,678703.0,53.58,53.45,53.69,53.57,
2017-02-13,53.35,589662.0,53.35,53.265,53.65,53.52,
2017-02-14,53.0,893765.0,53.0,52.77,53.35,53.27,
2017-02-15,52.54,899765.0,52.54,52.5,53.0,53.0,
2017-02-16,52.76,1135506.0,52.76,52.16,52.86,52.52,
2017-02-17,53.05,674880.0,53.05,52.47,53.16,52.87,
2017-02-21,53.35,371753.0,53.35,52.83,53.35,53.05,
2017-02-22,53.25,458967.0,53.25,53.1,53.45,53.33,
2017-02-23,53.0,724417.0,53.0,52.754,53.37,53.3,
2017-02-24,53.8,748283.0,53.8,53.0,54.06,53.07,
2017-02-27,53.95,285509.0,53.95,53.465,53.97,53.68,
2017-02-28,53.98,598612.0,53.98,53.82,54.27,53.82,
2017-03-01,54.56,693948.0,54.56,53.975,54.69,54.0,
2017-03-02,54.68,798125.0,54.68,54.37,54.98,54.37,
2017-03-03,54.97,658326.0,54.97,54.54,55.06,54.63,
2017-03-06,54.89,804043.0,54.89,54.7586,55.08,54.77,
2017-03-07,54.48,583208.0,54.48,54.4416,54.81,54.78,
2017-03-08,54.23,400999.0,54.23,54.05,54.37,54.18,
2017-03-09,54.21,328511.0,54.21,54.18,54.58,54.24,
2017-03-10,54.55,412339.0,54.55,54.2,54.62,54.37,
2017-03-13,54.55,468884.0,54.55,54.5,54.67,54.5,
2017-03-14,54.58,788673.0,54.58,54.46,54.96,54.53,
2017-03-15,54.76,971483.0,54.76,54.51,54.99,54.62,
2017-03-16,54.65,794881.0,54.65,54.53,54.96,54.82,
2017-03-17,54.83,1017062.0,54.83,54.56,55.0,54.65,
2017-03-20,54.9,645815.0,54.9,54.6201,54.91,54.85,
2017-03-21,54.75,658932.0,54.75,54.16,54.94,54.86,
2017-03-22,54.75,423759.0,54.75,54.52,54.99,54.71,
2017-03-23,54.59,528362.0,54.59,54.43,54.895,54.65,
2017-03-24,54.33,504149.0,54.33,54.13,54.835,54.61,
2017-03-27,54.02,804962.0,54.02,53.49,54.59,54.33,
2017-03-28,54.17,739350.0,54.17,53.41,54.22,53.82,
2017-03-29,54.48,642683.0,54.48,53.88,54.48,54.13,
2017-03-30,54.36,718451.0,54.36,53.9,54.54,54.43,
2017-03-31,54.27,716556.0,54.27,54.19,54.47,54.25,
2017-04-03,54.73,744249.0,54.73,54.2,54.79,54.38,
2017-04-04,54.6,736263.0,54.6,54.38,54.92,54.71,
2017-04-05,54.66,1240040.0,54.66,54.45,54.77,54.5,
2017-04-06,54.35,717224.0,54.35,54.21,54.74,54.65,
2017-04-07,54.32,377558.0,54.32,54.115,54.4799,54.37,
2017-04-10,54.05,511539.0,54.05,53.85,54.36,54.36,
2017-04-11,54.48,578251.0,54.48,53.86,54.48,54.09,
2017-04-12,54.15,620875.0,54.15,54.0,54.53,54.52,
2017-04-13,53.7,1074377.0,53.7,53.65,54.22,54.1,
2017-04-17,54.23,874862.0,54.23,53.77,54.2643,53.77,
2017-04-18,54.63,729971.0,54.63,53.87,54.65,54.06,
2017-04-19,55.11,1423692.0,55.11,54.33,55.12,54.47,
2017-04-20,50.87,7714657.0,50.87,50.49,51.52,51.15,
2017-04-21,51.43,2814756.0,51.43,50.35,51.45,50.83,
2017-04-24,51.86,1259057.0,51.86,51.29,51.95,51.44,
2017-04-25,51.96,1167730.0,51.96,51.525,52.01,51.82,
2017-04-26,52.0,824014.0,52.0,51.85,52.21,52.01,
2017-04-27,51.94,587366.0,51.94,51.74,52.16,52.0,
2017-04-28,52.03,1123031.0,52.03,51.76,52.12,51.8,
2017-05-01,52.24,709012.0,52.24,51.7177,52.32,52.04,
2017-05-02,52.67,2511979.0,52.67,52.1,52.76,52.1,
2017-05-03,52.46,1370919.0,52.46,52.26,52.72,52.64,
2017-05-04,52.25,1747158.0,52.25,51.72,52.43,52.42,
2017-05-05,52.52,720197.0,52.52,52.28,52.86,52.35,
2017-05-08,52.36,553580.0,52.36,52.03,52.72,52.6,
2017-05-09,52.33,738659.0,52.33,51.9,52.42,52.32,
2017-05-10,51.85,852715.0,51.85,51.52,52.36,52.31,
2017-05-11,51.94,492859.0,51.94,51.6283,52.08,51.79,
2017-05-12,51.86,434656.0,51.86,51.71,52.0,51.97,
2017-05-15,51.96,1003209.0,51.96,51.73,52.2,51.85,
2017-05-16,51.66,430877.0,51.66,51.45,52.08,51.96,
2017-05-17,51.73,308549.0,51.73,51.42,52.0,51.52,
2017-05-18,51.69,302014.0,51.69,51.3544,51.92,51.54,
2017-05-19,51.9,468704.0,51.9,51.6,52.0,51.8,
2017-05-22,51.7,815487.0,51.7,51.47,52.05,51.89,
2017-05-23,51.83,1634416.0,51.83,50.91,52.27,51.75,
2017-05-24,52.5,1375275.0,52.5,51.68,52.51,51.68,
2017-05-25,52.87,697797.0,52.87,52.51,52.88,52.6,
2017-05-26,52.92,526475.0,52.92,52.71,53.04,52.92,
2017-05-30,52.77,462979.0,52.77,52.62,52.97,52.75,
2017-05-31,52.95,1347787.0,52.95,52.79,53.11,52.79,
2017-06-01,53.25,775404.0,53.25,52.87,53.25,53.04,
2017-06-02,53.47,633491.0,53.47,53.16,53.55,53.37,
2017-06-05,53.24,768195.0,53.24,53.0658,53.4,53.35,
2017-06-06,53.18,705267.0,53.18,52.8538,53.39,53.06,
2017-06-07,53.29,792867.0,53.29,52.88,53.35,52.9,
2017-06-08,53.23,632033.0,53.23,52.95,53.29,53.29,
2017-06-09,52.96,634439.0,52.96,52.96,53.24,53.09,
2017-06-12,53.02,813780.0,53.02,52.84,53.12,52.91,
2017-06-13,53.28,709306.0,53.28,53.01,53.52,53.12,
2017-06-14,53.27,718626.0,53.27,53.27,53.59,53.37,
2017-06-15,53.65,907785.0,53.65,53.3122,53.7025,53.4,
2017-06-16,53.64,1193225.0,53.64,53.51,53.69,53.59,
2017-06-19,53.44,478461.0,53.44,53.385,53.715,53.69,
2017-06-20,53.45,650094.0,53.45,53.2,53.57,53.5,
2017-06-21,53.42,555331.0,53.42,53.17,53.58,53.43,
2017-06-22,53.11,605963.0,53.11,53.055,53.58,53.37,
2017-06-23,53.11,654755.0,53.11,52.91,53.27,53.18,
2017-06-26,53.54,458865.0,53.54,53.06,53.71,53.25,
2017-06-27,53.44,456715.0,53.44,53.05,53.66,53.49,
2017-06-28,53.14,377374.0,53.14,53.11,53.7,53.66,
2017-06-29,53.21,457753.0,53.21,52.82,53.33,53.11,
2017-06-30,53.02,458469.0,53.02,53.02,53.5,53.25,
2017-07-03,53.0,248891.0,53.0,52.97,53.49,53.24,
2017-07-05,52.81,516871.0,52.81,52.73,53.28,53.04,
2017-07-06,52.68,567051.0,52.68,52.37,52.75,52.69,
2017-07-07,53.13,689657.0,53.13,52.5,53.45,52.5,
2017-07-10,50.41,3131522.0,50.41,50.21,52.03,51.47,
2017-07-11,50.8,2624978.0,50.8,50.48,50.95,50.95,
2017-07-12,50.72,1265002.0,50.72,50.57,51.25,51.14,
2017-07-13,50.31,745745.0,50.31,50.12,50.82,50.66,
2017-07-14,49.94,852827.0,49.94,49.93,50.66,50.38,
2017-07-17,49.56,968913.0,49.56,49.32,49.94,49.89,
2017-07-18,49.47,596259.0,49.47,49.37,49.74,49.61,
2017-07-19,49.41,831373.0,49.41,49.21,49.58,49.52,
2017-07-20,49.53,998173.0,49.53,49.335,49.59,49.52,
2017-07-21,50.37,1034839.0,50.37,49.34,50.37,49.4,
2017-07-24,50.3,1020010.0,50.3,50.0,50.45,50.38,
2017-07-25,50.31,1158491.0,50.31,50.17,50.51,50.34,
2017-07-26,50.28,599983.0,50.28,50.0,50.51,50.18,
2017-07-27,50.4,1387578.0,50.4,50.045,50.51,50.24,
2017-07-28,50.56,868803.0,50.56,50.18,50.75,50.44,
2017-07-31,50.75,1074191.0,50.75,50.38,50.81,50.55,
2017-08-01,51.08,1251101.0,51.08,50.565,51.1,50.76,
2017-08-02,51.11,603442.0,51.11,50.765,51.11,50.93,
2017-08-03,51.2,844361.0,51.2,50.89,51.31,50.9,
2017-08-04,51.3,584169.0,51.3,50.955,51.36,51.34,
2017-08-07,51.39,580865.0,51.39,51.04,51.53,51.3,
2017-08-08,51.57,534035.0,51.57,51.27,51.67,51.31,
2017-08-09,51.1,864840.0,51.1,51.09,51.71,51.53,
2017-08-10,51.09,519716.0,51.09,50.921,51.35,51.35,
2017-08-11,50.99,470586.0,50.99,50.79,51.09,51.09,
2017-08-14,51.04,636696.0,51.04,50.91,51.33,51.2,
2017-08-15,51.47,869773.0,51.47,50.8086,51.49,51.02,
2017-08-16,51.58,696014.0,51.58,51.24,51.63,51.45,
2017-08-17,50.9,665086.0,50.9,50.89,51.61,51.45,
2017-08-18,51.02,842481.0,51.02,50.76,51.51,50.85,
2017-08-21,51.05,530186.0,51.05,50.8,51.25,51.0,
2017-08-22,51.37,686681.0,51.37,50.92,51.4,51.05,
2017-08-23,51.52,684484.0,51.52,51.16,51.7498,51.33,
2017-08-24,51.5,509730.0,51.5,51.21,51.53,51.5,
2017-08-25,51.7,551019.0,51.7,51.44,51.86,51.55,
2017-08-28,51.84,824031.0,51.84,51.49,51.85,51.68,
2017-08-29,51.53,476835.0,51.53,51.4401,51.95,51.76,
2017-08-30,51.27,597795.0,51.27,51.26,51.6,51.5,
2017-08-31,51.31,539445.0,51.31,51.2,51.56,51.28,
2017-09-01,51.1,369050.0,51.1,51.06,51.52,51.41,
2017-09-05,50.65,611739.0,50.65,50.64,51.29,51.0,
