YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,35.19,7296274.0,35.19,34.91,35.69,35.67,
2017-01-04,35.49,6651754.0,35.49,35.26,35.78,35.34,
2017-01-05,35.5,5148930.0,35.5,35.26,35.65,35.5,
2017-01-06,36.08,6322944.0,36.08,35.32,36.21,35.39,
2017-01-09,35.27,4680781.0,35.27,35.25,36.17,36.09,
2017-01-10,35.06,5340534.0,35.06,35.01,35.49,35.42,
2017-01-11,35.39,7248196.0,35.39,35.12,35.46,35.2,
2017-01-12,35.44,3591749.0,35.44,35.22,35.49,35.42,
2017-01-13,35.44,5052922.0,35.44,35.235,35.64,35.39,
2017-01-17,35.88,3931725.0,35.88,35.52,36.05,35.55,
2017-01-18,35.71,3016309.0,35.71,35.6,35.99,35.8,
2017-01-19,35.74,5024610.0,35.74,35.42,36.05,35.61,
2017-01-20,35.8,5318136.0,35.8,35.55,35.89,35.78,
2017-01-23,35.3,3636885.0,35.3,35.24,35.88,35.85,
2017-01-24,35.13,5209127.0,35.13,35.1,35.405,35.27,
2017-01-25,35.35,3905913.0,35.35,35.18,35.45,35.34,
2017-01-26,35.29,4521791.0,35.29,35.15,35.67,35.4,
2017-01-27,35.08,3247216.0,35.08,35.02,35.53,35.44,
2017-01-30,35.04,6187282.0,35.04,34.8,35.15,35.14,
2017-01-31,35.88,8093719.0,35.88,34.99,35.88,35.04,
2017-02-01,35.45,6461018.0,35.45,35.04,35.81,35.66,
2017-02-02,35.82,3924715.0,35.82,35.3601,35.9,35.44,
2017-02-03,35.78,4284494.0,35.78,35.66,35.91,35.78,
2017-02-06,35.81,4029880.0,35.81,35.66,36.0,35.89,
2017-02-07,36.01,3843896.0,36.01,35.76,36.07,35.84,
2017-02-08,35.23,9603845.0,35.23,34.97,36.3,35.27,
2017-02-09,34.85,7608778.0,34.85,34.47,35.18,35.15,
2017-02-10,35.02,7374140.0,35.02,34.7,35.07,34.75,
2017-02-13,35.1,4848784.0,35.1,34.77,35.22,34.77,
2017-02-14,35.36,5540773.0,35.36,34.91,35.51,35.44,
2017-02-15,35.22,4043727.0,35.22,34.85,35.24,35.05,
2017-02-16,35.42,3519095.0,35.42,35.13,35.44,35.22,
2017-02-17,35.58,4962991.0,35.58,35.09,35.62,35.46,
2017-02-21,35.92,4476728.0,35.92,35.25,36.02,35.39,
2017-02-22,35.69,4302347.0,35.69,35.39,35.92,35.85,
2017-02-23,35.98,5224872.0,35.98,35.73,36.18,35.83,
2017-02-24,37.18,8184779.0,37.18,35.95,37.19,36.15,
2017-02-27,36.57,4554701.0,36.57,36.395,37.1,37.09,
2017-02-28,36.71,6048348.0,36.71,36.45,36.87,36.47,
2017-03-01,36.07,4748836.0,36.07,36.01,36.47,36.32,
2017-03-02,36.42,4467944.0,36.42,35.86,36.63,35.99,
2017-03-03,36.32,3186531.0,36.32,35.9121,36.41,36.41,
2017-03-06,36.07,3668195.0,36.07,35.98,36.295,36.2,
2017-03-07,36.13,4397779.0,36.13,36.02,36.36,36.19,
2017-03-08,35.72,3954861.0,35.72,35.51,35.91,35.81,
2017-03-09,35.78,3319207.0,35.78,35.65,35.98,35.7,
2017-03-10,35.97,3525877.0,35.97,35.72,36.1499,35.95,
2017-03-13,35.94,2899338.0,35.94,35.795,36.07,35.97,
2017-03-14,35.64,2925972.0,35.64,35.56,35.87,35.87,
2017-03-15,36.28,5205215.0,36.28,35.7,36.53,35.79,
2017-03-16,35.98,3584464.0,35.98,35.89,36.23,36.06,
2017-03-17,36.01,8375920.0,36.01,35.93,36.22,36.065,
2017-03-20,35.57,3690296.0,35.57,35.44,36.11,36.11,
2017-03-21,35.96,5446071.0,35.96,35.38,36.14,35.49,
2017-03-22,36.3,5441651.0,36.3,36.1,36.42,36.1,
2017-03-23,35.96,6282744.0,35.96,35.92,36.4439,36.2,
2017-03-24,36.12,3605565.0,36.12,35.87,36.4,35.88,
2017-03-27,35.84,2349314.0,35.84,35.66,36.32,36.26,
2017-03-28,35.67,5913161.0,35.67,35.37,35.69,35.52,
2017-03-29,35.93,4624209.0,35.93,35.3,36.12,35.7,
2017-03-30,35.7,4002134.0,35.7,35.49,35.91,35.79,
2017-03-31,35.98,7149268.0,35.98,35.65,36.43,35.75,
2017-04-03,35.82,4660366.0,35.82,35.53,35.98,35.95,
2017-04-04,36.14,5037817.0,36.14,35.72,36.38,35.8,
2017-04-05,36.06,4620945.0,36.06,35.76,36.16,35.88,
2017-04-06,36.27,5709665.0,36.27,35.74,36.335,36.0,
2017-04-07,35.97,6055370.0,35.97,35.93,36.47,36.31,
2017-04-10,35.81,5195889.0,35.81,35.69,36.0,36.0,
2017-04-11,36.14,5238489.0,36.14,35.57,36.305,35.75,
2017-04-12,36.19,4755740.0,36.19,35.76,36.26,35.97,
2017-04-13,35.97,3607320.0,35.97,35.82,36.19,36.14,
2017-04-17,35.9,3149840.0,35.9,35.84,36.12,35.98,
2017-04-18,35.78,4456701.0,35.78,35.715,36.06,35.91,
2017-04-19,35.46,4743741.0,35.46,35.36,35.87,35.79,
2017-04-20,35.05,4361989.0,35.05,34.83,35.4,35.38,
2017-04-21,35.03,4469740.0,35.03,35.01,35.34,35.05,
2017-04-24,35.5,4433549.0,35.5,34.97,35.62,35.2,
2017-04-25,35.08,5341048.0,35.08,34.84,35.515,35.34,
2017-04-26,34.9,4041020.0,34.9,34.9,35.43,35.04,
2017-04-27,34.84,3901630.0,34.84,34.8,35.175,34.92,
2017-04-28,34.63,4112349.0,34.63,34.53,34.88,34.84,
2017-05-01,34.33,4269066.0,34.33,34.21,34.7,34.65,
2017-05-02,34.46,5067810.0,34.46,34.12,34.53,34.39,
2017-05-03,33.98,6640380.0,33.98,33.68,34.59,34.59,
2017-05-04,34.05,7059296.0,34.05,33.88,34.3,33.95,
2017-05-05,34.34,4030105.0,34.34,34.16,34.54,34.18,
2017-05-08,34.26,4791762.0,34.26,34.17,34.48,34.38,
2017-05-09,33.59,5082724.0,33.59,33.57,34.2,34.19,
2017-05-10,33.76,6002489.0,33.76,33.45,33.79,33.67,
2017-05-11,33.5,7576166.0,33.5,33.3,33.63,33.46,
2017-05-12,34.13,6341512.0,34.13,33.5,34.25,33.65,
2017-05-15,34.7,7363356.0,34.7,34.34,34.83,34.36,
2017-05-16,34.51,6011490.0,34.51,34.28,34.71,34.61,
2017-05-17,34.85,7043083.0,34.85,34.43,34.955,34.45,
2017-05-18,35.08,7903097.0,35.08,34.52,35.33,34.96,
2017-05-19,35.06,6212874.0,35.06,34.78,35.16,35.16,
2017-05-22,35.53,5684386.0,35.53,34.91,35.64,34.91,
2017-05-23,35.37,10759814.0,35.37,35.29,35.59,35.52,
2017-05-24,35.81,7918364.0,35.81,35.34,35.83,35.45,
2017-05-25,36.03,4420724.0,36.03,35.7,36.08,35.93,
2017-05-26,35.82,5699892.0,35.82,35.73,36.08,36.01,
2017-05-30,36.06,3836713.0,36.06,35.66,36.2,35.72,
2017-05-31,36.31,6339264.0,36.31,35.98,36.45,36.08,
2017-06-01,36.73,4479546.0,36.73,36.1,36.74,36.25,
2017-06-02,36.6,3311739.0,36.6,36.42,36.83,36.8,
2017-06-05,36.63,4369804.0,36.63,36.38,36.74,36.56,
2017-06-06,36.69,4482759.0,36.69,36.54,36.86,36.75,
2017-06-07,36.61,3950124.0,36.61,36.55,36.85,36.68,
2017-06-08,36.4,4130880.0,36.4,36.245,36.61,36.6,
2017-06-09,36.62,4057913.0,36.62,36.32,36.68,36.4,
2017-06-12,36.48,5442105.0,36.48,36.3922,36.87,36.66,
2017-06-13,36.55,3980724.0,36.55,36.37,36.6,36.48,
2017-06-14,36.69,3140768.0,36.69,36.591,36.9,36.79,
2017-06-15,36.82,3228382.0,36.82,36.51,36.86,36.67,
2017-06-16,37.08,5540407.0,37.08,36.865,37.12,36.88,
2017-06-19,36.84,3879418.0,36.84,36.653,37.15,37.14,
2017-06-20,36.89,3970964.0,36.89,36.69,37.13,36.81,
2017-06-21,36.67,3445128.0,36.67,36.5,37.13,36.95,
2017-06-22,36.66,4253469.0,36.66,36.61,37.08,36.61,
2017-06-23,36.5,4374746.0,36.5,36.45,36.79,36.66,
2017-06-26,37.21,4874561.0,37.21,36.58,37.44,36.66,
2017-06-27,36.76,3978813.0,36.76,36.58,37.12,36.96,
2017-06-28,36.19,4919260.0,36.19,36.13,36.92,36.87,
2017-06-29,35.84,4829240.0,35.84,35.8,36.23,35.99,
2017-06-30,36.07,4505762.0,36.07,35.83,36.28,35.92,
2017-07-03,35.84,2314238.0,35.84,35.59,36.25,36.2,
2017-07-05,35.52,4002960.0,35.52,35.38,35.97,35.84,
2017-07-06,35.68,5980475.0,35.68,35.37,35.73,35.44,
2017-07-07,35.58,4383479.0,35.58,35.5,35.9,35.7,
2017-07-10,35.76,4393236.0,35.76,35.59,36.01,35.59,
2017-07-11,35.72,4268963.0,35.72,35.51,35.85,35.82,
2017-07-12,36.07,3481538.0,36.07,35.9401,36.21,36.01,
2017-07-13,35.72,3468368.0,35.72,35.66,36.02,35.97,
2017-07-14,36.06,3073777.0,36.06,35.94,36.274,35.96,
2017-07-17,37.03,7360173.0,37.03,36.45,37.06,36.49,
2017-07-18,37.16,4829224.0,37.16,36.9101,37.19,37.05,
2017-07-19,37.39,3317967.0,37.39,37.06,37.41,37.25,
2017-07-20,37.6,3379606.0,37.6,37.31,37.69,37.45,
2017-07-21,37.48,4373348.0,37.48,37.32,37.76,37.56,
2017-07-24,37.2,4827922.0,37.2,37.11,37.49,37.48,
2017-07-25,37.02,3904490.0,37.02,36.93,37.35,37.27,
2017-07-26,37.68,4667900.0,37.68,36.953,37.71,37.02,
2017-07-27,37.99,5253671.0,37.99,37.54,38.04,37.73,
2017-07-28,38.4,5686790.0,38.4,37.88,38.44,37.97,
2017-07-31,38.34,8144584.0,38.34,38.24,38.5,38.39,
2017-08-01,38.55,6353698.0,38.55,38.415,38.78,38.48,
2017-08-02,38.42,6033582.0,38.42,37.72,38.62,38.19,
2017-08-03,38.44,3869929.0,38.44,38.185,38.47,38.38,
2017-08-04,38.17,3888697.0,38.17,37.96,38.37,38.22,
2017-08-07,38.22,2558561.0,38.22,38.05,38.27,38.15,
2017-08-08,38.21,3391520.0,38.21,38.03,38.375,38.13,
2017-08-09,37.7,5622888.0,37.7,37.7,38.48,38.42,
2017-08-10,37.74,3928153.0,37.74,37.555,37.92,37.71,
2017-08-11,37.5,3652964.0,37.5,37.25,37.57,37.5,
2017-08-14,37.6,2775252.0,37.6,37.41,37.63,37.56,
2017-08-15,37.84,4521508.0,37.84,37.4,37.95,37.4,
2017-08-16,38.13,4175308.0,38.13,37.785,38.14,37.84,
2017-08-17,37.6,3654219.0,37.6,37.59,38.185,38.06,
2017-08-18,37.99,3853849.0,37.99,37.48,38.185,37.57,
2017-08-21,37.96,3094604.0,37.96,37.84,38.14,38.06,
2017-08-22,38.23,1899469.0,38.23,37.96,38.27,37.99,
2017-08-23,38.32,2752448.0,38.32,38.0691,38.39,38.2,
2017-08-24,38.34,5958665.0,38.34,38.13,38.51,38.31,
2017-08-25,38.3,3193260.0,38.3,38.29,38.59,38.49,
2017-08-28,38.27,3883171.0,38.27,37.98,38.42,38.37,
2017-08-29,38.22,2429776.0,38.22,38.155,38.44,38.29,
