YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,112.44,2244824.0,112.44,111.875,114.14,114.04,19660.0
2017-01-04,113.74,2892317.0,113.74,112.7,114.52,112.97,21546.0
2017-01-05,114.69,2167631.0,114.69,112.9,114.84,113.74,18358.0
2017-01-06,116.45,3362698.0,116.45,116.13,117.88,116.42,26597.0
2017-01-09,117.3,3212436.0,117.3,116.14,118.0,117.89,24674.0
2017-01-10,117.62,2656780.0,117.62,115.7,118.25,115.9,21327.0
2017-01-11,117.2,1545925.0,117.2,116.25,118.2,118.17,14684.0
2017-01-12,118.01,1353304.0,118.01,116.41,118.12,117.01,13952.0
2017-01-13,118.81,2414069.0,118.81,117.81,120.44,118.01,21877.0
2017-01-17,118.58,1320016.0,118.58,118.25,120.42,119.29,15099.0
2017-01-18,119.34,998654.0,119.34,117.91,119.51,118.95,10732.0
2017-01-19,118.84,991525.0,118.84,118.41,119.83,119.72,13612.0
2017-01-20,119.92,1485728.0,119.92,118.68,120.29,119.75,13235.0
2017-01-23,119.99,1369900.0,119.99,118.98,120.7,120.0,13093.0
2017-01-24,120.22,1454478.0,120.22,119.27,120.555,120.37,9286.0
2017-01-25,120.86,1058334.0,120.86,120.4,121.43,120.97,9404.0
2017-01-26,121.23,1110402.0,121.23,120.57,121.73,121.33,10923.0
2017-01-27,122.0,945510.0,122.0,120.92,122.08,121.41,9270.0
2017-01-30,121.53,1621892.0,121.53,119.61,121.8,121.4,12892.0
2017-01-31,121.59,1130574.0,121.59,120.04,121.65,121.46,12361.0
2017-02-01,120.77,1128568.0,120.77,120.28,121.95,121.78,11117.0
2017-02-02,120.59,1260834.0,120.59,120.02,121.23,120.45,12434.0
2017-02-03,121.53,1245675.0,121.53,120.49,121.62,120.71,11296.0
2017-02-06,122.05,1346827.0,122.05,120.5,122.06,121.12,12718.0
2017-02-07,122.34,1949238.0,122.34,121.75,123.08,122.5,16561.0
2017-02-08,122.84,1705905.0,122.84,121.14,123.08,122.0,16766.0
2017-02-09,123.25,3165247.0,123.25,121.7,123.94,123.15,30808.0
2017-02-10,122.65,6466857.0,122.65,120.6301,126.41,125.01,50537.0
2017-02-13,119.5,3833325.0,119.5,119.22,123.06,123.06,30920.0
2017-02-14,119.67,2930254.0,119.67,118.82,120.0958,119.17,24923.0
2017-02-15,120.88,2251437.0,120.88,119.36,121.9,119.54,20671.0
2017-02-16,119.85,2008430.0,119.85,119.65,121.42,120.75,19972.0
2017-02-17,119.41,1685049.0,119.41,118.55,119.76,119.36,15052.0
2017-02-21,119.4,1955786.0,119.4,118.38,119.93,118.82,16338.0
2017-02-22,120.56,1419680.0,120.56,118.97,120.83,119.22,14224.0
2017-02-23,119.63,1215921.0,119.63,119.38,121.11,121.11,12762.0
2017-02-24,119.16,1031079.0,119.16,118.41,119.64,119.34,10747.0
2017-02-27,118.69,1033353.0,118.69,118.34,119.36,118.68,10462.0
2017-02-28,119.04,1795519.0,119.04,118.5,119.97,119.0,15944.0
2017-03-01,120.45,1885556.0,120.45,117.95,120.69,119.81,18223.0
2017-03-02,118.92,1133232.0,118.92,118.56,120.48,120.22,12335.0
2017-03-03,120.12,1700165.0,120.12,119.41,120.46,119.87,16413.0
2017-03-06,121.49,2243809.0,121.49,119.22,122.45,119.66,20383.0
2017-03-07,122.39,1305231.0,122.39,120.6501,122.73,120.72,14038.0
2017-03-08,124.53,2168112.0,124.53,122.08,124.83,122.32,21452.0
2017-03-09,124.71,2199407.0,124.71,124.0201,126.47,124.48,22665.0
2017-03-10,125.76,1395612.0,125.76,124.94,125.87,125.46,14327.0
2017-03-13,127.35,1695915.0,127.35,125.2,127.9113,125.47,17274.0
2017-03-14,127.66,1074871.0,127.66,126.42,127.74,127.01,11729.0
2017-03-15,129.48,2788853.0,129.48,127.78,130.21,128.0,24173.0
2017-03-16,130.73,2305717.0,130.73,129.915,131.12,129.95,21394.0
2017-03-17,131.2,2024636.0,131.2,130.63,132.17,131.79,18683.0
2017-03-20,129.87,1472116.0,129.87,129.15,131.43,130.65,15590.0
2017-03-21,127.6,2557641.0,127.6,126.75,130.335,130.1,26673.0
2017-03-22,127.68,1869351.0,127.68,126.29,127.78,126.78,18806.0
2017-03-23,127.04,1028454.0,127.04,126.78,127.97,127.4,12066.0
2017-03-24,127.76,1312066.0,127.76,126.46,128.54,127.41,14816.0
2017-03-27,127.8,1254904.0,127.8,126.25,128.68,127.11,14022.0
2017-03-28,129.03,1237168.0,129.03,127.54,129.7,127.62,12927.0
2017-03-29,129.66,1130060.0,129.66,128.64,130.16,129.26,12179.0
2017-03-30,129.46,895222.0,129.46,128.83,129.82,129.44,9161.0
2017-03-31,126.17,4132763.0,126.17,125.57,127.67,127.44,34656.0
2017-04-03,126.14,1758195.0,126.14,124.34,126.69,126.34,19068.0
2017-04-04,125.02,1749865.0,125.02,124.7,126.09,125.82,15989.0
2017-04-05,124.97,3315603.0,124.97,124.45,126.48,125.2,27158.0
2017-04-06,125.67,1941701.0,125.67,124.33,125.73,125.64,18334.0
2017-04-07,126.49,1796835.0,126.49,125.35,127.25,125.95,18186.0
2017-04-10,128.46,1742448.0,128.46,126.85,128.72,127.18,15800.0
2017-04-11,129.12,2704131.0,129.12,127.66,129.16,128.82,22580.0
