YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,77.05,906245.0,77.05,76.16,77.4,77.25,
2017-01-04,77.46,913967.0,77.46,76.78,77.87,77.17,
2017-01-05,78.47,903217.0,78.47,75.97,78.51,76.83,
2017-01-06,79.2,944496.0,79.2,77.65,79.3,78.12,
2017-01-09,78.26,616564.0,78.26,78.05,79.38,79.27,
2017-01-10,76.63,955302.0,76.63,76.59,78.4,78.25,
2017-01-11,74.65,1535491.0,74.65,74.63,76.885,76.78,
2017-01-12,73.81,1246520.0,73.81,73.23,74.68,74.63,
2017-01-13,72.65,913698.0,72.65,72.62,73.95,73.76,
2017-01-17,73.04,1168108.0,73.04,72.4,73.15,72.66,
2017-01-18,73.17,911036.0,73.17,72.485,73.58,73.12,
2017-01-19,73.1,761371.0,73.1,72.31,73.15,72.76,
2017-01-20,73.42,1007455.0,73.42,72.27,73.58,73.05,
2017-01-23,75.0,1190285.0,75.0,73.66,75.14,73.66,
2017-01-24,75.14,762242.0,75.14,74.7,75.43,74.83,
2017-01-25,73.77,1090618.0,73.77,73.23,75.6402,75.26,
2017-01-26,73.98,944160.0,73.98,73.03,74.4431,73.84,
2017-01-27,73.2,809771.0,73.2,73.1,74.4475,74.15,
2017-01-30,72.3,826656.0,72.3,72.13,73.57,73.37,
2017-01-31,72.05,764187.0,72.05,71.83,73.08,72.26,
2017-02-01,71.64,801028.0,71.64,71.47,72.23,71.72,
2017-02-02,72.46,714884.0,72.46,71.62,72.87,71.62,
2017-02-03,73.01,706312.0,73.01,72.27,73.265,73.12,
2017-02-06,73.21,551517.0,73.21,72.12,73.49,73.05,
2017-02-07,73.72,675394.0,73.72,73.18,74.216,73.18,
2017-02-08,74.19,872232.0,74.19,73.63,75.09,73.75,
2017-02-09,74.51,323632.0,74.51,73.74,74.7179,74.26,
2017-02-10,75.0,416109.0,75.0,74.18,75.12,74.36,
2017-02-13,74.85,616330.0,74.85,74.49,75.56,75.25,
2017-02-14,73.5,642602.0,73.5,72.905,74.85,74.85,
2017-02-15,73.54,731598.0,73.54,71.86,73.71,72.71,
2017-02-16,74.87,1168943.0,74.87,73.76,75.33,74.35,
2017-02-17,77.25,1486766.0,77.25,74.91,77.31,75.01,
2017-02-21,78.37,1287263.0,78.37,76.32,78.66,77.14,
