YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,13.78,28586188.0,13.78,13.405,13.895,13.49,
2017-01-04,14.83,36310930.0,14.83,13.94,14.84,14.09,
2017-01-05,14.62,34955976.0,14.62,14.41,15.29,14.68,
2017-01-06,14.9,24449133.0,14.9,14.57,15.0,14.73,
2017-01-09,14.68,17294280.0,14.68,14.62,14.93,14.85,
2017-01-10,15.55,44241249.0,15.55,15.22,15.73,15.32,
2017-01-11,15.87,29752310.0,15.87,15.23,15.935,15.55,
2017-01-12,15.27,33940159.0,15.27,15.18,15.66,15.61,
2017-01-13,15.19,33977849.0,15.19,14.51,15.28,15.26,
2017-01-17,15.06,19347271.0,15.06,14.91,15.33,15.29,
2017-01-18,15.24,18655619.0,15.24,14.98,15.39,15.08,
2017-01-19,15.26,13263674.0,15.26,15.07,15.41,15.16,
2017-01-20,15.51,17979935.0,15.51,15.28,15.51,15.33,
2017-01-23,15.72,19894020.0,15.72,15.51,15.75,15.72,
2017-01-24,17.02,56815423.0,17.02,16.11,17.06,16.3,
2017-01-25,16.5,70068299.0,16.5,15.81,16.65,16.44,
2017-01-26,15.84,41495515.0,15.84,15.735,16.38,16.16,
2017-01-27,16.37,31577656.0,16.37,15.81,16.58,15.89,
2017-01-30,16.25,27102295.0,16.25,15.95,16.28,16.1,
2017-01-31,16.65,25332208.0,16.65,16.33,16.7,16.56,
2017-02-01,16.84,21112308.0,16.84,16.41,16.89,16.63,
2017-02-02,16.81,18116287.0,16.81,16.61,16.89,16.69,
2017-02-03,15.83,56828557.0,15.83,15.71,16.75,16.5,
2017-02-06,16.0,22979876.0,16.0,15.71,16.15,16.02,
2017-02-07,15.52,38360163.0,15.52,15.41,16.08,16.01,
2017-02-08,15.53,30199430.0,15.53,15.23,15.79,15.4,
2017-02-09,15.39,25927682.0,15.39,15.15,15.55,15.55,
2017-02-10,15.8,45535256.0,15.8,15.74,16.56,16.41,
2017-02-13,15.96,26657952.0,15.96,15.93,16.19,16.02,
2017-02-14,15.9,23518043.0,15.9,15.56,15.99,15.8,
2017-02-15,15.37,30520198.0,15.37,15.35,15.77,15.66,
2017-02-16,15.07,24698308.0,15.07,15.01,15.44,15.33,
2017-02-17,14.91,24176882.0,14.91,14.8,15.31,15.22,
2017-02-21,14.13,66063595.0,14.13,13.92,14.64,14.64,
2017-02-22,13.73,36811039.0,13.73,13.57,14.06,13.9,
2017-02-23,13.48,30485470.0,13.48,13.415,14.04,13.82,
2017-02-24,13.25,27410691.0,13.25,13.16,13.61,13.34,
2017-02-27,13.27,32200931.0,13.27,13.18,13.63,13.37,
2017-02-28,13.4,28928001.0,13.4,13.23,13.63,13.24,
2017-03-01,13.99,32917364.0,13.99,13.61,14.0,13.78,
2017-03-02,13.31,23774943.0,13.31,13.29,13.97,13.94,
2017-03-03,13.2,21339149.0,13.2,13.03,13.42,13.42,
2017-03-06,12.9,27150749.0,12.9,12.53,12.95,12.92,
2017-03-07,12.69,19159571.0,12.69,12.54,13.0,12.9,
2017-03-08,12.44,21032980.0,12.44,12.35,12.79,12.71,
