YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,165.14,307437.0,165.14,164.04,166.12,165.06,
2017-01-04,169.71,570098.0,169.71,165.48,170.53,165.96,
2017-01-05,168.88,291753.0,168.88,168.05,170.97,169.3,
2017-01-06,170.74,297499.0,170.74,167.94,171.71,168.75,
2017-01-09,169.8,255329.0,169.8,169.21,171.3,170.42,
2017-01-10,169.46,397579.0,169.46,166.35,170.68,166.99,
2017-01-11,169.44,286136.0,169.44,168.31,169.88,169.65,
2017-01-12,169.54,221714.0,169.54,166.43,169.82,168.98,
2017-01-13,170.24,200713.0,170.24,169.46,171.12,169.87,
2017-01-17,169.34,183772.0,169.34,168.11,170.05,168.95,
2017-01-18,171.2,254002.0,171.2,167.9,171.36,169.32,
2017-01-19,169.16,259472.0,169.16,169.1,171.84,171.21,
2017-01-20,170.54,145353.0,170.54,169.0601,171.525,169.93,
2017-01-23,171.25,183957.0,171.25,169.75,171.35,170.53,
2017-01-24,172.35,266656.0,172.35,170.43,172.49,171.88,
2017-01-25,174.43,153668.0,174.43,172.56,174.62,173.3,
2017-01-26,173.54,146431.0,173.54,172.71,174.83,174.83,
2017-01-27,173.48,153337.0,173.48,172.04,174.25,174.11,
2017-01-30,172.94,180436.0,172.94,170.0,173.04,172.78,
2017-01-31,173.05,175371.0,173.05,171.45,173.28,172.93,
2017-02-01,172.9,198414.0,172.9,171.64,174.94,174.23,
2017-02-02,174.52,219875.0,174.52,171.99,174.96,171.99,
2017-02-03,176.16,159979.0,176.16,173.54,176.27,174.95,
2017-02-06,175.76,188605.0,175.76,174.5,176.7599,175.15,
2017-02-07,174.01,333915.0,174.01,173.68,176.93,176.13,
2017-02-08,174.15,165578.0,174.15,173.36,175.2,174.54,
2017-02-09,175.93,201745.0,175.93,174.39,176.36,174.39,
2017-02-10,177.94,168957.0,177.94,176.02,178.2,176.26,
2017-02-13,178.62,145952.0,178.62,177.83,179.2199,178.29,
2017-02-14,178.77,130568.0,178.77,177.19,179.22,177.67,
2017-02-15,179.82,145519.0,179.82,178.57,179.99,178.93,
2017-02-16,180.09,160912.0,180.09,178.53,180.66,179.77,
2017-02-17,181.67,257397.0,181.67,177.845,182.1,179.81,
2017-02-21,183.17,229801.0,183.17,181.24,183.64,182.45,
2017-02-22,181.41,171774.0,181.41,180.65,182.66,182.34,
2017-02-23,181.69,148077.0,181.69,179.15,182.92,182.06,
2017-02-24,182.29,128511.0,182.29,180.125,182.38,180.54,
2017-02-27,181.46,179048.0,181.46,180.55,182.5299,182.18,
2017-02-28,177.9,287538.0,177.9,177.41,182.495,181.53,
2017-03-01,180.85,204772.0,180.85,178.52,181.05,179.68,
2017-03-02,179.24,202045.0,179.24,177.58,181.305,180.7,
2017-03-03,178.34,224282.0,178.34,178.04,179.66,179.01,
2017-03-06,176.97,292146.0,176.97,176.55,178.6399,177.43,
2017-03-07,176.7,221115.0,176.7,176.1,177.97,177.36,
2017-03-08,176.71,188066.0,176.71,176.43,177.955,177.41,
2017-03-09,177.8,182575.0,177.8,176.68,178.62,176.68,
2017-03-10,177.58,219578.0,177.58,177.19,179.01,178.71,
2017-03-13,176.96,212156.0,176.96,176.03,177.67,177.6,
2017-03-14,177.1,170385.0,177.1,176.2829,177.56,176.33,
2017-03-15,179.26,380586.0,179.26,178.0,180.0299,178.0,
2017-03-16,179.77,125211.0,179.77,178.68,180.67,179.67,
2017-03-17,179.94,255723.0,179.94,179.06,180.94,179.9,
2017-03-20,180.71,292370.0,180.71,179.62,182.24,180.31,
