YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,30.95,3757235.0,30.95,30.43,31.14,30.97,
2017-01-04,30.97,3242019.0,30.97,30.935,31.2901,30.99,
2017-01-05,30.85,3947581.0,30.85,30.57,31.05,30.94,
2017-01-06,31.13,3485064.0,31.13,30.71,31.24,30.71,
2017-01-09,31.01,4802751.0,31.01,30.93,31.23,31.21,
2017-01-10,30.37,7195984.0,30.37,30.12,30.85,30.84,
2017-01-11,30.73,5282990.0,30.73,30.33,30.94,30.33,
2017-01-12,30.68,4247187.0,30.68,30.56,30.91,30.73,
2017-01-13,30.61,3889258.0,30.61,30.41,30.72,30.64,
2017-01-17,31.15,4092617.0,31.15,30.7,31.36,30.86,
2017-01-18,30.76,3481522.0,30.76,30.66,31.23,31.08,
2017-01-19,30.31,4519371.0,30.31,30.24,30.7292,30.64,
2017-01-20,30.04,4713891.0,30.04,29.91,30.5188,30.35,
2017-01-23,29.61,3935952.0,29.61,29.57,30.26,30.15,
2017-01-24,29.58,3838089.0,29.58,29.51,29.85,29.67,
2017-01-25,29.8,5785924.0,29.8,29.52,30.01,29.54,
2017-01-26,29.82,5205162.0,29.82,29.67,29.925,29.78,
2017-01-27,29.99,3355954.0,29.99,29.72,30.02,29.89,
2017-01-30,29.82,4584486.0,29.82,29.61,30.14,30.14,
2017-01-31,30.32,4811353.0,30.32,29.75,30.37,29.83,
2017-02-01,29.84,4356998.0,29.84,29.71,30.32,30.09,
2017-02-02,29.95,5426521.0,29.95,29.6241,30.0,29.9,
2017-02-03,29.89,3374136.0,29.89,29.58,30.03,29.67,
2017-02-06,29.88,4332651.0,29.88,29.81,30.15,29.98,
2017-02-07,29.99,2773886.0,29.99,29.77,30.04,29.92,
2017-02-08,30.04,4244157.0,30.04,29.83,30.07,30.03,
2017-02-09,29.88,4045987.0,29.88,29.65,30.09,30.06,
2017-02-10,30.45,3805535.0,30.45,29.81,30.52,29.86,
2017-02-13,30.53,5645170.0,30.53,30.39,30.72,30.52,
2017-02-14,30.36,2566774.0,30.36,30.16,30.6399,30.54,
2017-02-15,30.4,2828697.0,30.4,30.11,30.46,30.13,
2017-02-16,30.62,3805720.0,30.62,30.27,30.635,30.38,
2017-02-17,31.01,4410407.0,31.01,30.55,31.04,30.66,
2017-02-21,31.33,5193542.0,31.33,30.84,31.35,30.92,
2017-02-22,30.79,6792905.0,30.79,30.35,31.02,30.81,
2017-02-23,31.39,5776154.0,31.39,30.96,31.615,30.97,
2017-02-24,32.32,6126750.0,32.32,31.4901,32.345,31.56,
2017-02-27,31.81,4398167.0,31.81,31.76,32.35,32.35,
2017-02-28,32.43,5503093.0,32.43,31.77,32.54,31.81,
2017-03-01,31.56,7326094.0,31.56,31.39,32.09,32.09,
2017-03-02,31.64,3980128.0,31.64,31.4,32.0,31.45,
2017-03-03,31.74,3630050.0,31.74,31.325,31.75,31.68,
2017-03-06,31.32,4357946.0,31.32,31.16,31.92,31.92,
2017-03-07,31.18,4515697.0,31.18,31.03,31.42,31.22,
2017-03-08,31.11,4202244.0,31.11,30.47,31.16,30.92,
2017-03-09,31.1,4161139.0,31.1,31.04,32.53,31.05,
2017-03-10,31.26,3846881.0,31.26,30.9,31.555,31.21,
2017-03-13,31.1,2735097.0,31.1,30.93,31.45,31.23,
2017-03-14,31.0,3435103.0,31.0,30.78,31.08,31.04,
2017-03-15,31.59,3906392.0,31.59,31.02,31.71,31.09,
2017-03-16,31.13,3865452.0,31.13,31.0,31.58,31.47,
2017-03-17,31.36,8680742.0,31.36,31.19,31.48,31.22,
2017-03-20,30.96,3960540.0,30.96,30.87,31.42,31.2,
2017-03-21,31.36,4362927.0,31.36,30.81,31.5,30.93,
2017-03-22,31.41,4159376.0,31.41,31.36,31.81,31.5,
2017-03-23,31.2,3360393.0,31.2,31.11,31.5,31.39,
2017-03-24,31.34,3171033.0,31.34,31.24,31.53,31.4,
2017-03-27,31.39,2457592.0,31.39,31.07,31.59,31.5,
2017-03-28,31.61,2877630.0,31.61,31.245,31.64,31.3,
2017-03-29,31.57,3458666.0,31.57,31.4,31.85,31.54,
2017-03-30,31.37,3646657.0,31.37,31.23,31.5,31.49,
2017-03-31,31.82,5805913.0,31.82,31.38,31.93,31.42,
2017-04-03,31.46,3753564.0,31.46,31.23,31.74,31.72,
2017-04-04,31.73,3992494.0,31.73,31.185,31.82,31.49,
2017-04-05,31.78,2590521.0,31.78,31.55,31.86,31.63,
2017-04-06,31.76,3060694.0,31.76,31.6,31.82,31.66,
2017-04-07,31.32,5747582.0,31.32,31.3,31.94,31.89,
2017-04-10,31.6,3235327.0,31.6,31.2,31.62,31.32,
2017-04-11,31.44,2588282.0,31.44,31.33,31.65,31.52,
2017-04-12,31.61,2718663.0,31.61,31.26,31.64,31.4,
2017-04-13,31.27,3432165.0,31.27,31.26,31.72,31.61,
2017-04-17,31.43,3007135.0,31.43,31.06,31.47,31.3,
2017-04-18,31.47,2988740.0,31.47,31.22,31.57,31.45,
2017-04-19,30.85,4920378.0,30.85,30.775,31.48,31.45,
2017-04-20,30.66,4598948.0,30.66,30.57,30.86,30.79,
2017-04-21,30.61,4208211.0,30.61,30.56,30.83,30.64,
2017-04-24,30.71,5218400.0,30.71,30.16,30.75,30.6,
2017-04-25,30.61,4050953.0,30.61,30.46,30.825,30.59,
2017-04-26,30.52,5786127.0,30.52,30.48,31.15,30.6,
2017-04-27,30.52,4538599.0,30.52,30.435,30.74,30.52,
2017-04-28,29.94,9610023.0,29.94,29.33,30.9,30.68,
2017-05-01,29.46,6328537.0,29.46,29.41,30.0201,29.98,
2017-05-02,29.03,7206966.0,29.03,28.97,29.72,29.53,
2017-05-03,28.95,8991780.0,28.95,28.21,29.075,28.68,
2017-05-04,28.87,4818603.0,28.87,28.7843,29.07,28.89,
2017-05-05,28.83,4303650.0,28.83,28.79,29.1,28.91,
2017-05-08,29.06,4651985.0,29.06,28.7,29.12,28.88,
2017-05-09,28.76,6631647.0,28.76,28.745,29.2,28.94,
2017-05-10,28.85,3227653.0,28.85,28.65,29.0,28.83,
2017-05-11,28.81,4804400.0,28.81,28.605,28.87,28.85,
2017-05-12,28.72,2578876.0,28.72,28.57,28.9111,28.86,
2017-05-15,28.93,4446466.0,28.93,28.69,29.06,28.69,
2017-05-16,28.69,3272845.0,28.69,28.59,28.955,28.87,
2017-05-17,28.59,2710212.0,28.59,28.4701,28.89,28.71,
2017-05-18,28.16,5121882.0,28.16,28.14,28.83,28.43,
2017-05-19,28.24,4896993.0,28.24,27.93,28.25,28.15,
2017-05-22,28.44,3050680.0,28.44,28.18,28.5399,28.18,
2017-05-23,28.5,3222564.0,28.5,28.38,28.65,28.44,
2017-05-24,28.67,2679970.0,28.67,28.41,28.69,28.55,
2017-05-25,28.86,3512275.0,28.86,28.58,28.97,28.62,
2017-05-26,28.92,2475868.0,28.92,28.65,28.97,28.89,
2017-05-30,29.19,3148539.0,29.19,28.785,29.42,28.87,
2017-05-31,29.24,3308892.0,29.24,29.045,29.38,29.13,
2017-06-01,29.39,2940061.0,29.39,29.06,29.4,29.23,
2017-06-02,29.45,2794693.0,29.45,29.33,29.63,29.59,
2017-06-05,29.11,2830193.0,29.11,29.05,29.4499,29.34,
2017-06-06,29.06,4209248.0,29.06,28.95,29.24,29.17,
2017-06-07,29.14,2805087.0,29.14,29.075,29.28,29.08,
2017-06-08,28.87,3635977.0,28.87,28.66,29.11,29.09,
2017-06-09,29.11,2933786.0,29.11,28.69,29.11,28.85,
2017-06-12,29.51,4892941.0,29.51,29.11,29.6305,29.14,
2017-06-13,29.37,3483673.0,29.37,29.03,29.44,29.4,
2017-06-14,29.59,3415190.0,29.59,29.425,29.81,29.6,
2017-06-15,29.79,3829330.0,29.79,29.44,29.81,29.51,
2017-06-16,29.93,12165619.0,29.93,29.82,30.3,29.85,
2017-06-19,29.87,3720373.0,29.87,29.65,30.14,30.0,
2017-06-20,29.87,2884815.0,29.87,29.83,30.0,29.85,
2017-06-21,29.43,5344255.0,29.43,29.12,29.825,29.82,
2017-06-22,29.18,2940755.0,29.18,29.15,29.68,29.38,
2017-06-23,28.91,4799515.0,28.91,28.79,29.32,29.15,
2017-06-26,30.09,7131325.0,30.09,28.98,30.21,29.01,
2017-06-27,29.72,5086065.0,29.72,29.59,30.13,30.02,
2017-06-28,29.1,4798715.0,29.1,29.07,30.09,29.82,
2017-06-29,28.82,4171915.0,28.82,28.72,29.06,28.9,
2017-06-30,29.16,5199999.0,29.16,28.83,29.43,28.87,
2017-07-03,29.06,1929111.0,29.06,29.04,29.44,29.24,
2017-07-05,29.21,4757564.0,29.21,28.93,29.36,29.1,
2017-07-06,29.31,4930622.0,29.31,29.14,29.43,29.18,
2017-07-07,29.25,3148525.0,29.25,29.11,29.43,29.31,
2017-07-10,29.31,3804983.0,29.31,29.22,29.63,29.24,
