YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,144.8,521546.0,144.8,143.76,145.87,145.65,6896.0
2017-01-04,145.46,459822.0,145.46,144.29,146.72,144.91,5787.0
2017-01-05,144.42,500949.0,144.42,143.92,146.98,145.13,5537.0
2017-01-06,144.45,461519.0,144.45,143.88,145.37,144.29,5973.0
2017-01-09,144.15,814092.0,144.15,142.07,144.29,144.01,8338.0
2017-01-10,144.24,523282.0,144.24,143.98,145.0,144.63,5835.0
2017-01-11,144.03,465498.0,144.03,143.5,144.99,144.0,5049.0
2017-01-12,142.99,425478.0,142.99,141.8,144.67,143.82,5314.0
2017-01-13,143.37,451617.0,143.37,142.74,144.68,143.56,5227.0
2017-01-17,141.63,718626.0,141.63,140.75,143.5,142.87,7943.0
2017-01-18,142.84,659883.0,142.84,141.45,143.23,141.5,8425.0
2017-01-19,142.54,589449.0,142.54,141.925,144.1934,143.17,7219.0
2017-01-20,142.1,434368.0,142.1,141.88,143.39,142.97,5723.0
2017-01-23,141.14,669711.0,141.14,140.275,142.85,142.08,7536.0
2017-01-24,144.15,594677.0,144.15,141.28,144.61,141.54,7894.0
2017-01-25,145.75,1222744.0,145.75,143.27,145.89,144.96,12664.0
2017-01-26,133.72,2725193.0,133.72,132.58,139.87,139.3,26232.0
2017-01-27,135.54,1342655.0,135.54,133.28,138.27,133.28,13229.0
2017-01-30,134.69,838859.0,134.69,133.75,135.58,135.06,9300.0
2017-01-31,134.03,985482.0,134.03,132.51,135.49,132.6,9173.0
2017-02-01,132.34,1292752.0,132.34,131.54,134.09,134.07,13727.0
2017-02-02,134.45,1159597.0,134.45,130.61,134.79,130.8,16636.0
2017-02-03,136.23,969780.0,136.23,134.4,136.52,134.4,11093.0
2017-02-06,136.68,959985.0,136.68,135.01,136.99,135.54,8342.0
2017-02-07,138.57,782365.0,138.57,136.78,138.59,137.0,10595.0
2017-02-08,138.88,734873.0,138.88,137.86,139.49,138.13,9131.0
2017-02-09,139.73,714488.0,139.73,139.14,140.69,139.14,8544.0
2017-02-10,139.69,574195.0,139.69,139.01,140.25,140.0,6867.0
2017-02-13,140.47,1021827.0,140.47,139.45,141.88,140.09,8311.0
2017-02-14,141.1,580652.0,141.1,140.18,141.22,140.43,6971.0
2017-02-15,143.13,870111.0,143.13,140.685,143.57,141.3,8743.0
2017-02-16,143.24,463348.0,143.24,141.66,143.785,143.34,5968.0
2017-02-17,143.35,512244.0,143.35,141.93,143.63,142.87,5519.0
2017-02-21,145.05,487289.0,145.05,142.3,145.55,143.31,6055.0
2017-02-22,144.84,623503.0,144.84,143.91,145.38,144.66,5912.0
2017-02-23,144.2,426212.0,144.2,143.235,145.05,144.94,4898.0
2017-02-24,144.41,636340.0,144.41,143.19,144.58,143.73,5740.0
2017-02-27,143.61,420531.0,143.61,143.09,144.665,144.46,4833.0
2017-02-28,143.27,589674.0,143.27,142.33,143.67,143.27,5741.0
2017-03-01,145.08,527538.0,145.08,143.31,145.982,144.01,7044.0
2017-03-02,142.1,459340.0,142.1,142.04,144.79,144.79,6338.0
2017-03-03,142.87,772557.0,142.87,140.4,143.065,142.5,7988.0
2017-03-06,141.34,557132.0,141.34,141.28,142.66,142.66,6401.0
2017-03-07,143.6,663145.0,143.6,140.5,143.93,141.09,7779.0
2017-03-08,142.88,569450.0,142.88,142.24,143.77,143.46,6389.0
2017-03-09,143.76,454269.0,143.76,142.12,144.1,143.11,6112.0
2017-03-10,145.93,556531.0,145.93,144.0,145.98,144.58,6919.0
2017-03-13,146.29,744148.0,146.29,144.71,146.99,146.0,6702.0
2017-03-14,145.13,334809.0,145.13,144.2,145.73,145.56,4934.0
2017-03-15,146.48,423170.0,146.48,144.75,147.02,145.73,5023.0
2017-03-16,147.82,611112.0,147.82,145.96,148.0,146.4,7122.0
2017-03-17,148.79,660992.0,148.79,147.38,149.11,147.91,6278.0
2017-03-20,148.75,517672.0,148.75,147.74,149.5,148.66,5202.0
2017-03-21,145.77,630397.0,145.77,145.57,149.44,149.32,7044.0
2017-03-22,145.69,600222.0,145.69,145.026,146.6,145.94,6664.0
2017-03-23,146.55,662531.0,146.55,145.05,148.1995,145.48,7003.0
2017-03-24,146.57,389457.0,146.57,145.57,148.19,146.96,4376.0
2017-03-27,146.52,617654.0,146.52,144.16,147.09,145.64,6097.0
2017-03-28,147.13,397033.0,147.13,145.0,147.54,146.5,4515.0
2017-03-29,142.1,1488742.0,142.1,140.63,143.5,141.19,16135.0
2017-03-30,142.48,507910.0,142.48,141.556,142.9,141.72,6921.0
2017-03-31,142.57,592317.0,142.57,141.94,143.05,142.66,7641.0
2017-04-03,141.02,682617.0,141.02,139.86,142.92,142.73,9092.0
2017-04-04,139.43,701320.0,139.43,139.12,141.57,140.98,8260.0
2017-04-05,138.09,889302.0,138.09,137.76,141.15,139.89,9411.0
2017-04-06,138.3,854788.0,138.3,137.19,139.15,138.3,7430.0
2017-04-07,137.03,633529.0,137.03,136.97,138.055,137.9,6836.0
2017-04-10,136.86,613689.0,136.86,136.28,137.84,137.37,7592.0
2017-04-11,136.68,828304.0,136.68,135.7,137.25,136.88,8396.0
2017-04-12,134.88,947725.0,134.88,134.73,137.28,137.24,8416.0
2017-04-13,134.43,989587.0,134.43,134.3,136.41,135.07,9617.0
2017-04-17,135.98,733934.0,135.98,134.43,136.35,134.98,7484.0
2017-04-18,135.43,707441.0,135.43,135.085,136.34,135.79,7320.0
2017-04-19,135.93,887512.0,135.93,135.58,136.73,135.61,8095.0
2017-04-20,136.87,1227319.0,136.87,136.03,137.21,136.62,10767.0
2017-04-21,136.54,811794.0,136.54,136.13,137.1,136.79,8358.0
2017-04-24,137.93,999605.0,137.93,136.93,138.54,137.92,7506.0
2017-04-25,138.19,1056075.0,138.19,137.51,139.34,137.52,10738.0
2017-04-26,137.3,1433788.0,137.3,137.3,139.09,138.68,14549.0
2017-04-27,126.99,3780003.0,126.99,125.3,130.05,126.01,30063.0
2017-04-28,129.13,1684245.0,129.13,126.68,129.68,126.96,18279.0
