YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,143.4,518619.0,143.4,141.51,143.44,142.92,
2017-01-04,144.22,410104.0,144.22,143.19,144.59,143.61,
2017-01-05,145.29,451041.0,145.29,142.03,145.48,143.09,
2017-01-06,144.49,414016.0,144.49,144.03,145.8,144.73,
2017-01-09,142.68,365009.0,142.68,142.54,145.01,144.94,
2017-01-10,141.19,394370.0,141.19,140.79,142.48,142.41,
2017-01-11,139.77,309445.0,139.77,139.6,141.865,141.01,
2017-01-12,140.62,329599.0,140.62,138.89,140.65,139.77,
2017-01-13,140.18,300683.0,140.18,139.34,140.88,140.09,
2017-01-17,141.29,378542.0,141.29,140.5801,141.5,140.69,
2017-01-18,141.53,289062.0,141.53,140.36,141.72,141.56,
2017-01-19,139.25,279025.0,139.25,138.98,141.0,141.0,
2017-01-20,140.72,313214.0,140.72,139.2514,140.82,139.39,
2017-01-23,141.72,259426.0,141.72,140.21,142.0,140.21,
2017-01-24,140.96,411316.0,140.96,140.38,142.42,141.74,
2017-01-25,140.77,414768.0,140.77,140.01,141.58,141.12,
2017-01-26,140.8,295271.0,140.8,140.29,141.62,140.85,
2017-01-27,139.69,279484.0,139.69,139.17,141.28,141.28,
2017-01-30,139.14,319991.0,139.14,138.35,139.89,139.05,
2017-01-31,140.43,1552153.0,140.43,139.33,140.75,139.44,
2017-02-01,137.5,557859.0,137.5,137.04,140.48,139.73,
2017-02-02,140.11,434185.0,140.11,137.71,140.115,137.75,
2017-02-03,139.94,325240.0,139.94,139.27,141.25,140.82,
2017-02-06,139.79,253304.0,139.79,139.35,140.5,139.91,
2017-02-07,139.68,315050.0,139.68,139.11,140.68,140.19,
2017-02-08,140.33,297576.0,140.33,139.4,140.691,139.74,
2017-02-09,142.02,283495.0,142.02,140.02,142.08,140.47,
2017-02-10,142.96,251891.0,142.96,141.54,142.99,141.6,
2017-02-13,142.95,347106.0,142.95,141.54,143.32,143.32,
2017-02-14,141.08,512118.0,141.08,140.01,143.0,142.12,
