YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,33.54,2665093.0,33.54,32.1,33.66,32.61,19790.0
2017-01-04,34.17,2479200.0,34.17,33.6,34.51,33.69,20072.0
2017-01-05,33.88,1954943.0,33.88,33.5,34.16,33.87,12445.0
2017-01-06,33.32,1277905.0,33.32,33.3,34.08,34.07,10892.0
2017-01-09,33.57,1217515.0,33.57,33.02,33.7,33.38,9955.0
2017-01-10,33.39,1198011.0,33.39,33.01,33.78,33.59,9073.0
2017-01-11,35.0,3155412.0,35.0,33.21,35.25,33.34,22284.0
2017-01-12,34.87,1304208.0,34.87,34.2501,35.11,35.05,11057.0
2017-01-13,35.75,1999103.0,35.75,34.73,36.41,34.91,15054.0
2017-01-17,35.17,1928762.0,35.17,34.995,36.0899,35.69,11199.0
2017-01-18,34.41,1463137.0,34.41,34.1,35.33,35.22,11249.0
2017-01-19,34.42,1460313.0,34.42,34.16,35.13,34.5,12541.0
2017-01-20,34.75,1260810.0,34.75,34.51,35.24,34.64,10273.0
2017-01-23,33.66,1926820.0,33.66,33.12,34.79,34.75,16191.0
2017-01-24,32.53,2782717.0,32.53,32.47,33.88,33.88,20479.0
2017-01-25,32.9,1533013.0,32.9,32.59,33.18,32.69,11784.0
2017-01-26,32.28,1871143.0,32.28,32.11,33.14,32.83,14902.0
2017-01-27,31.48,2380412.0,31.48,31.38,32.785,32.59,16046.0
2017-01-30,31.02,2146747.0,31.02,30.61,31.35,31.32,15305.0
2017-01-31,31.19,1657234.0,31.19,30.34,31.2,30.83,13676.0
2017-02-01,31.79,1804923.0,31.79,30.8,31.9,31.4,13055.0
2017-02-02,31.59,1759050.0,31.59,31.421,32.17,31.72,14236.0
2017-02-03,32.15,1287468.0,32.15,31.67,32.28,31.75,10978.0
2017-02-06,32.13,1004096.0,32.13,31.79,32.41,32.41,8127.0
2017-02-07,31.79,1063871.0,31.79,31.57,32.21,32.14,8489.0
2017-02-08,31.55,939572.0,31.55,31.11,31.7,31.64,7131.0
2017-02-09,32.23,1300316.0,32.23,31.65,32.6,31.71,10733.0
2017-02-10,32.85,2081395.0,32.85,31.99,33.38,32.22,14238.0
2017-02-13,33.33,1504134.0,33.33,32.8901,33.7601,33.15,11390.0
2017-02-14,33.92,1605475.0,33.92,32.79,33.96,33.25,12830.0
2017-02-15,34.73,2135450.0,34.73,33.73,34.82,34.04,14674.0
2017-02-16,34.11,2904195.0,34.11,33.75,35.468,34.2,19168.0
2017-02-17,34.84,2396753.0,34.84,33.5,34.9,34.05,18415.0
2017-02-21,36.62,5234506.0,36.62,35.14,36.86,35.39,32770.0
2017-02-22,33.57,10948687.0,33.57,33.49,36.15,35.51,59526.0
2017-02-23,37.19,11859224.0,37.19,33.69,37.84,33.69,64612.0
2017-02-24,37.9,5720976.0,37.9,36.36,38.5,36.43,37322.0
2017-02-27,37.83,3008416.0,37.83,37.01,38.165,38.07,20877.0
2017-02-28,36.19,3329804.0,36.19,36.01,37.69,36.64,24147.0
2017-03-01,35.02,3713325.0,35.02,34.72,36.88,36.54,25072.0
2017-03-02,35.52,2126048.0,35.52,34.81,35.8768,35.1,15900.0
2017-03-03,34.61,2212685.0,34.61,34.28,35.65,35.63,15125.0
2017-03-06,33.33,2150884.0,33.33,33.04,34.5,34.43,14310.0
2017-03-07,32.63,1857826.0,32.63,32.47,33.4899,33.14,13051.0
2017-03-08,32.66,1432722.0,32.66,32.51,33.17,32.77,11315.0
2017-03-09,32.48,1226268.0,32.48,32.1201,32.77,32.56,10011.0
2017-03-10,32.4,1398793.0,32.4,32.03,32.85,32.52,10976.0
2017-03-13,32.835,2122187.0,32.835,31.93,32.86,32.11,17486.0
2017-03-14,32.07,2498950.0,32.07,31.97,32.58,32.54,20722.0
2017-03-15,33.0,2381083.0,33.0,31.86,33.15,32.06,17898.0
2017-03-16,32.98,1965187.0,32.98,32.86,34.0472,33.18,14836.0
2017-03-17,31.83,18504483.0,31.83,31.81,33.25,32.98,22678.0
2017-03-20,30.34,8046924.0,30.34,29.71,32.12,32.12,43866.0
2017-03-21,29.04,4862028.0,29.04,29.01,30.348,30.07,29249.0
2017-03-22,28.87,4858159.0,28.87,28.05,29.16,29.0,32741.0
2017-03-23,28.58,2599321.0,28.58,28.51,29.25,28.85,18956.0
2017-03-24,28.31,3325954.0,28.31,28.11,28.85,28.65,20758.0
2017-03-27,28.23,2422617.0,28.23,27.75,28.55,28.12,16416.0
2017-03-28,28.28,2423370.0,28.28,28.04,28.53,28.05,17403.0
2017-03-29,28.03,2470953.0,28.03,28.01,28.65,28.33,17123.0
2017-03-30,27.47,3541492.0,27.47,27.115,28.09,27.91,21580.0
2017-03-31,27.1,3718552.0,27.1,27.08,27.89,27.5,23859.0
2017-04-03,26.33,4870452.0,26.33,26.215,27.25,27.17,25232.0
2017-04-04,26.82,5850578.0,26.82,26.08,27.65,26.29,33076.0
2017-04-05,26.58,3575962.0,26.58,26.55,27.4,27.0,18771.0
2017-04-06,26.62,4492370.0,26.62,25.5588,27.5,26.04,27703.0
2017-04-07,26.81,3175402.0,26.81,26.45,27.05,26.6,15006.0
2017-04-10,27.97,4673108.0,27.97,26.81,28.221,26.83,24368.0
2017-04-11,28.1,3002119.0,28.1,27.67,28.24,28.0,18489.0
2017-04-12,27.91,2604870.0,27.91,27.66,28.17,28.1,16776.0
2017-04-13,27.42,2425378.0,27.42,27.41,28.06,27.86,13068.0
2017-04-17,27.34,1812235.0,27.34,27.0,27.65,27.42,11669.0
2017-04-18,26.89,2132734.0,26.89,26.7108,27.27,27.11,14543.0
2017-04-19,26.54,2093158.0,26.54,26.51,27.27,27.05,15196.0
2017-04-20,26.74,2494292.0,26.74,26.41,27.0179,26.75,17790.0
2017-04-21,26.8,2033262.0,26.8,26.68,27.0,26.71,13068.0
2017-04-24,27.08,2514046.0,27.08,26.78,27.44,27.28,16957.0
2017-04-25,27.54,2465286.0,27.54,27.08,28.05,27.28,16530.0
2017-04-26,28.99,5850635.0,28.99,27.41,29.195,27.52,32939.0
2017-04-27,29.44,5508526.0,29.44,28.38,29.9602,29.51,32227.0
2017-04-28,29.55,4188134.0,29.55,29.2365,30.5,29.45,28679.0
2017-05-01,29.55,2902692.0,29.55,29.2314,30.03,29.99,20769.0
2017-05-02,30.32,5719025.0,30.32,29.41,30.71,29.8,36610.0
2017-05-03,33.91,17584000.0,33.91,32.15,36.27,32.5,95424.0
2017-05-04,34.24,5844001.0,34.24,33.81,34.97,34.9,37410.0
2017-05-05,34.54,4045457.0,34.54,33.55,34.93,34.2,26155.0
2017-05-08,35.15,3289493.0,35.15,34.18,35.42,34.54,22906.0
2017-05-09,35.78,3095005.0,35.78,34.44,36.2086,35.17,21484.0
2017-05-10,36.57,3640345.0,36.57,35.51,36.8599,35.63,28290.0
2017-05-11,36.62,2198881.0,36.62,36.07,37.095,36.43,15524.0
2017-05-12,36.38,2046692.0,36.38,35.75,36.6,36.59,15668.0
2017-05-15,37.21,2570657.0,37.21,36.34,37.67,36.55,18571.0
2017-05-16,36.78,1788159.0,36.78,36.57,37.3,37.26,14643.0
2017-05-17,34.98,3244157.0,34.98,34.95,36.49,36.06,23655.0
2017-05-18,34.96,6435459.0,34.96,33.27,35.38,34.58,38488.0
2017-05-19,36.34,3217091.0,36.34,35.12,36.68,35.19,22673.0
2017-05-22,36.43,2450789.0,36.43,35.86,36.67,36.07,19206.0
2017-05-23,36.47,2658994.0,36.47,36.34,37.4,36.55,19877.0
2017-05-24,38.9,5199842.0,38.9,36.731,39.28,37.0,31774.0
2017-05-25,37.94,3474183.0,37.94,37.675,39.1,38.9,24073.0
2017-05-26,36.84,3970867.0,36.84,36.79,37.9299,37.83,20980.0
2017-05-30,39.5,5728523.0,39.5,37.4,39.92,37.7,38083.0
2017-05-31,38.51,2921730.0,38.51,37.7583,39.45,39.13,22058.0
2017-06-01,38.32,3669120.0,38.32,38.01,39.36,38.61,23653.0
2017-06-02,38.33,1574518.0,38.33,37.86,38.7799,38.36,12725.0
2017-06-05,37.67,1621308.0,37.67,37.271,38.23,38.15,12554.0
2017-06-06,37.44,2587327.0,37.44,36.97,37.86,37.47,15245.0
2017-06-07,36.94,2199592.0,36.94,36.63,37.8499,37.7,18099.0
2017-06-08,37.8,2267673.0,37.8,36.85,37.97,37.12,16721.0
2017-06-09,36.65,2200896.0,36.65,36.37,37.9734,37.8,17346.0
2017-06-12,36.4,2201155.0,36.4,36.11,37.46,36.27,17941.0
2017-06-13,36.46,2086992.0,36.46,36.25,37.01,36.65,18575.0
2017-06-14,36.19,1699670.0,36.19,35.75,36.5,36.45,14496.0
2017-06-15,35.73,1477112.0,35.73,35.35,36.1799,35.5,13042.0
2017-06-16,35.83,1971924.0,35.83,35.33,36.04,35.73,13826.0
2017-06-19,36.35,1766428.0,36.35,35.56,36.42,36.03,11579.0
2017-06-20,35.45,1599931.0,35.45,35.38,36.5899,36.3,12334.0
2017-06-21,37.23,2367394.0,37.23,35.35,37.52,35.55,17700.0
2017-06-22,38.42,4156863.0,38.42,37.22,39.72,37.94,26415.0
2017-06-23,39.74,4798013.0,39.74,37.93,40.55,38.36,30089.0
2017-06-26,40.17,2755708.0,40.17,39.6,40.94,39.8,18354.0
2017-06-27,40.05,2233328.0,40.05,39.21,40.43,39.88,16946.0
2017-06-28,40.49,2437711.0,40.49,39.78,41.1699,40.31,19301.0
2017-06-29,40.08,2019675.0,40.08,39.2,40.6584,40.37,15397.0
2017-06-30,39.88,1295167.0,39.88,39.72,40.37,40.06,9983.0
2017-07-03,40.07,1053852.0,40.07,39.81,40.87,39.92,8162.0
2017-07-05,39.04,1573105.0,39.04,39.02,40.47,40.29,13491.0
2017-07-06,38.67,1481811.0,38.67,38.36,39.39,38.88,11523.0
2017-07-07,39.4,1142888.0,39.4,38.71,39.56,38.78,8580.0
2017-07-10,39.54,1071933.0,39.54,39.11,39.76,39.37,10037.0
2017-07-11,39.81,1225790.0,39.81,39.24,39.85,39.6,8422.0
2017-07-12,41.79,3304014.0,41.79,40.1799,41.95,40.2,22623.0
2017-07-13,41.53,2052876.0,41.53,40.77,41.9,41.9,17650.0
2017-07-14,42.94,2926690.0,42.94,41.6,43.4,41.62,19680.0
2017-07-17,42.72,2738580.0,42.72,42.42,43.0,43.0,14001.0
2017-07-18,44.02,2868312.0,44.02,42.54,44.66,42.8,20239.0
2017-07-19,45.67,4849125.0,45.67,45.0,46.75,45.04,32977.0
2017-07-20,46.27,3234387.0,46.27,44.92,46.64,45.85,23845.0
2017-07-21,45.15,2192569.0,45.15,45.04,46.28,46.03,16773.0
2017-07-24,44.98,1805139.0,44.98,44.61,45.39,45.21,15191.0
2017-07-25,45.46,2086585.0,45.46,45.03,45.83,45.61,16532.0
2017-07-26,45.44,1689407.0,45.44,45.37,45.95,45.95,14509.0
2017-07-27,44.81,4338610.0,44.81,44.1917,46.25,46.0,30808.0
2017-07-28,48.87,9309530.0,48.87,47.44,49.75,48.82,57420.0
2017-07-31,49.31,3833291.0,49.31,47.95,49.58,48.91,27865.0
2017-08-01,49.65,2434457.0,49.65,49.175,50.21,49.85,20881.0
2017-08-02,48.63,2785120.0,48.63,47.31,49.1,49.1,20936.0
2017-08-03,47.3,2192517.0,47.3,47.07,48.89,48.89,18481.0
2017-08-04,47.98,1407869.0,47.98,47.32,48.38,47.36,13175.0
2017-08-07,48.57,1431740.0,48.57,48.0257,49.0,48.11,11959.0
2017-08-08,47.84,1513264.0,47.84,47.56,48.96,48.66,11125.0
2017-08-09,47.43,1153798.0,47.43,47.03,47.89,47.5,11036.0
2017-08-10,46.75,1296127.0,46.75,46.45,47.38,47.24,11780.0
2017-08-11,47.54,1013896.0,47.54,46.53,47.8,46.57,9548.0
2017-08-14,48.87,1562151.0,48.87,47.13,49.04,47.55,13361.0
2017-08-15,49.09,1292019.0,49.09,48.38,49.65,48.98,10786.0
2017-08-16,49.07,1840042.0,49.07,48.92,50.12,49.82,14637.0
2017-08-17,47.77,1167447.0,47.77,47.69,49.58,48.85,9806.0
2017-08-18,48.06,983257.0,48.06,47.26,48.72,47.8,8908.0
2017-08-21,45.96,2383572.0,45.96,45.76,48.43,48.16,19151.0
2017-08-22,46.59,1704196.0,46.59,46.07,47.07,46.28,14010.0
2017-08-23,46.48,1026873.0,46.48,45.89,46.87,46.1,8193.0
2017-08-24,47.2,1290848.0,47.2,46.41,47.44,46.61,10126.0
2017-08-25,47.42,816200.0,47.42,47.22,47.73,47.37,8080.0
2017-08-28,48.02,1219962.0,48.02,47.2146,48.26,47.51,10067.0
2017-08-29,48.4,1564169.0,48.4,46.91,48.54,47.31,11139.0
2017-08-30,48.09,1707520.0,48.09,48.06,48.96,48.48,11671.0
2017-08-31,46.96,1674403.0,46.96,46.62,48.25,48.24,13992.0
2017-09-01,47.84,1207812.0,47.84,47.01,48.2,47.01,10441.0
2017-09-05,47.86,1200431.0,47.86,47.18,48.28,47.68,10786.0
2017-09-06,47.35,890322.0,47.35,47.35,48.23,48.03,7907.0
2017-09-07,47.45,850047.0,47.45,47.05,47.69,47.57,9041.0
2017-09-08,46.91,1339767.0,46.91,46.52,48.1465,47.35,10645.0
