YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,30.12,2441264.0,30.12,29.9,30.66,30.56,19663.0
2017-01-04,30.42,2322238.0,30.42,30.0753,30.54,30.15,17466.0
2017-01-05,30.83,3113653.0,30.83,30.23,30.915,30.26,16108.0
2017-01-06,31.01,1926191.0,31.01,30.52,31.22,30.8,14542.0
2017-01-09,31.31,2025985.0,31.31,30.81,31.49,31.0,14084.0
2017-01-10,31.96,1845083.0,31.96,31.4511,32.06,31.46,14747.0
2017-01-11,32.12,2360981.0,32.12,31.89,32.89,32.25,16096.0
2017-01-12,31.85,1337615.0,31.85,31.435,32.17,32.05,10433.0
2017-01-13,32.29,743303.0,32.29,31.8118,32.33,31.83,6181.0
2017-01-17,31.7,7723588.0,31.7,31.42,32.47,32.29,24044.0
2017-01-18,31.85,2121932.0,31.85,31.36,31.96,31.65,15764.0
2017-01-19,32.35,5443720.0,32.35,32.215,32.74,32.33,18526.0
2017-01-20,32.32,2651978.0,32.32,32.18,32.59,32.35,14612.0
2017-01-23,32.19,2769898.0,32.19,31.86,32.46,32.3,11410.0
2017-01-24,32.66,1464341.0,32.66,32.1763,32.7,32.25,8549.0
2017-01-25,32.81,1343234.0,32.81,32.6,33.36,32.97,10314.0
2017-01-26,32.57,1463237.0,32.57,32.35,33.13,32.97,10987.0
2017-01-27,32.78,1208485.0,32.78,32.27,32.85,32.55,8501.0
2017-01-30,32.81,1602108.0,32.81,32.05,32.84,32.73,10958.0
2017-01-31,33.26,2207430.0,33.26,32.57,33.39,32.84,17594.0
2017-02-01,33.1,1784460.0,33.1,32.72,33.43,33.26,15755.0
2017-02-02,33.18,4434397.0,33.18,32.78,33.49,33.03,32388.0
2017-02-03,37.72,12706154.0,37.72,36.1,38.01,37.15,66331.0
2017-02-06,37.83,3762949.0,37.83,36.8,38.325,37.66,26282.0
2017-02-07,37.76,1934417.0,37.76,37.57,38.235,38.0,15775.0
2017-02-08,37.42,2624541.0,37.42,37.21,37.8601,37.7,14384.0
2017-02-09,37.99,1551267.0,37.99,37.28,38.24,37.38,11971.0
2017-02-10,37.68,1521512.0,37.68,37.59,38.13,37.75,12712.0
2017-02-13,37.8,1353971.0,37.8,37.55,38.01,37.72,11391.0
2017-02-14,37.77,2861511.0,37.77,37.41,37.96,37.7,10157.0
2017-02-15,37.95,1168399.0,37.95,37.57,38.0699,37.81,10710.0
2017-02-16,37.24,1561924.0,37.24,37.03,38.09,37.92,12629.0
2017-02-17,37.455,1249866.0,37.455,36.9,37.58,37.05,9837.0
2017-02-21,37.38,1268319.0,37.38,37.2077,37.76,37.26,9886.0
2017-02-22,37.24,1093764.0,37.24,37.2,37.64,37.3,10100.0
2017-02-23,37.23,1620528.0,37.23,36.81,37.27,37.22,10634.0
2017-02-24,37.15,1003507.0,37.15,36.56,37.21,36.93,9440.0
2017-02-27,37.44,1944190.0,37.44,36.91,37.5,37.12,11068.0
2017-02-28,37.35,2678637.0,37.35,37.05,37.395,37.27,10654.0
2017-03-01,37.31,3190582.0,37.31,36.65,37.37,36.77,19629.0
2017-03-02,36.74,1931900.0,36.74,36.67,37.36,37.15,12751.0
2017-03-03,36.28,2340531.0,36.28,36.17,36.67,36.59,17325.0
2017-03-06,36.34,1886118.0,36.34,36.0,36.61,36.16,13146.0
2017-03-07,36.43,1809480.0,36.43,35.95,36.495,36.27,12165.0
2017-03-08,37.24,3403725.0,37.24,36.5,37.62,36.5,20112.0
2017-03-09,36.67,1547643.0,36.67,36.46,37.28,37.04,14617.0
2017-03-10,36.96,1143504.0,36.96,36.68,37.08,36.98,9976.0
2017-03-13,36.93,956396.0,36.93,36.79,37.17,36.86,9336.0
2017-03-14,36.66,917121.0,36.66,36.36,36.97,36.97,7817.0
2017-03-15,36.87,908865.0,36.87,36.38,36.97,36.58,8115.0
2017-03-16,37.29,1121411.0,37.29,37.06,37.36,37.06,9445.0
2017-03-17,37.13,3088961.0,37.13,36.94,37.72,37.72,16397.0
2017-03-20,36.98,881389.0,36.98,36.94,37.43,37.16,6636.0
2017-03-21,36.11,1365535.0,36.11,36.07,37.13,37.08,11836.0
2017-03-22,36.49,1017061.0,36.49,35.9,36.505,35.95,9784.0
2017-03-23,36.38,976648.0,36.38,36.23,36.75,36.49,7378.0
2017-03-24,36.3,920737.0,36.3,36.2,36.66,36.52,6689.0
2017-03-27,36.34,1313636.0,36.34,35.8268,36.57,35.95,9140.0
2017-03-28,36.56,725317.0,36.56,36.32,36.6728,36.4,6226.0
2017-03-29,38.31,2977756.0,38.31,37.28,38.53,37.49,18729.0
2017-03-30,37.85,1447825.0,37.85,37.8,38.56,38.26,10131.0
2017-03-31,38.35,1298345.0,38.35,37.77,38.49,37.77,10951.0
2017-04-03,38.26,1799913.0,38.26,38.05,39.03,38.55,13908.0
2017-04-04,37.65,1219517.0,37.65,37.54,38.51,38.17,9562.0
2017-04-05,37.44,1290764.0,37.44,37.3689,38.1,37.84,9367.0
2017-04-06,37.23,1697100.0,37.23,36.94,37.47,37.45,12748.0
2017-04-07,37.42,932169.0,37.42,37.07,37.51,37.18,7535.0
2017-04-10,37.22,2363273.0,37.22,36.93,37.53,37.53,18021.0
2017-04-11,37.62,1400597.0,37.62,37.04,37.62,37.13,9977.0
2017-04-12,37.47,817916.0,37.47,37.4,37.905,37.63,7318.0
2017-04-13,37.32,995570.0,37.32,37.29,37.64,37.43,8177.0
2017-04-17,38.07,1672299.0,38.07,37.61,38.64,37.61,12401.0
2017-04-18,38.52,1466270.0,38.52,37.88,38.56,38.05,11869.0
2017-04-19,38.43,1136014.0,38.43,38.345,38.86,38.63,10719.0
2017-04-20,38.51,864194.0,38.51,37.98,38.545,38.52,7585.0
2017-04-21,39.53,3230531.0,39.53,38.8,39.64,39.15,24238.0
2017-04-24,39.91,2929830.0,39.91,39.55,40.364,40.2,20422.0
2017-04-25,40.27,1590991.0,40.27,40.01,40.64,40.18,11881.0
2017-04-26,39.9,1556474.0,39.9,39.88,40.3,40.2,12487.0
2017-04-27,40.42,3055853.0,40.42,39.8252,40.61,40.16,23860.0
2017-04-28,39.0,4589617.0,39.0,38.63,39.97,39.07,34209.0
2017-05-01,39.15,2190576.0,39.15,38.625,39.34,39.3,14051.0
2017-05-02,39.38,1851843.0,39.38,39.14,39.69,39.36,14953.0
2017-05-03,39.22,1596550.0,39.22,39.01,39.78,39.48,12226.0
2017-05-04,39.44,1279981.0,39.44,39.08,39.615,39.29,11303.0
2017-05-05,40.08,1568729.0,40.08,39.46,40.24,39.54,12608.0
2017-05-08,39.78,911691.0,39.78,39.65,40.2,40.11,7832.0
2017-05-09,39.06,1714373.0,39.06,39.0,40.71,40.335,12967.0
2017-05-10,39.25,949945.0,39.25,38.97,39.42,39.0,7899.0
2017-05-11,39.03,1079726.0,39.03,38.6,39.29,39.16,9271.0
2017-05-12,39.12,1348893.0,39.12,38.54,39.2,39.03,10161.0
2017-05-15,40.45,3539561.0,40.45,40.1,41.33,40.1,23574.0
2017-05-16,40.97,1704088.0,40.97,40.46,40.99,40.81,13170.0
2017-05-17,39.55,1416271.0,39.55,39.525,40.75,40.73,12095.0
2017-05-18,39.67,1421077.0,39.67,38.8664,39.77,39.34,12812.0
2017-05-19,40.04,1159408.0,40.04,39.79,40.38,39.88,10008.0
2017-05-22,40.49,1553484.0,40.49,39.9,40.57,40.03,11870.0
2017-05-23,40.07,959335.0,40.07,39.99,40.6776,40.59,8173.0
2017-05-24,39.8,812071.0,39.8,39.72,40.44,40.23,7350.0
2017-05-25,39.65,1033429.0,39.65,39.47,40.12,39.94,9174.0
2017-05-26,39.49,865128.0,39.49,39.32,39.67,39.62,7956.0
2017-05-30,39.15,2064664.0,39.15,38.99,39.47,39.37,14324.0
2017-05-31,39.34,1863015.0,39.34,38.85,39.4,39.22,13038.0
2017-06-01,39.21,2934223.0,39.21,38.9801,39.87,39.81,15938.0
2017-06-02,39.05,2277704.0,39.05,38.94,39.63,39.55,20203.0
2017-06-05,39.37,1511661.0,39.37,38.88,39.6,38.9,12850.0
2017-06-06,39.09,2499812.0,39.09,38.91,39.44,39.15,18308.0
2017-06-07,39.2,3059445.0,39.2,38.55,39.22,39.0,21329.0
2017-06-08,39.52,2230818.0,39.52,38.53,39.59,39.08,17896.0
2017-06-09,37.32,3647410.0,37.32,36.8,39.68,39.61,22059.0
