YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,35.72,1437458.0,35.72,35.14,35.975,35.15,
2017-01-04,35.33,909699.0,35.33,35.25,36.02,35.72,
2017-01-05,34.83,876472.0,34.83,34.75,35.61,35.36,
2017-01-06,35.38,750780.0,35.38,34.74,35.53,35.02,
2017-01-09,35.38,334952.0,35.38,35.11,35.834,35.39,
2017-01-10,35.21,332534.0,35.21,35.0,35.54,35.18,
2017-01-11,35.27,581574.0,35.27,34.49,35.31,35.24,
2017-01-12,34.41,836991.0,34.41,34.4,35.37,35.25,
2017-01-13,35.18,2094470.0,35.18,34.42,35.49,34.57,
2017-01-17,35.2,616595.0,35.2,34.88,35.56,35.17,
2017-01-18,34.9,684203.0,34.9,34.76,35.25,35.15,
2017-01-19,35.2,592113.0,35.2,34.795,35.28,34.81,
2017-01-20,35.2,467399.0,35.2,35.14,35.74,35.26,
2017-01-23,34.95,671880.0,34.95,34.67,35.61,35.19,
2017-01-24,34.94,607563.0,34.94,34.7,35.18,35.08,
2017-01-25,36.16,1148786.0,36.16,35.075,36.18,35.35,
2017-01-26,35.96,547894.0,35.96,35.93,36.65,36.0,
2017-01-27,36.42,1047116.0,36.42,35.48,36.67,36.28,
2017-01-30,36.08,696906.0,36.08,35.63,36.34,36.17,
2017-01-31,35.73,867183.0,35.73,35.45,36.13,35.83,
2017-02-01,35.89,345520.0,35.89,35.615,36.05,35.77,
2017-02-02,35.99,346696.0,35.99,35.251,36.09,35.61,
2017-02-03,36.07,271779.0,36.07,35.91,36.27,36.03,
2017-02-06,36.19,450863.0,36.19,35.64,36.22,35.94,
2017-02-07,36.1,492926.0,36.1,35.88,36.42,36.28,
2017-02-08,35.77,702803.0,35.77,35.54,36.16,36.16,
2017-02-09,36.05,645529.0,36.05,35.78,36.49,35.85,
2017-02-10,36.01,631823.0,36.01,35.97,36.425,36.13,
2017-02-13,36.08,559105.0,36.08,35.72,36.29,36.03,
2017-02-14,36.34,894787.0,36.34,35.74,36.49,36.07,
2017-02-15,37.46,2290627.0,37.46,35.82,37.54,36.5,
2017-02-16,35.88,5288057.0,35.88,34.58,36.97,34.87,
2017-02-17,36.69,1489488.0,36.69,35.82,37.03,35.98,
2017-02-21,36.73,974122.0,36.73,36.19,36.82,36.56,
2017-02-22,36.76,982449.0,36.76,36.39,37.2899,36.6,
2017-02-23,36.54,878718.0,36.54,36.45,36.92,36.85,
2017-02-24,36.96,494744.0,36.96,36.28,37.0,36.47,
2017-02-27,37.18,605051.0,37.18,36.69,37.43,36.84,
2017-02-28,36.85,799290.0,36.85,36.81,37.61,37.14,
2017-03-01,36.56,777986.0,36.56,36.54,37.22,37.05,
2017-03-02,36.05,903124.0,36.05,35.96,36.4,36.4,
2017-03-03,36.29,876696.0,36.29,35.72,36.31,35.91,
2017-03-06,36.6,956262.0,36.6,35.96,36.76,35.96,
2017-03-07,36.27,728680.0,36.27,36.19,36.54,36.31,
2017-03-08,36.61,375410.0,36.61,36.35,36.67,36.35,
2017-03-09,36.55,427903.0,36.55,36.25,36.74,36.5,
2017-03-10,36.58,302179.0,36.58,36.41,36.9,36.7,
2017-03-13,37.7,793994.0,37.7,36.6,37.725,36.6,
2017-03-14,37.54,801998.0,37.54,37.42,37.79,37.53,
2017-03-15,37.59,1194561.0,37.59,37.0,37.78,37.63,
2017-03-16,37.47,492037.0,37.47,37.46,38.0,37.72,
2017-03-17,37.18,869061.0,37.18,37.05,37.57,37.57,
2017-03-20,37.15,607029.0,37.15,36.865,37.29,37.17,
2017-03-21,36.53,1062460.0,36.53,36.33,37.84,37.4,
2017-03-22,36.68,444113.0,36.68,36.2119,36.69,36.48,
2017-03-23,36.65,520557.0,36.65,36.45,37.035,36.62,
2017-03-24,36.39,643262.0,36.39,36.22,36.865,36.78,
2017-03-27,36.46,563054.0,36.46,35.74,36.82,36.13,
2017-03-28,36.3,620490.0,36.3,36.17,36.715,36.44,
2017-03-29,37.08,490742.0,37.08,36.34,37.15,36.56,
2017-03-30,37.12,492430.0,37.12,36.86,37.21,37.11,
2017-03-31,37.9,867669.0,37.9,36.96,38.0,37.13,
2017-04-03,37.58,652102.0,37.58,37.39,37.97,37.78,
2017-04-04,37.04,578763.0,37.04,36.87,37.9,37.33,
2017-04-05,37.08,687636.0,37.08,36.9568,37.56,37.19,
2017-04-06,37.15,430699.0,37.15,36.87,37.41,37.12,
2017-04-07,37.32,539205.0,37.32,36.79,37.41,37.18,
2017-04-10,36.94,560691.0,36.94,36.81,37.59,37.28,
2017-04-11,36.78,606818.0,36.78,36.185,36.84,36.66,
2017-04-12,36.29,383334.0,36.29,36.28,36.93,36.69,
2017-04-13,36.09,307134.0,36.09,36.03,36.29,36.29,
2017-04-17,36.88,464579.0,36.88,36.02,36.89,36.1,
2017-04-18,36.97,354404.0,36.97,36.56,37.09,36.56,
2017-04-19,37.62,395130.0,37.62,37.06,37.69,37.06,
2017-04-20,37.75,342586.0,37.75,37.425,37.8,37.72,
2017-04-21,37.62,321326.0,37.62,37.59,37.91,37.83,
2017-04-24,38.25,896630.0,38.25,37.79,38.32,37.95,
2017-04-25,38.8,774439.0,38.8,38.37,39.0,38.45,
2017-04-26,38.91,765660.0,38.91,38.54,39.365,38.9,
2017-04-27,39.04,627016.0,39.04,38.9,39.49,39.1,
2017-04-28,38.92,1105525.0,38.92,38.84,39.42,39.19,
2017-05-01,39.69,672429.0,39.69,38.95,39.69,39.01,
2017-05-02,39.35,1361631.0,39.35,39.02,39.835,39.65,
2017-05-03,38.45,2627022.0,38.45,38.0401,40.27,39.91,
2017-05-04,38.87,3431910.0,38.87,37.25,39.51,37.43,
2017-05-05,38.9,14159119.0,38.9,38.06,39.3,39.03,
2017-05-08,39.21,2430741.0,39.21,38.975,39.64,39.02,
2017-05-09,39.18,1987563.0,39.18,38.81,39.5,39.43,
2017-05-10,39.28,1422284.0,39.28,38.68,39.44,39.04,
2017-05-11,38.95,834031.0,38.95,38.59,39.38,39.38,
2017-05-12,38.76,936381.0,38.76,38.58,38.995,38.99,
2017-05-15,39.06,1359423.0,39.06,38.87,39.28,38.98,
2017-05-16,40.29,1868267.0,40.29,39.1,40.39,39.3,
2017-05-17,38.63,2415524.0,38.63,38.62,40.07,39.84,
