YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,4.41,122789.0,4.41,4.25,4.46,4.36,
2017-01-04,4.69,192666.0,4.69,4.4488,4.71,4.45,
2017-01-05,4.62,124302.0,4.62,4.55,4.75,4.63,
2017-01-06,4.53,127198.0,4.53,4.53,4.66,4.62,
2017-01-09,4.47,86820.0,4.47,4.45,4.55,4.53,
2017-01-10,4.37,345739.0,4.37,4.2,4.54,4.45,
2017-01-11,4.38,96315.0,4.38,4.31,4.48,4.43,
2017-01-12,4.4,82381.0,4.4,4.301,4.51,4.38,
2017-01-13,4.36,88792.0,4.36,4.34,4.53,4.43,
2017-01-17,4.36,74074.0,4.36,4.23,4.45,4.3,
2017-01-18,4.34,93178.0,4.34,4.2,4.4,4.4,
2017-01-19,4.19,69418.0,4.19,4.19,4.33,4.33,
2017-01-20,4.24,107383.0,4.24,4.1501,4.29,4.18,
2017-01-23,4.22,141063.0,4.22,4.08,4.26,4.18,
2017-01-24,4.3,196842.0,4.3,4.1301,4.34,4.17,
2017-01-25,4.35,182982.0,4.35,4.31,4.49,4.38,
2017-01-26,4.29,100006.0,4.29,4.26,4.35,4.3,
2017-01-27,4.22,150130.0,4.22,4.14,4.26,4.23,
2017-01-30,4.11,388780.0,4.11,3.93,4.2,4.2,
2017-01-31,4.11,144578.0,4.11,4.03,4.13,4.08,
2017-02-01,4.09,123450.0,4.09,4.03,4.15,4.11,
2017-02-02,4.15,104273.0,4.15,4.026,4.2,4.04,
2017-02-03,4.12,69058.0,4.12,4.0972,4.18,4.15,
2017-02-06,3.96,279337.0,3.96,3.78,4.15,4.12,
2017-02-07,3.94,121378.0,3.94,3.89,4.05,3.95,
2017-02-08,3.84,213931.0,3.84,3.69,3.99,3.94,
2017-02-09,4.01,284092.0,4.01,3.74,4.03,3.83,
2017-02-10,4.0,156245.0,4.0,3.9,4.05,4.0,
2017-02-13,3.97,183393.0,3.97,3.94,4.04,4.0,
2017-02-14,3.97,108541.0,3.97,3.88,3.99,3.96,
2017-02-15,3.93,113718.0,3.93,3.895,3.99,3.97,
2017-02-16,3.93,182044.0,3.93,3.8,3.97,3.95,
2017-02-17,3.88,124538.0,3.88,3.84,3.97,3.95,
2017-02-21,3.88,460342.0,3.88,3.78,3.93,3.85,
2017-02-22,3.83,162477.0,3.83,3.81,3.93,3.93,
2017-02-23,3.28,425056.0,3.28,3.2115,3.63,3.51,
2017-02-24,3.33,171112.0,3.33,3.22,3.36,3.22,
2017-02-27,3.29,522007.0,3.29,3.2,3.45,3.32,
2017-02-28,3.22,362411.0,3.22,3.15,3.32,3.23,
2017-03-01,3.24,512333.0,3.24,2.97,3.3,3.28,
2017-03-02,3.15,365007.0,3.15,3.11,3.28,3.24,
2017-03-03,3.05,278185.0,3.05,2.97,3.2,3.11,
2017-03-06,2.99,242082.0,2.99,2.9,3.05,2.99,
2017-03-07,2.96,292524.0,2.96,2.91,3.06,2.96,
2017-03-08,2.89,234275.0,2.89,2.89,3.01,2.95,
2017-03-09,2.74,223641.0,2.74,2.69,2.92,2.89,
2017-03-10,2.74,380469.0,2.74,2.71,2.85,2.74,
2017-03-13,2.75,254789.0,2.75,2.72,2.8,2.73,
2017-03-14,2.77,323202.0,2.77,2.66,2.81,2.73,
2017-03-15,2.77,116742.0,2.77,2.76,2.8,2.76,
2017-03-16,2.8,311078.0,2.8,2.75,2.83,2.78,
2017-03-17,2.73,370245.0,2.73,2.7199,2.78,2.78,
2017-03-20,2.68,114183.0,2.68,2.65,2.73,2.73,
2017-03-21,2.51,166452.0,2.51,2.51,2.7,2.68,
2017-03-22,2.46,193790.0,2.46,2.4,2.5,2.5,
2017-03-23,2.41,275229.0,2.41,2.37,2.5,2.45,
2017-03-24,2.53,365117.0,2.53,2.4,2.55,2.4,
2017-03-27,2.54,211820.0,2.54,2.465,2.57,2.48,
2017-03-28,2.53,131804.0,2.53,2.49,2.55,2.54,
2017-03-29,2.65,184583.0,2.65,2.46,2.69,2.51,
2017-03-30,2.61,150598.0,2.61,2.59,2.67,2.67,
2017-03-31,2.64,139788.0,2.64,2.5879,2.65,2.61,
2017-04-03,2.56,143748.0,2.56,2.56,2.64,2.64,
2017-04-04,2.51,144761.0,2.51,2.48,2.57,2.55,
2017-04-05,2.45,202698.0,2.45,2.41,2.56,2.54,
2017-04-06,2.53,111227.0,2.53,2.41,2.54,2.47,
2017-04-07,2.43,114860.0,2.43,2.42,2.54,2.52,
2017-04-10,2.41,111748.0,2.41,2.4,2.47,2.45,
2017-04-11,2.38,117409.0,2.38,2.38,2.4353,2.4,
2017-04-12,2.33,202052.0,2.33,2.23,2.39,2.39,
2017-04-13,2.3,126635.0,2.3,2.27,2.36,2.29,
2017-04-17,2.29,134711.0,2.29,2.2201,2.33,2.33,
2017-04-18,2.34,119450.0,2.34,2.28,2.4,2.28,
2017-04-19,2.32,176565.0,2.32,2.26,2.4,2.34,
2017-04-20,2.34,128056.0,2.34,2.29,2.3852,2.33,
2017-04-21,2.3,147292.0,2.3,2.3,2.3799,2.34,
2017-04-24,2.37,102363.0,2.37,2.3,2.399,2.36,
2017-04-25,2.42,178583.0,2.42,2.365,2.45,2.38,
2017-04-26,2.42,126972.0,2.42,2.4,2.45,2.4,
2017-04-27,2.43,82323.0,2.43,2.41,2.45,2.43,
2017-04-28,2.42,148788.0,2.42,2.39,2.43,2.43,
2017-05-01,2.5,155965.0,2.5,2.42,2.5,2.45,
2017-05-02,2.67,224899.0,2.67,2.49,2.68,2.5,
2017-05-03,2.6,194828.0,2.6,2.59,2.68,2.64,
2017-05-04,2.57,94226.0,2.57,2.55,2.6,2.6,
2017-05-05,2.56,181856.0,2.56,2.51,2.6,2.59,
2017-05-08,2.53,128933.0,2.53,2.52,2.58,2.56,
2017-05-09,2.42,243527.0,2.42,2.4,2.57,2.48,
2017-05-10,2.46,118591.0,2.46,2.38,2.5,2.41,
2017-05-11,2.39,94020.0,2.39,2.39,2.48,2.46,
2017-05-12,2.39,126432.0,2.39,2.37,2.5,2.4,
2017-05-15,2.3,95570.0,2.3,2.3,2.44,2.4,
2017-05-16,2.23,144366.0,2.23,2.22,2.34,2.3,
2017-05-17,2.2,239352.0,2.2,2.2,2.26,2.2,
2017-05-18,2.25,678030.0,2.25,2.2,2.35,2.2,
2017-05-19,2.17,166751.0,2.17,2.14,2.29,2.23,
2017-05-22,2.09,77810.0,2.09,2.06,2.17,2.15,
2017-05-23,1.96,387703.0,1.96,1.95,2.1,2.09,
2017-05-24,1.85,303469.0,1.85,1.8,2.01,1.95,
2017-05-25,1.92,153604.0,1.92,1.85,1.94,1.88,
2017-05-26,1.86,91356.0,1.86,1.8,1.9,1.9,
2017-05-30,1.73,335079.0,1.73,1.72,1.9,1.84,
2017-05-31,1.7,371218.0,1.7,1.66,1.7725,1.76,
2017-06-01,1.71,249068.0,1.71,1.64,1.72,1.7,
2017-06-02,1.72,533656.0,1.72,1.68,1.78,1.72,
2017-06-05,1.69,466845.0,1.69,1.54,1.72,1.72,
2017-06-06,1.68,249362.0,1.68,1.65,1.72,1.66,
2017-06-07,1.59,559898.0,1.59,1.53,1.71,1.64,
2017-06-08,1.69,265536.0,1.69,1.56,1.74,1.58,
2017-06-09,1.66,260865.0,1.66,1.65,1.73,1.66,
2017-06-12,1.79,217434.0,1.79,1.62,1.81,1.62,
2017-06-13,1.79,462760.0,1.79,1.68,1.815,1.77,
2017-06-14,1.81,128525.0,1.81,1.73,1.81,1.8,
2017-06-15,1.78,146052.0,1.78,1.73,1.81,1.78,
2017-06-16,1.83,260320.0,1.83,1.7,1.84,1.71,
2017-06-19,1.9,332184.0,1.9,1.7929,1.9,1.83,
2017-06-20,1.86,246619.0,1.86,1.84,1.9,1.89,
2017-06-21,1.84,134156.0,1.84,1.81,1.88,1.85,
2017-06-22,1.89,204656.0,1.89,1.82,1.98,1.84,
2017-06-23,1.88,940524.0,1.88,1.86,1.94,1.88,
2017-06-26,1.84,183995.0,1.84,1.82,1.91,1.88,
2017-06-27,1.8,115978.0,1.8,1.8,1.8681,1.84,
2017-06-28,1.75,249110.0,1.75,1.71,1.82,1.8,
2017-06-29,1.72,121233.0,1.72,1.7,1.76,1.73,
