YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,62.09,2327949.0,62.09,61.36,62.24,62.09,
2017-01-04,62.07,2137222.0,62.07,61.95,62.56,62.05,
2017-01-05,62.25,2558494.0,62.25,61.71,62.47,62.0,
2017-01-06,61.47,2282018.0,61.47,61.36,61.82,61.72,
2017-01-09,60.56,3408890.0,60.56,60.52,61.559,61.36,
2017-01-10,60.45,3244256.0,60.45,60.27,60.734,60.6,
2017-01-11,60.98,3374041.0,60.98,60.31,61.11,60.45,
2017-01-12,61.27,2961772.0,61.27,60.86,61.88,60.92,
2017-01-13,61.08,1853784.0,61.08,60.925,61.47,61.21,
2017-01-17,61.98,2775139.0,61.98,60.96,62.055,60.96,
2017-01-18,62.08,2116360.0,62.08,61.82,62.28,61.88,
2017-01-19,61.65,2421539.0,61.65,61.62,62.13,62.11,
2017-01-20,62.42,3103966.0,62.42,61.92,62.72,62.0,
2017-01-23,62.12,2837433.0,62.12,61.55,62.35,62.19,
2017-01-24,62.67,2632543.0,62.67,62.064,62.89,62.07,
2017-01-25,63.01,2681435.0,63.01,62.42,63.11,62.84,
2017-01-26,62.7,1957115.0,62.7,62.42,63.04,62.89,
2017-01-27,62.72,1845208.0,62.72,62.28,62.86,62.75,
2017-01-30,62.6,1692258.0,62.6,62.33,62.94,62.56,
2017-01-31,62.48,3543633.0,62.48,62.32,62.95,62.6,
2017-02-01,61.37,2644077.0,61.37,61.36,62.4535,62.32,
2017-02-02,61.72,2167891.0,61.72,61.5,62.02,61.64,
2017-02-03,62.73,2532374.0,62.73,61.87,62.99,62.13,
2017-02-06,61.44,2335624.0,61.44,61.4,62.61,62.54,
2017-02-07,61.82,1622773.0,61.82,61.52,61.885,61.68,
2017-02-08,62.22,1682336.0,62.22,61.63,62.33,61.74,
2017-02-09,63.06,2509411.0,63.06,62.009,63.23,62.32,
2017-02-10,62.76,1977886.0,62.76,62.63,63.335,62.86,
2017-02-13,62.89,1843621.0,62.89,62.44,63.03,62.77,
2017-02-14,63.09,3639684.0,63.09,62.54,63.73,62.81,
2017-02-15,63.19,2651381.0,63.19,62.01,63.35,62.68,
2017-02-16,61.54,6020290.0,61.54,61.385,63.27,63.07,
2017-02-17,59.23,11680881.0,59.23,58.7,60.18,58.89,
2017-02-21,61.02,7527707.0,61.02,60.03,61.59,60.92,
2017-02-22,60.59,3327033.0,60.59,60.24,60.99,60.75,
