YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,24.3,6856032.0,24.3,24.12,24.53,24.4,
2017-01-04,24.46,6486427.0,24.46,24.38,24.64,24.38,
2017-01-05,24.31,7228474.0,24.31,24.3,24.69,24.37,
2017-01-06,24.52,5554076.0,24.52,24.29,24.64,24.38,
2017-01-09,24.47,6682485.0,24.47,24.46,24.74,24.59,
2017-01-10,24.49,7040668.0,24.49,24.405,24.77,24.52,
2017-01-11,24.67,4988649.0,24.67,24.42,24.74,24.44,
2017-01-12,24.53,4506337.0,24.53,24.18,24.64,24.62,
2017-01-13,24.84,3849630.0,24.84,24.55,24.86,24.6,
2017-01-17,24.19,6138549.0,24.19,24.13,24.7,24.7,
2017-01-18,24.56,5860684.0,24.56,24.25,24.58,24.3,
2017-01-19,24.42,4544390.0,24.42,24.36,24.685,24.56,
2017-01-20,24.79,6958789.0,24.79,24.54,24.93,24.54,
2017-01-23,24.77,10441110.0,24.77,24.625,24.92,24.79,
2017-01-24,26.18,21332629.0,26.18,24.65,26.23,25.23,
2017-01-25,26.68,14941781.0,26.68,26.14,26.99,26.14,
2017-01-26,26.55,12557496.0,26.55,26.18,26.73,26.61,
2017-01-27,26.68,8604282.0,26.68,26.47,26.95,26.51,
2017-01-30,26.65,9411331.0,26.65,26.34,26.66,26.58,
2017-01-31,26.49,8965231.0,26.49,26.19,26.68,26.67,
2017-02-01,26.21,9607376.0,26.21,25.97,26.49,26.29,
2017-02-02,26.38,5987155.0,26.38,26.04,26.4,26.15,
2017-02-03,26.73,7144135.0,26.73,26.45,26.8,26.47,
2017-02-06,26.71,5171723.0,26.71,26.507,26.75,26.6,
2017-02-07,26.59,5555172.0,26.59,26.56,26.84,26.73,
2017-02-08,26.48,4848089.0,26.48,26.46,26.62,26.6,
2017-02-09,26.8,6048308.0,26.8,26.5,26.87,26.51,
2017-02-10,26.7,5809615.0,26.7,26.62,26.85,26.8,
2017-02-13,26.73,7050861.0,26.73,26.31,26.92,26.52,
2017-02-14,27.24,8983599.0,27.24,26.68,27.24,26.71,
2017-02-15,27.36,7288032.0,27.36,27.14,27.5,27.15,
2017-02-16,27.71,9934879.0,27.71,27.38,27.88,27.4,
2017-02-17,27.65,4456285.0,27.65,27.34,27.67,27.63,
2017-02-21,27.73,6207146.0,27.73,27.66,27.89,27.66,
2017-02-22,27.74,7972391.0,27.74,27.59,27.84,27.61,
2017-02-23,27.56,5658575.0,27.56,27.47,27.83,27.74,
2017-02-24,27.73,5297979.0,27.73,27.12,27.735,27.27,
2017-02-27,27.65,5252408.0,27.65,27.41,27.74,27.57,
2017-02-28,27.61,9030642.0,27.61,27.39,27.67,27.55,
2017-03-01,28.2,8173605.0,28.2,27.85,28.36,27.86,
2017-03-02,27.88,4837345.0,27.88,27.87,28.165,28.12,
2017-03-03,27.88,4706013.0,27.88,27.77,28.02,27.8,
2017-03-06,27.72,5651767.0,27.72,27.61,27.8,27.74,
2017-03-07,27.72,5256900.0,27.72,27.65,27.84,27.75,
2017-03-08,27.62,4986412.0,27.62,27.56,27.88,27.81,
2017-03-09,27.57,4568362.0,27.57,27.51,27.73,27.66,
2017-03-10,27.56,5828197.0,27.56,27.51,27.8,27.59,
2017-03-13,27.71,4073586.0,27.71,27.55,27.75,27.59,
2017-03-14,26.85,8448541.0,26.85,26.8,27.23,27.22,
2017-03-15,27.23,6139038.0,27.23,26.97,27.41,27.0,
2017-03-16,27.28,4881951.0,27.28,27.24,27.49,27.42,
2017-03-17,27.24,9728535.0,27.24,27.17,27.31,27.3,
2017-03-20,27.3,4685226.0,27.3,27.25,27.535,27.31,
2017-03-21,26.87,6172194.0,26.87,26.79,27.68,27.41,
2017-03-22,27.35,5619910.0,27.35,26.87,27.45,26.87,
2017-03-23,27.34,5355395.0,27.34,27.28,27.56,27.33,
2017-03-24,27.41,4461895.0,27.41,27.26,27.58,27.44,
2017-03-27,27.41,4429595.0,27.41,26.86,27.48,27.11,
2017-03-28,27.55,4867690.0,27.55,27.31,27.68,27.4,
2017-03-29,27.48,3466647.0,27.48,27.4,27.6,27.5,
2017-03-30,27.56,5690214.0,27.56,27.43,27.86,27.43,
2017-03-31,27.0,9246305.0,27.0,26.845,27.37,27.32,
2017-04-03,26.84,7317319.0,26.84,26.605,27.19,27.07,
2017-04-04,26.79,3849540.0,26.79,26.76,27.06,26.83,
2017-04-05,26.7,5351647.0,26.7,26.66,27.165,27.0,
2017-04-06,26.78,4407184.0,26.78,26.59,26.98,26.7,
2017-04-07,26.81,4338762.0,26.81,26.69,26.94,26.72,
2017-04-10,26.79,4847615.0,26.79,26.66,27.04,26.81,
2017-04-11,26.85,4397595.0,26.85,26.59,26.8975,26.77,
2017-04-12,26.48,5305979.0,26.48,26.39,27.07,27.02,
2017-04-13,26.32,4005085.0,26.32,26.32,26.66,26.45,
2017-04-17,26.54,3965260.0,26.54,26.39,26.595,26.44,
2017-04-18,26.89,12790025.0,26.89,26.43,27.29,26.48,
2017-04-19,26.86,6028907.0,26.86,26.73,27.22,27.0,
2017-04-20,27.11,7306353.0,27.11,26.9,27.22,26.97,
2017-04-21,27.02,6434143.0,27.02,26.83,27.15,27.06,
2017-04-24,27.52,9714207.0,27.52,27.28,27.64,27.38,
2017-04-25,28.54,13817000.0,28.54,27.85,28.73,28.11,
2017-04-26,28.39,7572848.0,28.39,28.2,28.63,28.63,
2017-04-27,29.02,10145258.0,29.02,28.45,29.08,28.46,
2017-04-28,28.85,7706994.0,28.85,28.77,29.0,28.99,
2017-05-01,29.11,5814108.0,29.11,28.825,29.18,28.93,
2017-05-02,29.02,6626420.0,29.02,28.89,29.16,29.12,
2017-05-03,28.76,5461372.0,28.76,28.675,28.93,28.85,
2017-05-04,28.84,3933522.0,28.84,28.73,28.96,28.78,
2017-05-05,28.91,7926343.0,28.91,28.76,29.02,28.91,
2017-05-08,29.12,5684289.0,29.12,28.86,29.245,28.96,
2017-05-09,29.08,6323491.0,29.08,29.0,29.29,29.11,
2017-05-10,29.11,3903576.0,29.11,28.9,29.13,29.02,
