YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,786.14,1658468.0,786.14,775.8,789.63,778.81,28217.0
2017-01-04,786.9,1072958.0,786.9,783.16,791.34,788.36,20994.0
2017-01-05,794.02,1335167.0,794.02,785.02,794.48,786.08,21440.0
2017-01-06,806.15,1640170.0,806.15,792.2041,807.9,795.26,27925.0
2017-01-09,806.65,1274645.0,806.65,802.83,809.9664,806.4,20795.0
2017-01-10,804.79,1176780.0,804.79,803.51,809.1299,807.86,19745.0
2017-01-11,807.91,1065978.0,807.91,801.37,808.15,805.0,16808.0
2017-01-12,806.36,1353057.0,806.36,799.17,807.39,807.14,20743.0
2017-01-13,807.88,1099215.0,807.88,806.69,811.2244,807.48,18204.0
2017-01-17,804.61,1362115.0,804.61,800.37,807.14,807.08,18140.0
2017-01-18,806.07,1294407.0,806.07,800.99,806.205,805.81,18969.0
2017-01-19,802.175,919325.0,802.175,801.8,809.48,805.12,17243.0
2017-01-20,805.02,1725045.0,805.02,801.69,806.91,806.91,21706.0
2017-01-23,819.31,1963628.0,819.31,803.74,820.87,807.25,32182.0
2017-01-24,823.87,1474010.0,823.87,817.821,825.9,822.3,25890.0
2017-01-25,835.67,1627304.0,835.67,825.06,835.77,829.62,27510.0
2017-01-26,832.15,2973891.0,832.15,827.01,838.0,837.81,61768.0
2017-01-27,823.31,2965771.0,823.31,820.44,841.95,834.71,47197.0
2017-01-30,802.32,3246894.0,802.32,799.8,815.84,814.66,54886.0
2017-01-31,796.79,2160556.0,796.79,790.52,801.25,796.86,37279.0
2017-02-01,795.695,2029744.0,795.695,791.19,801.19,799.68,34187.0
2017-02-02,798.53,1532263.0,798.53,792.0,802.7,793.8,25789.0
2017-02-03,801.49,1463448.0,801.49,800.37,806.0,802.99,25013.0
2017-02-06,801.34,1184483.0,801.34,795.2501,801.67,799.7,21306.0
2017-02-07,806.97,1241221.0,806.97,801.78,810.5,803.99,22785.0
2017-02-08,808.38,1155990.0,808.38,803.1903,811.84,807.0,19950.0
2017-02-09,809.56,990391.0,809.56,804.54,810.66,809.51,17971.0
2017-02-10,813.67,1134976.0,813.67,809.78,815.25,811.7,19798.0
2017-02-13,819.24,1213324.0,819.24,815.49,820.959,816.0,21160.0
2017-02-14,820.45,1054732.0,820.45,816.0,823.0,819.0,19287.0
2017-02-15,818.98,1313617.0,818.98,818.47,823.0,819.36,22439.0
2017-02-16,824.16,1287626.0,824.16,818.98,824.4,819.93,23070.0
2017-02-17,828.07,1611039.0,828.07,821.655,828.07,823.02,18896.0
2017-02-21,831.66,1262337.0,831.66,828.35,833.45,828.66,22267.0
