YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,95.63,648032.0,95.63,94.42,96.54,96.42,
2017-01-04,97.12,542945.0,97.12,95.95,97.12,96.19,
2017-01-05,96.67,414556.0,96.67,95.72,96.73,96.38,
2017-01-06,96.16,400212.0,96.16,96.09,96.79,96.66,
2017-01-09,96.05,607713.0,96.05,95.56,96.49,96.13,
2017-01-10,97.28,470447.0,97.28,95.6801,97.7,96.1,
2017-01-11,97.48,468914.0,97.48,96.74,97.593,97.12,
2017-01-12,98.09,547022.0,98.09,96.49,98.21,97.31,
2017-01-13,98.57,504117.0,98.57,98.15,99.04,98.15,
2017-01-17,97.56,698817.0,97.56,96.94,98.98,98.22,
2017-01-18,99.29,860968.0,99.29,97.16,99.58,97.43,
2017-01-19,99.11,774123.0,99.11,98.33,100.4,99.27,
2017-01-20,99.74,665003.0,99.74,98.96,100.03,99.34,
2017-01-23,96.25,1251744.0,96.25,95.67,98.19,97.82,
2017-01-24,96.92,915694.0,96.92,96.07,97.36,96.51,
2017-01-25,97.81,638211.0,97.81,97.2,98.17,97.4,
2017-01-26,97.14,837562.0,97.14,96.21,98.04,97.44,
2017-01-27,96.67,655244.0,96.67,96.32,97.61,97.55,
2017-01-30,97.08,609822.0,97.08,95.74,97.11,96.79,
2017-01-31,96.81,680594.0,96.81,95.83,97.43,96.74,
2017-02-01,96.34,607340.0,96.34,95.8,97.86,96.89,
2017-02-02,96.62,366601.0,96.62,96.07,97.06,96.36,
2017-02-03,97.14,476428.0,97.14,96.53,97.51,96.75,
2017-02-06,97.21,463151.0,97.21,96.8078,97.81,96.97,
2017-02-07,96.97,372891.0,96.97,96.53,97.75,97.3,
2017-02-08,99.04,866152.0,99.04,96.888,99.07,96.99,
2017-02-09,99.67,532167.0,99.67,98.91,100.1,99.02,
2017-02-10,99.78,483387.0,99.78,98.94,99.92,99.74,
2017-02-13,99.89,523424.0,99.89,99.06,100.25,100.0,
2017-02-14,99.66,493530.0,99.66,98.89,99.97,98.96,
2017-02-15,100.12,487911.0,100.12,99.4,100.12,99.6,
2017-02-16,99.23,707776.0,99.23,98.52,100.62,100.23,
2017-02-17,100.67,902326.0,100.67,98.96,100.67,99.05,
2017-02-21,97.67,1522874.0,97.67,96.3524,100.9,100.6,
2017-02-22,95.99,904877.0,95.99,95.87,97.42,96.98,
2017-02-23,95.0,1009361.0,95.0,94.88,95.99,95.99,
2017-02-24,96.25,672814.0,96.25,94.6,96.28,94.69,
2017-02-27,96.18,666432.0,96.18,95.59,96.71,96.28,
2017-02-28,95.71,760142.0,95.71,95.28,96.05,95.83,
