YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,70.5,1640316.0,70.5,69.04,70.95,69.98,
2017-01-04,73.13,1769728.0,73.13,70.44,73.13,70.69,
2017-01-05,73.42,1741394.0,73.42,72.77,73.94,72.77,
2017-01-06,74.45,1581759.0,74.45,73.22,74.61,73.55,
2017-01-09,79.79,3860222.0,79.79,78.06,80.88,78.4,
2017-01-10,77.88,2196731.0,77.88,77.86,80.45,80.26,
2017-01-11,78.23,1330386.0,78.23,77.21,78.41,77.33,
2017-01-12,77.6,1660258.0,77.6,76.72,77.96,77.81,
2017-01-13,77.74,1104723.0,77.74,77.24,78.075,77.47,
2017-01-17,78.04,1204644.0,78.04,77.18,78.13,77.35,
2017-01-18,78.62,1759755.0,78.62,78.14,79.359,78.28,
2017-01-19,79.39,2011880.0,79.39,78.75,79.62,79.16,
2017-01-20,79.08,1443011.0,79.08,78.76,79.84,79.47,
2017-01-23,78.39,1192616.0,78.39,77.81,79.07,78.87,
2017-01-24,79.03,953891.0,79.03,78.24,79.1,78.39,
2017-01-25,78.28,1260327.0,78.28,77.965,79.54,79.28,
2017-01-26,76.8,1292707.0,76.8,76.71,78.032,77.7,
2017-01-27,77.44,1222922.0,77.44,76.86,77.98,77.58,
2017-01-30,77.81,1287628.0,77.81,75.88,77.89,77.1,
2017-01-31,77.28,790482.0,77.28,76.65,77.71,77.71,
2017-02-01,77.05,1188644.0,77.05,76.44,77.85,77.59,
2017-02-02,76.72,1062590.0,76.72,76.03,77.0999,76.63,
2017-02-03,78.6,2023552.0,78.6,77.14,79.29,77.29,
2017-02-06,78.18,931449.0,78.18,77.62,78.4986,78.05,
2017-02-07,78.7,1376188.0,78.7,77.85,79.38,78.13,
2017-02-08,79.07,1002529.0,79.07,78.06,79.78,78.54,
2017-02-09,78.62,1103478.0,78.62,78.11,79.33,79.0,
2017-02-10,78.47,947608.0,78.47,78.25,78.99,78.47,
2017-02-13,78.22,767731.0,78.22,78.22,78.905,78.83,
2017-02-14,79.21,858097.0,79.21,77.97,79.3,78.15,
2017-02-15,78.96,647138.0,78.96,78.35,79.03,78.8,
2017-02-16,77.67,821990.0,77.67,77.51,79.03,78.9,
2017-02-17,77.95,1752237.0,77.95,76.88,77.97,77.6,
2017-02-21,78.85,903326.0,78.85,78.03,79.075,78.03,
2017-02-22,78.7,920934.0,78.7,78.29,79.3,78.78,
2017-02-23,78.21,1291531.0,78.21,77.6,79.09,79.09,
2017-02-24,78.97,1145785.0,78.97,77.38,78.97,77.98,
2017-02-27,79.9,1463900.0,79.9,79.13,80.0,79.21,
2017-02-28,79.69,1982851.0,79.69,79.15,80.42,79.6,
2017-03-01,79.45,2212690.0,79.45,79.32,81.0,80.42,
2017-03-02,78.27,1257690.0,78.27,78.07,79.27,79.22,
2017-03-03,80.61,2220672.0,80.61,78.2617,80.96,78.33,
2017-03-06,80.21,1364222.0,80.21,79.18,80.51,80.36,
2017-03-07,80.89,1773814.0,80.89,79.91,81.56,80.08,
2017-03-08,80.27,1165037.0,80.27,80.23,81.26,80.9,
2017-03-09,79.67,937054.0,79.67,79.19,80.65,80.29,
2017-03-10,79.14,1306907.0,79.14,78.79,80.275,79.75,
2017-03-13,79.67,734283.0,79.67,78.88,79.78,79.05,
2017-03-14,79.07,597419.0,79.07,78.8,80.0,79.63,
2017-03-15,78.73,1400705.0,78.73,78.15,79.33,79.33,
2017-03-16,79.7,1018911.0,79.7,78.54,79.71,78.84,
2017-03-17,80.03,1107413.0,80.03,79.62,80.27,79.93,
2017-03-20,79.38,867511.0,79.38,79.25,80.03,80.03,
2017-03-21,78.25,997057.0,78.25,78.17,79.83,79.78,
2017-03-22,79.07,597743.0,79.07,78.21,79.33,78.29,
2017-03-23,78.94,1014489.0,78.94,78.59,79.84,78.82,
2017-03-24,78.42,1567884.0,78.42,78.27,79.47,79.26,
2017-03-27,78.12,1366311.0,78.12,77.31,78.39,77.71,
2017-03-28,78.75,1079754.0,78.75,77.68,79.11,78.11,
2017-03-29,78.83,859119.0,78.83,78.47,79.19,78.75,
2017-03-30,80.7,2143327.0,80.7,79.31,81.63,80.06,
2017-03-31,80.68,1357944.0,80.68,80.09,81.1,80.1,
2017-04-03,79.33,1404429.0,79.33,79.09,80.93,80.86,
2017-04-04,78.35,1299958.0,78.35,78.01,79.32,78.95,
2017-04-05,77.75,864396.0,77.75,77.56,78.9,78.41,
2017-04-06,78.09,687226.0,78.09,77.49,78.4,77.67,
2017-04-07,77.93,626892.0,77.93,77.73,78.47,77.99,
2017-04-10,77.5,756557.0,77.5,77.46,78.34,77.8,
2017-04-11,77.69,926164.0,77.69,76.6,77.69,77.5,
2017-04-12,77.51,703838.0,77.51,76.47,77.97,77.76,
2017-04-13,77.54,1064969.0,77.54,77.03,78.38,77.19,
2017-04-17,78.58,700130.0,78.58,77.64,78.6,77.64,
2017-04-18,79.0,692829.0,79.0,78.17,79.07,78.21,
2017-04-19,78.95,832972.0,78.95,78.77,79.53,78.97,
2017-04-20,80.99,1658138.0,80.99,78.81,81.08,79.26,
2017-04-21,80.86,1603569.0,80.86,80.27,81.71,80.99,
2017-04-24,81.39,1172502.0,81.39,80.98,81.89,81.57,
2017-04-25,81.98,1282817.0,81.98,81.18,82.37,81.55,
2017-04-26,81.42,923456.0,81.42,81.055,82.01,81.98,
2017-04-27,81.97,1071233.0,81.97,81.23,82.12,81.41,
2017-04-28,81.76,1777565.0,81.76,80.79,82.24,81.71,
2017-05-01,81.5,1107796.0,81.5,81.43,82.03,81.9,
2017-05-02,81.72,898960.0,81.72,81.0,81.99,81.55,
2017-05-03,81.1,1891609.0,81.1,80.01,81.57,81.33,
2017-05-04,86.14,3042133.0,86.14,84.29,86.22,84.79,
2017-05-05,86.07,1728495.0,86.07,85.745,86.62,86.62,
2017-05-08,86.54,1155117.0,86.54,86.12,86.93,86.34,
2017-05-09,87.27,1591358.0,87.27,86.44,87.55,86.63,
2017-05-10,87.79,1188868.0,87.79,87.13,88.17,87.26,
2017-05-11,88.25,853088.0,88.25,86.99,88.3,87.27,
2017-05-12,87.74,935166.0,87.74,87.5,88.25,88.07,
2017-05-15,89.44,1229970.0,89.44,87.68,89.83,87.72,
2017-05-16,89.36,986041.0,89.36,89.09,89.98,89.78,
2017-05-17,88.1,1329618.0,88.1,88.07,89.07,88.7,
2017-05-18,88.77,1014600.0,88.77,87.68,89.38,88.09,
2017-05-19,90.04,1006465.0,90.04,89.02,90.31,89.29,
2017-05-22,91.73,926924.0,91.73,90.21,91.78,90.31,
2017-05-23,91.21,1477936.0,91.21,90.955,92.18,91.95,
2017-05-24,92.51,1038138.0,92.51,90.95,92.64,91.23,
2017-05-25,92.37,1062052.0,92.37,92.32,93.05,93.0,
