YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,49.19,1146335.0,49.19,48.53,49.36,48.53,11432.0
2017-01-04,49.83,1524929.0,49.83,49.25,50.05,49.25,14295.0
2017-01-05,49.49,886877.0,49.49,49.05,49.82,49.82,9508.0
2017-01-06,49.04,1013822.0,49.04,48.84,49.79,49.39,8811.0
2017-01-09,48.09,1507149.0,48.09,48.07,49.04,49.02,13234.0
2017-01-10,47.93,1461518.0,47.93,47.66,48.36,48.06,13833.0
2017-01-11,48.26,917141.0,48.26,47.74,48.28,47.74,9211.0
2017-01-12,48.37,895519.0,48.37,47.721,48.63,48.03,8463.0
2017-01-13,48.52,754525.0,48.52,48.34,48.84,48.56,6851.0
2017-01-17,47.94,743638.0,47.94,47.7,48.64,48.45,7760.0
2017-01-18,47.76,754164.0,47.76,47.67,48.19,47.93,6646.0
2017-01-19,47.61,594272.0,47.61,47.4601,48.17,47.83,6856.0
2017-01-20,47.87,869417.0,47.87,47.4,48.07,47.74,7447.0
2017-01-23,48.18,1215502.0,48.18,47.72,48.26,47.92,10959.0
2017-01-24,49.08,1250331.0,49.08,48.22,49.12,48.645,12352.0
2017-01-25,49.75,1434700.0,49.75,49.03,49.9099,49.03,13080.0
2017-01-26,49.08,1081344.0,49.08,49.04,49.9,49.79,10952.0
2017-01-27,49.0,858873.0,49.0,48.71,49.26,49.11,8849.0
2017-01-30,47.35,1757037.0,47.35,47.15,48.73,48.73,16624.0
2017-01-31,48.29,4925376.0,48.29,47.03,48.31,47.47,20805.0
2017-02-01,48.13,1377064.0,48.13,47.8,48.7199,48.42,12906.0
2017-02-02,49.8,1886281.0,49.8,48.11,49.82,48.2,16937.0
2017-02-03,49.84,1306465.0,49.84,49.51,50.04,49.77,10749.0
2017-02-06,50.26,1325623.0,50.26,49.34,50.31,49.34,12174.0
2017-02-07,49.53,1040013.0,49.53,49.42,50.5,50.35,10384.0
2017-02-08,48.85,1492989.0,48.85,48.62,49.5,49.5,11166.0
2017-02-09,49.13,738913.0,49.13,48.68,49.255,48.75,7961.0
2017-02-10,49.78,913743.0,49.78,49.0,50.055,49.1,9693.0
2017-02-13,50.34,849307.0,50.34,49.78,50.87,50.0,8529.0
2017-02-14,50.25,772351.0,50.25,50.01,50.45,50.32,7944.0
2017-02-15,50.82,1008501.0,50.82,50.05,50.84,50.24,9208.0
2017-02-16,50.95,965817.0,50.95,50.5,50.96,50.73,10049.0
2017-02-17,50.81,1309677.0,50.81,50.45,51.09,50.69,11496.0
2017-02-21,50.45,3161630.0,50.45,50.3,51.47,50.82,23351.0
2017-02-22,54.15,10284795.0,54.15,53.11,55.74,54.3,61055.0
2017-02-23,52.31,2547240.0,52.31,52.21,54.91,54.5,21561.0
2017-02-24,53.03,1299733.0,53.03,51.65,53.09,52.18,10791.0
2017-02-27,52.61,1175579.0,52.61,51.96,53.01,53.01,10329.0
2017-02-28,51.61,1546035.0,51.61,51.17,52.75,52.49,13180.0
2017-03-01,52.34,1106924.0,52.34,51.65,52.56,52.36,11642.0
2017-03-02,51.72,801522.0,51.72,51.71,52.4,52.4,7560.0
2017-03-03,51.52,579832.0,51.52,51.28,51.852,51.66,6026.0
2017-03-06,51.76,1267141.0,51.76,51.49,52.18,51.83,10747.0
2017-03-07,51.51,1035138.0,51.51,51.3,51.98,51.78,9421.0
2017-03-08,51.99,1044934.0,51.99,51.27,52.07,51.61,9736.0
2017-03-09,52.11,923942.0,52.11,51.72,52.33,51.98,9100.0
2017-03-10,52.51,1072845.0,52.51,51.815,52.65,51.92,9770.0
2017-03-13,51.85,1007386.0,51.85,51.64,52.345,52.1,10192.0
2017-03-14,51.42,1058621.0,51.42,51.05,51.92,51.78,10184.0
2017-03-15,51.9,938884.0,51.9,51.11,52.12,51.46,9170.0
2017-03-16,52.36,863706.0,52.36,51.67,52.41,52.0,9387.0
2017-03-17,52.36,3170791.0,52.36,51.99,52.73,52.47,11054.0
2017-03-20,52.65,916897.0,52.65,52.215,52.84,52.45,8985.0
2017-03-21,51.52,941514.0,51.52,51.41,52.86,52.73,8977.0
2017-03-22,51.21,740321.0,51.21,50.91,51.73,51.69,7308.0
2017-03-23,51.48,837621.0,51.48,51.23,51.79,51.28,7731.0
2017-03-24,51.1,690763.0,51.1,50.91,51.75,51.51,6594.0
2017-03-27,50.77,935522.0,50.77,50.1952,51.12,50.61,9674.0
2017-03-28,51.01,1035144.0,51.01,50.28,51.21,50.84,10890.0
2017-03-29,50.96,768076.0,50.96,50.7,51.29,51.06,8456.0
2017-03-30,51.09,716044.0,51.09,50.63,51.29,50.95,7755.0
2017-03-31,51.11,735150.0,51.11,50.8162,51.41,50.96,6828.0
2017-04-03,50.24,789489.0,50.24,50.0,51.41,51.19,8099.0
2017-04-04,49.99,980119.0,49.99,49.77,50.34,50.28,9669.0
2017-04-05,49.82,783789.0,49.82,49.76,50.44,50.01,7716.0
2017-04-06,50.08,587846.0,50.08,49.665,50.376,49.89,5181.0
2017-04-07,50.37,957109.0,50.37,50.05,50.62,50.1,8172.0
2017-04-10,50.54,763880.0,50.54,50.33,50.97,50.37,7059.0
2017-04-11,49.99,1199843.0,49.99,49.82,50.67,50.58,10436.0
2017-04-12,49.29,788128.0,49.29,49.18,50.075,50.01,7995.0
2017-04-13,48.69,1049248.0,48.69,48.6043,49.605,49.22,10272.0
2017-04-17,48.98,859357.0,48.98,48.5,48.99,48.81,8756.0
2017-04-18,49.26,726062.0,49.26,48.87,49.345,49.0,6839.0
2017-04-19,49.58,893244.0,49.58,49.42,49.82,49.48,9581.0
2017-04-20,49.98,946650.0,49.98,49.59,50.09,49.73,10020.0
2017-04-21,49.95,711239.0,49.95,49.82,50.26,50.14,7185.0
2017-04-24,50.29,1130818.0,50.29,50.02,50.55,50.39,8395.0
2017-04-25,50.74,1076948.0,50.74,50.21,50.83,50.39,9383.0
2017-04-26,50.57,1894160.0,50.57,49.63,50.79,50.47,15834.0
2017-04-27,51.21,977027.0,51.21,50.46,51.34,50.76,11035.0
2017-04-28,50.84,1233200.0,50.84,50.51,51.32,51.23,11459.0
2017-05-01,51.83,1746254.0,51.83,50.9,51.96,51.06,15883.0
2017-05-02,51.24,1993306.0,51.24,51.14,52.3765,51.74,19281.0
2017-05-03,50.68,2167034.0,50.68,48.83,50.89,49.88,20002.0
2017-05-04,51.42,1940689.0,51.42,49.78,51.48,50.19,19002.0
2017-05-05,52.49,1574300.0,52.49,51.11,52.51,51.56,13429.0
2017-05-08,51.96,871626.0,51.96,51.66,52.86,52.66,8766.0
2017-05-09,52.01,919974.0,52.01,51.42,52.18,52.01,8497.0
2017-05-10,52.62,1148548.0,52.62,52.05,52.66,52.05,8313.0
2017-05-11,52.36,545061.0,52.36,51.97,52.5366,52.44,6072.0
2017-05-12,52.15,579405.0,52.15,52.01,52.42,52.3,5541.0
2017-05-15,52.39,808982.0,52.39,52.0,52.505,52.22,8054.0
2017-05-16,52.6,1006396.0,52.6,52.25,52.76,52.34,9047.0
2017-05-17,51.1,1366905.0,51.1,51.0,52.49,52.27,12382.0
2017-05-18,51.0,1016622.0,51.0,50.54,51.74,51.0,9845.0
2017-05-19,51.22,696714.0,51.22,51.04,51.755,51.3,6780.0
2017-05-22,52.03,624161.0,52.03,51.3213,52.2202,51.41,7065.0
2017-05-23,51.68,684747.0,51.68,51.43,52.22,52.22,7346.0
2017-05-24,51.49,619632.0,51.49,51.44,52.28,51.75,6320.0
2017-05-25,52.08,481450.0,52.08,51.54,52.14,51.72,6164.0
2017-05-26,52.4,742447.0,52.4,52.2,52.7,52.42,7128.0
2017-05-30,52.11,673000.0,52.11,51.97,52.57,52.31,7156.0
2017-05-31,52.04,1313765.0,52.04,51.54,52.63,52.21,9721.0
2017-06-01,52.74,669212.0,52.74,52.08,52.8279,52.27,6383.0
2017-06-02,52.95,608108.0,52.95,52.49,53.2999,52.82,6389.0
2017-06-05,53.58,1268639.0,53.58,52.89,54.03,52.92,11726.0
2017-06-06,52.84,1000402.0,52.84,52.81,53.87,53.61,9452.0
2017-06-07,51.9,787693.0,51.9,51.79,52.905,52.85,8075.0
2017-06-08,51.89,756348.0,51.89,51.5,52.0,52.0,8609.0
2017-06-09,51.89,989629.0,51.89,51.57,52.005,51.95,9616.0
2017-06-12,51.91,756606.0,51.91,51.52,52.04,51.99,7190.0
2017-06-13,51.61,526002.0,51.61,51.5,52.185,51.94,5503.0
2017-06-14,51.72,1835506.0,51.72,51.33,51.85,51.81,10977.0
2017-06-15,51.7,901714.0,51.7,50.76,51.84,50.76,8975.0
2017-06-16,51.34,950266.0,51.34,51.2189,51.87,51.32,6397.0
2017-06-19,51.79,751098.0,51.79,51.39,51.88,51.49,7600.0
2017-06-20,51.36,817005.0,51.36,50.97,51.9,51.61,8157.0
2017-06-21,51.17,521466.0,51.17,51.0,51.62,51.52,6692.0
2017-06-22,51.39,571301.0,51.39,50.9999,51.66,51.3,5674.0
2017-06-23,51.28,1158393.0,51.28,51.22,51.77,51.69,6900.0
2017-06-26,51.3,845756.0,51.3,51.17,51.71,51.39,7584.0
2017-06-27,50.57,735035.0,50.57,50.51,51.41,51.37,7252.0
2017-06-28,50.95,906872.0,50.95,50.77,51.28,50.78,8940.0
2017-06-29,50.94,950115.0,50.94,50.49,51.47,51.02,8298.0
2017-06-30,51.03,852581.0,51.03,50.67,51.25,50.81,8372.0
2017-07-03,51.82,721219.0,51.82,51.16,51.87,51.25,6400.0
2017-07-05,52.07,1345219.0,52.07,51.59,52.21,51.79,11495.0
2017-07-06,50.98,1132568.0,50.98,50.95,51.98,51.85,9980.0
2017-07-07,51.17,931190.0,51.17,50.98,51.38,51.24,9267.0
2017-07-10,50.26,3086739.0,50.26,50.24,51.39,50.98,14280.0
2017-07-11,50.3,1223035.0,50.3,49.99,50.59,50.4,8190.0
2017-07-12,50.3,2249061.0,50.3,49.81,50.81,50.51,16657.0
2017-07-13,50.24,1330349.0,50.24,49.9,50.57,50.25,12711.0
2017-07-14,50.3,867881.0,50.3,50.11,50.49,50.47,8376.0
2017-07-17,50.6,806399.0,50.6,50.385,50.86,50.55,7615.0
2017-07-18,50.21,1288532.0,50.21,50.0,50.66,50.41,9551.0
2017-07-19,51.66,2027064.0,51.66,50.74,51.69,51.05,18198.0
2017-07-20,51.33,954990.0,51.33,51.14,51.79,51.79,9417.0
2017-07-21,51.59,713600.0,51.59,51.26,51.74,51.27,6323.0
2017-07-24,51.68,774128.0,51.68,51.27,51.94,51.44,7716.0
2017-07-25,52.56,1557496.0,52.56,51.51,52.71,51.65,13296.0
2017-07-26,52.25,749952.0,52.25,52.06,52.72,52.72,7642.0
2017-07-27,51.88,1061337.0,51.88,51.37,52.23,52.23,10852.0
2017-07-28,51.32,773323.0,51.32,51.25,52.04,51.88,8345.0
2017-07-31,50.19,1401994.0,50.19,50.16,51.54,51.5,12653.0
2017-08-01,49.99,1606303.0,49.99,49.8,50.78,50.49,13819.0
2017-08-02,52.22,3343113.0,52.22,50.95,52.77,51.07,28274.0
2017-08-03,51.82,1426152.0,51.82,51.74,52.42,52.09,14267.0
2017-08-04,51.88,1104238.0,51.88,51.52,52.07,51.91,10291.0
2017-08-07,52.1,986658.0,52.1,51.03,52.19,51.03,9256.0
2017-08-08,51.76,1030657.0,51.76,51.62,52.22,52.13,10836.0
2017-08-09,52.28,1453402.0,52.28,51.63,52.35,51.65,13167.0
2017-08-10,51.29,1583637.0,51.29,51.13,52.42,52.02,15418.0
2017-08-11,51.21,918377.0,51.21,50.91,51.78,51.63,10135.0
2017-08-14,51.8,651250.0,51.8,51.26,52.03,51.47,6658.0
2017-08-15,51.4,733815.0,51.4,51.38,51.97,51.77,7658.0
2017-08-16,51.88,689311.0,51.88,51.38,52.15,51.63,7475.0
2017-08-17,51.2,621529.0,51.2,51.18,52.04,51.82,6552.0
2017-08-18,51.17,717034.0,51.17,50.89,51.36,51.23,7153.0
2017-08-21,50.98,770194.0,50.98,50.855,51.34,51.1,7925.0
2017-08-22,51.7,917505.0,51.7,50.96,51.74,51.15,7882.0
2017-08-23,52.04,1512254.0,52.04,51.48,52.57,51.56,13692.0
2017-08-24,52.18,1297821.0,52.18,51.93,52.728,52.07,12381.0
2017-08-25,52.53,627709.0,52.53,52.32,52.8,52.41,6362.0
2017-08-28,52.05,654662.0,52.05,51.93,52.8,52.58,7686.0
2017-08-29,51.49,870113.0,51.49,51.34,51.95,51.74,9138.0
2017-08-30,51.73,743241.0,51.73,51.28,51.85,51.39,7604.0
2017-08-31,51.5,957043.0,51.5,51.29,52.0,51.83,8223.0
2017-09-01,51.82,796270.0,51.82,51.58,52.16,51.71,7752.0
2017-09-05,51.46,937583.0,51.46,50.98,51.97,51.69,9220.0
2017-09-06,52.11,1030142.0,52.11,51.34,52.26,51.6,8918.0
2017-09-07,51.96,677296.0,51.96,51.76,52.33,52.23,6373.0
