YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,13.32,10926162.0,13.32,13.215,13.525,13.46,40450.0
2017-01-04,13.48,12001891.0,13.48,13.32,13.55,13.32,39572.0
2017-01-05,13.26,12436094.0,13.26,13.16,13.58,13.44,43037.0
2017-01-06,13.29,12037329.0,13.29,13.22,13.48,13.36,35167.0
2017-01-09,13.32,18797387.0,13.32,13.12,13.38,13.21,46292.0
2017-01-10,13.33,13107377.0,13.33,13.29,13.46,13.35,38982.0
2017-01-11,13.44,11257996.0,13.44,13.245,13.54,13.33,41667.0
2017-01-12,13.32,8551921.0,13.32,13.14,13.44,13.31,33852.0
2017-01-13,13.47,10808556.0,13.47,13.365,13.67,13.39,35410.0
2017-01-17,12.95,12562496.0,12.95,12.93,13.36,13.34,39565.0
2017-01-18,13.15,12260043.0,13.15,12.86,13.16,13.01,40009.0
2017-01-19,13.01,10144540.0,13.01,12.95,13.29,13.21,35220.0
2017-01-20,13.12,7818084.0,13.12,13.01,13.24,13.07,25435.0
2017-01-23,13.06,10099155.0,13.06,12.955,13.18,13.08,33057.0
2017-01-24,13.25,14195652.0,13.25,13.05,13.3,13.11,43199.0
2017-01-25,14.02,18265922.0,14.02,13.45,14.04,13.6,55212.0
2017-01-26,14.01,16825758.0,14.01,13.965,14.17,14.11,50810.0
2017-01-27,13.78,10164457.0,13.78,13.685,14.01,13.98,34981.0
2017-01-30,13.62,8551920.0,13.62,13.385,13.7,13.69,28525.0
2017-01-31,13.53,11979963.0,13.53,13.38,13.68,13.52,37675.0
2017-02-01,13.5,9740112.0,13.5,13.45,13.89,13.7,39822.0
2017-02-02,13.24,12209500.0,13.24,13.16,13.435,13.38,35554.0
2017-02-03,13.61,16564666.0,13.61,13.32,13.67,13.41,51106.0
2017-02-06,13.53,7300779.0,13.53,13.4,13.62,13.47,22697.0
2017-02-07,13.48,13113033.0,13.48,13.41,13.59,13.57,36321.0
