YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,134.31,5300410.0,134.31,133.589,135.51,135.1,
2017-01-04,135.5,4055284.0,135.5,134.21,135.94,134.34,
2017-01-05,133.9,3821073.0,133.9,133.7801,135.46,134.98,
2017-01-06,133.53,3827482.0,133.53,133.05,134.33,133.97,
2017-01-09,134.31,4310227.0,134.31,133.14,134.76,133.22,
2017-01-10,136.1,5928339.0,136.1,133.77,136.38,134.0,
2017-01-11,135.7,4643728.0,135.7,134.74,136.385,136.1,
2017-01-12,135.07,3600181.0,135.07,133.94,135.53,135.51,
2017-01-13,135.04,3117703.0,135.04,134.76,135.75,134.92,
2017-01-17,135.93,3976936.0,135.93,134.76,136.48,135.09,
2017-01-18,136.16,3869678.0,136.16,134.92,136.295,135.9,
2017-01-19,135.39,5078666.0,135.39,134.93,136.78,136.0,
2017-01-20,135.6,4853902.0,135.6,134.6,136.0,135.26,
2017-01-23,138.07,7056159.0,138.07,135.0,138.27,135.31,
2017-01-24,138.06,4055080.0,138.06,137.3,138.38,137.88,
2017-01-25,137.48,3631714.0,137.48,137.43,139.37,138.45,
2017-01-26,138.46,2931605.0,138.46,137.71,139.18,138.01,
2017-01-27,138.33,3149464.0,138.33,137.7,138.83,138.8,
2017-01-30,138.47,2705039.0,138.47,136.86,138.49,137.99,
2017-01-31,137.58,3227039.0,137.58,136.85,138.615,137.63,
2017-02-01,137.44,2968801.0,137.44,136.53,137.96,137.66,
2017-02-02,136.95,2197649.0,136.95,136.56,137.55,137.47,
2017-02-03,137.98,2654729.0,137.98,136.97,138.47,137.26,
2017-02-06,136.49,3864067.0,136.49,136.45,137.9,137.43,
2017-02-07,136.65,3242017.0,136.65,136.33,137.7,137.16,
2017-02-08,137.88,2882742.0,137.88,136.82,137.91,136.89,
2017-02-09,138.71,2931873.0,138.71,137.41,139.15,137.78,
2017-02-10,139.85,3296963.0,139.85,138.245,140.57,138.6,
2017-02-13,139.87,2753068.0,139.87,139.05,140.65,140.48,
2017-02-14,141.36,4775802.0,141.36,139.34,141.365,139.95,
2017-02-15,142.19,4343541.0,142.19,140.95,142.66,141.27,
2017-02-16,141.54,4295811.0,141.54,140.9,142.985,142.39,
2017-02-17,143.0,5108352.0,143.0,141.0,143.12,141.36,
2017-02-21,145.02,9275897.0,145.02,143.25,145.65,145.6,
2017-02-22,145.25,5037762.0,145.25,143.97,145.47,145.05,
2017-02-23,144.71,4184046.0,144.71,144.51,146.33,146.11,
2017-02-24,145.95,3516923.0,145.95,144.65,146.0799,144.65,
2017-02-27,145.3,4388414.0,145.3,144.8,146.01,145.87,
2017-02-28,144.91,4211949.0,144.91,144.465,145.63,144.98,
2017-03-01,146.68,6213540.0,146.68,145.891,147.6999,146.72,
2017-03-02,147.95,4053412.0,147.95,146.3886,148.23,147.08,
2017-03-03,147.81,3413398.0,147.81,146.82,148.26,148.12,
2017-03-06,147.13,3998026.0,147.13,146.58,147.51,147.13,
2017-03-07,146.02,3996289.0,146.02,145.83,146.95,146.33,
2017-03-08,146.92,3614479.0,146.92,145.92,147.12,146.22,
2017-03-09,146.62,3594694.0,146.62,146.53,147.16,147.08,
2017-03-10,146.85,3123243.0,146.85,146.45,147.46,147.24,
2017-03-13,147.43,2933276.0,147.43,146.5,147.67,147.33,
2017-03-14,147.16,3272706.0,147.16,146.46,147.59,147.27,
2017-03-15,147.95,3670513.0,147.95,146.76,148.38,147.35,
2017-03-16,148.73,3544464.0,148.73,148.01,149.19,148.4,
2017-03-17,149.6,9001961.0,149.6,148.13,149.99,149.4,
2017-03-20,147.8,5906058.0,147.8,147.7,149.59,149.38,
2017-03-21,146.61,4530019.0,146.61,146.26,148.7,148.33,
2017-03-22,147.36,3169038.0,147.36,146.06,147.93,146.73,
2017-03-23,147.99,3219352.0,147.99,147.03,148.41,147.28,
2017-03-24,147.71,4735361.0,147.71,147.01,150.15,147.85,
2017-03-27,146.87,2943006.0,146.87,146.26,147.68,147.07,
2017-03-28,147.2,4635629.0,147.2,145.94,147.35,147.29,
2017-03-29,147.04,3729973.0,147.04,145.96,147.42,146.37,
2017-03-30,146.95,2450781.0,146.95,146.43,147.38,146.72,
2017-03-31,146.83,3248666.0,146.83,146.65,147.18,146.87,
2017-04-03,146.62,3775283.0,146.62,146.09,147.2005,146.94,
2017-04-04,146.34,3124200.0,146.34,146.05,146.9,146.5,
2017-04-05,146.64,3390363.0,146.64,146.58,148.44,146.63,
2017-04-06,147.24,2699679.0,147.24,147.0,147.96,147.04,
2017-04-07,147.13,2869120.0,147.13,146.9,147.8,147.1,
2017-04-10,148.21,5044458.0,148.21,146.75,148.995,146.96,
2017-04-11,148.2,2844794.0,148.2,147.1,148.65,147.91,
2017-04-12,146.54,4445599.0,146.54,146.367,147.57,147.42,
2017-04-13,145.91,2346886.0,145.91,145.87,147.01,146.42,
2017-04-17,147.31,3467650.0,147.31,145.76,147.31,145.9,
2017-04-18,147.76,2969413.0,147.76,146.77,148.18,147.06,
2017-04-19,147.22,3460975.0,147.22,147.02,148.4,147.93,
2017-04-20,148.72,3700495.0,148.72,147.44,149.05,147.66,
2017-04-21,150.0,5019927.0,150.0,148.4,150.146,148.49,
2017-04-24,151.89,5077174.0,151.89,150.85,152.0601,151.08,
2017-04-25,153.03,5496453.0,153.03,152.79,154.65,152.79,
2017-04-26,154.22,5120177.0,154.22,152.4,154.8076,153.11,
2017-04-27,156.12,5881432.0,156.12,153.89,156.27,154.69,
2017-04-28,156.1,4983041.0,156.1,154.102,156.25,156.01,
2017-05-01,154.21,3152949.0,154.21,154.21,156.27,156.22,
2017-05-02,154.95,3295105.0,154.95,153.76,155.16,154.49,
2017-05-03,155.0,2445489.0,155.0,154.59,155.39,155.16,
2017-05-04,154.86,3793067.0,154.86,154.26,155.64,155.46,
2017-05-05,155.73,2500636.0,155.73,154.09,155.75,155.34,
2017-05-08,156.89,3184576.0,156.89,155.49,157.16,155.85,
2017-05-09,157.68,3004377.0,157.68,156.29,157.74,157.04,
2017-05-10,158.13,2617601.0,158.13,157.3,158.15,157.52,
2017-05-11,156.2,3929068.0,156.2,155.33,157.7,157.35,
2017-05-12,156.92,2926365.0,156.92,155.75,157.2,156.39,
2017-05-15,157.33,6068872.0,157.33,156.66,157.84,157.28,
2017-05-16,158.26,10120878.0,158.26,158.05,160.86,160.11,
2017-05-17,156.09,5936974.0,156.09,155.89,157.3,157.08,
2017-05-18,155.7,4858557.0,155.7,155.24,156.665,155.48,
2017-05-19,156.3,4781806.0,156.3,155.32,156.74,156.04,
2017-05-22,155.96,3802060.0,155.96,155.8,157.0,156.49,
2017-05-23,154.83,4640854.0,154.83,154.68,156.43,155.91,
2017-05-24,155.0,4593198.0,155.0,153.29,155.43,154.7,
2017-05-25,156.46,3110806.0,156.46,155.35,156.69,156.2,
2017-05-26,154.9,4284660.0,154.9,154.64,156.42,156.1,
2017-05-30,153.88,3504291.0,153.88,153.52,154.56,154.0,
2017-05-31,153.51,7158383.0,153.51,153.28,154.38,154.36,
2017-06-01,155.15,3385133.0,155.15,152.74,155.16,153.52,
2017-06-02,155.35,3485582.0,155.35,154.42,155.86,154.79,
2017-06-05,154.79,2651789.0,154.79,154.23,155.62,155.53,
2017-06-06,154.2,3260265.0,154.2,153.65,154.66,154.44,
2017-06-07,154.96,3158964.0,154.96,154.35,155.3,154.69,
2017-06-08,153.5,4041556.0,153.5,153.3801,155.2335,155.16,
2017-06-09,152.96,4705349.0,152.96,152.78,154.0,154.0,
2017-06-12,152.18,4473919.0,152.18,151.73,153.3,152.8,
2017-06-13,153.99,3753767.0,153.99,152.06,154.04,152.31,
2017-06-14,156.76,5999411.0,156.76,153.96,157.28,154.5,
2017-06-15,156.77,3972260.0,156.77,154.92,157.27,156.13,
2017-06-16,156.64,9105408.0,156.64,155.41,156.69,156.25,
2017-06-19,158.81,5196140.0,158.81,156.39,159.03,156.91,
2017-06-20,157.67,4201226.0,157.67,157.6,159.2242,158.73,
2017-06-21,156.59,4071298.0,156.59,156.43,158.53,157.91,
2017-06-22,155.48,3347363.0,155.48,155.47,157.07,156.44,
2017-06-23,151.31,11422231.0,151.31,150.91,155.23,155.16,
2017-06-26,151.42,4128535.0,151.42,151.13,151.97,151.67,
2017-06-27,152.24,4567125.0,152.24,150.75,153.25,151.06,
2017-06-28,153.23,5087003.0,153.23,152.36,153.45,152.75,
2017-06-29,152.16,2855395.0,152.16,151.52,153.0,152.77,
2017-06-30,153.4,3640851.0,153.4,152.27,154.0,152.51,
2017-07-03,154.01,1658535.0,154.01,153.71,154.79,154.39,
2017-07-05,152.69,4432537.0,152.69,151.46,154.295,154.01,
2017-07-06,152.05,3408538.0,152.05,151.22,152.48,151.77,
2017-07-07,152.23,3775383.0,152.23,151.9,152.87,152.04,
2017-07-10,151.18,5081101.0,151.18,151.0,152.26,152.22,
2017-07-11,150.6,5642013.0,150.6,150.5,151.81,151.45,
2017-07-12,152.59,4275878.0,152.59,151.09,153.14,151.46,
2017-07-13,153.29,3287961.0,153.29,152.6,154.13,152.82,
2017-07-14,152.88,3588437.0,152.88,151.82,153.67,153.22,
2017-07-17,153.89,4166618.0,153.89,152.72,154.5,152.9,
2017-07-18,152.17,3783567.0,152.17,151.98,153.86,153.75,
2017-07-19,153.3,2808385.0,153.3,152.55,154.0,152.55,
2017-07-20,147.03,18264081.0,147.03,145.61,152.57,152.56,
2017-07-21,146.65,9120167.0,146.65,146.13,147.46,147.03,
2017-07-24,144.58,7295913.0,144.58,144.25,146.69,146.61,
2017-07-25,146.97,5002381.0,146.97,145.28,147.4,145.74,
2017-07-26,146.69,2835975.0,146.69,145.96,147.245,146.86,
2017-07-27,147.73,5399029.0,147.73,145.89,147.86,146.18,
2017-07-28,148.08,3421081.0,148.08,147.32,148.27,147.9,
2017-07-31,149.6,5253318.0,149.6,147.54,149.98,148.0,
2017-08-01,149.85,4110605.0,149.85,148.95,150.39,150.24,
2017-08-02,150.5,3754192.0,150.5,149.92,150.86,149.94,
2017-08-03,150.79,5146565.0,150.79,150.5,152.03,150.7,
2017-08-04,152.75,3258581.0,152.75,150.8,152.75,151.01,
2017-08-07,153.35,3833620.0,153.35,152.47,154.47,152.83,
2017-08-08,153.35,3218945.0,153.35,153.08,154.2,153.32,
2017-08-09,155.26,3844857.0,155.26,153.32,155.57,153.35,
2017-08-10,153.88,4433653.0,153.88,153.88,155.98,155.19,
