YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,62.82,4531840.0,62.82,62.15,64.4,63.38,
2017-01-04,61.93,5007057.0,61.93,60.88,63.05,62.84,
2017-01-05,62.1,3797030.0,62.1,60.94,62.47,62.11,
2017-01-06,61.9,1978887.0,61.9,61.7,62.4,62.21,
2017-01-09,60.61,2492445.0,60.61,60.57,61.579,61.33,
2017-01-10,61.45,2243512.0,61.45,60.5,62.0,60.82,
2017-01-11,61.84,2089425.0,61.84,60.79,62.24,61.75,
2017-01-12,58.85,16844931.0,58.85,56.65,59.99,59.86,
2017-01-13,58.89,13255552.0,58.89,58.25,59.8699,58.4,
2017-01-17,59.3,5683183.0,59.3,58.4063,60.13,59.27,
2017-01-18,58.83,2618448.0,58.83,58.39,59.42,58.69,
2017-01-19,57.72,3172823.0,57.72,57.65,58.97,58.5,
2017-01-20,57.98,3215498.0,57.98,57.54,59.08,58.71,
2017-01-23,57.15,3033548.0,57.15,56.6903,57.96,57.47,
2017-01-24,57.52,4016081.0,57.52,56.65,58.035,57.72,
2017-01-25,56.46,6204853.0,56.46,56.215,58.5,57.05,
2017-01-26,56.17,3905147.0,56.17,55.741,57.04,56.38,
2017-01-27,54.87,3970476.0,54.87,54.51,55.96,55.83,
2017-01-30,53.94,5820223.0,53.94,53.0,54.83,54.72,
2017-01-31,54.18,4163412.0,54.18,53.13,54.21,53.9,
2017-02-01,53.51,3991586.0,53.51,53.036,54.96,54.63,
2017-02-02,53.96,3166562.0,53.96,52.9435,54.285,53.7,
2017-02-03,54.31,3461747.0,54.31,53.62,54.76,54.0,
2017-02-06,53.16,3322185.0,53.16,52.655,54.48,54.39,
2017-02-07,51.51,4966698.0,51.51,51.07,52.64,52.63,
2017-02-08,51.54,4908838.0,51.54,50.43,52.39,51.03,
2017-02-09,52.32,2532850.0,52.32,51.82,52.57,52.12,
2017-02-10,52.51,2997965.0,52.51,52.2,53.53,53.08,
2017-02-13,51.88,3600888.0,51.88,51.72,52.29,52.17,
2017-02-14,52.0,2847572.0,52.0,51.4,52.25,52.12,
2017-02-15,51.05,2979655.0,51.05,51.02,52.13,51.9,
2017-02-16,51.3,4127980.0,51.3,50.86,51.62,51.4,
2017-02-17,51.75,3355004.0,51.75,50.8,51.86,50.99,
2017-02-21,52.82,4058118.0,52.82,52.47,53.42,52.56,
2017-02-22,51.56,2940788.0,51.56,51.53,52.61,52.27,
2017-02-23,52.52,5019202.0,52.52,51.89,53.34,52.57,
2017-02-24,52.49,3092676.0,52.49,51.6801,53.12,51.84,
2017-02-27,52.69,4058614.0,52.69,52.24,52.98,52.77,
2017-02-28,51.44,4384431.0,51.44,51.31,52.31,52.29,
2017-03-01,51.66,5234202.0,51.66,51.28,52.3,51.9,
2017-03-02,51.76,3664109.0,51.76,51.23,52.2,51.25,
2017-03-03,51.03,2894253.0,51.03,50.9,52.02,51.85,
2017-03-06,51.03,2413574.0,51.03,50.465,51.19,51.12,
2017-03-07,49.51,3781217.0,49.51,49.25,51.26,51.15,
2017-03-08,47.87,3786794.0,47.87,47.78,49.69,49.17,
2017-03-09,48.38,4181640.0,48.38,46.83,48.55,47.91,
2017-03-10,47.42,3426622.0,47.42,47.065,48.95,48.84,
2017-03-13,47.79,6241174.0,47.79,47.11,47.92,47.11,
2017-03-14,47.17,3517303.0,47.17,46.15,47.31,47.13,
2017-03-15,49.15,3989051.0,49.15,47.36,49.31,47.71,
2017-03-16,48.59,2473875.0,48.59,48.21,49.24,49.16,
2017-03-17,48.26,3236267.0,48.26,48.08,48.935,48.71,
2017-03-20,48.3,3233391.0,48.3,47.48,48.44,47.84,
2017-03-21,47.67,3033557.0,47.67,47.27,48.6219,48.53,
2017-03-22,46.84,2768637.0,46.84,46.64,47.46,47.46,
2017-03-23,46.54,2565028.0,46.54,46.45,47.1,46.69,
2017-03-24,46.1,2625642.0,46.1,45.8864,47.13,46.69,
2017-03-27,45.79,3251148.0,45.79,45.12,45.89,45.5,
2017-03-28,47.45,4137099.0,47.45,45.83,47.58,46.0,
2017-03-29,49.76,5019634.0,49.76,47.37,49.93,47.44,
2017-03-30,48.98,7162888.0,48.98,48.75,50.47,50.0,
2017-03-31,48.21,5024911.0,48.21,47.94,49.31,48.82,
2017-04-03,46.97,4992636.0,46.97,46.58,48.53,48.37,
2017-04-04,47.64,6301082.0,47.64,46.505,47.705,47.11,
2017-04-05,47.21,5831898.0,47.21,47.1,48.59,48.24,
2017-04-06,48.24,3643384.0,48.24,47.5,48.28,47.65,
2017-04-07,48.05,2166377.0,48.05,47.98,48.77,48.35,
2017-04-10,49.97,4228500.0,49.97,48.55,50.295,48.56,
2017-04-11,51.11,6046439.0,51.11,49.79,51.17,50.52,
2017-04-12,50.57,6390378.0,50.57,50.31,52.1,51.0,
2017-04-13,49.44,3488476.0,49.44,49.16,50.79,50.41,
2017-04-17,49.41,3423030.0,49.41,48.92,49.57,49.42,
2017-04-18,48.19,3579251.0,48.19,47.95,49.19,48.94,
2017-04-19,46.7,4017702.0,46.7,46.56,48.5199,48.26,
2017-04-20,46.89,3340016.0,46.89,46.35,47.39,46.89,
2017-04-21,47.31,3320397.0,47.31,46.6,47.59,46.6,
2017-04-24,47.66,3794908.0,47.66,47.16,48.0,47.96,
2017-04-25,48.64,5373985.0,48.64,47.37,48.8,47.84,
2017-04-26,49.51,8575453.0,49.51,49.28,52.0,51.1,
2017-04-27,49.76,5811004.0,49.76,47.99,49.91,49.05,
2017-04-28,48.83,2883112.0,48.83,48.77,50.35,50.26,
2017-05-01,47.97,3417836.0,47.97,47.8075,48.8,48.64,
2017-05-02,47.01,3315386.0,47.01,46.75,48.32,48.22,
2017-05-03,46.87,3543080.0,46.87,46.55,47.4,46.81,
2017-05-04,45.84,5048499.0,45.84,45.29,46.39,46.39,
2017-05-05,47.42,4354114.0,47.42,46.1842,47.48,46.45,
2017-05-08,48.43,4022429.0,48.43,47.21,48.49,47.44,
2017-05-09,47.83,3166804.0,47.83,47.68,48.5,48.43,
2017-05-10,49.23,4232025.0,49.23,48.06,49.55,48.18,
2017-05-11,49.66,4992245.0,49.66,49.2,49.92,49.36,
