YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,47.75,4256941.0,47.75,47.62,48.53,48.35,
2017-01-04,48.55,2988445.0,48.55,47.94,48.71,47.94,
2017-01-05,48.35,1613356.0,48.35,48.06,48.73,48.39,
2017-01-06,48.45,2930216.0,48.45,47.47,48.72,47.7,
2017-01-09,48.07,1859772.0,48.07,48.07,48.53,48.27,
2017-01-10,48.43,2486702.0,48.43,48.03,48.76,48.19,
2017-01-11,48.51,2377901.0,48.51,48.19,48.85,48.36,
2017-01-12,48.23,1882079.0,48.23,47.615,48.3,48.18,
2017-01-13,48.33,1734339.0,48.33,48.285,48.91,48.46,
2017-01-17,48.54,2751576.0,48.54,47.61,48.655,47.91,
2017-01-18,49.4,4826190.0,49.4,48.08,49.68,48.76,
2017-01-19,48.24,3474032.0,48.24,48.06,49.46,49.44,
2017-01-20,48.31,2707504.0,48.31,48.12,48.72,48.39,
2017-01-23,47.7,2369544.0,47.7,47.535,48.405,48.24,
2017-01-24,47.9,2141863.0,47.9,47.8,48.21,47.9,
2017-01-25,48.35,3711258.0,48.35,47.97,48.52,48.29,
2017-01-26,48.57,2573846.0,48.57,48.29,48.715,48.49,
2017-01-27,48.93,2015118.0,48.93,48.2801,49.01,48.67,
2017-01-30,48.96,3207711.0,48.96,48.4,48.965,48.48,
2017-01-31,48.71,2427177.0,48.71,48.43,49.02,48.74,
2017-02-01,48.44,2560047.0,48.44,48.26,49.1,48.98,
2017-02-02,47.97,3137416.0,47.97,47.81,48.485,48.32,
2017-02-03,47.33,6982156.0,47.33,46.79,48.43,48.0,
2017-02-06,47.55,2457644.0,47.55,47.1604,47.66,47.27,
2017-02-07,47.35,2274250.0,47.35,47.28,47.94,47.82,
2017-02-08,47.05,1648664.0,47.05,46.99,47.255,47.16,
2017-02-09,47.54,2619140.0,47.54,47.045,47.5701,47.17,
2017-02-10,47.86,1985686.0,47.86,47.45,47.87,47.66,
2017-02-13,48.05,2967455.0,48.05,47.9001,48.43,48.08,
2017-02-14,48.5,2540934.0,48.5,47.93,48.57,48.11,
2017-02-15,48.6,3058405.0,48.6,48.15,48.69,48.51,
2017-02-16,48.6,3004025.0,48.6,48.33,48.82,48.52,
2017-02-17,48.36,3492766.0,48.36,48.105,48.63,48.45,
2017-02-21,48.93,2598241.0,48.93,48.38,48.98,48.4,
2017-02-22,48.69,2696064.0,48.69,48.44,48.85,48.77,
2017-02-23,48.79,1993142.0,48.79,48.36,48.91,48.81,
2017-02-24,48.62,1155799.0,48.62,48.35,48.76,48.44,
