YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,189.05,378636.0,189.05,184.805,189.17,185.0,
2017-01-04,191.87,598494.0,191.87,189.35,191.96,190.0,
2017-01-05,195.61,850744.0,195.61,191.186,197.28,192.11,
2017-01-06,193.55,480784.0,193.55,192.28,196.1,196.0,
2017-01-09,190.45,401808.0,190.45,190.28,194.16,193.9,
2017-01-10,191.3,446659.0,191.3,189.84,193.3425,191.25,
2017-01-11,190.34,400032.0,190.34,188.49,191.91,191.39,
2017-01-12,191.07,547405.0,191.07,190.54,194.6699,193.77,
2017-01-13,191.58,343873.0,191.58,191.47,193.94,192.19,
2017-01-17,189.61,340458.0,189.61,188.265,192.0,192.0,
2017-01-18,190.94,289189.0,190.94,188.9,191.58,189.75,
2017-01-19,194.82,439078.0,194.82,192.0,195.1599,192.44,
2017-01-20,195.71,480912.0,195.71,194.63,196.29,195.69,
2017-01-23,193.54,392933.0,193.54,192.58,196.71,196.25,
2017-01-24,194.76,324629.0,194.76,192.1,195.375,193.06,
2017-01-25,192.72,381169.0,192.72,192.35,195.66,195.41,
2017-01-26,194.3,289439.0,194.3,190.75,194.3299,192.78,
2017-01-27,191.53,429194.0,191.53,191.34,195.24,193.93,
2017-01-30,192.61,228370.0,192.61,189.39,192.67,192.15,
2017-01-31,193.96,264477.0,193.96,189.73,194.21,192.71,
2017-02-01,192.79,409328.0,192.79,189.81,194.99,194.97,
2017-02-02,194.75,341608.0,194.75,190.78,194.84,192.34,
2017-02-03,199.28,305863.0,199.28,194.92,199.4299,195.3,
2017-02-06,199.45,331753.0,199.45,199.0,200.765,199.91,
2017-02-07,199.01,311901.0,199.01,198.49,201.1,200.26,
2017-02-08,198.64,260852.0,198.64,197.99,199.57,198.96,
2017-02-09,198.87,387770.0,198.87,198.57,200.21,198.81,
2017-02-10,200.35,352630.0,200.35,198.9,200.75,199.26,
2017-02-13,201.19,414525.0,201.19,200.01,201.6,200.87,
2017-02-14,202.59,411172.0,202.59,199.3,203.63,200.32,
2017-02-15,205.7,517324.0,205.7,202.0,206.82,203.44,
2017-02-16,209.94,691166.0,209.94,204.2724,211.79,208.95,
2017-02-17,211.91,548086.0,211.91,209.0,213.645,211.0,
2017-02-21,212.66,536060.0,212.66,210.11,213.41,211.91,
2017-02-22,215.26,328729.0,215.26,213.08,215.7,213.78,
2017-02-23,214.35,362862.0,214.35,213.3299,216.33,216.22,
2017-02-24,216.98,415365.0,216.98,213.07,217.95,214.3,
2017-02-27,218.13,404592.0,218.13,215.08,218.7247,215.97,
2017-02-28,218.5,563784.0,218.5,217.35,219.8,218.89,
2017-03-01,219.47,531775.0,219.47,217.91,220.175,218.51,
2017-03-02,218.32,479562.0,218.32,217.86,220.6799,219.0,
2017-03-03,218.82,344847.0,218.82,217.0,219.26,218.35,
2017-03-06,218.03,425271.0,218.03,216.25,218.87,218.22,
2017-03-07,217.77,528126.0,217.77,217.64,219.88,217.93,
2017-03-08,215.38,389425.0,215.38,214.97,218.45,217.73,
2017-03-09,213.7,376653.0,213.7,212.081,215.66,215.23,
2017-03-10,211.7,514460.0,211.7,209.81,213.9,213.8,
2017-03-13,213.25,264089.0,213.25,211.1301,213.36,211.69,
2017-03-14,211.49,281232.0,211.49,208.21,212.48,212.34,
2017-03-15,211.63,442664.0,211.63,209.66,212.74,212.5,
2017-03-16,210.16,266695.0,210.16,209.31,212.749,212.28,
2017-03-17,213.72,1303346.0,213.72,210.74,215.51,210.74,
2017-03-20,211.31,262692.0,211.31,210.74,214.76,213.72,
2017-03-21,207.12,424946.0,207.12,206.0,211.8682,211.5,
2017-03-22,208.86,336468.0,208.86,206.77,209.735,207.11,
2017-03-23,207.94,225960.0,207.94,207.43,209.0899,208.86,
2017-03-24,204.93,271568.0,204.93,204.22,208.6,207.52,
2017-03-27,202.08,442259.0,202.08,200.31,202.99,202.75,
2017-03-28,202.46,633018.0,202.46,200.93,203.94,201.33,
2017-03-29,202.13,345897.0,202.13,200.56,202.8557,202.46,
2017-03-30,202.39,300404.0,202.39,201.4,203.3297,201.79,
2017-03-31,200.24,371746.0,200.24,200.23,203.12,202.45,
2017-04-03,201.84,419465.0,201.84,200.0,202.445,200.08,
2017-04-04,202.06,300100.0,202.06,201.56,203.38,201.97,
2017-04-05,198.67,419853.0,198.67,198.18,203.45,202.43,
2017-04-06,200.44,516388.0,200.44,197.5,201.25,198.58,
2017-04-07,203.8,406806.0,203.8,201.0201,206.13,202.0,
2017-04-10,203.89,242870.0,203.89,203.201,205.13,204.41,
2017-04-11,205.62,262837.0,205.62,202.25,205.76,204.09,
2017-04-12,203.65,247800.0,203.65,203.2,207.76,207.76,
2017-04-13,202.97,243323.0,202.97,202.71,205.36,202.89,
2017-04-17,200.79,327430.0,200.79,200.5,203.84,203.41,
2017-04-18,199.29,365449.0,199.29,198.02,201.14,200.68,
2017-04-19,200.05,315959.0,200.05,198.425,200.68,199.82,
2017-04-20,200.05,332831.0,200.05,198.72,201.73,200.43,
2017-04-21,199.63,402534.0,199.63,199.48,201.2,200.2,
2017-04-24,203.72,310984.0,203.72,200.64,204.05,201.74,
2017-04-25,205.0,235726.0,205.0,203.08,205.59,203.5,
2017-04-26,203.08,277850.0,203.08,201.02,205.22,205.03,
2017-04-27,202.19,215186.0,202.19,201.13,204.13,203.18,
2017-04-28,200.89,290098.0,200.89,199.81,202.89,202.59,
2017-05-01,199.54,341790.0,199.54,198.0,201.86,200.85,
2017-05-02,200.66,228261.0,200.66,199.35,201.07,199.35,
2017-05-03,201.05,351312.0,201.05,199.0,201.34,200.58,
2017-05-04,188.21,1156472.0,188.21,183.61,197.37,197.37,
2017-05-05,195.5,592700.0,195.5,188.8297,197.73,189.94,
2017-05-08,195.31,382727.0,195.31,193.23,196.18,195.43,
2017-05-09,195.99,264785.0,195.99,194.59,196.69,195.21,
2017-05-10,196.47,340310.0,196.47,195.3,198.0,195.38,
2017-05-11,195.58,284488.0,195.58,194.53,196.9,196.71,
2017-05-12,194.09,281234.0,194.09,193.4,195.48,195.13,
2017-05-15,197.3,337189.0,197.3,193.06,197.83,193.47,
2017-05-16,196.27,337138.0,196.27,196.01,197.88,197.16,
2017-05-17,191.15,270712.0,191.15,190.98,195.26,195.26,
2017-05-18,190.34,532792.0,190.34,189.01,191.93,190.14,
2017-05-19,195.49,425810.0,195.49,190.75,197.0,191.3,
2017-05-22,195.93,272255.0,195.93,195.71,199.49,198.32,
2017-05-23,196.03,170158.0,196.03,193.88,196.62,196.15,
2017-05-24,195.25,191102.0,195.25,194.98,197.25,196.04,
2017-05-25,197.44,183077.0,197.44,195.4633,197.92,195.5,
2017-05-26,196.32,249523.0,196.32,196.01,198.435,196.77,
2017-05-30,194.08,245149.0,194.08,193.62,197.74,196.83,
2017-05-31,195.81,469512.0,195.81,192.71,196.31,194.24,
2017-06-01,194.29,346545.0,194.29,192.89,196.84,196.84,
2017-06-02,193.79,276432.0,193.79,193.41,195.67,194.09,
2017-06-05,191.18,310055.0,191.18,190.76,193.7,192.69,
2017-06-06,188.83,368224.0,188.83,188.77,190.955,190.19,
2017-06-07,189.88,257487.0,189.88,187.9,189.96,189.0,
