YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,23.2,8056583.0,23.2,22.98,23.47,23.19,
2017-01-04,23.45,6956529.0,23.45,23.24,23.71,23.3,
2017-01-05,23.56,11556223.0,23.56,23.33,23.58,23.45,
2017-01-06,23.1,14541596.0,23.1,22.41,23.57,23.57,
2017-01-09,22.56,14292746.0,22.56,22.51,23.1833,23.14,
2017-01-10,22.95,13491465.0,22.95,22.51,23.01,22.69,
2017-01-11,22.76,9276997.0,22.76,22.61,22.98,22.92,
2017-01-12,22.75,8273242.0,22.75,22.425,22.84,22.73,
2017-01-13,22.94,5757032.0,22.94,22.74,23.05,22.75,
2017-01-17,22.69,5902467.0,22.69,22.635,22.99,22.83,
2017-01-18,22.86,8449101.0,22.86,22.59,22.99,22.77,
2017-01-19,22.77,5798493.0,22.77,22.68,22.88,22.79,
2017-01-20,22.88,9054790.0,22.88,22.64,22.9,22.79,
2017-01-23,22.57,9075315.0,22.57,22.39,22.93,22.82,
2017-01-24,22.89,8221029.0,22.89,22.66,23.09,22.71,
2017-01-25,22.98,7295879.0,22.98,22.835,23.14,23.02,
2017-01-26,22.62,6134510.0,22.62,22.62,23.09,22.96,
2017-01-27,22.55,6810109.0,22.55,22.48,22.8,22.73,
2017-01-30,22.15,9345204.0,22.15,21.99,22.49,22.49,
2017-01-31,22.68,12485377.0,22.68,21.84,22.69,22.14,
2017-02-01,22.59,9739734.0,22.59,22.37,22.78,22.73,
2017-02-02,22.69,8296898.0,22.69,22.26,22.735,22.26,
2017-02-03,23.5,13433295.0,23.5,22.75,23.58,22.75,
2017-02-06,23.54,5493291.0,23.54,23.31,23.66,23.35,
2017-02-07,23.69,6505100.0,23.69,23.52,23.795,23.54,
2017-02-08,23.63,6084922.0,23.63,23.55,23.88,23.62,
2017-02-09,24.08,7010194.0,24.08,23.56,24.12,23.69,
2017-02-10,23.99,8311147.0,23.99,23.98,24.26,24.08,
2017-02-13,24.12,6467918.0,24.12,23.96,24.23,24.02,
2017-02-14,24.14,9756502.0,24.14,23.96,24.15,24.08,
2017-02-15,24.38,6836444.0,24.38,24.09,24.44,24.22,
2017-02-16,24.33,6849111.0,24.33,24.21,24.48,24.37,
2017-02-17,24.4,7583435.0,24.4,24.13,24.42,24.25,
2017-02-21,24.66,9465196.0,24.66,24.36,24.7,24.4,
2017-02-22,24.78,7642602.0,24.78,24.5,24.88,24.54,
2017-02-23,24.66,13305792.0,24.66,24.5,24.86,24.83,
2017-02-24,22.96,46881768.0,22.96,22.1,22.98,22.125,
2017-02-27,22.31,19012500.0,22.31,22.27,22.76,22.76,
2017-02-28,22.82,18360146.0,22.82,22.0,22.875,22.07,
2017-03-01,23.18,13272324.0,23.18,22.93,23.3,23.01,
2017-03-02,22.95,10778125.0,22.95,22.84,23.21,23.12,
2017-03-03,23.05,11568060.0,23.05,22.88,23.27,22.91,
2017-03-06,23.07,15560509.0,23.07,22.83,23.13,22.85,
2017-03-07,22.82,13897601.0,22.82,22.7,23.19,22.97,
2017-03-08,22.62,12704973.0,22.62,22.57,22.85,22.8,
2017-03-09,22.47,11029658.0,22.47,22.38,22.69,22.53,
2017-03-10,22.37,11153683.0,22.37,22.2,22.69,22.53,
2017-03-13,22.32,10088381.0,22.32,22.17,22.43,22.19,
2017-03-14,22.23,10088371.0,22.23,22.02,22.33,22.24,
2017-03-15,22.69,14013911.0,22.69,22.11,22.85,22.23,
2017-03-16,22.64,10297833.0,22.64,22.5,22.86,22.7,
2017-03-17,22.85,12379737.0,22.85,22.51,22.99,22.65,
2017-03-20,22.95,8572873.0,22.95,22.66,23.065,22.77,
2017-03-21,22.25,16223977.0,22.25,22.2,23.08,22.95,
2017-03-22,22.5,9092632.0,22.5,22.1,22.55,22.22,
2017-03-23,22.8,9762148.0,22.8,22.38,22.96,22.45,
2017-03-24,22.77,9174040.0,22.77,22.63,23.24,22.86,
2017-03-27,22.72,6688789.0,22.72,22.38,22.85,22.55,
2017-03-28,23.01,8425849.0,23.01,22.6301,23.21,22.69,
2017-03-29,23.67,17229456.0,23.67,22.905,23.93,23.0,
2017-03-30,23.62,8948331.0,23.62,23.52,23.82,23.6,
2017-03-31,23.7,14225838.0,23.7,23.43,24.0,23.43,
2017-04-03,17.57,32015556.0,17.57,17.31,18.06,18.0,
2017-04-04,17.9,19049173.0,17.9,17.35,17.91,17.4,
2017-04-05,17.9,19009037.0,17.9,17.78,18.1,17.98,
2017-04-06,18.02,12394962.0,18.02,17.91,18.13,17.98,
2017-04-07,18.28,28146637.0,18.28,17.91,18.45,17.95,
2017-04-10,18.3,22041193.0,18.3,18.24,18.51,18.34,
2017-04-11,18.18,11342890.0,18.18,18.09,18.35,18.26,
2017-04-12,18.05,13722972.0,18.05,17.94,18.34,18.33,
2017-04-13,17.99,16281369.0,17.99,17.94,18.16,18.01,
2017-04-17,18.11,7940003.0,18.11,17.98,18.13,18.02,
2017-04-18,18.13,8009906.0,18.13,17.9843,18.2,18.08,
2017-04-19,18.16,7302954.0,18.16,18.09,18.29,18.15,
2017-04-20,18.33,10243907.0,18.33,18.175,18.41,18.23,
2017-04-21,18.14,12252832.0,18.14,18.02,18.315,18.3,
2017-04-24,18.44,14046458.0,18.44,18.205,18.54,18.25,
2017-04-25,18.52,8534762.0,18.52,18.42,18.59,18.49,
2017-04-26,18.61,10930195.0,18.61,18.42,18.78,18.5,
2017-04-27,18.63,13814765.0,18.63,18.43,18.66,18.6,
2017-04-28,18.63,9281917.0,18.63,18.49,18.7,18.62,
2017-05-01,18.73,8205002.0,18.73,18.64,18.83,18.69,
2017-05-02,18.7,7843404.0,18.7,18.66,18.84,18.72,
2017-05-03,18.67,10992961.0,18.67,18.57,18.77,18.66,
2017-05-04,18.75,6562089.0,18.75,18.61,18.8,18.75,
2017-05-05,18.83,12735999.0,18.83,18.67,18.85,18.84,
2017-05-08,18.89,9104972.0,18.89,18.76,18.95,18.84,
2017-05-09,18.78,16309722.0,18.78,18.635,18.97,18.87,
2017-05-10,19.0,11368391.0,19.0,18.75,19.0,18.79,
2017-05-11,18.86,12443363.0,18.86,18.805,19.055,18.92,
2017-05-12,18.88,9614504.0,18.88,18.84,19.02,18.88,
2017-05-15,18.99,10712898.0,18.99,18.87,19.13,18.9,
2017-05-16,19.11,9511902.0,19.11,18.915,19.16,19.0,
2017-05-17,18.8,13040758.0,18.8,18.72,19.025,18.93,
2017-05-18,18.78,12433342.0,18.78,18.52,18.96,18.65,
2017-05-19,18.53,20162007.0,18.53,18.47,19.0,18.84,
2017-05-22,18.79,13527206.0,18.79,18.51,18.85,18.52,
2017-05-23,18.86,13900935.0,18.86,18.75,18.9,18.87,
2017-05-24,18.91,11794177.0,18.91,18.78,18.98,18.84,
2017-05-25,18.84,18113260.0,18.84,18.81,19.0,18.97,
2017-05-26,18.83,13436562.0,18.83,18.74,18.89,18.85,
2017-05-30,18.85,17736032.0,18.85,18.69,18.93,18.78,
2017-05-31,18.81,23884016.0,18.81,18.56,18.875,18.8,
2017-06-01,17.52,38879030.0,17.52,17.47,18.37,18.35,
2017-06-02,17.4,29938805.0,17.4,16.95,17.58,17.34,
2017-06-05,17.16,15522645.0,17.16,17.13,17.35,17.34,
2017-06-06,17.03,13823545.0,17.03,17.03,17.19,17.14,
2017-06-07,17.04,14542252.0,17.04,17.01,17.24,17.03,
2017-06-08,17.05,10702312.0,17.05,16.98,17.12,17.09,
2017-06-09,16.99,10521133.0,16.99,16.805,17.32,17.04,
2017-06-12,16.85,11555260.0,16.85,16.56,16.98,16.89,
2017-06-13,16.88,12179693.0,16.88,16.8,16.97,16.82,
2017-06-14,16.74,11392997.0,16.74,16.65,16.95,16.85,
2017-06-15,16.52,17885384.0,16.52,16.47,16.76,16.7,
2017-06-16,16.49,15010511.0,16.49,16.44,16.61,16.58,
2017-06-19,16.72,11151327.0,16.72,16.51,16.77,16.51,
2017-06-20,16.64,13479004.0,16.64,16.48,16.74,16.69,
2017-06-21,16.57,10259905.0,16.57,16.54,16.79,16.7,
2017-06-22,16.68,9427650.0,16.68,16.5,16.75,16.54,
2017-06-23,16.85,17393667.0,16.85,16.66,17.0,16.75,
2017-06-26,16.81,10884938.0,16.81,16.79,16.98,16.87,
2017-06-27,16.5,9823667.0,16.5,16.5,16.79,16.74,
2017-06-28,16.9,10117579.0,16.9,16.5,16.96,16.59,
2017-06-29,16.65,12706073.0,16.65,16.37,16.8,16.75,
2017-06-30,16.59,8780464.0,16.59,16.58,16.8,16.73,
2017-07-03,16.67,4566581.0,16.67,16.67,16.89,16.67,
2017-07-05,16.94,10803033.0,16.94,16.71,16.99,16.72,
2017-07-06,16.48,14536874.0,16.48,16.42,16.92,16.85,
2017-07-07,16.61,13217694.0,16.61,16.4,16.65,16.52,
2017-07-10,16.74,10170599.0,16.74,16.6,16.835,16.61,
2017-07-11,16.78,9123711.0,16.78,16.57,16.85,16.71,
2017-07-12,16.79,10437693.0,16.79,16.575,16.85,16.75,
2017-07-13,17.09,13738461.0,17.09,16.76,17.16,16.79,
2017-07-14,17.19,6129621.0,17.19,17.02,17.23,17.1,
2017-07-17,17.23,7731116.0,17.23,17.095,17.32,17.19,
2017-07-18,17.15,10506432.0,17.15,17.05,17.25,17.2,
2017-07-19,17.67,13419835.0,17.67,17.25,17.71,17.25,
2017-07-20,17.9,14631164.0,17.9,17.65,17.93,17.67,
2017-07-21,18.01,11826010.0,18.01,17.77,18.03,17.86,
2017-07-24,17.84,10919482.0,17.84,17.79,18.1,17.98,
2017-07-25,17.88,7702155.0,17.88,17.74,18.01,17.84,
2017-07-26,17.61,7976202.0,17.61,17.55,17.96,17.9,
2017-07-27,17.55,10228387.0,17.55,17.395,17.7,17.7,
2017-07-28,17.51,9136957.0,17.51,17.29,17.55,17.5,
2017-07-31,17.51,8762126.0,17.51,17.5,17.745,17.6,
2017-08-01,17.55,7714003.0,17.55,17.445,17.6,17.55,
2017-08-02,17.35,7968737.0,17.35,17.27,17.64,17.59,
2017-08-03,17.29,6660133.0,17.29,17.16,17.36,17.34,
2017-08-04,17.51,6302497.0,17.51,17.29,17.57,17.29,
2017-08-07,17.63,4584397.0,17.63,17.45,17.645,17.49,
2017-08-08,17.63,7892874.0,17.63,17.52,17.7,17.59,
2017-08-09,17.64,6970445.0,17.64,17.44,17.7,17.55,
2017-08-10,17.12,9363145.0,17.12,17.07,17.6,17.6,
2017-08-11,17.3,5279450.0,17.3,17.155,17.37,17.2,
2017-08-14,17.58,7955051.0,17.58,17.46,17.85,17.49,
2017-08-15,17.75,8316514.0,17.75,17.53,17.84,17.56,
2017-08-16,17.6,4915676.0,17.6,17.525,17.87,17.74,
2017-08-17,17.3,9172965.0,17.3,17.3,17.68,17.52,
2017-08-18,17.18,9559965.0,17.18,17.09,17.4,17.26,
2017-08-21,17.31,6091153.0,17.31,17.08,17.35,17.2,
2017-08-22,17.67,5451087.0,17.67,17.35,17.7,17.36,
2017-08-23,17.71,7053018.0,17.71,17.53,17.75,17.55,
2017-08-24,17.95,6636112.0,17.95,17.66,18.06,17.72,
2017-08-25,17.95,9035773.0,17.95,17.805,18.14,17.99,
2017-08-28,17.79,7495126.0,17.79,17.675,17.98,17.98,
2017-08-29,17.92,5905678.0,17.92,17.58,17.945,17.65,
2017-08-30,17.98,6278045.0,17.98,17.775,17.99,17.88,
2017-08-31,18.06,11328969.0,18.06,17.95,18.135,17.98,
2017-09-01,14.31,22355795.0,14.31,13.82,14.39,14.13,
2017-09-05,14.04,27471170.0,14.04,13.83,14.4,14.2,
2017-09-06,13.77,40580268.0,13.77,13.6,14.32,14.29,
2017-09-07,13.25,27036825.0,13.25,13.25,13.77,13.73,
2017-09-08,13.12,24308651.0,13.12,13.06,13.385,13.289,
2017-09-11,13.35,16505858.0,13.35,13.24,13.47,13.3,
2017-09-12,13.12,19397957.0,13.12,12.99,13.41,13.36,
2017-09-13,13.23,24975429.0,13.23,12.97,13.25,13.08,
2017-09-14,13.47,16071715.0,13.47,13.13,13.53,13.18,
2017-09-15,13.52,15605995.0,13.52,13.32,13.56,13.37,
2017-09-18,13.54,12586086.0,13.54,13.51,13.72,13.57,
2017-09-19,13.49,10087546.0,13.49,13.47,13.64,13.56,
2017-09-20,13.63,17348043.0,13.63,13.5,13.68,13.58,
2017-09-21,13.79,22598605.0,13.79,13.51,13.9,13.6,
2017-09-22,14.26,22932470.0,14.26,13.82,14.29,13.86,
2017-09-25,14.7,29532238.0,14.7,14.17,14.72,14.19,
2017-09-26,14.89,25926091.0,14.89,14.69,15.08,14.74,
2017-09-27,14.85,22027401.0,14.85,14.82,15.12,14.89,
2017-09-28,14.57,11473548.0,14.57,14.565,14.94,14.84,
2017-09-29,14.71,6736895.0,14.71,14.54,14.75,14.6,
2017-10-02,14.97,13719642.0,14.97,14.65,15.0,14.68,
2017-10-03,14.69,10203601.0,14.69,14.62,14.9872,14.97,
2017-10-04,14.8,7636527.0,14.8,14.55,14.89,14.7,
2017-10-05,14.83,7074433.0,14.83,14.76,14.96,14.84,
2017-10-06,14.8,11827338.0,14.8,14.58,14.85,14.79,
2017-10-09,14.8,6254922.0,14.8,14.77,14.97,14.84,
2017-10-10,14.96,9359375.0,14.96,14.81,15.03,14.82,
2017-10-11,14.94,10469647.0,14.94,14.85,15.04,14.94,
2017-10-12,14.8,8239166.0,14.8,14.73,14.94,14.93,
2017-10-13,14.89,9941508.0,14.89,14.64,15.06,14.65,
2017-10-16,14.86,6351364.0,14.86,14.81,14.96,14.88,
2017-10-17,14.61,12841083.0,14.61,14.545,14.89,14.84,
2017-10-18,14.7,6831445.0,14.7,14.665,14.8,14.67,
2017-10-19,13.86,23836451.0,13.86,13.8,14.53,14.5,
2017-10-20,14.04,12664357.0,14.04,13.8,14.185,13.88,
2017-10-23,14.25,8558384.0,14.25,14.06,14.325,14.09,
2017-10-24,14.31,8236556.0,14.31,14.23,14.475,14.25,
2017-10-25,14.08,15537270.0,14.08,13.88,14.29,14.28,
2017-10-26,14.25,7006971.0,14.25,14.08,14.31,14.21,
2017-10-27,14.28,7034055.0,14.28,14.18,14.34,14.27,
2017-10-30,13.98,11940097.0,13.98,13.91,14.28,14.23,
2017-10-31,13.92,10261896.0,13.92,13.875,14.055,14.02,
2017-11-01,13.6,15499993.0,13.6,13.47,13.94,13.94,
2017-11-02,13.63,17522402.0,13.63,13.485,13.66,13.57,
2017-11-03,13.5,9542961.0,13.5,13.4,13.63,13.62,
2017-11-06,13.63,9582892.0,13.63,13.24,13.63,13.46,
2017-11-07,13.57,7362348.0,13.57,13.52,13.74,13.6,
2017-11-08,13.54,7751865.0,13.54,13.46,13.59,13.56,
2017-11-09,13.72,6231069.0,13.72,13.47,13.75,13.48,
2017-11-10,13.7,4518223.0,13.7,13.6,13.75,13.72,
2017-11-13,13.48,14681190.0,13.48,13.47,13.695,13.67,
2017-11-14,13.27,11350554.0,13.27,13.23,13.48,13.38,
2017-11-15,13.16,12002188.0,13.16,13.1,13.32,13.2,
2017-11-16,13.27,14822134.0,13.27,13.21,13.42,13.21,
2017-11-17,13.68,12897107.0,13.68,13.25,13.69,13.3,
2017-11-20,14.09,12408841.0,14.09,13.66,14.11,13.68,
2017-11-21,14.12,13733867.0,14.12,14.08,14.31,14.1,
2017-11-22,13.1,41931430.0,13.1,12.815,13.4,13.2,
2017-11-24,13.32,8555548.0,13.32,13.15,13.39,13.21,
2017-11-27,13.47,13862731.0,13.47,13.1503,13.54,13.21,
2017-11-28,13.88,16054687.0,13.88,13.405,13.95,13.47,
2017-11-29,13.97,12093974.0,13.97,13.79,14.3001,13.95,
2017-11-30,13.95,15101614.0,13.95,13.92,14.17,13.99,
2017-12-01,14.44,18544154.0,14.44,13.75,14.465,13.9,
2017-12-04,14.23,11095722.0,14.23,14.19,14.52,14.44,
2017-12-05,14.08,11892836.0,14.08,14.0,14.17,14.11,
2017-12-06,14.16,7091009.0,14.16,13.99,14.23,14.02,
2017-12-07,14.22,6818688.0,14.22,14.125,14.27,14.2,
2017-12-08,14.34,8114592.0,14.34,14.23,14.39,14.23,
2017-12-11,14.58,11132185.0,14.58,14.23,14.59,14.25,
2017-12-12,14.5,12199836.0,14.5,14.35,14.57,14.45,
2017-12-13,14.32,8640769.0,14.32,14.32,14.55,14.46,
2017-12-14,14.24,7601009.0,14.24,14.22,14.38,14.3,
2017-12-15,14.41,20251039.0,14.41,14.255,14.48,14.29,
2017-12-18,14.9,12653293.0,14.9,14.43,14.93,14.45,
2017-12-19,14.8,9792581.0,14.8,14.74,14.9,14.88,
2017-12-20,14.71,9259729.0,14.71,14.635,14.79,14.79,
2017-12-21,14.72,7888348.0,14.72,14.665,14.85,14.71,
2017-12-22,14.71,4171706.0,14.71,14.68,14.82,14.71,
2017-12-26,14.74,2882775.0,14.74,14.67,14.785,14.69,
2017-12-27,14.67,3260489.0,14.67,14.61,14.75,14.72,
2017-12-28,14.61,3686661.0,14.61,14.555,14.7,14.69,
2017-12-29,14.36,7097200.0,14.36,14.36,14.67,14.67,
