YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,14.85,12502230.0,14.85,14.62,15.14,14.95,
2017-01-04,15.08,9127833.0,15.08,14.85,15.21,14.92,
2017-01-05,15.07,13221052.0,15.07,14.9,15.16,15.1,
2017-01-06,15.0,7494227.0,15.0,14.97,15.16,15.15,
2017-01-09,14.68,12909046.0,14.68,14.67,15.09,14.98,
2017-01-10,14.69,15888327.0,14.69,14.4,14.97,14.65,
2017-01-11,14.94,15009251.0,14.94,14.62,14.97,14.71,
2017-01-12,14.79,11507926.0,14.79,14.555,14.96,14.89,
2017-01-13,14.77,9336199.0,14.77,14.69,14.94,14.79,
2017-01-17,14.58,11976835.0,14.58,14.56,14.89,14.68,
2017-01-18,14.58,13664983.0,14.58,14.5,14.7027,14.61,
2017-01-19,14.86,15081845.0,14.86,14.75,15.02,14.81,
2017-01-20,14.73,14687037.0,14.73,14.6,14.9857,14.96,
2017-01-23,14.67,15250469.0,14.67,14.41,14.725,14.71,
2017-01-24,15.17,12369680.0,15.17,14.67,15.245,14.7,
2017-01-25,15.19,16223333.0,15.19,15.12,15.35,15.26,
2017-01-26,14.79,14419181.0,14.79,14.77,15.31,15.22,
2017-01-27,14.8,14921530.0,14.8,14.78,15.11,14.83,
2017-01-30,14.84,11239675.0,14.84,14.62,14.85,14.83,
2017-01-31,15.05,14889607.0,15.05,14.57,15.11,14.77,
2017-02-01,14.99,12433763.0,14.99,14.84,15.16,15.12,
2017-02-02,15.21,15599575.0,15.21,14.87,15.22,14.89,
2017-02-03,15.27,11659495.0,15.27,15.12,15.32,15.22,
2017-02-06,15.26,7975431.0,15.26,15.09,15.3,15.17,
2017-02-07,15.43,12330319.0,15.43,15.16,15.44,15.26,
2017-02-08,15.51,13204263.0,15.51,15.39,15.64,15.41,
2017-02-09,15.64,7709448.0,15.64,15.45,15.77,15.51,
2017-02-10,15.72,10006365.0,15.72,15.55,15.74,15.65,
2017-02-13,16.04,16142564.0,16.04,15.7,16.11,15.75,
2017-02-14,16.06,17086210.0,16.06,15.95,16.41,15.96,
2017-02-15,15.98,14448341.0,15.98,15.89,16.14,16.04,
2017-02-16,15.92,12560613.0,15.92,15.89,16.03,15.99,
2017-02-17,15.95,17366721.0,15.95,15.72,15.95,15.88,
2017-02-21,16.13,17318051.0,16.13,15.93,16.22,15.93,
2017-02-22,16.2,16654221.0,16.2,16.09,16.24,16.09,
2017-02-23,17.6,37118842.0,17.6,16.48,17.8,16.51,
2017-02-24,17.65,19816072.0,17.65,17.31,17.68,17.34,
2017-02-27,17.65,12287497.0,17.65,17.48,17.81,17.65,
2017-02-28,17.37,13940117.0,17.37,17.37,17.6699,17.64,
2017-03-01,17.62,9818715.0,17.62,17.45,17.71,17.65,
2017-03-02,17.32,12229182.0,17.32,17.31,17.69,17.66,
2017-03-03,17.35,17289361.0,17.35,17.12,17.4,17.3,
2017-03-06,17.3,11163064.0,17.3,17.13,17.44,17.44,
2017-03-07,17.27,11527985.0,17.27,17.05,17.42,17.27,
2017-03-08,17.32,6745671.0,17.32,17.22,17.4,17.3,
2017-03-09,17.36,8505402.0,17.36,17.175,17.415,17.25,
2017-03-10,17.39,7840676.0,17.39,17.25,17.6,17.25,
2017-03-13,17.49,6966599.0,17.49,17.35,17.49,17.41,
2017-03-14,17.47,6334411.0,17.47,17.41,17.58,17.46,
2017-03-15,17.57,13418063.0,17.57,17.28,17.65,17.44,
2017-03-16,17.65,9143985.0,17.65,17.48,17.71,17.6,
2017-03-17,17.56,14282500.0,17.56,17.56,17.7,17.65,
2017-03-20,17.56,8847764.0,17.56,17.52,17.68,17.57,
2017-03-21,17.15,11252314.0,17.15,17.15,17.69,17.62,
2017-03-22,17.23,10654578.0,17.23,17.1,17.3,17.22,
2017-03-23,17.21,9157123.0,17.21,17.14,17.38,17.23,
2017-03-24,17.23,6633818.0,17.23,17.13,17.4,17.28,
2017-03-27,17.2,5698091.0,17.2,17.03,17.31,17.09,
2017-03-28,17.26,8741713.0,17.26,17.2,17.41,17.23,
2017-03-29,17.26,5477399.0,17.26,17.17,17.38,17.2,
2017-03-30,17.65,10806000.0,17.65,17.22,17.69,17.25,
2017-03-31,17.88,19240579.0,17.88,17.56,17.96,17.61,
2017-04-03,17.59,10538321.0,17.59,17.43,17.95,17.93,
2017-04-04,17.72,6781165.0,17.72,17.5,17.74,17.52,
2017-04-05,17.69,10310708.0,17.69,17.6,17.94,17.8,
2017-04-06,17.56,8368740.0,17.56,17.43,17.72,17.69,
2017-04-07,17.37,13464895.0,17.37,17.28,17.63,17.54,
2017-04-10,17.36,6694136.0,17.36,17.291,17.54,17.4,
2017-04-11,17.54,14400769.0,17.54,17.29,17.55,17.4,
2017-04-12,18.02,19363874.0,18.02,17.85,18.37,18.37,
2017-04-13,18.2,12854122.0,18.2,17.94,18.35,17.99,
2017-04-17,18.2,8213848.0,18.2,18.07,18.32,18.17,
2017-04-18,18.22,10177098.0,18.22,18.08,18.3601,18.21,
2017-04-19,18.38,12351959.0,18.38,18.3,18.61,18.42,
2017-04-20,18.52,6786300.0,18.52,18.29,18.565,18.44,
2017-04-21,18.29,9953227.0,18.29,18.265,18.52,18.51,
2017-04-24,18.54,8054640.0,18.54,18.36,18.6,18.52,
2017-04-25,18.61,10425760.0,18.61,18.49,18.71,18.57,
2017-04-26,18.63,7950652.0,18.63,18.42,18.735,18.5,
2017-04-27,18.77,9193686.0,18.77,18.635,18.83,18.7,
2017-04-28,18.82,7956877.0,18.82,18.525,18.83,18.74,
2017-05-01,18.93,7958624.0,18.93,18.8,19.0,18.85,
2017-05-02,18.9,11526647.0,18.9,18.81,19.03,18.99,
2017-05-03,18.81,6996238.0,18.81,18.74,18.91,18.84,
2017-05-04,18.79,7204792.0,18.79,18.69,18.88,18.84,
2017-05-05,18.91,11898040.0,18.91,18.71,18.92,18.83,
2017-05-08,19.31,10053269.0,19.31,18.89,19.39,18.91,
2017-05-09,19.24,6673609.0,19.24,19.17,19.34,19.34,
2017-05-10,19.36,7252434.0,19.36,19.16,19.37,19.25,
2017-05-11,19.26,8233419.0,19.26,19.17,19.345,19.31,
2017-05-12,19.3,6417197.0,19.3,19.13,19.42,19.25,
2017-05-15,19.36,7176577.0,19.36,19.31,19.415,19.35,
2017-05-16,19.47,7350382.0,19.47,19.23,19.485,19.42,
2017-05-17,18.96,11096490.0,18.96,18.94,19.415,19.32,
2017-05-18,18.78,14280948.0,18.78,18.65,18.885,18.87,
2017-05-19,19.0,8049898.0,19.0,18.81,19.08,18.86,
2017-05-22,19.11,9759393.0,19.11,18.86,19.15,19.08,
2017-05-23,18.96,7834752.0,18.96,18.81,19.14,19.14,
2017-05-24,19.01,13476226.0,19.01,18.905,19.19,19.02,
2017-05-25,18.37,21296476.0,18.37,18.26,19.58,19.57,
2017-05-26,18.47,14525992.0,18.47,18.21,18.54,18.27,
2017-05-30,18.94,16424279.0,18.94,18.42,19.03,18.43,
2017-05-31,18.76,12234110.0,18.76,18.72,18.98,18.95,
2017-06-01,18.95,8340319.0,18.95,18.59,18.95,18.74,
2017-06-02,18.98,9262101.0,18.98,18.93,19.16,18.97,
2017-06-05,18.8,8274463.0,18.8,18.73,18.96,18.94,
2017-06-06,18.26,22009847.0,18.26,18.235,18.8,18.79,
2017-06-07,18.24,12448834.0,18.24,18.15,18.42,18.35,
2017-06-08,18.28,12264835.0,18.28,18.1,18.31,18.27,
2017-06-09,17.8,16228672.0,17.8,17.6,18.33,18.29,
2017-06-12,17.76,12527594.0,17.76,17.43,17.86,17.61,
2017-06-13,17.74,9036409.0,17.74,17.68,17.94,17.82,
2017-06-14,17.4,8743126.0,17.4,17.28,17.75,17.67,
2017-06-15,17.27,8765889.0,17.27,17.16,17.39,17.28,
2017-06-16,17.35,14634825.0,17.35,17.14,17.45,17.24,
2017-06-19,17.69,10306329.0,17.69,17.39,17.75,17.42,
2017-06-20,17.83,16282808.0,17.83,17.64,17.96,17.68,
2017-06-21,17.71,14704835.0,17.71,17.54,17.84,17.83,
2017-06-22,17.71,11064581.0,17.71,17.585,17.79,17.69,
2017-06-23,17.8,14051542.0,17.8,17.56,17.87,17.71,
2017-06-26,18.16,14175294.0,18.16,17.89,18.245,17.89,
2017-06-27,17.77,8303899.0,17.77,17.77,18.18,18.1,
2017-06-28,18.03,6161108.0,18.03,17.79,18.11,17.88,
2017-06-29,17.57,9018290.0,17.57,17.425,17.99,17.92,
2017-06-30,17.48,8935331.0,17.48,17.45,17.71,17.66,
2017-07-03,17.56,4312603.0,17.56,17.54,17.745,17.59,
2017-07-05,17.65,13992329.0,17.65,17.46,17.72,17.57,
2017-07-06,17.19,11986446.0,17.19,17.1,17.62,17.58,
2017-07-07,17.35,8241012.0,17.35,17.165,17.38,17.25,
