YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,35.29,2579586.0,35.29,34.7,35.55,34.89,
2017-01-04,35.86,2941290.0,35.86,35.4,35.97,35.51,
2017-01-05,36.16,2580285.0,36.16,35.7,36.1925,35.84,
2017-01-06,36.34,2298615.0,36.34,35.86,36.415,36.08,
2017-01-09,35.58,3690563.0,35.58,35.295,36.46,35.9,
2017-01-10,34.92,3205650.0,34.92,34.85,35.53,35.42,
2017-01-11,35.07,1985669.0,35.07,34.805,35.23,34.95,
2017-01-12,35.4,2378823.0,35.4,34.85,35.5018,34.86,
2017-01-13,35.53,1611555.0,35.53,35.3101,35.6493,35.35,
2017-01-17,36.35,2696089.0,36.35,35.54,36.38,35.58,
2017-01-18,36.17,2568363.0,36.17,35.94,36.59,36.2,
2017-01-19,36.23,2774470.0,36.23,35.93,36.31,36.07,
2017-01-20,36.27,3180627.0,36.27,36.08,36.74,36.41,
2017-01-23,36.19,2673725.0,36.19,36.05,36.38,36.22,
2017-01-24,36.54,1561466.0,36.54,36.2,36.61,36.2,
2017-01-25,36.52,2643595.0,36.52,36.4814,36.68,36.57,
2017-01-26,36.16,1936738.0,36.16,36.01,36.64,36.49,
2017-01-27,36.12,1679803.0,36.12,35.97,36.29,36.14,
2017-01-30,36.27,1641044.0,36.27,35.99,36.42,36.18,
2017-01-31,36.3,3585724.0,36.3,36.07,36.43,36.31,
2017-02-01,35.62,3400866.0,35.62,35.37,36.2,36.06,
2017-02-02,35.97,2094797.0,35.97,35.61,36.09,35.91,
2017-02-03,36.14,2291812.0,36.14,35.97,36.29,36.28,
2017-02-06,35.87,2046411.0,35.87,35.85,36.29,36.17,
2017-02-07,36.25,2050242.0,36.25,35.86,36.385,36.0,
2017-02-08,36.48,1262453.0,36.48,36.22,36.53,36.22,
2017-02-09,36.92,1886054.0,36.92,36.28,36.98,36.46,
2017-02-10,37.13,1897296.0,37.13,36.77,37.27,36.87,
2017-02-13,37.25,1500469.0,37.25,36.9,37.33,37.14,
2017-02-14,37.59,1833479.0,37.59,37.07,37.6,37.18,
2017-02-15,37.87,2640791.0,37.87,37.32,37.94,37.46,
2017-02-16,37.24,3164122.0,37.24,37.03,37.97,37.77,
2017-02-17,37.26,2523237.0,37.26,36.861,37.48,37.04,
2017-02-21,37.6,1804117.0,37.6,37.27,37.69,37.47,
2017-02-22,37.3,1998126.0,37.3,37.18,37.72,37.6,
2017-02-23,35.29,9063745.0,35.29,34.19,35.73,35.21,
2017-02-24,34.66,4444482.0,34.66,34.48,35.3,35.19,
2017-02-27,34.65,2448965.0,34.65,34.48,34.8,34.62,
2017-02-28,35.25,4096718.0,35.25,34.65,35.38,34.65,
2017-03-01,35.27,2672785.0,35.27,35.14,35.4,35.3,
2017-03-02,35.2,2287714.0,35.2,35.16,35.61,35.3,
2017-03-03,35.37,1751268.0,35.37,34.99,35.435,35.25,
2017-03-06,35.0,2543240.0,35.0,34.87,35.16,35.06,
2017-03-07,34.85,2031919.0,34.85,34.81,35.1,35.0,
2017-03-08,34.65,2405664.0,34.65,34.62,35.04,34.86,
2017-03-09,34.55,1772343.0,34.55,34.55,34.93,34.78,
2017-03-10,35.07,1844533.0,35.07,34.73,35.1,34.78,
2017-03-13,34.94,2232232.0,34.94,34.84,35.24,35.07,
2017-03-14,34.7,1658091.0,34.7,34.61,35.03,34.93,
2017-03-15,35.43,1901790.0,35.43,34.68,35.54,34.79,
2017-03-16,34.99,2226762.0,34.99,34.92,35.35,35.35,
2017-03-17,34.92,3587888.0,34.92,34.72,35.06,35.05,
2017-03-20,34.95,1375097.0,34.95,34.78,35.1,34.94,
2017-03-21,34.48,3160272.0,34.48,34.405,35.06,34.93,
2017-03-22,34.69,1738465.0,34.69,34.28,34.73,34.55,
2017-03-23,34.72,1860566.0,34.72,34.57,35.0,34.64,
2017-03-24,34.52,1820038.0,34.52,34.39,34.92,34.81,
2017-03-27,34.15,2530003.0,34.15,34.09,34.66,34.48,
2017-03-28,34.34,2739381.0,34.34,33.96,34.385,34.15,
2017-03-29,34.58,3648915.0,34.58,34.25,34.58,34.33,
2017-03-30,34.21,2971167.0,34.21,34.135,34.63,34.46,
2017-03-31,34.63,2435996.0,34.63,34.1,34.7,34.25,
2017-04-03,34.51,2033970.0,34.51,34.36,34.88,34.61,
2017-04-04,34.39,1485240.0,34.39,34.12,34.591,34.5,
2017-04-05,34.46,2206423.0,34.46,34.38,34.79,34.48,
2017-04-06,34.38,1753621.0,34.38,34.219,34.52,34.46,
2017-04-07,34.25,1863656.0,34.25,34.24,34.5,34.39,
2017-04-10,34.4,1087783.0,34.4,34.22,34.48,34.29,
2017-04-11,34.3,1147572.0,34.3,34.07,34.49,34.34,
2017-04-12,34.25,3948388.0,34.25,33.97,34.39,34.15,
2017-04-13,34.04,1416196.0,34.04,33.99,34.34,34.17,
2017-04-17,34.46,1320152.0,34.46,34.1,34.5,34.19,
2017-04-18,34.75,1662754.0,34.75,34.4372,34.89,34.47,
2017-04-19,34.54,1147932.0,34.54,34.515,34.9,34.76,
2017-04-20,34.53,2002216.0,34.53,34.25,34.695,34.57,
2017-04-21,34.69,2009776.0,34.69,34.5,34.89,34.51,
2017-04-24,34.94,1476346.0,34.94,34.765,34.97,34.9,
2017-04-25,35.43,2620988.0,35.43,34.95,35.45,34.97,
2017-04-26,34.94,2438273.0,34.94,34.885,35.37,35.37,
2017-04-27,34.99,1352032.0,34.99,34.905,35.1,35.04,
2017-04-28,35.08,2166672.0,35.08,34.885,35.12,34.95,
2017-05-01,34.9,1865065.0,34.9,34.78,35.0,34.87,
2017-05-02,34.81,1223593.0,34.81,34.69,34.97,34.9,
2017-05-03,34.58,1447365.0,34.58,34.43,34.86,34.8,
2017-05-04,34.75,1518442.0,34.75,34.535,35.03,34.56,
2017-05-05,34.75,1109765.0,34.75,34.56,35.01,34.86,
2017-05-08,34.48,2103420.0,34.48,34.32,34.99,34.78,
2017-05-09,34.58,1747644.0,34.58,34.32,34.69,34.55,
2017-05-10,34.42,2239332.0,34.42,34.39,34.74,34.61,
2017-05-11,34.39,1424064.0,34.39,34.11,34.46,34.25,
2017-05-12,34.41,1245301.0,34.41,34.35,34.77,34.38,
2017-05-15,34.53,1682317.0,34.53,34.26,34.6,34.4,
2017-05-16,34.18,1874019.0,34.18,34.17,34.58,34.55,
2017-05-17,34.19,2583435.0,34.19,34.13,34.43,34.15,
2017-05-18,34.15,3416747.0,34.15,33.84,34.34,34.17,
2017-05-19,34.83,2555233.0,34.83,34.2,34.915,34.29,
2017-05-22,35.21,2267486.0,35.21,34.79,35.35,34.93,
2017-05-23,35.21,2119505.0,35.21,35.14,35.425,35.21,
2017-05-24,35.4,2347093.0,35.4,35.12,35.48,35.23,
2017-05-25,33.13,7972557.0,33.13,32.94,34.64,34.05,
2017-05-26,33.12,4112965.0,33.12,33.07,33.61,33.09,
2017-05-30,33.27,2767704.0,33.27,32.9,33.37,33.05,
2017-05-31,33.63,3091877.0,33.63,33.32,33.7,33.34,
2017-06-01,33.91,2365646.0,33.91,33.48,33.935,33.82,
2017-06-02,34.11,1972394.0,34.11,33.9,34.15,34.01,
2017-06-05,34.16,1113509.0,34.16,33.86,34.22,34.07,
2017-06-06,34.5,1858810.0,34.5,34.1,34.51,34.17,
2017-06-07,34.98,2023511.0,34.98,34.51,34.99,34.51,
2017-06-08,34.18,2359011.0,34.18,34.0,35.0,34.94,
2017-06-09,34.77,1995797.0,34.77,34.23,34.84,34.28,
2017-06-12,34.73,1653017.0,34.73,34.56,35.04,34.81,
2017-06-13,34.68,1737911.0,34.68,34.47,34.845,34.75,
2017-06-14,34.72,1552607.0,34.72,34.54,35.16,34.85,
2017-06-15,34.6,2276851.0,34.6,34.48,34.93,34.9,
2017-06-16,33.95,4102211.0,33.95,33.49,34.77,34.75,
2017-06-19,34.35,2353165.0,34.35,33.46,34.39,34.0,
2017-06-20,33.94,2211118.0,33.94,33.9,34.34,34.33,
2017-06-21,34.0,2414835.0,34.0,33.55,34.03,33.91,
2017-06-22,34.42,4038537.0,34.42,33.81,34.695,34.03,
2017-06-23,34.94,7690318.0,34.94,34.37,35.34,34.37,
2017-06-26,34.8,1468241.0,34.8,34.78,35.29,35.09,
2017-06-27,34.15,2092936.0,34.15,34.14,34.96,34.65,
2017-06-28,34.21,1703562.0,34.21,34.13,34.65,34.46,
2017-06-29,33.96,2017775.0,33.96,33.78,34.34,34.09,
2017-06-30,34.11,2246890.0,34.11,34.05,34.44,34.05,
2017-07-03,34.15,1083761.0,34.15,34.15,34.54,34.27,
2017-07-05,33.73,1622283.0,33.73,33.66,34.16,34.16,
2017-07-06,33.15,1779666.0,33.15,33.13,33.8,33.65,
2017-07-07,33.2,1438350.0,33.2,33.06,33.34,33.23,
2017-07-10,32.65,2330285.0,32.65,32.65,33.24,33.16,
2017-07-11,32.53,2072724.0,32.53,32.26,32.7,32.58,
2017-07-12,32.62,1827178.0,32.62,32.49,32.87,32.66,
2017-07-13,32.71,1643112.0,32.71,32.423,32.75,32.55,
2017-07-14,32.83,1350369.0,32.83,32.68,32.9053,32.77,
2017-07-17,33.19,1594256.0,33.19,32.68,33.215,32.83,
2017-07-18,32.83,1200664.0,32.83,32.77,33.3,33.19,
2017-07-19,32.62,4302271.0,32.62,32.44,32.96,32.86,
2017-07-20,32.93,1737047.0,32.93,32.62,33.08,32.66,
2017-07-21,33.23,1030259.0,33.23,32.85,33.24,32.85,
2017-07-24,33.31,1888298.0,33.31,33.18,33.39,33.2,
2017-07-25,34.11,2435134.0,34.11,33.22,34.12,33.4,
2017-07-26,34.01,2801902.0,34.01,33.91,34.4099,34.09,
2017-07-27,34.33,1521471.0,34.33,33.921,34.34,34.01,
2017-07-28,34.15,992014.0,34.15,34.06,34.34,34.3,
2017-07-31,34.17,1799073.0,34.17,33.97,34.34,34.15,
2017-08-01,34.14,1552580.0,34.14,33.68,34.24,34.23,
