YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,155.93,858648.0,155.93,151.01,156.37,154.24,10640.0
2017-01-04,156.55,418293.0,156.55,155.38,157.19,156.38,5494.0
2017-01-05,155.71,290360.0,155.71,154.81,156.63,156.28,4312.0
2017-01-06,156.18,414300.0,156.18,154.68,156.49,155.72,5587.0
2017-01-09,157.25,432440.0,157.25,155.0,157.37,156.14,5610.0
2017-01-10,158.09,662733.0,158.09,156.85,159.36,157.39,7954.0
2017-01-11,157.76,618569.0,157.76,155.735,158.74,157.6,7075.0
2017-01-12,157.13,445069.0,157.13,155.31,157.432,156.86,6075.0
2017-01-13,159.05,455622.0,159.05,157.05,159.1,157.05,5411.0
2017-01-17,158.78,348318.0,158.78,158.071,159.35,158.62,5098.0
2017-01-18,159.69,361652.0,159.69,158.34,159.86,159.36,5464.0
2017-01-19,157.73,324501.0,157.73,157.51,159.57,159.29,4440.0
2017-01-20,156.9,685988.0,156.9,155.97,158.67,158.15,6659.0
2017-01-23,155.35,378045.0,155.35,154.76,157.63,156.9,5366.0
2017-01-24,156.92,387366.0,156.92,154.36,157.2099,155.6,4800.0
2017-01-25,160.29,522883.0,160.29,156.92,160.49,157.4,6075.0
2017-01-26,159.22,491545.0,159.22,158.39,160.19,159.95,5284.0
2017-01-27,159.65,350294.0,159.65,158.25,159.72,159.63,4546.0
2017-01-30,158.32,515347.0,158.32,157.66,159.76,159.38,5966.0
2017-01-31,159.86,511831.0,159.86,157.34,159.94,158.23,6088.0
2017-02-01,159.86,456715.0,159.86,158.365,160.4,159.99,5932.0
2017-02-02,161.22,404405.0,161.22,158.78,161.41,159.56,5599.0
2017-02-03,162.66,345576.0,162.66,160.9019,162.93,162.12,5016.0
2017-02-06,162.59,398234.0,162.59,161.01,162.67,162.01,5643.0
2017-02-07,163.98,719005.0,163.98,162.22,164.06,162.74,8082.0
2017-02-08,163.61,638451.0,163.61,163.11,164.6299,163.63,5641.0
2017-02-09,164.85,476458.0,164.85,162.82,165.49,163.48,5218.0
2017-02-10,165.07,278080.0,165.07,161.9895,165.72,164.47,3840.0
2017-02-13,165.11,487404.0,165.11,164.33,166.15,165.92,5218.0
2017-02-14,166.65,479978.0,166.65,165.12,167.12,165.25,5968.0
2017-02-15,167.9,504572.0,167.9,165.8,168.02,166.01,6652.0
2017-02-16,167.25,716501.0,167.25,166.4,168.27,167.79,5991.0
2017-02-17,168.11,900761.0,168.11,165.5001,168.13,166.9,7189.0
2017-02-21,173.01,1274793.0,173.01,170.0,176.5,171.0,14200.0
2017-02-22,172.64,665241.0,172.64,172.62,174.92,173.05,8927.0
2017-02-23,171.92,623503.0,171.92,171.51,173.2,172.85,7665.0
2017-02-24,173.53,411624.0,173.53,171.07,173.58,171.71,5685.0
2017-02-27,173.54,387918.0,173.54,173.12,174.32,173.67,5156.0
2017-02-28,171.56,800698.0,171.56,170.48,172.9,172.81,9156.0
2017-03-01,172.0,702656.0,172.0,171.14,172.825,172.45,9263.0
2017-03-02,171.03,650979.0,171.03,170.15,171.61,170.88,7784.0
2017-03-03,171.57,376450.0,171.57,170.615,171.87,170.98,4918.0
2017-03-06,170.9,415248.0,170.9,169.89,171.5,170.43,5265.0
2017-03-07,171.06,414804.0,171.06,169.88,171.35,170.48,5268.0
2017-03-08,170.89,359439.0,170.89,170.53,171.875,171.06,4692.0
2017-03-09,170.94,267334.0,170.94,170.43,171.77,170.89,4185.0
2017-03-10,172.17,470954.0,172.17,170.46,172.73,171.65,5883.0
2017-03-13,172.22,363619.0,172.22,170.885,172.38,172.01,4306.0
2017-03-14,171.25,278045.0,171.25,170.44,172.08,172.08,4123.0
2017-03-15,172.72,339618.0,172.72,170.67,173.13,171.51,4515.0
2017-03-16,171.17,590424.0,171.17,170.17,172.89,172.5,5103.0
