YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,19.13,8866517.0,19.13,18.82,19.13,19.04,
2017-01-04,19.34,15373956.0,19.34,19.07,19.48,19.15,
2017-01-05,18.5,19884178.0,18.5,18.345,19.36,19.3,
2017-01-06,18.25,14827069.0,18.25,18.15,18.57,18.5,
2017-01-09,18.2,12431918.0,18.2,17.94,18.32,18.28,
2017-01-10,18.03,10723109.0,18.03,18.0,18.5,18.29,
2017-01-11,18.18,10568658.0,18.18,17.96,18.335,18.13,
2017-01-12,18.02,10585258.0,18.02,17.635,18.12,18.12,
2017-01-13,18.26,7907372.0,18.26,18.05,18.305,18.11,
2017-01-17,18.15,10133688.0,18.15,17.97,18.33,18.06,
2017-01-18,18.31,6615221.0,18.31,18.11,18.4,18.19,
2017-01-19,18.22,8253714.0,18.22,17.97,18.4,18.12,
2017-01-20,18.33,8037312.0,18.33,18.2,18.495,18.24,
2017-01-23,18.24,5364211.0,18.24,18.12,18.31,18.27,
2017-01-24,18.27,11474984.0,18.27,18.14,18.39,18.29,
2017-01-25,18.48,10628059.0,18.48,18.21,18.49,18.31,
2017-01-26,18.61,14066855.0,18.61,18.435,18.78,18.46,
2017-01-27,18.59,9411467.0,18.59,18.31,18.71,18.65,
2017-01-30,17.94,11599420.0,17.94,17.74,18.57,18.55,
2017-01-31,18.07,17109179.0,18.07,17.81,18.19,17.96,
2017-02-01,17.87,7372695.0,17.87,17.84,18.38,18.15,
2017-02-02,17.91,7878891.0,17.91,17.79,18.0,17.83,
2017-02-03,18.09,6409409.0,18.09,18.01,18.21,18.04,
2017-02-06,17.88,6036942.0,17.88,17.81,18.19,18.05,
2017-02-07,18.01,9013093.0,18.01,17.91,18.26,17.96,
2017-02-08,18.33,12920876.0,18.33,17.86,18.39,17.96,
2017-02-09,18.35,10365502.0,18.35,18.21,18.48,18.35,
2017-02-10,18.36,5676607.0,18.36,18.27,18.44,18.36,
2017-02-13,18.56,6125583.0,18.56,18.37,18.605,18.45,
2017-02-14,18.75,7873216.0,18.75,18.24,18.76,18.52,
2017-02-15,18.62,9731675.0,18.62,18.255,18.72,18.65,
2017-02-16,18.58,8981847.0,18.58,18.56,18.92,18.65,
2017-02-17,18.39,8353824.0,18.39,18.115,18.57,18.57,
2017-02-21,18.69,11591941.0,18.69,18.35,18.71,18.35,
2017-02-22,18.35,14828025.0,18.35,18.16,20.21,19.71,
2017-02-23,18.03,11413585.0,18.03,17.83,18.47,18.41,
2017-02-24,18.01,10378041.0,18.01,17.645,18.08,17.98,
2017-02-27,18.21,8180393.0,18.21,17.91,18.3,18.02,
2017-02-28,17.99,9767961.0,17.99,17.79,18.165,18.13,
2017-03-01,18.39,10698428.0,18.39,18.08,18.675,18.14,
2017-03-02,18.61,12586056.0,18.61,18.14,18.61,18.34,
2017-03-03,18.38,9319353.0,18.38,18.14,18.65,18.6,
2017-03-06,18.5,7777420.0,18.5,18.16,18.54,18.19,
2017-03-07,18.18,5571262.0,18.18,18.08,18.48,18.4,
2017-03-08,18.13,5571922.0,18.13,17.99,18.43,18.11,
2017-03-09,17.84,7042112.0,17.84,17.71,18.28,18.18,
2017-03-10,17.91,5559677.0,17.91,17.73,18.09,17.98,
2017-03-13,17.87,5737542.0,17.87,17.79,18.11,17.94,
2017-03-14,17.75,6863366.0,17.75,17.73,17.945,17.87,
2017-03-15,18.34,9126403.0,18.34,17.78,18.4,17.87,
2017-03-16,18.24,6303571.0,18.24,18.23,18.47,18.38,
2017-03-17,18.44,9402719.0,18.44,18.23,18.455,18.31,
2017-03-20,18.38,3858428.0,18.38,18.27,18.515,18.45,
2017-03-21,17.97,6489972.0,17.97,17.93,18.55,18.42,
2017-03-22,18.09,6131796.0,18.09,17.68,18.145,17.97,
2017-03-23,18.02,6664571.0,18.02,18.0,18.36,18.13,
2017-03-24,18.05,5439267.0,18.05,17.99,18.26,18.13,
2017-03-27,18.02,5334043.0,18.02,17.83,18.09,17.95,
2017-03-28,18.17,6223703.0,18.17,17.81,18.22,17.99,
2017-03-29,18.24,7251920.0,18.24,17.88,18.33,17.95,
2017-03-30,18.54,5239575.0,18.54,18.13,18.54,18.22,
2017-03-31,18.66,9386042.0,18.66,18.46,18.78,18.52,
2017-04-03,18.37,5143483.0,18.37,18.2,18.66,18.65,
2017-04-04,18.3,5680561.0,18.3,18.18,18.43,18.27,
2017-04-05,18.26,6556821.0,18.26,18.2,18.68,18.41,
2017-04-06,18.52,7858638.0,18.52,18.08,18.57,18.28,
2017-04-07,18.3,6334739.0,18.3,18.29,18.565,18.44,
2017-04-10,18.43,5348159.0,18.43,18.3,18.59,18.42,
2017-04-11,18.57,6556451.0,18.57,18.28,18.59,18.45,
2017-04-12,18.38,5992016.0,18.38,18.24,18.58,18.58,
