YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,103.92,686290.0,103.92,103.26,104.4,103.84,
2017-01-04,104.12,844226.0,104.12,103.84,104.7,104.15,
2017-01-05,103.45,1581821.0,103.45,103.01,104.26,103.12,
2017-01-06,104.51,916500.0,104.51,103.71,105.225,104.45,
2017-01-09,103.89,890189.0,103.89,103.54,104.73,104.51,
2017-01-10,104.83,1126110.0,104.83,103.8521,105.14,104.38,
2017-01-11,104.95,940975.0,104.95,104.41,105.59,104.48,
2017-01-12,104.68,763127.0,104.68,104.31,105.48,104.74,
2017-01-13,104.85,679908.0,104.85,104.35,105.24,104.59,
2017-01-17,105.17,902355.0,105.17,104.42,105.41,104.82,
2017-01-18,105.65,1184670.0,105.65,104.97,106.28,105.23,
2017-01-19,105.22,462958.0,105.22,104.85,105.7,105.64,
2017-01-20,105.57,623496.0,105.57,104.97,106.2,105.79,
2017-01-23,105.3,696101.0,105.3,104.975,105.64,105.56,
2017-01-24,106.52,849684.0,106.52,105.13,107.25,105.44,
2017-01-25,106.3,699751.0,106.3,106.0,106.8,106.6,
2017-01-26,105.67,767207.0,105.67,105.56,106.2,105.97,
2017-01-27,105.51,1035277.0,105.51,104.6,106.02,105.98,
2017-01-30,105.07,1321827.0,105.07,104.55,106.09,105.79,
2017-01-31,105.47,1702805.0,105.47,105.0501,106.3,105.79,
2017-02-01,105.12,1233994.0,105.12,104.51,105.94,105.29,
2017-02-02,105.59,1520776.0,105.59,104.92,106.07,105.46,
2017-02-03,106.98,2708558.0,106.98,101.61,107.44,103.6,
2017-02-06,107.41,1095059.0,107.41,106.3212,107.7,107.0,
2017-02-07,107.19,1447611.0,107.19,107.06,108.06,107.45,
2017-02-08,106.98,893758.0,106.98,106.71,107.5,107.0,
2017-02-09,108.11,1935487.0,108.11,107.23,109.58,107.23,
2017-02-10,107.62,979445.0,107.62,107.44,108.61,108.24,
2017-02-13,108.21,654517.0,108.21,107.32,108.4,107.5,
2017-02-14,108.34,686518.0,108.34,107.44,108.4,107.99,
2017-02-15,108.8,1058125.0,108.8,107.68,109.08,108.01,
2017-02-16,107.65,1465139.0,107.65,107.36,109.57,109.23,
2017-02-17,107.25,1749503.0,107.25,106.51,107.76,106.83,
2017-02-21,108.48,1906925.0,108.48,107.12,108.87,107.5,
2017-02-22,107.95,839770.0,107.95,107.58,108.16,107.79,
2017-02-23,108.65,880584.0,108.65,107.97,109.31,108.09,
2017-02-24,108.9,1055640.0,108.9,108.18,108.99,108.7,
