YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,117.64,287441.0,117.64,116.6651,118.742,116.96,
2017-01-04,118.63,338900.0,118.63,117.78,119.09,118.44,
2017-01-05,118.18,271339.0,118.18,117.16,118.75,118.36,
2017-01-06,118.44,202605.0,118.44,117.35,119.07,118.35,
2017-01-09,116.62,537509.0,116.62,115.08,117.29,117.0,
2017-01-10,117.47,275034.0,117.47,115.54,118.46,116.44,
2017-01-11,118.58,246078.0,118.58,117.68,118.9599,117.88,
2017-01-12,118.47,197338.0,118.47,116.7,118.68,118.51,
2017-01-13,119.66,145688.0,119.66,118.47,119.675,119.0,
2017-01-17,117.73,213275.0,117.73,117.35,119.59,119.59,
2017-01-18,117.72,293518.0,117.72,117.52,119.21,117.83,
2017-01-19,117.92,185332.0,117.92,116.79,118.56,118.14,
2017-01-20,117.63,152211.0,117.63,116.92,118.5252,118.38,
2017-01-23,117.54,145431.0,117.54,116.36,117.82,117.14,
2017-01-24,118.72,234682.0,118.72,117.85,119.27,118.2,
2017-01-25,119.13,273023.0,119.13,118.29,120.51,119.48,
2017-01-26,118.7,212080.0,118.7,118.2,119.91,119.35,
2017-01-27,118.4,344696.0,118.4,117.9,119.5699,119.05,
2017-01-30,117.81,315917.0,117.81,116.1,117.9499,117.75,
2017-01-31,122.08,799300.0,122.08,120.72,125.0,122.95,
2017-02-01,122.18,299713.0,122.18,121.05,123.44,123.08,
2017-02-02,122.14,296379.0,122.14,121.23,122.44,122.26,
2017-02-03,125.74,311276.0,125.74,122.33,125.93,123.3,
2017-02-06,124.49,185695.0,124.49,123.96,125.42,125.17,
2017-02-07,123.62,229102.0,123.62,123.48,125.0,125.0,
2017-02-08,122.68,187211.0,122.68,122.25,124.08,123.04,
2017-02-09,122.87,318600.0,122.87,122.49,123.44,123.44,
2017-02-10,122.85,208169.0,122.85,122.6,123.67,123.67,
2017-02-13,122.73,203518.0,122.73,122.46,124.495,123.21,
2017-02-14,122.42,192986.0,122.42,121.75,122.675,122.23,
2017-02-15,122.61,234097.0,122.61,122.12,123.005,122.42,
2017-02-16,122.13,166240.0,122.13,121.64,122.9961,122.61,
2017-02-17,122.21,243941.0,122.21,120.88,122.21,121.32,
2017-02-21,123.41,259986.0,123.41,122.48,123.82,122.57,
2017-02-22,121.42,372549.0,121.42,120.99,122.9,122.9,
2017-02-23,120.51,409025.0,120.51,120.17,121.85,121.85,
2017-02-24,120.32,298135.0,120.32,118.51,120.36,118.51,
2017-02-27,120.78,183187.0,120.78,119.65,120.99,120.3,
2017-02-28,118.62,288587.0,118.62,118.43,120.9,120.13,
2017-03-01,121.68,324361.0,121.68,120.065,121.96,120.36,
2017-03-02,120.79,161771.0,120.79,118.86,121.67,121.11,
2017-03-03,120.79,145376.0,120.79,119.6801,121.23,120.6,
2017-03-06,121.58,373569.0,121.58,118.795,122.49,119.78,
2017-03-07,120.59,162746.0,120.59,119.95,121.16,121.16,
2017-03-08,120.17,213942.0,120.17,119.95,121.18,120.26,
2017-03-09,119.44,151015.0,119.44,119.32,120.975,120.29,
2017-03-10,120.79,183644.0,120.79,119.82,121.72,120.43,
2017-03-13,120.98,133962.0,120.98,120.135,121.82,120.62,
2017-03-14,119.32,151622.0,119.32,118.6988,120.6197,120.01,
2017-03-15,122.08,296987.0,122.08,120.06,122.52,120.2,
2017-03-16,120.79,161725.0,120.79,120.386,122.99,122.49,
2017-03-17,120.45,292361.0,120.45,120.13,122.08,121.2,
2017-03-20,119.39,150154.0,119.39,119.03,120.5,120.5,
2017-03-21,117.41,177191.0,117.41,117.26,120.725,119.87,
2017-03-22,117.95,123686.0,117.95,116.72,118.06,117.23,
2017-03-23,118.48,140980.0,118.48,116.6,119.11,117.81,
2017-03-24,117.65,188151.0,117.65,117.34,119.17,118.56,
2017-03-27,117.38,152567.0,117.38,115.61,117.76,115.92,
2017-03-28,118.58,158964.0,118.58,116.6,119.03,117.02,
2017-03-29,119.15,127962.0,119.15,117.575,119.28,118.5,
2017-03-30,120.39,110643.0,120.39,119.03,120.49,119.11,
2017-03-31,120.05,156555.0,120.05,119.36,120.46,120.13,
2017-04-03,120.27,263526.0,120.27,119.61,122.5799,120.46,
2017-04-04,118.31,334317.0,118.31,116.77,119.4,118.1,
2017-04-05,116.49,310435.0,116.49,116.34,119.8,119.11,
2017-04-06,118.54,217569.0,118.54,116.255,118.56,116.65,
2017-04-07,119.34,188236.0,119.34,118.03,119.52,118.11,
2017-04-10,119.85,107278.0,119.85,119.22,120.535,119.22,
2017-04-11,119.88,232946.0,119.88,118.5953,119.91,119.56,
2017-04-12,117.9,315245.0,117.9,117.5125,119.82,119.82,
2017-04-13,116.95,216006.0,116.95,116.85,117.98,117.45,
2017-04-17,118.54,147254.0,118.54,117.21,118.54,117.21,
2017-04-18,118.27,135075.0,118.27,117.38,118.9052,118.13,
2017-04-19,118.35,132472.0,118.35,117.3933,119.17,118.55,
2017-04-20,118.93,179294.0,118.93,118.08,119.465,119.08,
2017-04-21,119.0,259836.0,119.0,118.83,120.025,118.87,
2017-04-24,121.53,294046.0,121.53,120.32,121.88,120.86,
2017-04-25,117.13,507271.0,117.13,116.82,122.0,118.2,
2017-04-26,114.14,640949.0,114.14,114.01,117.56,116.57,
2017-04-27,114.87,404279.0,114.87,113.87,115.43,114.09,
2017-04-28,113.13,408525.0,113.13,113.02,115.22,114.93,
2017-05-01,112.86,204153.0,112.86,112.78,113.71,113.59,
2017-05-02,113.18,494467.0,113.18,112.43,113.79,112.82,
2017-05-03,112.67,279150.0,112.67,112.48,113.5824,112.86,
2017-05-04,112.12,258713.0,112.12,111.97,112.99,112.62,
2017-05-05,112.77,359026.0,112.77,111.9225,112.96,112.55,
2017-05-08,112.49,336581.0,112.49,112.12,112.93,112.47,
2017-05-09,114.31,329668.0,114.31,112.22,114.47,112.38,
2017-05-10,114.81,263959.0,114.81,112.62,115.69,114.12,
2017-05-11,113.39,208342.0,113.39,113.32,114.82,114.82,
2017-05-12,111.15,339125.0,111.15,111.01,113.3955,113.32,
2017-05-15,112.01,304601.0,112.01,111.08,112.67,111.33,
2017-05-16,112.1,111746.0,112.1,111.69,112.8,112.53,
2017-05-17,110.89,321654.0,110.89,110.29,111.73,111.02,
2017-05-18,111.74,409972.0,111.74,109.5,112.18,110.5,
2017-05-19,114.17,730205.0,114.17,110.92,114.54,111.99,
2017-05-22,114.55,297875.0,114.55,114.22,115.68,114.76,
2017-05-23,115.08,365187.0,115.08,113.7213,115.48,114.49,
2017-05-24,116.36,381276.0,116.36,115.21,116.675,115.21,
2017-05-25,116.96,313340.0,116.96,116.3557,117.88,116.57,
2017-05-26,117.15,398900.0,117.15,115.5701,117.77,116.16,
2017-05-30,115.68,369681.0,115.68,115.62,117.39,116.97,
2017-05-31,115.91,207179.0,115.91,114.53,116.17,115.7,
2017-06-01,117.11,146888.0,117.11,115.8,117.24,116.2,
2017-06-02,117.87,270708.0,117.87,117.31,118.71,117.41,
2017-06-05,117.81,301013.0,117.81,117.1,118.33,117.75,
2017-06-06,116.99,263276.0,116.99,116.61,117.72,117.05,
2017-06-07,116.77,148848.0,116.77,116.505,117.32,117.03,
2017-06-08,118.06,240737.0,118.06,116.08,118.29,116.75,
2017-06-09,118.99,242216.0,118.99,118.13,119.4,118.48,
2017-06-12,119.72,267457.0,119.72,117.2701,120.185,119.2,
2017-06-13,119.57,158222.0,119.57,119.28,120.12,119.88,
2017-06-14,119.24,225014.0,119.24,118.65,120.63,119.68,
2017-06-15,118.91,188358.0,118.91,118.06,120.36,118.06,
2017-06-16,117.49,563214.0,117.49,117.25,118.72,118.72,
2017-06-19,117.04,293774.0,117.04,116.82,118.38,118.18,
2017-06-20,114.6,333513.0,114.6,114.39,116.9834,116.67,
2017-06-21,112.75,399043.0,112.75,112.37,114.44,114.44,
2017-06-22,112.42,328711.0,112.42,111.97,112.83,112.78,
2017-06-23,112.88,331892.0,112.88,112.165,113.31,112.55,
2017-06-26,112.94,294420.0,112.94,112.57,113.24,113.24,
2017-06-27,112.22,165438.0,112.22,111.84,113.03,113.03,
2017-06-28,112.09,336272.0,112.09,111.97,113.24,112.88,
2017-06-29,112.29,465345.0,112.29,111.92,114.24,112.89,
2017-06-30,113.17,409998.0,113.17,111.88,114.17,112.75,
2017-07-03,113.5,437081.0,113.5,113.26,115.37,113.41,
2017-07-05,113.74,313837.0,113.74,112.22,114.48,113.3,
2017-07-06,112.87,335146.0,112.87,112.51,115.0,113.46,
2017-07-07,114.27,212522.0,114.27,112.58,114.515,112.87,
2017-07-10,114.08,212799.0,114.08,113.98,115.56,114.4,
2017-07-11,115.05,302864.0,115.05,113.85,115.58,113.92,
2017-07-12,114.9,186954.0,114.9,114.81,116.98,115.86,
2017-07-13,115.08,234349.0,115.08,114.3,115.22,115.0,
2017-07-14,115.74,289145.0,115.74,114.94,116.16,115.54,
2017-07-17,115.89,251619.0,115.89,115.13,116.16,115.47,
2017-07-18,115.81,186559.0,115.81,114.36,115.88,115.49,
2017-07-19,117.1,446239.0,117.1,116.01,117.34,116.04,
2017-07-20,117.15,200693.0,117.15,116.3,117.465,117.31,
2017-07-21,116.12,418936.0,116.12,115.78,118.1,117.17,
2017-07-24,116.31,320740.0,116.31,115.73,117.48,116.08,
2017-07-25,120.65,745645.0,120.65,117.57,121.43,119.9,
2017-07-26,118.35,617639.0,118.35,117.44,120.8587,120.67,
2017-07-27,119.4,308139.0,119.4,118.61,119.6,118.74,
2017-07-28,119.5,206871.0,119.5,118.23,119.775,119.1,
2017-07-31,118.79,263714.0,118.79,118.62,119.74,119.74,
2017-08-01,117.53,337773.0,117.53,117.24,120.25,118.97,
2017-08-02,119.44,276150.0,119.44,117.31,119.52,117.31,
2017-08-03,119.2,228700.0,119.2,118.62,119.3,119.3,
2017-08-04,119.28,134677.0,119.28,118.98,119.6,119.4,
2017-08-07,119.03,114338.0,119.03,118.6965,119.48,119.2,
2017-08-08,118.26,159040.0,118.26,116.34,119.235,118.55,
2017-08-09,117.94,211209.0,117.94,117.14,118.38,117.86,
2017-08-10,115.53,198128.0,115.53,115.49,117.49,117.49,
2017-08-11,115.02,214426.0,115.02,114.39,115.34,115.04,
2017-08-14,115.36,148205.0,115.36,115.0,116.065,115.92,
2017-08-15,113.99,253070.0,113.99,113.75,115.9,115.49,
2017-08-16,114.16,191797.0,114.16,113.775,114.92,114.24,
2017-08-17,112.1,216895.0,112.1,111.921,114.99,113.9,
2017-08-18,111.65,224983.0,111.65,111.1801,112.915,111.67,
2017-08-21,110.06,401684.0,110.06,109.85,111.5,111.17,
2017-08-22,110.78,304402.0,110.78,109.8,110.86,110.28,
2017-08-23,109.89,224440.0,109.89,109.85,110.83,110.09,
2017-08-24,109.98,351094.0,109.98,109.9,110.59,110.21,
2017-08-25,110.47,378664.0,110.47,110.05,110.95,110.36,
2017-08-28,110.29,246327.0,110.29,109.735,111.11,110.95,
2017-08-29,111.03,208004.0,111.03,109.43,111.04,109.48,
2017-08-30,112.06,164617.0,112.06,110.8,112.08,110.98,
2017-08-31,112.79,188501.0,112.79,111.7,112.96,112.96,
2017-09-01,112.79,120422.0,112.79,112.535,113.44,113.44,
2017-09-05,111.29,194825.0,111.29,111.13,113.354,112.92,
2017-09-06,111.08,186511.0,111.08,111.03,112.2,111.75,
2017-09-07,110.06,224760.0,110.06,109.61,111.67,111.02,
2017-09-08,111.95,227511.0,111.95,109.315,112.57,110.05,
2017-09-11,112.96,298798.0,112.96,112.53,113.81,112.87,
2017-09-12,114.82,383212.0,114.82,112.69,114.83,113.24,
2017-09-13,114.94,253664.0,114.94,114.04,115.34,114.74,
2017-09-14,113.0,358159.0,113.0,112.75,114.94,114.94,
2017-09-15,113.76,1081447.0,113.76,112.61,114.56,113.06,
2017-09-18,113.98,223283.0,113.98,113.74,114.53,113.78,
2017-09-19,112.76,351971.0,112.76,112.41,114.41,113.78,
2017-09-20,113.31,371402.0,113.31,113.06,114.29,113.31,
2017-09-21,113.3,318904.0,113.3,112.98,113.8,113.4,
2017-09-22,113.95,219350.0,113.95,113.215,114.26,113.46,
2017-09-25,114.01,174596.0,114.01,113.8,114.5692,113.99,
2017-09-26,114.91,369653.0,114.91,113.515,115.83,114.27,
2017-09-27,115.79,430024.0,115.79,114.67,116.18,114.99,
2017-09-28,115.86,206477.0,115.86,115.22,115.94,115.65,
2017-09-29,116.02,241027.0,116.02,115.39,116.55,115.63,
2017-10-02,117.22,275037.0,117.22,115.78,117.51,116.14,
2017-10-03,117.54,397999.0,117.54,116.72,118.55,117.27,
2017-10-04,118.23,495133.0,118.23,115.14,118.41,116.44,
2017-10-05,117.75,271323.0,117.75,117.7,118.865,118.38,
2017-10-06,117.15,265368.0,117.15,116.68,117.73,116.68,
2017-10-09,116.13,255809.0,116.13,115.97,117.63,117.29,
2017-10-10,116.02,349033.0,116.02,115.61,117.16,117.16,
2017-10-11,115.03,360831.0,115.03,114.68,116.11,116.11,
2017-10-12,116.79,444063.0,116.79,114.76,117.41,114.92,
2017-10-13,118.05,358864.0,118.05,116.69,118.39,117.24,
2017-10-16,119.74,419314.0,119.74,118.37,119.88,118.55,
2017-10-17,118.88,294076.0,118.88,118.5,120.38,120.24,
2017-10-18,120.16,353958.0,120.16,118.945,120.35,119.08,
2017-10-19,120.83,328800.0,120.83,119.1501,121.1,119.56,
2017-10-20,123.07,399229.0,123.07,120.88,123.2999,121.83,
2017-10-23,121.32,483697.0,121.32,120.7075,123.31,122.71,
2017-10-24,125.35,759744.0,125.35,123.0,126.92,123.2,
2017-10-25,125.99,467198.0,125.99,124.0,126.285,125.38,
2017-10-26,126.16,493929.0,126.16,125.97,127.3399,126.45,
2017-10-27,125.93,249551.0,125.93,125.55,126.33,126.0,
2017-10-30,125.12,279503.0,125.12,124.82,125.97,125.32,
2017-10-31,125.82,415879.0,125.82,125.14,126.26,125.79,
2017-11-01,126.16,426994.0,126.16,125.61,126.72,126.56,
2017-11-02,126.19,254480.0,126.19,125.01,126.43,125.85,
2017-11-03,125.12,167847.0,125.12,125.1,126.635,126.2,
2017-11-06,125.55,222016.0,125.55,124.56,125.775,125.12,
2017-11-07,124.61,169522.0,124.61,123.69,126.22,125.64,
2017-11-08,123.58,210470.0,123.58,123.09,124.47,124.41,
2017-11-09,122.99,257969.0,122.99,122.21,123.73,123.38,
2017-11-10,122.6,260711.0,122.6,122.18,123.49,122.52,
2017-11-13,121.76,294687.0,121.76,121.58,122.56,122.02,
2017-11-14,121.43,430845.0,121.43,120.86,122.75,121.7,
