YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,19.19,4285773.0,19.19,18.64,19.1999,18.74,
2017-01-04,19.7,4434650.0,19.7,19.01,19.73,19.2,
2017-01-05,20.1,5409549.0,20.1,19.6,20.2,19.7,
2017-01-06,20.63,5535571.0,20.63,20.01,20.705,20.15,
2017-01-09,20.39,4882161.0,20.39,20.29,20.63,20.59,
2017-01-10,20.71,4311782.0,20.71,20.18,20.925,20.18,
2017-01-11,21.1,4199344.0,21.1,20.65,21.1,20.73,
2017-01-12,21.0,5548723.0,21.0,20.5,21.025,20.93,
2017-01-13,21.13,4616176.0,21.13,20.89,21.2255,20.94,
2017-01-17,20.74,3044366.0,20.74,20.575,20.9038,20.7,
2017-01-18,20.88,2577361.0,20.88,20.63,20.96,20.73,
2017-01-19,21.31,3684876.0,21.31,20.79,21.35,20.79,
2017-01-20,21.29,5623419.0,21.29,21.142,21.6401,21.3,
2017-01-23,21.33,4182758.0,21.33,21.09,21.37,21.26,
2017-01-24,22.17,8308798.0,22.17,21.42,22.4,21.48,
2017-01-25,22.69,3802874.0,22.69,22.23,22.72,22.36,
2017-01-26,22.86,3274056.0,22.86,22.31,22.88,22.55,
2017-01-27,22.6,2702111.0,22.6,22.51,22.88,22.85,
2017-01-30,22.5,3789028.0,22.5,22.16,22.66,22.62,
2017-01-31,22.79,5661334.0,22.79,22.13,22.79,22.3,
2017-02-01,25.28,16385366.0,25.28,23.09,25.5,23.27,
2017-02-02,25.2,8086687.0,25.2,24.82,25.5,25.01,
2017-02-03,25.9,5964126.0,25.9,25.17,25.92,25.17,
2017-02-06,26.2,10249070.0,26.2,25.22,26.31,25.22,
2017-02-07,26.62,7512704.0,26.62,26.07,26.72,26.2,
2017-02-08,27.3,7665855.0,27.3,26.33,27.41,26.48,
2017-02-09,27.96,9069169.0,27.96,27.15,28.14,27.21,
2017-02-10,29.62,11540809.0,29.62,28.12,29.85,28.23,
2017-02-13,29.65,10160764.0,29.65,29.05,29.87,29.47,
2017-02-14,29.52,11884058.0,29.52,29.335,30.16,29.45,
2017-02-15,29.21,5073947.0,29.21,29.08,29.52,29.34,
2017-02-16,29.49,5046892.0,29.49,29.055,29.49,29.14,
2017-02-17,29.91,4651962.0,29.91,29.25,30.08,29.36,
2017-02-21,30.29,3882602.0,30.29,29.65,30.38,29.67,
2017-02-22,30.55,4517041.0,30.55,29.88,30.555,29.88,
2017-02-23,29.57,6950772.0,29.57,29.52,30.69,30.58,
2017-02-24,29.32,4509979.0,29.32,28.74,29.5348,28.99,
2017-02-27,29.24,3067468.0,29.24,29.105,29.64,29.3,
2017-02-28,28.79,4143241.0,28.79,28.64,29.38,29.1,
2017-03-01,29.54,3618493.0,29.54,29.3,29.89,29.3,
2017-03-02,28.54,2998622.0,28.54,28.52,29.46,29.24,
2017-03-03,28.09,3644596.0,28.09,27.75,28.785,28.56,
2017-03-06,27.7,3549690.0,27.7,27.56,28.03,28.01,
2017-03-07,26.98,6261883.0,26.98,26.65,27.64,27.6,
2017-03-08,26.85,4092482.0,26.85,26.645,27.19,26.97,
2017-03-09,26.49,4030546.0,26.49,26.27,27.0,26.74,
2017-03-10,26.83,3964479.0,26.83,26.43,26.92,26.59,
2017-03-13,26.8,3175992.0,26.8,26.57,27.03,26.79,
2017-03-14,26.67,1908738.0,26.67,26.45,26.76,26.58,
2017-03-15,27.26,2273189.0,27.26,26.78,27.43,26.83,
2017-03-16,27.32,2669645.0,27.32,26.975,27.55,27.38,
