YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,56.22,2595463.0,56.22,55.795,56.96,56.9,
2017-01-04,57.21,3074938.0,57.21,56.32,57.46,56.46,
2017-01-05,56.97,1636823.0,56.97,56.7,57.72,57.02,
2017-01-06,57.34,1490113.0,57.34,56.9,57.54,57.04,
2017-01-09,57.02,1472093.0,57.02,56.89,57.69,57.28,
2017-01-10,56.77,1647109.0,56.77,56.68,57.16,57.11,
2017-01-11,56.84,3852066.0,56.84,56.04,56.96,56.91,
2017-01-12,56.72,4289626.0,56.72,55.8,56.98,56.53,
2017-01-13,56.83,1963286.0,56.83,56.67,57.44,57.06,
2017-01-17,56.46,1998509.0,56.46,56.17,56.78,56.73,
2017-01-18,57.31,2072860.0,57.31,56.21,57.42,56.75,
2017-01-19,56.96,1887362.0,56.96,56.95,57.44,57.36,
2017-01-20,57.4,2001840.0,57.4,56.93,57.5,57.12,
2017-01-23,56.84,1545761.0,56.84,56.69,57.44,57.19,
2017-01-24,57.46,1701609.0,57.46,56.915,57.68,56.99,
2017-01-25,57.96,2531883.0,57.96,57.75,58.19,57.84,
2017-01-26,58.17,1927582.0,58.17,56.993,58.87,58.15,
2017-01-27,57.88,1309195.0,57.88,57.615,58.19,58.16,
2017-01-30,57.94,1309474.0,57.94,57.25,57.97,57.88,
2017-01-31,58.36,2458370.0,58.36,57.82,58.39,57.99,
2017-02-01,58.35,2952113.0,58.35,58.14,58.96,58.42,
2017-02-02,58.39,3733279.0,58.39,57.83,58.8,58.02,
2017-02-03,58.54,3092586.0,58.54,58.45,59.0,58.88,
2017-02-06,58.51,2879846.0,58.51,58.12,58.57,58.25,
2017-02-07,59.93,7162773.0,59.93,59.28,60.54,59.28,
2017-02-08,57.04,5603496.0,57.04,56.985,59.5,59.5,
2017-02-09,57.58,3657180.0,57.58,56.8,57.66,57.08,
2017-02-10,57.65,2975157.0,57.65,57.135,57.865,57.63,
2017-02-13,59.03,2558596.0,59.03,57.82,59.11,58.12,
2017-02-14,58.65,2914943.0,58.65,58.45,59.14,59.03,
2017-02-15,59.01,3397366.0,59.01,58.33,59.12,58.73,
2017-02-16,58.65,1809433.0,58.65,58.245,58.94,58.94,
2017-02-17,58.4,2962911.0,58.4,58.3,58.8,58.53,
2017-02-21,57.96,3150487.0,57.96,57.81,58.57,58.42,
2017-02-22,57.73,2784472.0,57.73,57.46,57.99,57.59,
2017-02-23,58.11,2973783.0,58.11,57.7978,58.3127,57.86,
2017-02-24,58.3,2026310.0,58.3,57.67,58.62,57.77,
2017-02-27,57.7,3092191.0,57.7,57.15,58.4,58.25,
2017-02-28,57.13,3392352.0,57.13,56.97,57.64,57.48,
2017-03-01,58.93,3869230.0,58.93,57.61,59.1,57.83,
2017-03-02,58.52,2981630.0,58.52,58.3739,58.977,58.89,
2017-03-03,58.74,2992025.0,58.74,58.07,58.85,58.52,
2017-03-06,59.02,3646305.0,59.02,58.1,59.22,58.42,
2017-03-07,58.63,2656096.0,58.63,58.55,59.05,58.95,
2017-03-08,59.39,3465894.0,59.39,58.65,59.48,58.86,
2017-03-09,60.06,5102383.0,60.06,59.46,60.45,59.53,
2017-03-10,60.26,3584536.0,60.26,59.77,60.86,60.33,
2017-03-13,60.4,4264014.0,60.4,60.2,60.7,60.49,
2017-03-14,60.21,3413762.0,60.21,60.015,60.68,60.2,
2017-03-15,60.4,2791394.0,60.4,60.24,60.535,60.48,
2017-03-16,61.55,3933178.0,61.55,60.5,61.58,60.57,
2017-03-17,61.4,4871186.0,61.4,61.29,61.98,61.47,
2017-03-20,61.0,2321124.0,61.0,60.97,61.47,61.26,
2017-03-21,60.03,3332353.0,60.03,59.94,61.36,61.27,
2017-03-22,59.8,2120709.0,59.8,59.53,60.21,60.03,
2017-03-23,59.87,2433474.0,59.87,59.71,60.405,59.86,
2017-03-24,59.85,2536089.0,59.85,59.7,60.27,59.99,
2017-03-27,59.4,1922738.0,59.4,58.85,59.56,59.2,
2017-03-28,59.83,2076526.0,59.83,59.18,60.04,59.2,
2017-03-29,59.3,1890686.0,59.3,59.03,59.69,59.68,
2017-03-30,60.03,2030398.0,60.03,59.221,60.13,59.35,
2017-03-31,59.87,2099490.0,59.87,59.6,60.31,59.74,
2017-04-03,59.32,2561247.0,59.32,58.8,60.18,60.05,
2017-04-04,59.41,2445652.0,59.41,59.11,59.61,59.4,
2017-04-05,59.97,3067275.0,59.97,59.55,60.651,59.79,
2017-04-06,60.24,3361025.0,60.24,59.69,60.45,59.96,
2017-04-07,60.78,3876495.0,60.78,59.86,61.05,60.0,
2017-04-10,60.4,2667200.0,60.4,60.37,61.11,60.88,
2017-04-11,60.29,3242017.0,60.29,59.9,60.455,60.21,
2017-04-12,59.83,2386463.0,59.83,59.78,60.33,60.01,
2017-04-13,59.42,1644556.0,59.42,59.42,60.02,59.7,
2017-04-17,60.1,1217043.0,60.1,59.07,60.16,59.53,
2017-04-18,60.27,1673530.0,60.27,59.8,60.38,59.93,
2017-04-19,59.95,1993288.0,59.95,59.88,60.63,60.49,
2017-04-20,60.63,3083887.0,60.63,59.91,60.7,60.22,
2017-04-21,60.41,1856852.0,60.41,60.15,60.87,60.57,
2017-04-24,60.58,2996070.0,60.58,60.505,61.55,61.38,
2017-04-25,60.97,1854453.0,60.97,60.96,61.4,61.11,
2017-04-26,61.1,1719192.0,61.1,60.98,61.47,61.07,
2017-04-27,60.21,2651836.0,60.21,60.1381,61.19,61.19,
2017-04-28,60.2,2961129.0,60.2,60.03,60.66,60.21,
2017-05-01,60.4,3246615.0,60.4,60.22,60.73,60.5,
2017-05-02,60.62,3602655.0,60.62,60.2,60.76,60.62,
2017-05-03,60.33,3891859.0,60.33,59.755,61.02,59.97,
2017-05-04,60.87,3288441.0,60.87,60.26,60.995,60.57,
2017-05-05,60.46,2152778.0,60.46,60.28,61.0,60.98,
2017-05-08,59.09,2502356.0,59.09,58.9,60.6399,60.4,
2017-05-09,58.91,3735485.0,58.91,58.8,59.23,59.23,
2017-05-10,59.0,2443271.0,59.0,58.42,59.04,58.9,
2017-05-11,59.07,2929063.0,59.07,58.19,59.18,58.9,
2017-05-12,58.79,1665541.0,58.79,58.74,59.19,58.81,
2017-05-15,59.29,2145251.0,59.29,58.76,59.44,58.76,
