YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,117.6,569453.0,117.6,117.1701,119.18,118.29,7200.0
2017-01-04,115.95,20606473.0,115.95,113.92,118.26,118.02,33178.0
2017-01-05,115.96,1312358.0,115.96,115.9,118.36,116.15,14160.0
2017-01-06,118.36,946358.0,118.36,115.3,118.91,115.99,9406.0
2017-01-09,119.02,1038924.0,119.02,118.07,120.86,120.26,10539.0
2017-01-10,120.71,958328.0,120.71,119.11,121.81,119.14,10628.0
2017-01-11,121.12,700022.0,121.12,119.83,121.69,120.99,8734.0
2017-01-12,120.64,706687.0,120.64,118.71,120.83,120.83,8123.0
2017-01-13,120.8,651573.0,120.8,120.03,121.72,120.44,7487.0
2017-01-17,120.01,813556.0,120.01,119.43,121.535,120.88,7215.0
2017-01-18,118.9,730228.0,118.9,118.24,120.418,120.16,7153.0
2017-01-19,120.28,546860.0,120.28,118.4,120.49,119.24,8107.0
2017-01-20,118.88,605350.0,118.88,118.69,120.79,120.43,7153.0
2017-01-23,117.74,611756.0,117.74,116.54,119.22,119.02,7950.0
2017-01-24,118.51,466432.0,118.51,117.4,118.98,118.07,4973.0
2017-01-25,121.4,550342.0,121.4,118.65,121.47,118.84,6316.0
2017-01-26,119.61,762012.0,119.61,118.8,121.39,120.88,7236.0
2017-01-27,121.66,531517.0,121.66,119.65,121.78,120.02,6190.0
2017-01-30,120.5,789769.0,120.5,119.84,121.57,121.57,7234.0
2017-01-31,122.33,869795.0,122.33,120.23,122.47,120.51,8849.0
2017-02-01,122.8,944366.0,122.8,121.1901,123.257,122.4,10707.0
2017-02-02,139.07,2797331.0,139.07,125.02,139.8999,125.5,25635.0
2017-02-03,142.02,1758148.0,142.02,138.52,142.86,139.53,18111.0
2017-02-06,142.01,1145044.0,142.01,140.21,142.32,142.0,11246.0
2017-02-07,143.13,864817.0,143.13,141.79,143.47,142.23,9929.0
2017-02-08,141.11,1358731.0,141.11,141.0,143.09,142.83,11484.0
2017-02-09,142.11,776761.0,142.11,140.86,142.54,141.39,8011.0
2017-02-10,141.83,435483.0,141.83,141.49,142.51,142.07,5475.0
2017-02-13,141.7,570982.0,141.7,141.32,142.9,142.73,7031.0
2017-02-14,141.6,682783.0,141.6,140.63,142.0,141.11,8577.0
2017-02-15,141.74,859407.0,141.74,140.65,142.09,140.89,8116.0
2017-02-16,141.95,407324.0,141.95,140.99,142.38,141.93,5020.0
2017-02-17,142.23,426961.0,142.23,141.12,142.7,141.71,4986.0
2017-02-21,142.4,539709.0,142.4,141.52,143.06,142.3,5588.0
2017-02-22,142.25,584507.0,142.25,141.8,143.05,142.16,7039.0
2017-02-23,143.02,510486.0,143.02,141.8301,143.56,142.63,6611.0
2017-02-24,143.06,571682.0,143.06,141.02,143.92,142.81,6953.0
2017-02-27,143.61,573370.0,143.61,142.5001,144.33,143.35,6260.0
2017-02-28,144.94,744706.0,144.94,143.8,146.17,143.94,8520.0
2017-03-01,147.01,796928.0,147.01,145.37,148.22,145.84,9947.0
2017-03-02,146.1,523140.0,146.1,145.75,147.26,147.0,6501.0
2017-03-03,147.13,658902.0,147.13,146.22,147.67,146.66,7227.0
2017-03-06,147.08,638106.0,147.08,145.5249,147.75,146.36,7837.0
2017-03-07,147.03,752590.0,147.03,145.24,147.7,146.74,7981.0
2017-03-08,146.88,412618.0,146.88,146.51,147.7,147.35,5468.0
2017-03-09,149.41,628446.0,149.41,146.42,149.57,146.77,7234.0
2017-03-10,150.28,725131.0,150.28,149.1,151.99,150.33,8256.0
2017-03-13,151.6,500890.0,151.6,150.19,151.97,150.66,6735.0
2017-03-14,151.21,388728.0,151.21,150.445,151.89,151.73,5658.0
2017-03-15,153.68,583579.0,153.68,151.07,153.87,151.45,7815.0
2017-03-16,151.62,1033559.0,151.62,151.28,153.945,153.94,8073.0
2017-03-17,151.95,3389175.0,151.95,151.3,152.43,151.77,11394.0
2017-03-20,151.54,764524.0,151.54,150.49,152.415,152.18,10150.0
2017-03-21,150.11,680347.0,150.11,148.61,152.34,151.9,9298.0
2017-03-22,152.88,618481.0,152.88,150.56,153.94,152.22,7778.0
2017-03-23,152.89,522088.0,152.89,151.65,153.69,152.44,5976.0
2017-03-24,153.74,538419.0,153.74,152.87,154.57,153.22,6731.0
2017-03-27,153.96,460058.0,153.96,151.8048,154.49,152.98,5785.0
2017-03-28,153.81,423183.0,153.81,152.335,154.4099,153.51,6049.0
2017-03-29,154.72,397978.0,154.72,153.57,154.9,153.57,5817.0
2017-03-30,154.52,244427.0,154.52,153.9,154.99,154.45,3813.0
2017-03-31,154.61,466473.0,154.61,153.69,155.65,154.0,5965.0
2017-04-03,155.28,481211.0,155.28,153.59,155.74,155.07,6726.0
2017-04-04,155.12,508511.0,155.12,153.88,156.54,156.54,7328.0
2017-04-05,154.72,617755.0,154.72,154.1,157.03,155.08,7621.0
2017-04-06,154.56,579647.0,154.56,153.33,155.13,154.59,6604.0
2017-04-07,155.48,530698.0,155.48,154.745,156.14,154.84,5793.0
2017-04-10,154.58,374406.0,154.58,153.99,156.36,155.47,4876.0
2017-04-11,154.69,471390.0,154.69,153.75,154.945,154.24,6034.0
2017-04-12,154.2,437259.0,154.2,153.84,155.35,155.27,6268.0
2017-04-13,153.6,369315.0,153.6,153.38,155.19,153.75,5640.0
2017-04-17,155.28,492159.0,155.28,153.24,155.78,154.28,6833.0
2017-04-18,155.68,552427.0,155.68,154.2,155.99,155.1,7146.0
2017-04-19,157.08,477335.0,157.08,155.86,157.65,156.55,6329.0
2017-04-20,159.52,492499.0,159.52,156.75,159.77,157.81,6565.0
2017-04-21,159.12,455639.0,159.12,158.23,159.92,159.61,5501.0
2017-04-24,161.87,739942.0,161.87,161.18,162.99,161.92,7811.0
2017-04-25,162.43,470624.0,162.43,162.207,163.29,162.39,6396.0
2017-04-26,162.82,660709.0,162.82,161.36,163.37,162.7,7295.0
2017-04-27,162.76,799523.0,162.76,161.19,163.39,162.8,9512.0
2017-04-28,167.73,1710434.0,167.73,165.25,172.0,166.02,16664.0
2017-05-01,163.73,1231186.0,163.73,162.25,168.3,168.3,13892.0
2017-05-02,163.73,834114.0,163.73,162.39,164.2,164.2,10802.0
2017-05-03,160.28,794739.0,160.28,160.18,164.855,163.73,9989.0
2017-05-04,160.46,789251.0,160.46,158.83,161.02,160.47,10149.0
