YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,117.17,531337.0,117.17,116.73,119.67,118.45,
2017-01-04,117.39,705916.0,117.39,115.51,118.18,117.0,
2017-01-05,116.1,1010156.0,116.1,115.12,117.44,116.94,
2017-01-06,116.02,1013921.0,116.02,113.16,116.53,115.67,
2017-01-09,115.56,711992.0,115.56,113.5,116.195,115.25,
2017-01-10,115.48,491472.0,115.48,115.39,116.58,116.03,
2017-01-11,116.3,608331.0,116.3,114.77,116.53,115.28,
2017-01-12,115.26,548861.0,115.26,114.95,116.73,116.08,
2017-01-13,116.66,427717.0,116.66,115.58,117.18,115.58,
2017-01-17,116.81,464650.0,116.81,116.385,117.78,116.72,
2017-01-18,117.83,501128.0,117.83,116.72,117.92,117.21,
2017-01-19,117.51,466259.0,117.51,116.64,118.03,117.67,
2017-01-20,118.13,456231.0,118.13,117.59,119.44,117.7,
2017-01-23,117.37,315566.0,117.37,116.83,117.91,117.81,
2017-01-24,119.54,373677.0,119.54,116.79,119.657,117.62,
2017-01-25,119.82,416644.0,119.82,119.59,120.29,120.06,
2017-01-26,119.7,261500.0,119.7,119.48,120.36,120.04,
2017-01-27,119.85,284837.0,119.85,118.52,119.92,119.42,
2017-01-30,119.0,415877.0,119.0,118.49,119.6899,119.42,
2017-01-31,117.21,798442.0,117.21,115.97,118.88,118.66,
2017-02-01,116.54,929812.0,116.54,115.78,117.6339,117.4,
2017-02-02,116.84,1771162.0,116.84,114.81,118.13,116.57,
2017-02-03,117.98,699260.0,117.98,116.11,118.45,117.17,
2017-02-06,117.47,364793.0,117.47,116.53,118.04,117.55,
2017-02-07,116.75,671110.0,116.75,116.32,117.88,117.76,
2017-02-08,117.92,639490.0,117.92,116.3,118.54,116.74,
2017-02-09,117.74,1313505.0,117.74,117.51,119.31,117.95,
2017-02-10,117.91,1347253.0,117.91,117.57,119.085,118.26,
2017-02-13,120.03,732702.0,120.03,117.56,120.03,118.43,
2017-02-14,117.9,1005203.0,117.9,117.09,119.9593,119.54,
2017-02-15,119.16,669126.0,119.16,117.07,119.27,117.36,
2017-02-16,124.03,1934221.0,124.03,120.0,126.34,120.83,
2017-02-17,122.37,881643.0,122.37,122.1,123.86,123.68,
2017-02-21,121.62,668435.0,121.62,121.09,123.1925,122.14,
2017-02-22,122.63,563562.0,122.63,121.03,122.83,121.59,
2017-02-23,125.14,1083600.0,125.14,123.94,128.33,125.04,
2017-02-24,125.0,516774.0,125.0,124.0,125.3,125.06,
2017-02-27,124.81,462948.0,124.81,124.125,125.15,125.11,
2017-02-28,125.7,506231.0,125.7,124.74,126.2,124.82,
2017-03-01,127.1,624774.0,127.1,126.02,128.38,126.12,
2017-03-02,126.13,556668.0,126.13,125.5,127.47,126.94,
2017-03-03,125.13,345323.0,125.13,124.54,126.6725,126.07,
2017-03-06,124.39,567741.0,124.39,124.21,125.13,124.41,
2017-03-07,123.89,439043.0,123.89,123.35,125.1,124.18,
2017-03-08,124.28,607583.0,124.28,123.79,125.46,123.79,
2017-03-09,123.66,504015.0,123.66,123.15,124.26,124.26,
2017-03-10,125.33,474543.0,125.33,124.33,125.39,124.55,
2017-03-13,126.6,617910.0,126.6,124.62,126.76,125.42,
2017-03-14,126.22,491401.0,126.22,125.53,126.77,126.11,
2017-03-15,128.1,571579.0,128.1,126.02,128.43,126.5,
2017-03-16,128.94,571211.0,128.94,127.78,129.086,128.28,
2017-03-17,132.1,1222975.0,132.1,129.32,132.24,129.61,
2017-03-20,135.4,1545499.0,135.4,131.69,135.49,132.05,
2017-03-21,135.1,961481.0,135.1,134.48,137.035,135.45,
2017-03-22,136.89,769961.0,136.89,134.5,136.98,135.02,
2017-03-23,135.07,808335.0,135.07,134.94,136.83,135.4,
2017-03-24,133.19,667268.0,133.19,132.79,135.29,135.16,
2017-03-27,132.56,1124759.0,132.56,131.77,133.46,132.73,
2017-03-28,131.55,843922.0,131.55,130.61,132.355,131.98,
2017-03-29,131.96,972904.0,131.96,130.98,132.21,131.42,
2017-03-30,132.37,405142.0,132.37,131.64,133.42,131.81,
2017-03-31,132.53,498070.0,132.53,132.0201,133.43,132.45,
2017-04-03,131.59,389661.0,131.59,131.25,132.775,132.74,
2017-04-04,131.45,320931.0,131.45,130.99,132.448,131.97,
2017-04-05,131.77,608737.0,131.77,131.38,132.89,131.38,
2017-04-06,133.04,589350.0,133.04,131.42,133.36,131.88,
2017-04-07,132.25,348039.0,132.25,132.08,133.2,132.31,
2017-04-10,132.85,374471.0,132.85,131.77,133.09,132.08,
2017-04-11,133.4,318630.0,133.4,132.36,133.81,132.89,
2017-04-12,132.56,499175.0,132.56,132.08,133.18,133.18,
2017-04-13,131.94,231391.0,131.94,131.91,133.36,132.49,
2017-04-17,133.02,339483.0,133.02,131.86,133.15,132.31,
2017-04-18,134.07,331269.0,134.07,132.1,134.78,132.45,
2017-04-19,134.53,366468.0,134.53,133.76,135.2,134.08,
2017-04-20,135.8,268099.0,135.8,134.4,136.1,134.83,
2017-04-21,136.12,283459.0,136.12,135.74,136.57,135.99,
2017-04-24,138.03,398125.0,138.03,136.82,138.43,137.06,
2017-04-25,139.09,377630.0,139.09,137.72,139.87,138.89,
2017-04-26,138.8,378545.0,138.8,138.59,139.8,139.04,
2017-04-27,139.73,382330.0,139.73,138.81,140.2,139.14,
2017-04-28,138.59,301607.0,138.59,138.364,139.58,139.58,
2017-05-01,138.98,195405.0,138.98,138.1001,139.3,139.19,
2017-05-02,138.22,305199.0,138.22,136.41,138.93,138.87,
2017-05-03,138.83,270398.0,138.83,137.51,139.0,138.48,
2017-05-04,138.47,550075.0,138.47,137.68,139.75,138.9,
2017-05-05,139.27,567837.0,139.27,138.81,139.865,138.95,
2017-05-08,137.38,882089.0,137.38,136.88,139.47,139.27,
2017-05-09,128.98,1749249.0,128.98,128.5,133.75,133.75,
2017-05-10,130.33,609312.0,130.33,128.42,130.45,128.42,
2017-05-11,130.85,348945.0,130.85,129.55,131.0,130.28,
2017-05-12,130.71,360002.0,130.71,129.97,130.92,130.7,
2017-05-15,132.49,449384.0,132.49,130.53,132.93,130.97,
2017-05-16,133.16,367902.0,133.16,132.015,133.52,132.47,
2017-05-17,133.15,650454.0,133.15,132.09,134.9,132.09,
2017-05-18,134.26,407422.0,134.26,131.35,135.09,132.29,
2017-05-19,134.81,336736.0,134.81,134.17,135.4,134.52,
2017-05-22,135.85,290531.0,135.85,135.011,136.08,135.61,
2017-05-23,136.52,301688.0,136.52,135.64,137.04,135.91,
2017-05-24,137.9,440034.0,137.9,136.12,138.51,136.12,
2017-05-25,138.41,1105567.0,138.41,137.57,138.9,137.9,
2017-05-26,138.44,244145.0,138.44,138.03,138.85,138.46,
2017-05-30,136.99,458537.0,136.99,136.59,138.1435,137.94,
2017-05-31,137.89,428961.0,137.89,136.45,138.07,137.19,
2017-06-01,138.18,412072.0,138.18,137.59,139.77,137.72,
2017-06-02,139.24,279959.0,139.24,138.02,139.34,138.22,
2017-06-05,139.45,326929.0,139.45,138.95,140.44,139.42,
2017-06-06,138.8,347469.0,138.8,138.21,139.69,138.87,
2017-06-07,137.87,362580.0,137.87,137.74,139.68,138.22,
2017-06-08,135.69,520950.0,135.69,135.12,137.83,137.64,
2017-06-09,137.2,483021.0,137.2,135.86,137.23,136.12,
2017-06-12,136.44,297100.0,136.44,136.25,137.8,137.37,
2017-06-13,136.5,441236.0,136.5,134.47,136.965,136.12,
2017-06-14,136.51,485134.0,136.51,135.01,137.29,136.65,
2017-06-15,135.09,709762.0,135.09,134.05,136.41,135.88,
2017-06-16,134.58,1135356.0,134.58,134.01,135.59,135.12,
2017-06-19,136.14,389140.0,136.14,134.54,136.65,135.1,
2017-06-20,136.19,373698.0,136.19,136.03,137.33,136.21,
2017-06-21,136.08,454292.0,136.08,135.71,137.37,136.82,
2017-06-22,135.13,310103.0,135.13,134.33,135.83,135.83,
2017-06-23,136.15,402215.0,136.15,134.815,136.71,135.23,
2017-06-26,137.07,398793.0,137.07,135.75,138.0,136.46,
2017-06-27,135.37,296351.0,135.37,135.29,137.11,137.07,
2017-06-28,135.91,376922.0,135.91,135.67,136.94,136.25,
2017-06-29,133.48,422866.0,133.48,132.39,136.04,136.04,
2017-06-30,135.0,420047.0,135.0,133.86,135.94,133.86,
2017-07-03,134.9,149066.0,134.9,134.8301,136.06,135.6,
2017-07-05,134.21,401880.0,134.21,133.85,135.41,134.99,
2017-07-06,132.16,276339.0,132.16,132.03,133.47,133.28,
2017-07-07,131.88,420286.0,131.88,131.48,132.61,132.21,
2017-07-10,131.69,325684.0,131.69,131.13,132.51,131.83,
2017-07-11,131.98,288790.0,131.98,130.94,132.37,131.82,
2017-07-12,133.56,354366.0,133.56,132.42,133.72,132.71,
2017-07-13,132.73,516568.0,132.73,132.03,133.58,133.55,
2017-07-14,133.73,392113.0,133.73,132.46,134.36,132.95,
2017-07-17,133.88,385600.0,133.88,133.13,134.4,133.76,
2017-07-18,135.06,303548.0,135.06,133.77,135.69,133.77,
2017-07-19,135.23,370017.0,135.23,134.63,136.27,135.38,
2017-07-20,133.37,396325.0,133.37,132.66,135.13,135.13,
2017-07-21,133.01,406071.0,133.01,131.39,133.18,133.18,
2017-07-24,132.51,372201.0,132.51,131.27,132.88,132.88,
2017-07-25,132.98,527563.0,132.98,132.85,134.86,133.17,
2017-07-26,133.38,505701.0,133.38,132.76,133.94,133.04,
2017-07-27,133.58,449936.0,133.58,133.09,134.25,133.37,
2017-07-28,133.15,340568.0,133.15,132.59,133.81,133.64,
2017-07-31,133.18,441236.0,133.18,132.86,133.99,133.36,
2017-08-01,134.57,445952.0,134.57,133.46,135.13,133.68,
2017-08-02,133.84,636807.0,133.84,133.56,135.61,134.36,
2017-08-03,134.33,672094.0,134.33,133.25,134.845,134.02,
2017-08-04,134.8,354693.0,134.8,134.27,135.01,134.61,
2017-08-07,134.81,439721.0,134.81,134.53,135.48,134.76,
2017-08-08,134.64,667605.0,134.64,134.37,136.01,134.68,
2017-08-09,139.68,1016974.0,139.68,134.61,140.0,136.22,
2017-08-10,136.85,729332.0,136.85,136.53,139.53,139.19,
2017-08-11,135.38,371990.0,135.38,134.47,137.19,137.19,
2017-08-14,137.06,281173.0,137.06,135.89,137.4,136.21,
2017-08-15,137.07,362376.0,137.07,136.63,138.0,137.22,
2017-08-16,138.54,265505.0,138.54,136.92,138.7,137.39,
2017-08-17,135.28,251952.0,135.28,135.225,138.32,137.94,
2017-08-18,134.83,352093.0,134.83,134.11,135.84,135.06,
2017-08-21,134.88,271270.0,134.88,134.15,135.3,134.85,
2017-08-22,135.86,180107.0,135.86,134.83,136.04,134.94,
2017-08-23,135.12,284559.0,135.12,134.62,135.655,134.79,
2017-08-24,135.23,181388.0,135.23,135.11,135.87,135.61,
2017-08-25,135.92,168842.0,135.92,135.42,136.61,135.42,
2017-08-28,136.14,170709.0,136.14,135.47,136.51,136.25,
2017-08-29,135.95,224375.0,135.95,134.93,136.41,135.24,
2017-08-30,136.22,256626.0,136.22,135.67,137.37,135.67,
2017-08-31,136.85,282616.0,136.85,136.17,137.06,136.66,
2017-09-01,137.94,205360.0,137.94,137.1,138.39,137.1,
2017-09-05,139.26,342249.0,139.26,137.53,139.4799,137.75,
2017-09-06,139.06,237420.0,139.06,137.971,139.725,139.7,
2017-09-07,140.56,296659.0,140.56,139.32,140.74,139.32,
2017-09-08,141.83,268127.0,141.83,140.3,142.38,140.53,
2017-09-11,143.14,318012.0,143.14,142.1,144.03,142.78,
2017-09-12,143.21,416916.0,143.21,142.505,144.12,143.37,
2017-09-13,143.14,284791.0,143.14,142.715,143.69,143.09,
