YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-01-03,36.6,20128966.0,36.6,36.27,36.93,36.61,99718.0
2017-01-04,36.41,15915730.0,36.41,36.34,36.77,36.71,79967.0
2017-01-05,36.35,13986002.0,36.35,36.305,36.72,36.45,71759.0
2017-01-06,36.48,15113998.0,36.48,36.19,36.68,36.46,76518.0
2017-01-09,36.61,19461422.0,36.61,36.4776,36.885,36.48,71244.0
2017-01-10,36.54,15918766.0,36.54,36.53,36.93,36.55,82648.0
2017-01-11,36.95,22398426.0,36.95,36.51,37.0,36.51,89833.0
2017-01-12,36.71,20391946.0,36.71,36.32,36.83,36.83,94825.0
2017-01-13,36.79,15072235.0,36.79,36.62,36.86,36.71,60788.0
2017-01-17,36.8,20195202.0,36.8,36.59,36.83,36.67,84286.0
2017-01-18,36.76,15382452.0,36.76,36.61,37.01,36.89,79434.0
2017-01-19,36.57,13654522.0,36.57,36.51,36.91,36.51,67311.0
2017-01-20,36.94,23950936.0,36.94,36.58,37.03,36.76,88033.0
2017-01-23,36.77,27752565.0,36.77,36.55,37.21,37.07,110580.0
2017-01-24,37.62,35150871.0,37.62,36.81,37.74,36.84,139288.0
2017-01-25,37.8,32357313.0,37.8,37.515,38.0,37.87,122086.0
2017-01-26,37.56,34176843.0,37.56,37.42,37.925,37.82,138825.0
2017-01-27,37.98,44368566.0,37.98,37.81,38.45,38.0,182337.0
2017-01-30,37.42,23954716.0,37.42,37.33,37.84,37.74,106590.0
2017-01-31,36.82,27059084.0,36.82,36.6401,37.37,37.22,103744.0
2017-02-01,36.52,28380640.0,36.52,36.02,36.95,36.82,125802.0
2017-02-02,36.68,31916939.0,36.68,36.2,36.7,36.26,116506.0
2017-02-03,36.52,21038146.0,36.52,36.45,36.82,36.69,84769.0
2017-02-06,36.27,21426961.0,36.27,36.15,36.51,36.51,82067.0
2017-02-07,36.35,18581867.0,36.35,36.24,36.52,36.45,82438.0
2017-02-08,36.38,20807358.0,36.38,36.14,36.65,36.34,93722.0
2017-02-09,35.46,47802687.0,35.46,35.4,36.5,36.5,190215.0
