YYYYMMDD,DlyPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyOpen,DlyNumTrd
2017-02-01,20.0,30832953.0,20.0,19.8,20.42,20.1,
2017-02-02,20.23,4901231.0,20.23,20.04,20.41,20.04,
2017-02-03,20.63,2631545.0,20.63,20.3,20.8,20.35,
2017-02-06,20.73,1836800.0,20.73,20.55,21.14,21.14,
2017-02-07,20.8,3521570.0,20.8,20.62,20.86,20.75,
2017-02-08,20.84,973618.0,20.84,20.73,20.92,20.8,
2017-02-09,20.88,1798591.0,20.88,20.83,20.97,20.89,
2017-02-10,21.02,1560824.0,21.02,20.78,21.87,20.92,
2017-02-13,21.0,896041.0,21.0,20.955,21.19,21.14,
2017-02-14,21.03,1143094.0,21.03,20.75,21.05,20.89,
2017-02-15,20.91,1065698.0,20.91,20.86,21.16,21.16,
2017-02-16,20.96,740470.0,20.96,20.78,21.05,20.8,
2017-02-17,21.15,664029.0,21.15,20.76,21.215,20.93,
2017-02-21,21.47,793309.0,21.47,21.28,21.5,21.3,
2017-02-22,21.57,675062.0,21.57,21.4,21.65,21.45,
2017-02-23,21.58,641434.0,21.58,21.37,21.81,21.68,
2017-02-24,21.6,763716.0,21.6,21.5,21.71,21.52,
2017-02-27,21.81,1159288.0,21.81,21.55,21.99,21.58,
2017-02-28,21.79,1583632.0,21.79,21.765,22.15,21.91,
2017-03-01,21.53,1415061.0,21.53,21.17,22.146,22.14,
2017-03-02,21.72,1123486.0,21.72,21.33,21.78,21.6,
2017-03-03,21.81,1077753.0,21.81,21.26,21.95,21.56,
2017-03-06,21.92,1333155.0,21.92,21.62,22.0,21.78,
2017-03-07,21.81,709011.0,21.81,21.5,21.98,21.8,
2017-03-08,21.55,797640.0,21.55,21.52,21.82,21.78,
2017-03-09,21.24,1303081.0,21.24,21.04,21.74,21.6,
2017-03-10,21.4,1193724.0,21.4,21.28,21.54,21.28,
2017-03-13,21.38,1841007.0,21.38,21.06,21.84,21.39,
2017-03-14,21.25,778245.0,21.25,21.05,21.45,21.38,
2017-03-15,21.52,1520784.0,21.52,21.245,21.6,21.39,
2017-03-16,21.48,1181759.0,21.48,21.25,21.68,21.6,
2017-03-17,21.6,8630179.0,21.6,21.47,21.79,21.55,
2017-03-20,21.54,1357769.0,21.54,21.35,21.65,21.5,
